user_name,star,comment_time,geo_ip,vote,short
Paktin,5,2012-02-26 01:41:31,unknown,2096,情绪低潮期就靠这本书治愈了。「时空太过大超脱我的喜与悲」
勿一鸣🧸,5,2010-05-08 21:10:26,unknown,677,我真的有看过，信我。
尧耳,5,2012-03-25 18:23:11,unknown,545,宇宙学科的入门经典读物。从此书可以辐射出整个宇宙观点的历史沿革。如果中国学校能用它作为物理教材，善莫大焉。
ddddddd,5,2013-07-03 22:31:59,unknown,668,这么多年物理白学了。中国式的教育从来不是让你理解和使用任何理论，而是让你记住它应付考试，真是对人类智慧的亵渎啊!
丁一,NaN,2017-09-24 10:27:07,unknown,260,神说：要有光!——光：好的，8分钟以后
Ms.蔬菜,5,2011-02-17 22:45:38,unknown,258,自认为不能全看明白，现在已经后悔大学为什么不读物理。
#_N%0-#,5,2011-07-23 19:02:34,unknown,179,我这能算读过么==吸收了不到0.1%吧。。。
夏天,3,2010-11-15 00:38:47,unknown,196,中学时候为了装逼看的，结果被另外一个更装逼的同学打败了。。。
𝘽𝙀𝙉,4,2011-09-10 12:41:01,unknown,193,当初花了我一个星期的饭钱买的被人偷走了
诱导师,3,2019-01-10 21:22:50,unknown,156,“当我读爱因斯坦写的一本物理书时，我什么也没弄明白，不过没关系，它让我明白了别的东西。”——毕加索
如意,4,2011-07-13 17:26:23,unknown,151,终于明白霍金如此身残缺志坚的原因了，敢去探究浩瀚时空的人，内心已足够强大到不畏惧任何苦难。可是，这本书不是科普读物！绝逼不是！“将广义相对论和量子力学结合在一起…”通篇的相对论和量子力学！工科出身都读不懂的有木有啊！能激发哲思就是最大的收获，身为文科生，我不奢望懂得书中专业的物理知识了。。。悲催
姜纪存,3,2015-07-22 14:40:31,unknown,129,从量子力学开始无力，到虫洞稍有缓和，这其中部分句句都是都是智商测试，看完徒生悲伤
风流剑客黄药师,5,2014-11-24 01:07:09,unknown,125,小时候就没理科天赋的我看起来特别吃力，莫名被“如果此刻太阳熄灭，地球上的我们只能在8分钟之后才知道”这句话搞得好伤感，看来我只能做一个艺术家。另外，必须要找一个科学家做未来老公了。
盛世美颜小师傅,5,2013-06-02 10:29:18,unknown,85,像我这种文盲都读得下去。
NeoCon,5,2011-03-21 18:44:40,unknown,74,又看不懂又令人恐惧
听雨芭蕉,NaN,2013-01-16 10:22:12,unknown,75,看了，觉得人生最短暂，人类最可怜，时间最无情。
阿懒,2,2010-07-23 16:34:39,unknown,53,大学时读过，完全没读懂，不知道他在说什么
Mona Lishark,4,2008-01-01 13:44:28,unknown,42,容易读傻了。。
冲浪小子Z,5,2018-04-23 10:04:51,unknown,163,我的总结就是，看得越仔细，想的越多，头痛~头痛~
乔峰,NaN,2015-09-01 20:43:28,unknown,47,想要学物理的男朋友。
十,5,2010-08-01 21:57:36,unknown,36,小学最爱
Samuel,5,2012-09-02 12:42:16,unknown,37,哈哈哈，初中第一次是当连环画看的，高中第二次看了物理考了142分，这是第三次看，我还是觉得很有趣，依旧很多地方还是看不懂。。。但是非常有启发，可以帮助你跳出平时自己的视野和思维的局限。看到第四章的不确定性，我居然思维跳跃到易经四柱八卦，还有无序的时间箭头，许多时候人生也是无序的。
Zoe Mars,5,2019-11-02 23:16:46,unknown,66,生而为智障，我很抱歉。
攸宁陶陶,NaN,2011-05-05 01:36:18,unknown,31,看完只有一个赶脚，还是让我安然的做个白痴吧！
小米=qdmimi,NaN,2014-12-11 22:07:20,unknown,35,文科学渣看完星际穿越复习一下……
时间之葬,5,2015-02-24 16:25:40,unknown,22,本意是病况中打发时间，却出乎意料的好看，十多年前的我怎么都不会想到在结束了高中课程之后竟然重新对物理有了兴趣
小松子,5,2015-11-30 11:34:40,unknown,42,其实我没太看懂，但是不敢给太低→_→
🌵,NaN,2012-10-14 15:32:08,unknown,28,当连环画看完了。。。。。。。
刘康康,5,2017-03-22 14:38:43,unknown,19,用了一个月时间断断续续读完了。因为之前有读量子力学方面的科普书，所以对这方面的内容接受起来还算没问题（反而觉得霍金写得太简略），但弦论部分理解起来就非常吃力了。最喜欢的部分是霍金提出黑洞辐射的部分，把量子力学与广义相对论用一种意想不到的方式结合了起来，那种智慧和想象力让人叹服。
[已注销],5,2011-07-02 18:20:26,unknown,16,物理学到底存不存在？
汤之问棘🌈,3,2015-10-15 23:14:28,unknown,12,不明觉厉，且震撼。
万,4,2010-08-15 04:04:08,unknown,9,突然对天文很感兴趣。后来认识一个人就不管三七二十一问他怎么看宇宙之外怎么看平行时空……额……
楚仙,5,2013-11-17 03:06:20,unknown,20,“在太空看地球，就会知道自己是多么微不足道，就会明白自己的生命浪费在烦恼上是多么的不必要。”最近在看这本书，数学定理和物理证明远远比小说更让人心安。
导弹,5,2010-11-07 23:24:19,unknown,8,怎么说……看不太懂啊……理解能力有限的说……
无心,5,2008-01-29 13:57:46,unknown,7,很多没看懂，不过不要紧，有空再看一遍。HOHO，学到很多术语。
feiandxs,5,2016-01-24 20:24:36,unknown,10,这书这辈子还能翻十遍！
大头绿豆,4,2005-11-26 04:45:00,unknown,9,不大看得下去。
J,3,2008-08-11 16:04:07,unknown,13,还是不够浅显……对我来说
阅微草堂,5,2012-03-19 21:23:47,unknown,7,读起来每句话都要仔细思考，把别人的话化为自己心中的话。今天还在阅读这本有了十年多印象的书，十年光阴就在指尖流淌2004-2014
私~川流,5,2006-08-28 22:00:32,unknown,6,懂与不懂都是收获...哪有这样说的...
旧日,5,2012-10-20 12:08:33,unknown,7,好书不解释。以前为啥没看？果然物理这事儿是心中一个梦啊。
人生无聊才读书,5,2011-09-06 10:23:20,unknown,9,第一次来北京的时候在旧书摊买的盗版，没想到一读之下，居然如此过瘾。一部科普著作写的比悬疑小说还有看头，这固然是因为霍金的文笔深入浅出，简洁利落，更主要的，是因为书中谈到的话题太有趣了，太无解了。这是影响我思想观念的一本书，而这样的书，至今看过的不到5本。
Sigmund Fraud,5,2013-03-15 00:36:56,unknown,6,这是我看过的印象最深的小说！！！
江凌,4,2014-09-19 14:50:41,unknown,11,很显然我并没有完全看懂，尽管很努力地动用了自己所有的物理知识，我也只是略微看懂了一些皮毛而已，我只是试图从这本书中找到关于时间的科学论述，时间的真相，在我的理解中，时间只是一个度量单位，快和慢由不得我们，而是依赖于运动的速度，时间或许可以回溯，但是生命不可回溯，我们依然是宇宙之中渺小的一粒微尘，纠结太多所谓生命的意义似乎并没有什么意义，无愧于心似乎才是最好的生活态度。
浮生若夢,5,2009-12-31 20:19:08,unknown,3,小时候梦想做天文学家，没成，长大了读时间简史，过过干瘾。
桑田巫,4,2014-08-03 10:01:02,unknown,4,对文科生而言太诘屈聱牙，是为了能看懂TBBT来翻的，比如说“双缝实验”，感觉把高中物理撸了一遍，涉及专业的比如量子力学什么的终究理解无能，权当感受一下历史长河中人们为诠释宇宙所作出的伟大努力。
