user_name,star,comment_time,geo_ip,vote,short
狐狸小白,5,2018-04-06 12:13:57,unknown,71,常遇春，那一箭真惊艳。
Cornlee,4,2013-04-23 00:19:36,unknown,57,读这本书才知道王阳明以及孙承宗的伟大。按照自己的方式去度过人生。
皆可以,5,2012-07-11 16:34:01,unknown,56,成功只有一个——按照自己的方式，去度过人生
一只黑眼睛看着大千世界,5,2013-03-30 17:26:40,unknown,57,朱元璋-[标]-允(炆)-棣-高(炽)瞻(基)祁(镇|钰|镇)见(深)佑(樘|[杬])，厚(照|熜)载(垕)翊(钧)常(洛)由(校|检)
幽州节度使,2,2012-08-13 12:39:49,unknown,78,只能说作者对历史事件比较了解，但他的历史观，包括对人性的思考完全欠缺，甚至偶尔会出现流俗的空话套话，因而对历史事件本质的思考陷于表面化，这种表面化甚至勉强维持在高中水平，完全谈不上是一部高端的历史书。
喆。,3,2014-03-14 14:23:35,unknown,52,流行一时的野史，从此诞生许多脑残明粉
微微阑珊,5,2011-11-01 21:46:27,unknown,37,作者当年明月原是顺德海关公务员，以《明朝那些事儿》成名于互联网，印证了他的那句话：“历史应该可以写得好看”。网络红人原被领导认为“很一般”，成名后获重用借调北京，现为中国海关总署缉私警察。
Amberose,5,2017-09-26 09:42:43,unknown,60,花了大概一周时间在旅行的路上读完，很能引人深思，作者的厉害之处在于可以把枯燥或者无聊的东西说得浅显易懂而且还非常有趣。
竹淡刻骨,5,2015-03-28 04:29:50,unknown,53,从来没有想过会在桂林一个旅馆的床上因为睡不着，终于看完了这本书。这本书红了很多年，今年才开始看是因为一直以来我是很讨厌明朝的，因为八股文起于明，因为资产阶级萌芽在明被扼杀，因为朱元璋是个杀尽功臣心胸狭隘的丑农民…但是看完整个故事，好像看到了无数有血有肉的历史人物的一生在我眼前快进播放，看到很多个有着我最喜欢的文人的气节的人物，看到勤勤恳恳却无力回天的朱由检的心酸…突然就喜欢上了大明…感谢作者让我粗略了解了整个明史…
汪杨,3,2014-05-15 01:23:54,unknown,33,不喜此文风了
德川咪咪,5,2012-01-09 23:55:06,unknown,34,写得不错就是结尾太泥马草率了，还有对规律性的东西总结得很肤浅，可能是作者主观上把历史的发展归因于个人的行为之上。
虫虫,5,2017-06-12 19:36:26,unknown,27,希望多一些类似的历史读物，既有趣又能学到不少知识，不要说不符合史实，读者都有自己的判断力，读完明朝以后对这些历史人物产生兴趣然后再去查阅其资料不更能普及历史知识吗。
吃咸梅干變超人,5,2012-07-23 19:53:40,unknown,24,扛了几年，终于给我看完了。。。忏悔啊，一套让我学到很多的通俗读物，读得速度真是慢。最喜欢的就是于谦、王阳明两大猛人，徐文长大才子也不错，张居正太正统了一点无感啊。。最受启发的是徐阶、唐寅、戚继光的故事了，打海盗也蛮好玩，打日本写得太长了。。后来哎呀就是好书啊，以后我儿从小要看。。
浮尘迷世无所畏,2,2018-09-16 16:05:17,unknown,49,这是一部通俗到有些烂笏的小说。语句大白话，内心所思所想恨不得写在脸上，时不时还穿插抒情。对历史，我的底线是李亚平黄仁宇，再等而下之就不看了。这部书的红火，恰好证明大多数人的历史修养和人文修养之差。听说俞敏洪喜欢这本书，恩恩，哈哈。稍微有点知识分子气质的人，对这本书就不可能看上眼。比如武汉新东方的李校长。
XA™,5,2012-07-17 10:52:06,unknown,19,2351页虽然长，但是结合黄仁宇的《万历十五年》来看，其实写得很浓缩；虽然作者很幽默，但是历史很残酷；虽然很伟大，但是作者只是冷静、勤奋两点，无他；虽然有前车之鉴，但现今依然在重演。
martonyong,5,2011-10-27 08:47:29,unknown,20,作者是个明白人。
dada的蜜糖,5,2010-09-19 18:04:10,unknown,49,也许对于别人来说是浅显的历史书，但是感谢作者让我读的开心。
小岩井,5,2017-09-15 13:31:50,unknown,17,读完后真是沉思好久，历史豪杰兴衰荣辱，犹如黄粱一梦。原来最好三本我一直没读，读完之后感慨，我幸好生在现在。
不要嘛！！！,2,2014-08-10 19:57:14,unknown,20,2星不能再多
。琳小战士,5,2011-09-17 03:38:08,unknown,21,看完电子版，预计入手套装做收藏。
十七呀,5,2012-09-25 09:11:42,unknown,10,終於讀完了，感慨萬千。“按自己的方式，去度過人生。”無論平凡還是輝煌，這都是一種成功吧。
Nise,2,2015-01-09 14:55:50,unknown,20,唯心史观，卑微的灵魂，做了副县就到头了，再往上就不是这种愚民智商力所能及是的事儿啦
Stark实习生,4,2018-03-23 08:30:41,unknown,36,图书馆偶然看到就借来读了，结果根本停不下来。要是我早点读到这么有趣的历史书，也不至于当初历史那么差了。
削顶额的毛,2,2019-11-19 12:59:18,unknown,30,行文幼稚，毫无深度，哪里好？
豆友148584468,5,2021-05-13 10:51:36,unknown,12,历时一个半月，我终于把《明朝那些事儿》读完了。所有的皇帝陛下们统统都被我抛诸脑后，只有三个人让我历历在目泪流满面，他们是于谦、张居正和杨涟。他们三个都是读书人，都是书生，都是明朝臣子，是忠臣，都曾在明朝危难时刻力挽狂澜，他们的丰功伟绩是经得起历史和时间鉴证的。
上野急娃娃🌈,1,2020-01-12 12:50:46,unknown,33,eww.洗澡做家务都听不下去了，要听一下红楼梦洗耳朵。怎么能每句话都那么油腻，所有曾经鲜活的历史被浓缩成两句话：xx牛逼！xx傻逼！
于老板helio,5,2012-04-21 23:31:27,unknown,15,普及历史的伟大读物，只可惜本质上还是民族主义的又一次狂欢
Mulin,2,2020-05-21 01:39:34,unknown,21,幼稚的史觀和簡陋的煽情讓人反胃
豆友151900525,1,2017-09-05 08:41:09,unknown,12,http://tieba.baidu.com/p/2822870442?share=9105&fr=share&see_lz=0&sfc=copy&client_type=2&client_version=8.8.8.0&unique=670046F10FB秋风大所言极是，意淫呗
柯不悔KOKIKA,2,2010-03-13 19:38:34,unknown,11,真的很一般。。。容易厌。虽然他很努力
柑野灯里,1,2014-08-01 17:20:32,unknown,18,真是搞不懂烂成这样也能获得这么高的赞誉！果然是上畅销榜的水准。
Aliceisali,5,2015-09-02 14:37:46,unknown,14,一个多月时间断断续续看完了。从朱元璋到朱由检，书中大大小小的战役看得人心情很沉重。只能庆幸自己没有生在战争年代。愿能平安富足的过这一生。
阅微草堂,5,2012-01-14 05:31:19,unknown,9,写的很自我的书籍，是一种新奇的让人思考的史学书籍。可惜了，就是没有作者的判断和哲学，作者具有基本的人本主义思想，加入了不少的感性特征，文笔不错，把个人的情感加入到了写作中，与其说是历史，不如说我们该如何读历史
少年戈多,3,2017-10-31 18:10:25,unknown,12,现在很讨厌这些二手知识。是没耐力的表现。小时候却很喜欢。（因为懒和无知）
高等数学,5,2017-03-08 17:02:55,unknown,10,以自己喜欢的方式过一生。
豆友52796200,2,2012-04-30 23:13:28,unknown,9,明史启蒙读物，朱元璋卷至今惊艳，作者个人观点较多，民族主义倾向比较严重（读者群影响的结果吧），后期为娱乐而娱乐的生搬硬套变多，质量有所下降，但不失好书一本，科班的同志们看了图一乐就算了，千万别当真。(为了剑桥明代史又看了一遍，历史观坑爹，涉及越南的内容严重的文过饰非，涉及明代人物的史实有所夸张，且对未知史实的主观随意性太大，结论轻浮，差评)
赤练的老公,5,2018-02-26 12:46:51,unknown,22,语言犀利幽默，尊重历史，整个人都沉迷进去，本来对历史之类无感，看了之后喜欢上了。大爱
惜知猫,4,2011-06-30 21:08:09,unknown,16,不说内容，不说贡献，但说姿态——满书事后诸葛亮式的崇拜与傲慢
石头醒工砖,1,2011-08-19 17:59:19,unknown,0,
🍓,2,2020-05-21 01:07:37,unknown,17,无语完全主观性连朱祁镇都能夸有尊严真有尊严能干出来叫开城门的事情夸朱祁镇有尊严不如夸赵佶有气节我真的搞不懂怎么能有这么高的评分就这个故作搞笑的文笔跟随心所欲的揣测历史人物心理就这？就这？
瓦伦廷,1,2019-07-20 18:33:14,unknown,13,一般般，比较浪费生命，很后悔
梵高的星空,5,2018-03-23 09:31:17,unknown,27,历史不再枯燥，每个人物不再那么刻板以及符号化，不介意再来几部x朝那些事儿
凌家公子,3,2012-04-08 08:48:37,unknown,6,不错的一本小说，若是放在几百年前，那这本书的名字应该叫明史通俗演义，但是硬伤确实不少，比如，荆楚长剑指的是棍法。而剑经其实是一本棍法的书
伟大的大伟,5,2012-11-12 23:07:24,unknown,11,至少我觉得很好看，有助于我思考问题——光这点我就可以5星。好久没有感受到读书的快感了
逢露,5,2017-12-30 18:31:02,unknown,21,此书原名《明札记》，是作者翻了n本明史写得，对于某些只看了一两本‘明史’或者只一些文章就对此书唧唧歪歪的人，我只想说，当年明月是牛逼，你是傻逼。
一茶,NaN,2011-08-03 22:33:41,unknown,5,大学图书馆里，某人借来的，上课是闲来无事，我竟一本本的翻过，不知为何有点想念当年的你们
橘子我不吃,5,2014-06-29 14:44:55,unknown,10,滚滚长江东逝水浪花淘尽英雄是非成败转头空青山依旧在几度夕阳红白发渔樵江楮上惯看秋月春风一壶浊酒喜相逢古今多少事都付笑谈中
塞纳,5,2011-01-28 18:02:29,unknown,7,很轻松，很给力，重要的是它是基于正史的。。
