user_name,star,comment_time,geo_ip,vote,short
小愉深情款款地,5,2015-02-07 12:36:41,unknown,412,“我们的道路常常偏离我们的愿望，而且非常莫名其妙和没有道理，但它最终还是会把我们引向我们自己看不见的目标。”
137710,5,2014-10-01 11:21:01,unknown,356,终于想起来我为什么觉得茨威格不错却没有办法喜欢他。人教版小学4年级教材当年收录了这本书里茨威格见到罗丹的片段，起名叫《成功的秘诀》，活生生的把谦逊的大师搞成了卑微的贩卖成功学的拍马屁鸡汤作者，现在这篇课文好像改叫《从罗丹得到的启示》。
海扬尘,5,2012-04-05 19:09:16,unknown,270,和爱伦堡一样，茨威格经历了人类历史上空前动荡和风起云涌的20世纪。他和爱伦堡的回忆录本身就像是历史遗迹中的一株标本。这样的回忆录比夏多布里昂《墓中回忆录》之类的要有价值多了。作为奥地利人，对1914年前的认识并不能代表当时整个世界。对比高尔基的自传三部曲和爱伦堡的回忆录就能看出来。对一战后德国通货膨胀的情况，可以参照雷马克的《黑色方尖碑》。对1924年后欧洲经济黄金期直到经济危机的情况，可以参照莫里斯·萨克斯《充满幻觉的轻浮时代》。对德国法西斯抬头的情况，可以参照雷马克《三个战友》。
大-燕-威-王,5,2009-01-28 16:32:32,unknown,144,伤感的笔调，最后的致意……抱歉我只愿意活在过去，因为我无法看到未来。
SummerCrossing,5,2017-02-04 02:49:22,unknown,102,但愿昨日之昨日不是明日之今日。
子东文,5,2014-02-19 19:39:55,unknown,69,如果不读这本书，不知何时才能真正了解茨威格。如果单纯读他的那几个中篇小说，恐怕很难意识到他的真诚与深刻。还好在他告别这个世界前，留下了这么好的一本书。在书中他说，自己尤其偏爱描写理想主义者的悲壮命运，而他最终的自杀，也算是以生命祭奠支离破碎的欧洲文明吧。
吵吵。,5,2011-12-15 13:06:32,unknown,65,我认为好的书籍胜过最好的大学，这个爱默生的公理是放之四海而皆准的。
琴酒,5,2008-12-24 18:16:47,unknown,42,这样的，无法用任何言语形容的茨威格。他的回忆，灼伤我们的回忆。我在看完第一章就被打动了。一个年代的动人，伟大，关于我的里尔克和老托还有马勒，那个我钟爱的年代。六星之作。
Ecthelion,5,2015-12-09 07:45:50,unknown,45,读的过程中不知多少次感到“这一幕似曾相识”，继而想问“这个世界是否真的改变过”。看到最后，看到他说“战争的暗影大概也蒙住了这本书的某些章页。可是不管怎么说，每一个影子毕竟还是光明的产儿，而且只有经历过光明和黑暗、和平和战争、兴盛和衰败的人，他才算真正生活过”，再想到他最后的选择，真是百感交集。
七夕,5,2015-03-15 07:54:23,unknown,38,富二代+贵族+才子+犹太人+一战二战
柯柯柯尼,5,2016-01-10 15:30:46,unknown,37,「今天，我们怀着偶然若失、一筹莫展的心情，象半个瞎子似的在恐怖的深渊中摸索，但我依然从这深渊里不断仰望曾经照耀过我童年的昔日星辰，并且用继承下来的信念：我们所遇到的这种倒退有朝一日终将成为仅仅是永远前进的节奏中的一种间歇——来安慰自己。」——茨威格，一个自由的世界主义者亲眼见证了理想的破灭。
李斯本,5,2016-07-15 22:31:44,unknown,36,到回忆里避难。
H!karu,5,2016-01-28 23:07:33,unknown,27,最后茨威格以沉静的笔调跟曾经他曾经视为骄傲和热爱过的一切告别。字里行间皆是昔日欧洲社会的文化荣光，一切属于那个已经消逝的昨日世界。
孟冬,4,2015-03-08 11:53:20,unknown,28,茨威格对朋友说，出于绝望他要写一本关于他一生的历史，所以有了这本《昨日的世界》。在经历了物质文明突飞猛进，文化艺术空前繁荣，大师云集，但政治社会环境却十分动荡的时代，他睁着清醒的眼睛，看到了在空虚恐惧，绝望的环境中人们的精神以及生活面貌，在辞世前两年，他透过回忆把经历过的岁月变成了作品，记录下了那个时代里他所认识的人物，还有亲身经历的历史政治事件。从第一次大战前夜写到第二次大战的动荡，不管是文化名人还是平民百姓的无不对生活承受着巨大的担忧，这是一本忧心忡忡的时代回忆录。战争对于他来说就是骄阳下的影子，是新时代到来前必然要经过的地狱和炼狱。谁也不知道会历经多久，战争年代里的人，对命运实际上是束手无策的。有的只是对昨日世界的深情。
冬工厂,5,2016-02-25 00:53:56,unknown,19,哲学和文学，我在一座小城偶遇他们。和维也纳的孩子没啥区别
行吟泽畔,5,2011-01-23 07:48:29,unknown,21,很直白的散文叙述，自传性质浓厚，颇能一见当时社会的风貌和思想，也是作者观察入微之故。那段历史，也恰应和，我国自五四以来至今的世事变迁。读来唏嘘，更有压力感，深恐自我见识不足，以至于堕入时代的洪流中而犯下错误，这恐怕也是文革之后的心理暗疾。
江海一蓑翁,4,2011-10-16 21:22:23,unknown,15,半个多世纪的个人史，写尽半个多世纪的欧洲变迁，也几乎写遍当时欧洲最顶级的文化界人士的风采。这样一本书，无愧于“影响过一代人的书”的美誉。
"Lu, Jian",3,2018-12-26 06:24:18,unknown,20,其实个人感觉茨威格对于那个时代并没有表现出特别深刻的见地。从一个非常个人的角度表达了一种理想主义破灭和昨日的荣光西沉的失落感罢了。
甜圈,5,2019-05-02 00:25:34,unknown,17,舒昌善的翻译太让人动容
盲忙,4,2010-04-08 22:01:46,unknown,13,茨威格笔下一战前的欧洲实在是我梦想中的天堂。
Fal Conde,2,2018-11-13 08:43:59,unknown,8,利维坦越夸张，个体愈“自由”，入伟哥放到现在，肯定会吹捧旧金山和世界公民了，以后硅谷华裔小资移民也写个“昨日的世界”怀念奥克兰大麻馆和“体面的女权人士”，也丝毫不用奇怪
橘 きよあき,5,2016-05-03 22:03:35,unknown,11,阿姨：「避地诗人哀故国，过江名士泣新亭。」
成知默,4,2012-07-01 10:07:08,unknown,12,动荡时代，故园之思，追忆似水年华，缅怀那些伟大的灵魂
七七|烂柯人bot,NaN,2014-07-02 13:48:28,unknown,10,由于韦斯安德森的《布达佩斯大饭店》捡起这本书，算是一种精神气质两种截然不同的表述吧，茨威格平实得有些乏味，偶有妙喻
撒旦的表妹,5,2018-08-18 12:48:50,unknown,11,“我们今天的人已不得不使自己渐渐习惯于生活在一个没有立足点、没有权利、没有自由、没有太平的世界。我们早已为了自己的生存而摒弃了我们父辈们的以为人性会迅速和不断提高的信念。”书里这段话放在今天依然适用。茨威格认为二战使人性倒退近一千年，然而放眼望去现如今的社会，恐怕这种倒退自那以后从未停止过。
[已注销],4,2012-05-12 19:05:16,unknown,5,翻译的那么恶心怎么还有这么高的评分…………
Uncle Wang,3,2013-03-24 21:24:18,unknown,12,显然，茨威格本人的精神力量还是相对很有限，犹太背景和资产阶级精英分子烙印太深，而且他从来也没有真正试图去改变过这一点。
昱葵,5,2010-10-05 20:46:16,unknown,8,我们命该遇到这个时代。只有这些高贵的灵魂能拯救我们，自省、自问，在逃避与麻木的表象下拨开欲念的迷雾，取到深沉的温暖与智慧。不仅要有活着的能力、勇气，也必须有万分清醒的心脏。向高贵的灵魂致敬，我们最好的老师。
z,5,2019-12-11 14:10:33,unknown,7,觉得和现在的生活很像呀。。
rhodamine,5,2015-05-25 07:42:44,unknown,10,为什么我的眼里常含泪水，因为我对这土地爱得深沉
no one,5,2020-08-05 02:16:20,unknown,6,许多地方分明是今日的世界。人类不曾改变，想到这一点，心痛。
snow,5,2019-04-16 10:52:57,unknown,7,“一个欧洲人的回忆”，茨威格的“战争与和平”！整本书都笼罩着茨威格对那个黄金般的和平、繁荣、自由的老欧洲一去不复返的哀婉咏叹，欧洲是他的根，欧洲团结是他的魂，他为这个团结的理想奋斗了一辈子，到头来却被邪恶挑起的战争连根拔起，当根魂俱失，敏感如茨威格，就等于被世界抛弃了，走向死亡似乎就成了必然（从自序的结句看茨威格那时已萌死志）叹！为了悲剧不再重演，让我们不光要重温曾经的“太平世界”那些美好的回光返照，更要保持“昨日的世界”那些惨痛的记忆吧。
海棠一生,3,2009-12-08 17:51:41,unknown,5,我不喜欢“文人”的东西。。。额，我更喜欢理性的纯地理历史的知识类书
猫河蓝懒,NaN,2015-12-18 10:28:57,unknown,4,每一个时代都是一个斯芬克斯，一旦它的谜被揭开，就坠入了深渊。
Soo Yung,5,2018-03-08 05:07:25,unknown,5,"和平年代的自由是如此的脆弱，在战争的爆发、政体（家国）的崩溃、人性的泯灭面前，个体或许只能选择流亡，但流亡也逃不出自己的囚笼。书中的自述就会让我想起当下的中国，和平是短暂的，而被命运裹挟的苦难或许才是历史的主旋律，这种无力感太强烈了，措不及防。""我似乎觉得，为我们所经历过的那种紧张而又富有戏剧性的生活作见证，是一种应尽的义务，因为每个人都是那些巨大转变的见证人，而且是迫不得已的见证人。""又及，书中茨威格说罗曼罗兰送了他一份约翰克里斯朵夫的手稿，我的内心是嫉妒的。Chris"
不停走不停留,5,2017-07-31 14:11:30,unknown,5,有那么几本书，时隔几年，就会重读一遍。茨威格的《昨日的世界》，就是其中之一本。不得不说，外文译作，译文水准之高是作者之幸。
希夷子,5,2011-08-11 21:24:05,unknown,3,彩云易散琉璃碎
木心,5,2015-12-25 00:55:37,unknown,5,为什么我的眼中常含泪水…现在想想游历十六国时多么的浅显无知…有机会要再回一次欧罗巴
蜉蝣,5,2014-06-18 14:11:08,unknown,4,迷人而伟大。
蝉,NaN,2014-03-21 21:49:17,unknown,2,:	K835.125.6/4154
虚弱橙,4,2011-02-15 18:39:46,unknown,3,对于茨威格来说，欧洲就是他记忆中的维也纳
不全,5,2020-08-10 09:06:23,unknown,4,“人们说：别和我们住在一起！但又不告诉他们：他们应该住在哪里。人们把罪责加在他们身上，可是又不让他们用任何方法赎罪。所以他们在逃亡的路上总是睁着焦灼的眼睛凝视着——为什么我要逃亡？为什么你要逃亡？为什么我要和你一起逃亡？”
Joyce小宇宙,5,2014-06-24 07:38:16,unknown,2,经历了人类文明最辉煌和最黑暗的时代，他陷入了深深的绝望。
🧡勞小姐🧡,5,2018-07-08 22:10:33,unknown,5,-_-我看「一個陌生女人的來信」的時候並不喜歡他，但看這本「昨日的世界」的時候，我才感受到了他的深情和深度。現在很多作家寫作，礙於被限制的言論自由，多半模糊了許多真實的事件和想法，要不是在表述上採用隱喻，就是模糊不清。讀完歐洲人的回憶，再讀讀我們在二戰後的回憶，其實當中的無奈都是雷同的。
礼士路西岛秀俊,5,2014-07-27 22:57:18,unknown,1,妙笔生花
沉默的竹鼠,5,2019-11-24 14:39:49,unknown,2,对任何一个像茨威格这样的，经历过一战前奥地利艺术的黄金时代、见证了那些在不同程度上塑造了现代世界的事件、亲眼目睹过无数大师、与世界文学史上许多群星交情甚笃、对美好事物敏感崇敬而又珍惜、有着自己精神家园又抱持着自由平等的世界性信念的人来说，见证并亲历如人间地狱般践踏和撕裂了人类崇高信仰和美好事物的两次世界大战后，心中所剩下的恐怕仅有无尽孤独与深深绝望了。他是已寻不到自己精神故乡的流浪者，浮萍无依，零丁惶恐。茨威格选择了自我终结，这不可遏制地使我想到陈寅恪先生为王国维先生所写的碑文：“……先生以一死见其独立自由之意志，非所论于一人之恩怨，一姓之兴亡。……惟此独立之精神，自由之思想，历千万祀，与天壤而同久，共三光而永光。”
Hazel,5,2007-01-18 21:32:40,unknown,1,是这本书让我爱上了茨威格
achowes,4,2021-07-07 08:39:23,unknown,2,作者作为一个富家子弟+文艺青年，喜欢追逐文艺巨星，并且收集了大量文艺巨星的手稿并和他们成为了朋友。怪不得这本书能够在豆瓣上排到top250，大概是文艺青年仿佛看到了梦想中的自己。说回正题，本书像是作者的回忆录，又像是从个人视角出发，对战争的记录和反思，中间穿插着大量艺术家的轶事，不会让我觉得枯燥。对于战争与和平的反思也十分接地气，没有哲学家似的抽象与拔高。作者将注意力从文艺界转向现实后，专注于描写战争给人们带来的灾难，如何毁灭人们的生活。在回忆中，和平的生活有多美好，在现实中，战争就有多残酷。战争从来都是不义的、荒诞的，在城市中人们还维持着日常的生活，下一秒军车拉着战士就前往战区赴死；上一秒，人们还沉浸在和谈带来的喜悦中，下一秒就发现自己成为阶下囚，成为无根之人。不要忘记战争。
