user_name,star,comment_time,geo_ip,vote,short
劈头士》睁木,5,2015-09-29 21:30:43,unknown,1216,已购。看得几度想哭，非常可怕的书，关于衰老、死亡、养老和临终关怀。而更可怕的地方在于作者是用真实故事的方式一一道来，不是抽象的，而是代入感极其强烈。有一句话把我打得很重：“一个60岁健康人的视网膜接收到的光线也只是一个20岁年轻人的1/3。”。。。这本书恐怕还会看上几遍。
山阴路的房东,2,2015-11-08 15:06:54,unknown,646,湛卢文化非常擅长做这种社科类的畅销书，看评论都说好，为什么我偏偏看不进去。
小乔,5,2015-09-20 12:47:04,unknown,468,现代医学常常辜负其本应帮助的人们，把生命的余日交给一点微不足道的好处，优雅的跨越生命的终点需要明白，有时候相比于健康，更重要的是幸福。推荐。
慕月,5,2015-08-26 00:19:20,unknown,307,“对于医学工作者的任务究竟是什么…我们认为我们的工作是保证健康和生存，但是其实应该有更远大的目标——我们的工作是助人幸福。幸福关乎一个人希望活着的理由。那些理由不仅仅是在生命的尽头或者是身体衰弱时才变得紧要，而是在人的整个生命过程中都紧要。无论什么时候…最重要的问题都是同样的：你怎么理解当前情况及其潜在后果？你有哪些恐惧，哪些希望？你愿意做哪些交易，不愿意做哪些妥协？最有助于实现这一想法的行动方案是什么？”一晚上看完此书，全五星好评。远不止是一个医学课题的探讨，引发非常多的思考。要写个读后感。
cohen,2,2015-12-21 10:25:42,unknown,229,太拖沓了，没看完。五千字可以说完的事，写了一本书。
dodo,3,2015-10-18 16:27:04,unknown,141,一本意外看到的书，内容过于啰嗦，作者把身边的例子和自己的所思所想都放在里面，比较无用。换句话说，看完这本书，浪费了时间，却不知道收获了什么。
丁丁虫,3,2015-11-16 17:46:49,unknown,118,书评比书写得好
冰湖守夜人,3,2016-03-14 00:37:52,unknown,115,3.5分。临近4分是因为作者作为医生的亲身体验让这本书值得一读，生活中许多洞见非亲身体验不可得。但是我最终还是没给4分，因为作者出现了理工科学生谈人文话题的常见问题，每章主题内容交叉、重叠，仔细一看其实主旨思想用几段就可以概括。细节和感性化体验多，但和最终的结论之间的联系并不是那么直接和清晰，总而言之就是一篇篇幅很长的散文，经验洞见深刻，思辨性略差，思维结构是点状辐射，几乎没有形成完整的概念和逻辑链条。
Chole_Ma,5,2015-12-01 14:37:48,unknown,107,对于衰老和死亡这个话题，传统的中国文化一般是禁忌的。如同父母对我的教育，死亡和性，同等禁忌。这也许就是我们作为个体总是忽略生命的重要性的原因。作为一个有幸学药出身的人来说，科学开放的态度是我所推崇的，我不避讳死亡这个话题。从这个角度来看这本书，确实能够引发我深刻的思考。对于为我一直坚持付出的父母，已经到来的衰老，还有我和他们，不可避免的死亡。我们真正应该在意的是：在我们衰老脆弱，不再有能力保护自己的时候，如何使生活存在价值。因为在我怀孕生子的近乎一年的时间里，我确实体会到：一旦失去身体的独立性，有价值的生活和自由就根本不可能的感受。因此，我们需要思考，交谈，并且需要献身于超越我们自身的东西。一个故事，过程固然不错，但是我们也仍然要去关注结局。一个故事，要有一个好的结尾。
葡萄小包子,4,2016-06-23 19:08:03,unknown,113,在中国“解释型”的医生太少太少了，去医院看个病常常觉得受到莫大的屈辱
木犀,5,2015-10-23 09:40:39,unknown,89,因为疾病或衰老而可能走向生命终点时，我们将如何选择前面的道路。是付出痛苦的代价依赖技术试图延长生命，还是承认生命的有限而专注当下的生活，或者寻求加速死亡的进程。我们的敌人往往不是死亡，而是我们对死亡的无准备和回避、对医学局限性的不了解和不正视。
00,5,2015-12-06 00:17:50,unknown,60,记忆中，从来不曾在半夜因为看书而流泪。「我们最终的目的不是好好地死去，而是好好地活到终了。」大医不仅治未病，而且需要帮助人们在最艰难的时刻有勇气做出选择，追求对自己有价值的幸福。能在这个年纪看到这本书，而不是更晚，觉得老天对我也是眷顾的。一年过去了，终于找到第一本指南。
伏维阁主,5,2015-10-25 17:11:31,unknown,59,「我们自己想要自主权，而对于我们爱的人，我们要的是安全。」P97信甚斯言。
九月,5,2016-06-12 12:47:22,unknown,66,医学从来就应该是：Tocure，sometimes.Toalleviate，moreoften.Tocomfort，always（偶尔治愈，常常缓解，总能安慰）。--冯唐<大医>
刘忙,4,2015-11-14 23:45:37,unknown,50,打算在40岁、50岁、60岁的时候分别再读一次。人终有一死，如何舒服体面的离开以及如何正视身边人的离开是一门值得提前掌握的学问#书荐
mover,4,2015-08-16 22:55:54,unknown,42,整个一个鼓吹善终医疗及姑息疗法的精致宣传册。不过还是对在死亡面前医学的角色到底是什么提出了很好的思考。
自娱者小五,5,2016-01-13 10:30:47,unknown,50,我没有办法不给五星的一本书，虽然它让我整整伤感了3天。我一次次想起她的离去，欲哭无泪。不是所有的救治和坚持都是终极意义，有的时候，让人体面地离开胜过无谓而痛苦的坚持；保持人生全程对自我的掌控感，也许比毫无尊严的苟延残喘更重要。到了最后会想到最初，进而更加了解人生本身的诉求到底是什么。死是生的一部分，没有衰弱和退化的体验终究不彻底，因而人没有只享受强大和健康却回避不幸的特权。这个世界以喜悦迎接新生，这是题记；也送走同一个生命，这是总结。我常常想，太多人吞下那么多复杂的苦楚，忙着和生活握手言和，原谅这个或原谅那个，却意外地接受不了最后这简单又命定的答案，如此执意地试图否认和逃离死亡，究竟是为什么。
成知默,4,2015-11-10 09:24:06,unknown,36,2015年第114本：关于生命的衰竭、丧失与死亡，作者以医生的视角，通过真实的临床案例，揭示现代医学在对抗疾病、衰老等方面的种种限制。当生命即将走向终点，病人有权选择痛苦的求生抑或愉快地活在有限的当下；而医生也应在无力挽救的时候，让病人尽可能幸福地度过最后的时光，而不是以救治的名义造成更多伤害。这或许才是面对死亡最好的选择，也是对病人最后与最好的关怀。
Mignon松弛地,5,2016-02-18 23:01:41,unknown,23,一本我会向所有人推荐的书。从前我以为年老生病时安乐死会是唯一一种有尊严死去的方法，这本书提供了姑息治疗的新思路，教人如何度过人生最虚弱的告别阶段。
小轩Eileen,5,2016-05-04 08:35:16,unknown,39,真后悔没有早点读到这本书，否则外公因胃癌去世前就不会受那么多无谓的痛苦；但又庆幸现在读到了这本书，因为外婆也步入了她生命的最后时光，我现在终于开始了解她，也懂得该如何更好地和她沟通，读完这本书，我破例给她打了一个长达40分钟的电话。其实每个人都应该读这本书，思考死亡是为了活得更好。
慕小雨,5,2016-01-19 14:05:23,unknown,26,其实全书颇有点《老子》的意识。面对衰老和死亡，我们其实要做的不是抗争，而是顺应天命，面对现实，少做一点，夺享受一点生命剩余的美好。这让我想起然面对他父亲地死亡时那种态度。其实死亡就像出生一样，我们谁都没有经验，我们恐惧，害怕，其实到最后，我们只是在浪费时间而已。
老K脸,5,2015-12-01 15:23:28,unknown,18,读这本书的期间，恰巧有家人的生命线停在了46的刻度上，一边读有关死亡的书，一边再次经历死亡带给生活的骤变，这些带来很多特别的思想冲击。衰老和死亡一旦介入生活，一个家庭的生活底色便会立马变得沉重起来，走到生命尽头的人最想陪伴的是亲人和朋友，那么，现在为什么不多做一点呢？每次经历所爱的亲人亡故，都会后悔没有在他生前对他更好一点，人活着的时候或许就应该解开这个死循环。
安提戈涅,5,2015-12-16 23:54:02,unknown,25,今晚在书店看完。连续看了就几个晚上，每晚上都很难受。接受必死性，而且是伴随着衰老，痛苦与疾病。在路上看到坡脚的老人，衰老与疾病也立刻生动的出现。回来路上，和浩杰一直聊书的内容，木南不说话。回来后，他才告诉我原因。想哭。想到这渺小脆弱易朽的肉身啊，又笑了……
小崔,5,2015-11-17 07:03:16,unknown,14,今年最值得阅读书。看得多少有些心情沉重。
W,4,2017-10-19 14:45:33,unknown,19,因为翻译扣一分，起因是和朋友约定一起读这本书，我读英文版，她读中文版，然后一起分享体会。分享过程中发现许多翻译的问题，错译、漏译不少，比如作者父亲的故事结尾时那两封“乱码邮件”竟然直接被省略掉了，如果可以的话最好直接读英文版。
hedgehog,5,2016-11-24 14:32:55,unknown,14,这是我读过最好的介于散文和科普之间的文体。一个科学家能这么哲学地思考人生，不愧于PhD（哲学博士）这个称号。一个儿子，可以这样地写父亲家人，读起来荡气回肠。
SWX,4,2017-05-04 09:32:29,unknown,10,还不错，不过本来以为是一本探讨死亡及其意义的书，结果到最后还是一个社会工程的著作，作者所给的回答依然是一些功利主义式的回答——让他们更舒服。不过书中很多细节非常动人，让我想到蒙田的那些关于衰老和身体状况的描绘，衰老意味着牙齿开始脱落，血管变硬，骨头却变松，大脑变小，慢慢失去肌肉，同时开始容易摔倒。
Azeril,5,2016-05-01 22:26:28,unknown,11,凡人有死。站在中西方文明的交界点上一个医生倾心谈起现代西方医学的发展带给人的希冀与梦魇。技术与科学的力量的确强大但面对死亡依然有其无力之处人文主义与人道关怀让生者能更有尊严地活到终了。如果说面对死亡不免于恐惧和悲哀这却是值得宽慰的。而如何为人在终点寻得意义与安宁对于当下的文明来说依旧任重道远
宝木笑,4,2019-06-08 21:15:57,unknown,11,震撼和流泪同时进行的那种感觉已经很久没有过了，一本书能把可读性、掩卷而思以及触碰情感三者结合起来，是一件很了不起的事情。生死这种主题最忌讳的就是泛泛空谈，不但不能打动人，而且还会引起人们的极度厌烦。阿图·葛文德医生的身份给这本书夯实了极为厚重的基础，可读性方面做得极好，从医生的专业角度去书写那些生命临终的境况，用专业的医学笔触描述病痛，让人确实震撼。更重要的是，阿图·葛文德对临终这个问题切入的点极好，完全站在一个终将逝去的生命角度，完全写实地去描述他们的痛苦，他们的害怕，他们的勇气，他们的留恋……这本书最致命的，也许更在书外，我们每个人也许都曾经历过亲人离开的事情，那种由此及彼的联想真的很要命，特别是因为同样的病症一下子想到某位离开了自己的至亲，那种突然的泪水涟涟真的让人怅然若失……
喻昀,5,2016-04-04 09:57:03,unknown,12,临终关怀。活的质量好比活的长几天更重要。有需要重看。
鹿鸣之什,5,2015-08-14 09:50:02,unknown,14,了解美国临终关怀、养老护理的书，我们该怎么选择放手？医生的角色是什么？打算看看葛文德的另外两本医学伦理学著作。
appleausten,4,2016-08-18 08:24:12,unknown,10,这种书才能够完全符合什么叫“人生必读本”。对于疾病、衰老、死亡，其实就算看再多了解再多，最终到自己面临的时候肯定都是不知所措的。但是仍然非常有必要尽可能去了解，不仅是为自己，在我们这个年纪来看主要是为了家人。就像书里说的，最好的告别不是好死，而是好好活到终点。
鹿依尘,5,2015-11-18 18:46:08,unknown,8,想做一件事，结果突然就遇到这本书，大概叫做奇妙的缘分，临终关怀是一件非常有意义的事，但在医疗和养老都不健全的中国，我们只有羡慕了。不过也许，能努力做一点点改变……
朱老板,4,2018-03-18 23:45:38,unknown,5,快活而自在地过完最后的日子，而不是勉强地延长痛苦。
Ciao,5,2015-12-12 23:04:50,unknown,8,读完才知《最好的告别》这一中文名称的精准之处。最好的告别，既忧伤又阳光；一在字字句句惹人联想，推之已发生或将发生在亲友己身上的故事；一在不回避遮掩，用我们正好缺乏的丰富经验指明该如何面对衰老、重病与死亡。有博主评论这本书年轻人看太早，我倒觉得刚好，见过太多人年龄越长越不能直面话题，不如趁早埋下坦率的种子，当事或许不会那么痛苦茫然。#内容【老年护理】最大限度保证老人生活正常尊严自主，限制自由的疗养最摧毁人的意志，关注心理健康比身体安全更重要。【临终治疗】避免高价买折磨，与病人正面沟通，以清晰什么时候该放手，改用防御性姑息治疗减轻痛苦。中心思想简单，其它的更多是实操指南，从一线医务工作到医疗体系均有思考；受益匪浅。
懒惰的软体动物,5,2017-12-31 04:27:01,unknown,7,我觉得我们的一生，都是在为死亡做准备。
猪大勇,5,2019-10-18 11:34:45,unknown,5,“善终不是好死，而是好好活到终点。”一位医生作家把死亡当作“宿命”，反而显示出一种温柔，却更为理性而细致的人文关怀。在青年时期读这本书，对自己的死亡以及家人的老去会有不一样的想法。
陌聆,4,2016-02-06 16:31:42,unknown,7,真是一本沉重的书/有点啰嗦
cobblest,4,2016-04-03 02:26:20,unknown,4,最近家里有老人离世，父母也到了养老的年龄，不由得开始思考这个问题。非常喜欢头一章有关现代社会和养老的讨论。生老病死不应当是冰冷的生物问题，尊重人的心理和社会性方是对待生死的最好办法。
拙愚,5,2018-02-11 19:37:23,unknown,7,第一次读是父亲去世前两个多月，焦头烂额中迫切想要得到答案，到底该如何告别，然而根本就读不进去。父亲去世近半年后，在禅修期间重新翻开，因遗憾悔恨而数度哽咽，也痛定思痛地思考着如何面对母亲和自己的衰老死亡。
vivi,4,2018-01-29 09:18:14,unknown,5,“善终不是好死而是好好活到终点。”这些都是别人的事，但也是每个人都迟早会遇到的事。三代为医的葛文德不煽情也不鸡汤，“我们三个人加起来总共有120年的行医经验，但是这对我们仍然是一个谜。而结果对我们是一次教育。”无论有几多的专业或经历，每一个死亡都是独一无二而又无能为力的。
水湄物语,5,2016-07-04 16:11:52,unknown,5,系列三本是一起看的，这本其实没看完，作为一个7个半月的大肚婆，有些不敢看类似的生死问题。
violetta0029,3,2017-09-15 14:55:52,unknown,16,豆瓣分这么高是怎么做到的？前半部分主要在说辅助生活老人之家，可是画饼给我看有什么意义么？我80的时养老体系能健全么。后半部分讲些怎么面对死亡，对我又有点沉重。而且大道理大部分人都懂吧。这本书看到中间就想让人给我划划重点再读。虚高的分不知道怎样来的，不过我也承认我境界低。
bird,4,2015-11-13 20:36:12,unknown,5,人们如何利用时间可能取决于他觉得自己还有多少时间。探讨死亡的东西，总是有些避讳，又想了解。临终服务，医药促进人生的幸福，建立更好的养老制度，父母即将面对的，我们紧随其后的。如何优雅的死去，小小年纪时，总在想的是完全独立，葬尸野外。如今，真的需要好好琢磨一下了。
mOco,3,2018-01-17 13:35:27,unknown,6,老年不是一场战斗，而是一场屠杀。对疾病和老年的恐惧不仅仅是被迫忍受对种种丧失的恐惧，同样也是对孤独的恐惧。当人意识到生命的有限，他们就不再要求太多。他们不再寻求更多的财富和权力。他们只要求，在可能的情况下，被允许保留塑造自己在这个世界的生命故事的权利——根据自己的优先顺序作出选择，维持与他人的联系。要是老人的生活变得更好，往往需要警惕认为医学干预必不可少的想法，抵制干预、修复和控制的冲动。
韵外之致,5,2015-12-29 23:43:01,unknown,4,讲“生老病死”里的“老”“病”“死”的问题，讲疾病的处理和老年的安顿。对世界最前沿和主流的养老产业运作方式有所认识，对善终服务的思路有初步的了解。理智的看待生命的终结，理智的选择治疗方案和规划病后生活。推荐。
