user_name,star,comment_time,geo_ip,vote,short
德意奥人,NaN,2014-07-26 10:36:11,unknown,5900,大多数人所成为的，并非是他们想成为的人，而是不得不成为的人。“责任”是最大的文明，也是最大的虚伪。
王坏,5,2011-05-08 17:01:46,unknown,1974,我生命中的奇书，每读一次必定做出一个生命中的决定，到以后看，那决定似乎是错误的。
陆支羽,5,2012-03-28 23:16:14,unknown,681,1.为了使灵魂宁静，一个人每天要做两件他不喜欢的事。2.作者应该从写作的乐趣中，从郁积在他心头的思想的发泄中取得写书的酬报；对于其他一切都不应该介意，作品成功或失败，受到称誉或是诋毁，他都应该淡然处之。3.我看到了井然有序的幸福，但是血液里却有一种强烈的愿望，渴望一种更狂放不羁的旅途。4.我必须画画儿。5.你的意识是：如果他为了一个女人离开你，你是可以宽恕他的；如果他为了一个理想离开你，你就不能了，对不对？6.另一个人的精神走进一个人的躯体里，把他自己的赶了出去。7.要是一个女人爱上了你，除非连你的灵魂也叫她占有了，她是不会感到满足的。8.我觉得你很象一个终生跋涉的香客，不停地寻找一座可能根本不存在的神庙。我不知道你寻求的是什么不可思议的涅槃。
57,4,2011-04-17 12:35:04,unknown,685,其实配角比主角更让我感动，比如受尽讽刺的傻蛋施特略夫，他说“我们必须自甘卑屈。我们必须看到冷清寂寥的美妙。”以及短暂出场的布吕诺船长：“我不是告诉你了，从某一个角度讲，我也是个艺术家吗？我在自己身上也深深感到激励着他的那种热望。但是他的手段是绘画，我的却是生活。”我希望这才是主题。
fateface,5,2011-03-31 12:03:53,unknown,508,天才、能欣赏天才的庸人、不能欣赏天才的庸人，各有其幸与不幸。
三七莲华,5,2014-10-08 15:29:06,unknown,296,把世情掰太透。太复杂了难以言述，只能说我看得非常非常难过。就是那种每一条都和我的价值观相违背但每一条我都不乐意相信的难过。我知道我这辈子也不会成为艺术家，最多只是个艺术爱好者。
@_@,2,2017-02-01 18:32:36,unknown,336,就是讲一个人为了追求梦想一直自私着，一边推卸责任，一边享受着这个社会他人无私的帮助和贡献，最后成功了..这和常被文豪们鄙视的资本家有啥区别，人家也只是追求权钱啊，难道被冠以追求理想或者艺术之名，就可以洗白了？极左右都是不合理的。给读者一种幻觉，只要我脱离了这个社会就可以寻求到真实非凡的自我(不像现在这样平庸废物，都怪这个社会拖累我～)，这种避世思想说是鸡汤文都算好的简直是毒汤。(当然独立精神很尊敬，我想到了梵高。倘若自己动手丰衣足食没什么可说的，但是一边享受着人类社会智慧的结晶和他人的劳动又一边无视自己的责任还蔑视那些很“平庸平凡”的人，不要太毒瘤吧您，自恋自怜自傲。当然当然，因为是个天才嘛，捧臭脚的人还是蛮多，倘若是个普通人还是别往自己身上带了，怕不是要被骂成死渣男)且特别直男癌，没了。
床前明阅光,3,2011-07-07 10:29:08,unknown,260,不是出走，而是归乡
艾小柯,5,2012-06-11 16:51:04,unknown,185,对美的献祭必须付出灵魂的代价，这是多么可怕，却又多么迷人！
august,5,2011-12-01 16:51:49,unknown,209,很多年轻人终生仰慕月亮，却没有看到脚下的六便士
Amberose,5,2011-11-12 23:26:16,unknown,165,为了梦想而活，而不是活着做梦
Silvara澈,3,2013-04-27 14:43:59,unknown,171,又是一本在手机上用零碎时间读完的名著~之所以打三星是因为里面对女性非常程式化和充满偏见的描写。不过这本书对于alternativelife的探讨确实挺有意思，只是给你提供一种可能性，不带有任何的指导和强迫意味。
墨梓,5,2015-01-31 12:34:46,unknown,105,和《刀锋》一样，毛姆探讨了独特的个体与世俗的价值观之间的关系，他精明地运用了第一人称和第三人称的交叉，把观众与他的角色拉开一段审慎的距离，用简洁流畅的文辞，对他笔下的人物既不贬抑也不过分褒扬，使人保持在热情与冷静的中间地带，对每一种情感的描述都不至于过度夸张。他对欧洲当代风气的描述和把握可谓精准到如同一把手术刀，尤其是文化艺术圈中的种种现象，而这些敏锐的观察与思考即使拿到现代也同样受用，他出于精神饱满而表现的一种谦逊里也有一种超然物外的意味。当他发现这个永恒的议题之后，他并未急于给出自己的答案，而是向读者抛出了这个人类社会中永远没有标准答案的问题，至于最精确的答案，恐怕我们只有像斯特克里德或船长一样穷尽一生去寻找或证明了。
麋鹿橙,4,2014-06-25 17:16:57,unknown,125,与其说是小说倒不如说是一本哲学书【我们每个人生在世界上都是孤独的。每个人都被囚禁在一座铁塔里，只能靠一些符号同别人传达自己的思想；而这些符号并没有共同的价值，因此它们的意义是模糊的、不确定的。我们非常可怜地想把自己心中的财富传送给别人，但是他们却没有接受这些财富的能力。因此我们只能孤独地行走，尽管身体互相依傍却并不在一起，即不了解别人也不能为别人所了解。】
傻乐的猫,NaN,2014-06-02 14:41:16,unknown,157,这真的是写高更吗？还是写某个忍了多年终于有一天忍无可忍打着热爱艺术的幌子抛妻弃子逃亡的深柜基佬....比如，作者自己？
一苇杭,5,2012-03-30 09:45:10,unknown,147,大半晚上失眠了，我需要看多少年新闻联播才能重拾生活的信心。
慕容素衣,5,2013-11-08 19:42:34,unknown,110,没有什么小说比这本给我的震撼更大
朱尔赫斯,2,2012-03-13 10:47:02,unknown,110,全部都是在地铁上读完的，嗯。第三本毛姆，没有例外的话不会再读了。最后一句：我想看看那些“天才般”的画作。
小岩井,5,2016-07-02 03:51:56,unknown,85,你只应该等待自己的觉醒，然后在觉醒之后按照自己内心的呼唤生活。不然，每一天都是烦恼与自我矛盾中就消耗。
