user_name,star,comment_time,geo_ip,vote,short
慕容素衣,5,2014-08-29 23:11:16,unknown,1353,多少年写过的文字了，现在读起来还宛在眼前。小时候因为老在教科书里看到鲁迅的文章，生了逆反心理，很不喜欢他，现在才发现，他果然写得好啊。
盈盈,5,2015-05-01 20:14:20,unknown,953,曾在教科书中读过《阿长与山海经》，《从百草园到三味书屋》，《藤野先生》，觉得作者是在带着乡愁回忆童年。今天读了书中其它几篇，才知全书竟全是控诉，控诉乡民无聊，控诉中医害人，控诉无意义的私塾，控诉二十四孝的荒谬，控诉中国儿童无书可读。不读《朝花夕拾》全文，便被语文课本瞒过了。
鳜膛弃,5,2015-06-15 14:30:14,unknown,561,Ade，我的蟋蟀们！Ade，我的覆盆子和木莲们！……
書淺,5,2010-09-13 15:03:38,unknown,416,從國小到現在，一直讀得斷斷續續，還摻了些應試留下的分析痕跡，有些篇目讀過好多遍，有些篇目卻顯得陌生。先生文字里的戲謔和哀傷，畢竟不是時維少年的我能夠心領神會的，還總和同學打趣說這位大叔怎麼說話顛三倒四自相矛盾彆彆扭扭饒舌拗口得很。但是當時就愛的，卻是這“朝花夕拾”四個字，當時見婉約，現在卻能看得無奈歎息。先生繪風俗寫動物憶舊人，實在是簡練中見真情的，寥寥幾筆，總讓我能回味良久。相比先生的橫眉冷對的雜文，我是更愛這些蘊著些許溫情的散文，哪怕嘲諷，也是淡淡溫和的，讓人覺得似乎脫下了戰士的甲胄，這也是一個溫柔的中年男人，噙著一絲感慨微笑，回憶調皮的童年，熱血的少年及其相關種種。當然，戰士哪怕脫掉了甲胄也仍是戰士，於是又總可覓到那字裡行間不自覺偶爾露出的尖銳棱角和刀刃之氣，一閃而過，然後隱逸于情。
脆弱社畜晴阳阳,5,2013-12-22 23:17:11,unknown,236,鲁迅写文章真心是成人视角，赤子之心。成年后回首少年事，写出了那种时间差异出来的质感。
瞎说,5,2014-02-19 10:39:58,unknown,114,再冷眼再透彻的此人童年也是温暖而澄净的。
唐露,4,2015-11-19 15:00:42,unknown,85,哈哈坦诚的鲁迅。“平素不大交往的人，忽而寄给我一个红帖子，上面印着‘为舍妹出阁’，‘小儿完姻’，‘敬请观礼’或‘阖第光临’这些含有‘阴险的暗示’的句子，使我不花钱便总觉得有些过意不去的，我也不十分高兴。”“现在是粗俗了，在路上遇见人类的迎娶仪仗，也不过当作性交的广告看。”
佚名,5,2016-05-05 23:35:19,unknown,82,天惹噜！笑死了！才知道鲁迅这么搞笑啊！又聪明。放到现在绝壁是楼下“神回复的那位。
神威,3,2013-11-12 10:15:32,unknown,46,修行132nd，这本书其实应当是单纯的回忆文章，间或出现的讽刺或者影射也应该只是大先生偶然一笔，没有打算深化下去写，后世神经过敏难免有些解读过度，而我在这本书里只读到一个普普通通的，爱玩爱闹爱看画，有着小孩子标签一般的爱憎分明而易于转变的童年大先生，至于对中医和二十四孝的批驳也只是有一说一，并没什么扩大打击范围的想法，还是那句话，这是本非常单纯老实的回忆散文集
虫虫,5,2019-08-18 13:09:26,unknown,41,带露折花，色香自然要好得多，但是我不能够。便是现在心目中的离奇和芜杂，我也还不能使他即刻幻化，转成离奇和芜杂的文章。或者，他日仰看流云时，会在我的眼前一闪烁罢。
陆钓雪de飘飘,5,2013-05-29 14:39:26,unknown,40,童年的魯迅，多麼美好的回憶，爲什麽後來變成了這樣，因為身逢亂世，而他註定要做個被群氓唾棄的偉人。
千山月,NaN,2012-03-30 20:11:05,unknown,37,第一次看鲁迅的文章有情不禁的笑容，我开始用心接触这个我怕了好几年的大作家。
沈牛妞,4,2016-03-23 06:00:00,unknown,38,说来也是离开语文课堂后，第一次好好的阅读鲁迅先生的文字，读书时候是不太喜欢他的，觉得他的文字太绕了。后面看诸如陈丹青等人的文字对鲁迅的评价，才让我有了重新审视先生的念头，几年后，终于静下心来读，真的是一种全新感受的从百草园到三味书屋，以及藤野先生。由此也可以看出我国基础教育的失败，因为当初学课文和现在的阅读体验完全不是一个层面上的，前者是枯燥无味，后者是体味这近百年历史的文字的穿越而来的古朴和劲道，第一次真的开始认识鲁迅。当然我还是要必须承认，最后一篇后记，满眼的古文，我没读进去。
LOOK,5,2013-07-15 20:07:07,unknown,29,最爱《藤野先生》。第一段就被电到，有流氓气，修辞好，节奏感好，反讽的好。
末摘花,4,2018-05-23 20:17:49,unknown,22,鲁迅从小到大的生活经历和思想脉络，塑造了一些个性鲜明的人物，读来温馨有趣
陆秋槎,NaN,2009-01-23 22:26:39,unknown,17,老实说不怎么喜欢……
年高,5,2013-01-19 23:47:51,unknown,18,鲁迅的散文，朴实真挚，比起犀利的杂文，我显然更爱散文
豆瓣盟妹,5,2018-02-11 17:01:40,unknown,14,“读书时候是不太喜欢他的，觉得他的文字太绕了。现随着年岁渐长，才慢慢能体会到鲁迅字里行间的感情。”
Azeril,5,2014-08-08 10:20:04,unknown,11,經典之中有可讀可不讀者此為須讀。
元宝宝,3,2017-04-09 16:56:21,unknown,10,小人物虽然渺小卑微，但他理解社会，感悟人生的视角一样犀利！
Dun,5,2020-08-13 10:54:23,unknown,12,集子里很多文章都曾在课本上学过，但教材有删改，只保留危言大义，剔除掉了许多野趣闲话，再加上背诵全文的强制性要求，那时候读周大当真是味同嚼蜡。谁知时隔多年，偶然拿起，一读就停不下来了！迅哥儿好可爱啊，我边看边笑，骂人时七拐八弯，爱记仇，好用寓言，直击痛点；叙写乡野童年，真挚而不流俗，以小孩子的视角重回旧日时光；《范爱农》、《藤野先生》谈及旅日留学的经历，全篇无一字直接批判，单单是事实陈述和个体命运的白描就道尽了国民性的麻木与时代的荒谬，可与萧红的《呼兰河传》遥遥呼应，“他们贪婪地舔舐着边缘者的血肉，以此来度过漫长的北国冬日”。忆海拾贝，朝花夕拾，我想通过不断地重返，不断地溯源，赎回时间流河里那些被应试教育败坏的美好事物。
风撼斜阳,4,2012-02-05 11:37:35,unknown,7,童年中的传统与反传统
萧萧,5,2019-03-30 22:50:46,unknown,6,我可太喜欢他的文了
QBY,NaN,2013-10-30 19:37:47,unknown,3,地铁
Karma,5,2019-04-08 00:16:30,unknown,6,鲁迅先生净说大实话呢，哈哈哈
unidolphie,5,2019-09-27 11:07:26,unknown,9,初一让写书评，当时觉得无聊，后来才觉得有多么好。
Seer,NaN,2016-05-05 10:41:26,unknown,6,篇幅很短一口气看完，前天摘了一捧野草莓，只是留了一个照。村口的树自从砍了以后，太阳格外耀眼，门口的蔷薇身上粘满灰。
裸踝,4,2008-09-23 00:04:40,unknown,4,老爸的孤本
大甜甜~~,5,2012-10-28 15:07:42,unknown,4,《朝花夕拾》是一部非常复杂的文献，在撰写书中这几篇小文章时，鲁迅既经历了女师大风潮血的洗礼，又面临着初到厦大倍受牵制的尴尬，还有一系列理还乱的骂战，故而虽是忆旧，但终究时时会回到现实中来。
若存,5,2011-08-04 20:41:40,unknown,3,最喜欢这本小册子，还有里面的活无常~~
林安,5,2011-10-20 21:08:27,unknown,6,现在终于可以静下心来读鲁迅，不再是中学课本上的敷衍，原来他离我们的生活这样近...
斯 琰 🌈 🍭,5,2014-04-25 18:50:08,unknown,7,想想我们所受的教育将好好的文章教成了人人敬而远之的文章，真是可悲。当再也不用受“课后习题”折磨的时候，才真正知晓《阿长与山海经》《从百草园到三味书屋》《藤野先生》的好。当迅哥儿的利剑入鞘，摇身一变成说书人的时候，魅力当然比之前那个“负能量大师”多得多。
minorones,4,2017-04-16 15:55:47,unknown,7,回想身边熟悉的阿长、藤野先生、范爱农一类的面孔，渐渐疏远甚至故去，当下所触及的，是“儿时在故乡所吃的蔬果...也许要哄骗我一生，使我时时反顾”
