user_name,star,comment_time,geo_ip,vote,short
大-燕-威-王,5,2017-11-03 19:31:42,unknown,134,我一直觉得这本书给出了一个教育的范本：父母应该给孩子搭建一个怎样的观念世界？并且怎样去维护这个世界的完整？——这需要为人父母者身体力行，且表里如一。它是一场艰难、且应与孩子共同完成的人生修行。
momo,5,2015-08-12 19:36:11,unknown,103,明天你经过他们时，昂起头，迎过去，做个绅士
午夜水族馆,5,2016-05-12 10:33:43,unknown,112,“琼·路易斯小姐，起立，你父亲要经过这里了。”哭了出来。
crest_,5,2018-02-02 22:08:34,unknown,108,在我惊异的凝视下，紧张的神情从他脸上慢慢消失了。他嘴唇微张，露出了一个羞怯的微笑。我们这位邻居的形象，被我突然涌出的眼泪弄模糊了。“你好，怪人。”我说。
傻妹,5,2013-04-13 22:18:54,unknown,97,非常庆幸我没有错过这本书，也非常感谢这本书丰富了我的读书笔记。即使再读都不会觉得乏味的书，阿蒂克斯的教育是我们现在最缺乏的，以此为目标，加油。
朱老板,5,2017-03-07 00:03:53,unknown,77,一个正直善良的父亲，对孩子来说是多么伟大的存在。能不能保护孩子是一方面，能不能正面影响孩子则是更重要的一方面。故事的结构处理得非常好，看得太晚。
白色的蓝,5,2015-02-06 23:42:06,unknown,77,典型的美国小镇吧。所谓教育和教养并不是父母读了多少书，而是投入了多少时间吧。
Zhuo,4,2013-02-14 10:47:34,unknown,78,＂在人们内心深处的那个法庭里，白人张嘴喊叫的那一刻起，黑人就死定了。＂#2013读书记录#
形无阻,5,2016-04-21 12:43:21,unknown,63,等我有了小耳朵，我也要做阿迪克斯这样的好爸爸！
豆友50084116,4,2016-05-27 00:16:33,unknown,70,好温暖的故事，只是有点啰嗦。打动我的竟然不是律师的正直，而是那个闭门不出的邻居和最后那名警察的善良。
郑宁素,5,2016-05-12 22:54:09,unknown,41,"""当你最终了解他们时，你会发现，大多数人都是好人。""一本看着无比感动的书，充满了正能量，希望大家都看看"
huyouyou,3,2015-08-01 22:47:55,unknown,50,前一百页都是在啰哩啰嗦说孩子的生活为什么这么多的好评？#20150801
渡边,4,2015-12-14 11:41:50,unknown,41,前面单纯写三个孩子玩耍的部分棒呆，等到开庭审案就突然没了灵气，沦为正确的平庸了。
