user_name,star,comment_time,geo_ip,vote,short
魔云兽,5,2014-11-17 11:10:47,unknown,1304,现在，如果有人和你说：一个人上了树一辈子不下来，请你把他的一生写下来。我相信如果没有出色的想象力，一定是无聊且荒诞的。但是卡尔维诺竟然写得跟真的似的。不过相对于《百年孤独》，同是虚构写作，百年孤独越看越像现实，卡尔维诺的这种现实性则不是那么强烈，你也相信他是真的，但是它更像是另一个世界发生的。完全是创造了一个平行宇宙的感觉。强烈推荐！
撒呓挣,5,2012-04-17 16:51:12,unknown,1065,精彩、动人、幽默、充满想象力，卡尔维诺果然名不虚传！他说他阐释了一个知识分子该如何在时代的洪流之中进退，我想，这便是一个理想主义者，为了建设一个美好的世界而坚持不懈的一生。“柯希莫·皮奥瓦斯·迪·隆多——生活在树上——始终热爱大地——升入天空”，男爵的墓志铭总结了一切。他反抗世俗，却不厌世，保持距离是为了“与他人真正的在一起”，是为了“通过对个人的自我抉择矢志不移的努力而达到的非个人主义的完整”。天空似乎永远遥不可及，就像书中的十八世纪末十九世纪初，人类为了追求自由、平等和博爱，轰轰烈烈的掀起革命，以崇高的理想开始，最后却以动乱和专制结束。但男爵在生命弥留之际的纵身一跃，归于苍穹，或许代表了卡尔维诺的愿望：忠于理想，面对现实，永不放弃。这个世界不完美，但它值得我们去为其奋斗
一湄,5,2012-06-05 10:47:31,unknown,755,发人深省的是，男爵成为一个完整的人，是从他疏离人群，爬到树上开始的。另外，三次死亡的描写（男爵的大盗朋友因为迷上了读书，变得对侵略和攻击不再感兴趣，自我打破了江湖上令人闻风丧胆的传说，最后不再害怕他的人们抓住；男爵的母亲在一个气泡停止中死亡，轻与重的处理；男爵的死亡，他一生在树上，热爱大地，飞上天空），让人拍案。
檀柒,5,2015-04-10 18:03:07,unknown,693,卡尔维诺的脑回路一定是和普通人不同的。他的文字有魔力，水汽氤氲，烟霞漫天。他是住在树上的人，与凡间有距离，他一开脑洞，就把真实和幻想揉在一起给揉碎了，喂给读者吃。
三鲜伊面,5,2015-05-12 22:41:01,unknown,403,“许多年以来，我为一些连对我自己都解释不清的理想而活着，但是我做了一件好事情：生活在树上。”最后一章忽然悲从中来。很多时候都有读马尔克斯的感觉。
Sarcophagus,5,2017-03-22 23:15:18,unknown,200,柯希莫与鲁滨逊构成完美对照。后者通过征服自然证明文明社会的人的力量，却也宣告与自然界彻底分离和工具性关系结成。前者经由融入自然展示文明社会的人的空洞，在采集和捕猎中，在自由的漫游中，把身体写向绵延不绝的远方，并且完全不曾放弃阅读、艺术、叙述、悲悯，和爱情。
安猪,5,2014-09-02 01:34:55,unknown,147,树上的小王子，当他爬上树的那一刻，就不再长大。
小城鱼太郎,5,2013-07-02 12:14:41,unknown,121,我希望做个介于柯西莫和他父亲之间的人，比方说他的弟弟
虫虫,4,2017-08-09 22:21:45,unknown,97,重温这本书，花了整个下午加晚上看完。在梦里，我斜靠在一株大树的枝干上，风吹的叶子哗哗作响，树下的家庭聚会灯火通明，海边强盗们的吆喝隐隐约约，觅食的狼群嚎叫声起起伏伏，远处，薇莪拉骑着白马高声歌唱。而我，握着手里的书卷沉思，目空一切。
𝕊𝕙𝕖𝕖𝕟,3,2017-07-15 22:51:09,unknown,115,被捧上天了，但是并没有那么好看
渡边,5,2012-07-19 00:13:04,unknown,109,一个人甘心情愿地给自己立一条严格的规矩，并且坚持到底，因为无论对他还是对别人，没有这条规矩他将不是他自己。
pandal,5,2015-08-18 16:59:19,unknown,79,这是一本耐读的书，但我不敢妄言完全看懂了。我只是一个停留在故事层面忽略背后精神的人。从故事层面看非常精彩，讲述了传奇的人物的奇遇。我最喜欢爱看书的强盗和薇莪拉的部分（薇莪拉成了我的女神！太有魅力了）我没有想到男爵并没有与人群完全疏离，过上完全隐居的生活。男爵到了树上以后，反而遇见了更多的人，拥有了更广阔的天地。离得太近，反而不容易看清太多东西。柯希莫是自由的，但我总觉得他有时很孤独。说“孤独”，大概是因为作为旁观者，我们看到听到他的事情，并不了解他的内心。或者是因为我们作为陆地上的人，并不理解树上的生活，以陆地人的眼光来看待他吧。我固执地想，柯西莫可能并不需要我们的同情。作者安排的叙事者也是个陆地上的人，这也是很值得玩味的。旁观者使柯西莫增添了传奇色彩。看完哭了，为与这本书的相遇而感动。
