user_name,star,comment_time,geo_ip,vote,short
大萌,5,2014-03-30 18:21:53,unknown,493,小时候看童话书，发现有钱的人都是坏心肠而且活得不快乐，穷人都是好人活得都开心，现在我愿意做一个不开心的有钱人：）
壹,5,2012-04-16 11:37:41,unknown,167,我一直喜欢格林童话多于安徒生童话==~~
丹AI🌵,4,2016-05-21 00:42:46,unknown,85,各种暗黑系的故事，童年那会儿都没看懂。
寂多蔓生,5,2010-12-30 08:38:00,unknown,39,小时候看觉得怎么每个故事都这么像呢
大头绿豆,4,2005-11-13 03:04:53,unknown,20,谢谢爸爸在我9岁的时候送我这本书。
Toughcookie,5,2009-04-20 02:08:12,unknown,11,你依旧成长，因为永远爱看童话。
佐侑,3,2013-02-10 11:36:51,unknown,5,全是重复
Ann,NaN,2011-05-10 00:48:08,unknown,4,其实格林童话和安徒生童话我分不大清。。。。
Leon Winters W,4,2018-12-21 12:09:14,unknown,4,王尔德，安徒生，有可能再加上格林兄弟之中那个终身不娶的，将自己对人性的认识和性别取向反应在通话里面，不过安徒生和格林都还是适合小孩子看的，王尔德太残酷，童话怎么能是愤愤不平的呢。
8LKHLPOU&#,4,2006-03-16 10:34:07,unknown,2,童话是长大的标签
Wennie,5,2012-03-27 15:45:49,unknown,6,26岁重读格林童话，满目疮痍，原来也是部成人童话。
俊西,4,2011-10-30 18:30:42,unknown,8,长大后想想，都是让人抖三抖的故事。
蓉,5,2017-03-07 16:45:29,unknown,7,一本好书可以影响一个人的一生，一本坏书也可以影响一个人的一生。《格林童话全集》是一本好书，非常适合儿童看，成年人也可以看。
懒人老猫,5,2007-10-18 10:40:12,unknown,7,俺想说俺是从社会学的角度看的，你信不.
索君,5,2010-04-17 21:01:30,unknown,1,比起安徒生更喜欢格林，其实格林很伤的，喂，这算是童话么？
Yeoman,NaN,2008-10-27 00:01:34,unknown,2,森林般幽深
韩鹿临,5,2008-12-17 15:59:21,unknown,4,总是蠢蠢欲动，想给它来个续集，难道我也患了好莱坞编剧综合症？！
吴秉翰,5,2012-12-20 09:57:22,unknown,2,200年前的今天，格林童话出现。近一年时间我弥补了童年凌乱的格林童话记忆
藥師,4,2011-08-12 21:45:56,unknown,1,听说原版是h版。。。就是我一直没找到。。。
阿梦,4,2008-02-01 19:39:22,unknown,0,母亲讲的睡前故事
大力花,NaN,2007-06-23 23:29:59,unknown,0,小时候阿姨给买的
桃涩桃涩,4,2006-06-05 16:07:31,unknown,0,经典!!
IF,NaN,2008-07-20 13:23:38,unknown,0,小时候
我对你的无语简直能沉默整个宇宙,4,2006-05-02 00:06:51,unknown,0,灰姑娘对于王子和白马的幻想
巽,NaN,2007-12-09 09:17:08,unknown,0,TOT疯了...........
释凡,5,2008-12-21 01:40:02,unknown,2,传世经典
碧落亦然,5,2008-06-20 11:20:19,unknown,0,童话的世界也并不是全部完美的……
丸子Bea,3,2012-08-10 21:06:28,unknown,1,太过美好，与世界现实脱轨，可能也是为了给我们希望吧！
乌当,2,2011-06-04 10:57:04,unknown,2,从小就不喜欢啊...
🌵,3,2013-01-15 22:09:41,unknown,2,一点也不喜欢看这种书……
yum,NaN,2007-11-12 18:25:58,unknown,0,比安徒生合我心意多了！最爱
C8H18,5,2011-08-27 17:17:53,unknown,2,这个妈妈都会给买。。。。
浮生若夢,5,2010-01-01 01:52:19,unknown,1,童年啊，童话故事是肯定读过的。
尉迟歌,NaN,2008-08-15 16:48:48,unknown,0,成人版很强大。
夜衣三三。从前有位姓章的年轻人,5,2008-06-14 14:52:44,unknown,0,爱的童话。。。
绿酱（冷萃版,5,2011-03-30 17:00:03,unknown,0,每一篇我都认真读过我记得我从前有一本跟砖头一样厚的格林童话作厕所读物之用
大大栗♥,5,2010-10-16 22:44:51,unknown,0,无悲剧
红色钢铁,5,2007-09-21 21:28:37,unknown,1,很小的时候很认真地看过。
鹿,4,2007-04-27 21:28:20,unknown,0,童话永远是回忆里柔软的记忆。
卷子乐子八子,5,2008-07-27 10:48:56,unknown,0,德国
Miaou,5,2010-03-05 21:49:56,unknown,0,小学最爱。
有猫万事足,NaN,2007-12-21 10:44:40,unknown,0,小学时姑姑送给我的，看了好几遍
安徒死,NaN,2008-09-22 10:20:23,unknown,0,格林的都很美好
结球,4,2010-06-11 10:30:55,unknown,0,就像喝了神奇糖浆的“勇敢的小裁缝”，哪怕面临巨人一般大的困难，他都不会害怕。
望仔放弃减肥了,4,2009-09-05 16:18:46,unknown,1,就算再怎么说它黑暗残忍，童话就是童话
𖠚ᐝ,4,2020-02-23 00:28:16,unknown,1,读着童话故事长大的小孩，内心都会无比纯洁。
繁幕。,5,2009-06-10 11:58:51,unknown,1,童年的第一本书。
猫润。十五,NaN,2006-12-21 13:56:27,unknown,1,陪伴大家的童年
大佑,4,2009-01-14 11:56:28,unknown,0,4.0
陶者无缰,4,2011-12-25 11:42:24,unknown,1,格林兄弟讲太多王子和公主，不如安徒生可以让一切变成童话
浅。,NaN,2008-05-13 18:06:06,unknown,0,小时候反反复复看了好多遍。
阿朽,5,2008-08-28 21:59:08,unknown,1,回想起来一阵阵寒冷
萧萧,4,2019-03-31 23:48:15,unknown,1,初一还在读
岳宋,5,2010-07-05 13:56:00,unknown,0,我喜欢童话，比寓言甜美，即使长大发现没有童话，至少做过美梦。
🐇,NaN,2019-01-27 16:08:58,unknown,0,童年反反复复看。
李修竹,5,2011-07-28 12:32:32,unknown,0,我妈说我小时候喜欢格林甚于安徒生
laDDD,NaN,2010-04-23 17:28:45,unknown,0,这是我小时候最喜欢三套童话之一另外是安徒生和裴多菲
jade,5,2009-08-15 23:47:08,unknown,0,我现在想再看一遍原版
十足豆女,4,2007-04-05 12:44:36,unknown,0,初中读。简单的故事，甜甜的幸福
亲爱的𓆡𓆝,NaN,2010-04-19 10:18:42,unknown,0,必须得有，当然，一般都是删节版的。如果可以，找一下最初的原版看看，你会有惊喜的发现。
☀,5,2010-01-16 14:39:18,unknown,0,哎。我的童年。一去不复返、
笑笑,5,2012-09-01 21:38:24,unknown,0,小学的时候读的了。现在其实没记得多少了。
木子丹3.0,5,2007-03-30 22:05:51,unknown,0,偶有思念格林兄弟和安徒生，思念孩提时偷偷幻想的公主和王子。。。
图南天然呆,1,2011-03-15 11:08:01,unknown,1,翻译的水平太有限了。生涩不流畅，读起来没有美感。建议阅读译林出版社杨武能、杨悦翻译的那版。
目,NaN,2009-09-07 14:14:26,unknown,0,哈哈哈哈~读了小学六年的书
6月下雨7月天晴,NaN,2007-11-02 23:24:10,unknown,1,哈哈翻译的人的名字跟我好像我也做翻译
五星集中营,5,2009-04-02 16:43:04,unknown,0,|2282:1643|
lemonsino,4,2016-01-14 11:31:54,unknown,0,偶尔看几个故事看了一年……没法一口气读完，会腻。重读，大多数时间看到的是奸诈、血腥，还有女权主义可以用来批评的样本们，站在社会学民俗学的角度也会非常有意思吧。
筱婷,NaN,2008-02-24 19:01:30,unknown,0,小时候，就爱童话
姜纪存,3,2019-07-14 00:47:40,unknown,0,哭着对你说，童话里都是骗人的（无聊
哥德尔命题,5,2011-12-28 19:22:42,unknown,0,求原版最黑暗的那个
风情绝代小萝莉,4,2012-09-22 19:16:56,unknown,0,一本很厚的书，被我翻烂了，童年最爱。美好的童话故事，几乎灌输的思想就是，善良的人最终会得到好报的。
沛芝东欧控,5,2010-10-30 13:16:43,unknown,1,真正德语版童话的全是血腥结局。。
方姝葭。,5,2010-10-12 16:04:14,unknown,0,喜欢格林童话甚于安徒生童话~也许是因为我家的安徒生童话开篇就是人鱼的悲剧，这叫我一个怀揣着公主王子梦想的小女娃怎么接受。。
熊類爆弾,2,2011-03-06 01:50:48,unknown,0,兒時讀裡面的一篇故事，與死神有關，當中的一幅插畫被我用膠水粘起來，否則夜不成眠。
王煮粥™,5,2008-08-18 23:56:39,unknown,0,因为弄丢了这本书，被姨父逼债很多次。
-不是我呐,5,2010-04-25 15:31:30,unknown,0,最爱最爱最爱
小核桃,4,2009-02-10 14:17:41,unknown,0,伴我长大。
湖畔,4,2007-09-06 11:16:35,unknown,0,我搞错了，我的那本是安徒生童话。。
阿暖,NaN,2011-01-30 22:26:05,unknown,0,其实格林童话满血腥的==劳动人民多么爱憎分明...
小锦,4,2011-12-10 23:19:36,unknown,0,总算是经典了，不过格林童话貌似有那么点宣扬以貌取人什么的。
人在清涼國,5,2010-12-15 10:25:47,unknown,0,人为什么总要告别童话世界
麥田裡的狐狸,5,2009-02-21 12:13:28,unknown,0,赞！童话里面儿童的残酷更加厉害
Memento Mori,NaN,2010-03-18 23:26:01,unknown,0,喔，我从小分不清安徒生和格林。
L,NaN,2010-05-13 13:45:37,unknown,0,darkdarkdark
万籁君,5,2010-05-31 21:47:08,unknown,0,童年
bunny,5,2008-01-03 13:14:57,unknown,0,精装本的，适合收藏。在某大学图书馆处理书的时候以很便宜的价格买来的。
猫栗子二,5,2010-01-26 13:00:16,unknown,0,都是最美好的故事
P.Cissi 殿下,5,2008-05-11 20:37:05,unknown,0,这个嘛，推荐给所有的妈妈吧。10岁以前必读之一！
耶斯特洛夫斯基,4,2012-02-29 03:22:42,unknown,0,遥想当年————我上学了
aloneiris,NaN,2009-01-10 19:47:14,unknown,0,小学老师送我的第一本书意义重大，不能用星级衡量
七碗茶,3,2009-01-21 18:23:06,unknown,0,号称是最好的译本，主要是细节比别个版本充实。代词怪绕的，书面语严重。
lxm,5,2010-01-29 00:05:45,unknown,0,小时候；长大又；
