user_name,star,comment_time,geo_ip,vote,short
路过小卢,5,2020-06-11 17:32:40,unknown,1175,牛逼哄哄，去年我个人心中毫无疑问的NO.1作品。2019年流过的眼泪与燃起的愤怒，有53.5%都是献给这本书。阅读过程中很难不为诗织的无辜而动容，同时也更有一股冲动想亲自手刃某些人。本书直接撼动了社会法律，这就是纪实文学的意义。关于记者报道的职业良心，关于公权力将正义与邪恶尽数颠倒，关于人到底何以为人……法律的完善是靠一个个有血有肉的生命个体的牺牲换来的。感谢清水洁，让我们相信这个世界还有正义，让我们相信新闻媒体并不只是恶意引导舆论与掩饰事实的资本腐败走狗。愿诗织安息，她只是一个很普通的女孩。如今简体版顺利出版，祝无删减大卖~特意来简体条目再评论推荐一次，因为这本书让我恨不得跪地切腹自我肢解也要向身边人推荐！
momo,5,2021-01-19 13:19:48,unknown,893,清水洁是一个非常优秀的调查记者，行动力强，有责任心和正义感，秉承着本应是常识的价值观（譬如受害者无罪），但这样普通的常识在现在却成了稀缺之物。
梦回吹角连营,4,2021-01-26 11:55:11,unknown,742,新闻媒体被誉为「第四权」，被誉为「无冕之王」，其价值就在于对权力的监督，对弱小的传递。清水洁用自己不懈的努力，换来了真相的一步步推进，换来了社会与法律的进步，而这正是调查记者存在的意义。清水洁在书中不断抛出他对于记者、对于媒体应该如何进行报道的纠结与思考，并尽量用客观的笔调书写整个案件的过程，但当看到诗织写给未来自己的明信片时，压抑了整本书的情绪再也无法克制，愿诗织安息。另外，我们也曾经有王克勤，曾经有简光洲，曾经有…
熊阿姨,5,2021-03-07 20:40:59,unknown,611,本来想看日本跟踪骚扰法案的出台过程，没想到是整整一本记者手记。2000年前后纸刊摄影记者的追踪记录，一个四十多岁男记者的恐惧、自我怀疑、责任感，每个岔路上他都选了最难的选项，推翻对警方的信任，用最笨的功夫多日监视嫌疑人，跟主编争取采访时间，让采访对象信任自己……作者的勇气不必提了，他记录的无助和束缚感是最深刻最激励人的。
青灯夜读,5,2021-05-23 15:33:24,unknown,915,纪实文学最大的优点就是真实，最大的悲哀就是当今依旧真实。
赫恩曼尼,5,2021-03-08 22:58:28,unknown,195,但凡有过新闻理想的人，都应想象过成为清水洁这样的记者——一路追随真相而去，哪怕道路崎岖险阻，也会在每个岔路口选择那条最艰难的路，一意孤行，不计后果。读这本书的时候，无数次想起阿特伍德的那句话：“Wearelivinginaperiodinwhichsomepeoplearetryingveryhardtomaketruthirrelevant，truthisnotirrelevant.”真相并非无关紧要，且寻得真相的希望，不能寄托在极少数甘愿牺牲的勇者身上。
雪的练习生,4,2021-02-20 00:08:02,unknown,320,诗织7岁时写给未来的自己的明信片：2001年的我，变成了什么样子？我变成一个很棒的女生了吗？我有男朋友了吗？我好期待。
后浪文学,5,2021-01-19 13:40:54,unknown,174,如今距离“桶川”一案发生已有二十一年，然而由恋爱关系引起的毁谤、骚扰、暴力甚至杀害事件，在东亚乃至世界范围仍屡见不鲜。如何避免此类恶行的发生，公权力应在何种程度上介入民事纠纷，受害人与施暴者的关系是否重要......此类话题因恶性事件的一再发生而一再引起广泛的社会讨论。希望本书的引进出版可以引起社会对此类事件的关注，提供他国的解决方法作为参考，更希望此类伤害事件终有一天不再发生。
风满蜃气楼,NaN,2020-08-12 13:02:03,unknown,73,看完以后心情沉重。又一位“诗织”的悲剧，在有心理疾病的跟踪狂男友及其团伙，与不作为的警方的双重推动下无可挽回地发生，逝后还被主流媒体罔顾事实地一通乱写，此谓“被杀三次”。除了感叹警察机构内部的官僚、腐朽与行事之荒谬，也须重提新闻媒体的独立必要与报道的伦理。（调查记者在我们这儿大概已经极少了吧…）虽然本案一定程度上推动了针对跟踪行为的法律制定，但体系内部的各种问题似乎并没有得到改善。无论被害人家属还是作者本人后来的遭遇都令人唏嘘。
匡轶歌,4,2021-04-28 20:55:14,unknown,110,正是这种作者自嘲的“三流周刊”的笔法，读来引人入胜。如果是干燥脱水的报道体，震撼度估计要打个折扣。被每一章末尾的悬念牵着走，捧起就放不下，掩卷时天已拂晓。某种意义来说，受害人女生的死，与清水洁的笔，一同为日本《反跟踪骚扰法》的立法出台而奠基。大笔如椽，其实更该是这个意思，它推动社会滗去沉渣，自新系统。社会调查记者，这个良心物种，在某国大约已濒危或绝迹。
