user_name,star,comment_time,geo_ip,vote,short
Adiósardour,5,2010-11-27 19:42:05,unknown,639,你真实地坦露着自己的一切：世系，家庭，性格，嗜好，信仰，思想，心态，修养，成长过程乃至隐秘的感情生活。我也要向你一样，开始有情有致地去爱人，有滋有味地享受生命，有真有实的游戏人生。在认真入世，全力“扮演”各种人生角色的同时，学会了从最平凡的生活中发现美好，有趣的事情。
小尘4x,5,2012-03-27 16:03:22,unknown,277,你硬要我挑一本三毛写的最喜欢的书我绝对说是万水千山走遍没有之一这是我第一次看三毛的文章由于这时候荷西已经过去了好久但是她的文字依然让人感受到她多少年来还未能停止的疼痛又让人不能不狠心去了解三毛的过去如果硬要再问我为什么我现在这么喜欢文字也是毫无悬念地没有之一的因为这个平凡而神奇的女性
十一月,3,2013-02-25 19:31:35,unknown,127,文字再多么感人，思想再多么深刻，都没法超过自我重量。
墨梓,4,2011-08-11 04:29:12,unknown,115,第二遍，不忍心看完，切肤浸心之痛。爱一个人可以深到什么程度，比生命更重要，轰轰烈烈便是死了也值的。她只是等不及要去见他了。
星,5,2011-02-07 00:41:23,unknown,84,我有多羡慕，你有多自由。
Leorange,4,2018-03-31 20:30:34,unknown,44,论文笔才华，三毛其实并不算是极好的作家。她的好处是文字中的洒脱赤诚。她对待朋友、处理旧物的方式，看得出她思考方式的独特。爱便是热烈地爱，痛也是深刻地痛，这样的女人，活过48岁，大概也把该体味的体味足够。她的人生始终是炙热的燃烧。
雫哪,4,2012-02-11 23:29:21,unknown,21,催泪书。抱歉不能打五星，三毛实在是过于沉浸在自我的世界中了。
曼靑,4,2010-11-09 14:48:21,unknown,37,爛泥一樣的日子裏讀完這本書隻把喫當作生命欠缺的唯一慰藉.那種喫法使我更像一個自暴自棄的傢伙。我昰看到《克裏斯》才知道三毛姓陳.急匆匆的去網上查全名。知道答案的人一定會取笑我因為這昰一個那麼平平無奇的名字陳惠平。想起16歲那年我拋棄了爸爸取的名字用了喜歡女生的姓氏取了新名字現在想來簡直像是一場私奔。在台灣念過書的作家清一色變成我的死穴.黃碧雲如是林夕如是三毛也如昰.不喜歡昰不喜歡但又不得不承認寫得確實昰好。我想昰周圍一直有人奉承它它太討好了完全不需要我來褒貶.但昰仍有那麼一兩處劈頭蓋臉的砸下來清醒暢快就很夠了!最喜歡鬧學記.移民官問她為甚麼來美國她說她來等待華盛頓的春天.她不想要闖蕩也沒有那樣的野心。不過分驕傲不刻意渺小一切都剛剛好。
宁十九,5,2012-10-09 17:17:11,unknown,25,三毛所有的泪水都在这一本里流尽了。
小小如意🌈,5,2013-01-24 13:35:52,unknown,29,就是想做像三毛一样的女子，自由，坚韧，三毛的书什么时候读都不晚，有点阅历再去读，又不一样了。青春相伴过，我已满足，感恩，没有遗憾。每当夜深人静的时候，仿佛都能听到耳边的呢喃：记得当时年纪小你爱谈天我爱笑有一回并肩坐在桃树下风在树梢鸟在叫不知怎么睡着了梦里花落知多少~
