user_name,star,comment_time,geo_ip,vote,short
lalala三只小猪,5,2017-01-30 17:57:24,unknown,686,棋王:我心里忽然有一种很古的东西涌上来，喉咙紧紧地往上走。树王:那火的顶端，舔着通红的天底。我这才明白，我从未真正见过火，也未见过毁灭，更不知新生。
胎生百合,5,2016-06-08 22:22:50,unknown,715,写得是真好。看完孩子王的最后一行字，翻页，不禁感叹：就这样没了么？
Koji,5,2016-07-23 13:42:57,unknown,514,文革期间的三个故事。阿城的风格太屌了，用极短的有创造性的词把人物场景都描述得颇为生动。整部小说读下来，明明每个句子都明快简洁，但整体感觉却绵长，读完犹余音绕梁、如鲠在喉。
we are,4,2016-10-22 12:12:00,unknown,239,新世相图书馆的第八本书。这是第二次阅读这部短篇小说集，第一次阅读太过粗略，这一次放慢了速度，会品咂一些细节。譬如会想象《棋王》里母亲为王一生用牙刷把磨出来的象棋，到底是什么样子；又或是《树王》里六爪收藏糖粒的瓶子后来立放在父亲的坟前；还有《孩子王》里王福写自己父亲的那段话：“父亲在山上走，走进白太阳里去。我想，父亲有力气啦。”这些细节都刻画得十分简单，却是有力量的细节。也许好的短篇小说就该是这样：在整体布局上自然而精巧，在细节刻画上又蕴含力量。
白茶,5,2016-08-22 22:49:00,unknown,291,我没有王福的力气大，因为王福在学识字。读到这一句心就涌出什么。
Heydearme,5,2017-02-09 11:41:27,unknown,126,棋王痴，树王倔，孩子王善
柳兄willette,5,2016-11-18 13:50:39,unknown,92,棋王：为棋不为生，方能保持初心不变质树王：对一切要有敬畏之心，人类可不是什么主宰，科学也不是能解释一切孩子王：教育不是洗脑，而是帮助孩子能更好的认识这世界
林摸鱼,5,2017-09-05 22:00:35,unknown,47,这纸也太厚了。。
愚公,4,2017-05-19 21:25:45,unknown,54,阿城，作家，知青，流亡作家，写过几篇有趣的小说，最著名的就是这三篇，其中有以《棋王》最为出名，而且曾经被香港改编为电影。三部小说，分别有不同的主题，而且主人公都是交往的对象，王一生、肖疙瘩和王福，三个主人公的塑造，寄托了阿城对于传统、自然和未来的期望。不过，这三篇小说冠名为王，颇有一种沟通天地人的味道，王一生代表了中国文化传统，代表了大地的传统。肖疙瘩作为自然的化身，是天的代表。王福代表了中国人道中自强不屈的精神，三篇小说一以贯之，故以王来命篇。所以，这三篇看似是小说，不如说是寓言，作者显然是更欣赏《树王》，这篇的庄子味道最为浓厚，通篇弥漫着庄子寓言的影子。反过来，这三篇小说未尝不是阿城的寓言，这种小说式的寓言，以人显事，以事显灵。灵者，虚灵不昧之心，而不迷于时代的滚滚红尘。
虫虫,5,2019-03-20 17:04:50,unknown,56,阿城的文字表面上看起来很轻，但就是能触到心底，在绝妙处戛然而止，就像海明威著名的冰山原则：露出水面的是1/8，有7/8是在水面之下，写作只需表现“水面上”的部分，而让读者自己去理解“水面下”的部分。每篇都会有那么揪心的一个点，比如《棋王》里的蛇汤，《树王》里的磨刀，《孩子王》里的字典。
牧马人,5,2016-12-20 20:32:00,unknown,71,场上又有猪鸡在散步，时时遗下一些污迹，又互相在对方的粪便里觅食。我不由暗暗庆幸自己今生是人。若是畜类，被人类这样观看，真是惭愧。这是我觉得此书写得最有味道的句子，越读越有味。
无食桑葚,5,2019-02-19 22:57:23,unknown,109,真希望有人能在20年后写新时代中国特色社会主义
kissdemon,4,2018-10-06 14:57:06,unknown,35,2018第21本。看完回味无穷，精练的文字尽是道不出的味道，阿城真是会讲故事的人。棋王、树王都带着武侠的气，所痴所执。《棋王》像徐克的武侠，一人对峙九人的棋局透着风卷残云大漠狂沙般的江湖气。《树王》看得最悲，伴随着染红天际的火光，树王的灵魂被掏空了，我也跟着心里一点点暗下去。《孩子王》最说不出味道，戛然而止中内心涌出一堆说不出的东西。
揽尘,4,2018-11-03 23:42:14,unknown,38,孩子王最佳，棋王次之，树王又次之，与这三篇的写作时间成反向关系。阿城自我评价也是如此，称树王是一块心病，棋王有不对劲的地方，孩子王则自认成熟。孩子王的成熟之处，正在于摆脱了前两文的玄玄虚虚，而能老老实实讲故事，不卖弄——现在大多喜爱阿城小说的读者，最欣赏的恰就是棋王树王中那些玄虚之处。有机会真想问问阿城，他对此作何感想？依旧没有找到读小说的感觉，但有一点感觉却挺清楚：阿城的这几篇，在小说的世界里，算不得顶尖，四星足够了。
失意的孩子,5,2018-04-29 22:29:50,unknown,41,通宵阅读，释卷天已光，却觉精神抖擞。阿城的文字如石板厚实，似经风吹雨打、雷火锤炼，平常中一股韧力，简洁中生出万象变化生动至极。记得高中老师让我们圈其文中动词，一段数十个不带重样，无非一串简单动作，一个人物便已立起。三王皆处在灭个性的文革，却仿佛侠士一般，棋王如扫地僧默默而出惊人而归，树王仿若郭靖死守襄阳命同城陨，孩子王就像后山风清扬化解死板复又离去，但豪侠光辉只在一瞬，三王英雄气概却植于平凡，裹挟在时代潮流中却始终坚守自己，便就是以另一种方式抵抗。
七月,5,2019-05-05 18:13:44,unknown,34,几次泪眼朦胧。字里行间，看到了文学作品真正的样子。
胡了了,5,2017-12-08 02:27:05,unknown,16,棋王最佳，用笔最简，力道最足，读后怅然若失，回味良久。孩子王和树王写得不如棋王锐利，节奏更温吞，其中孩子王更令我感动。三王都是佳品，阿城锤炼汉语的功夫在当代小说家里算首屈一指，句句扎实稳健，写生活就是一股子生活气，又弥漫出“一种很古的东西”。如说大胜九大高手的棋王王一生：喉咙嘶嘶地响着，慢慢把嘴张开，又合上，再张开，“啊啊”着。很久，才呜呜地说：“和了吧。”
mumudancing,5,2019-04-15 11:34:22,unknown,17,谈情绪，一边热血，一边悲凉。谈语感，长短如行歌，如讲书，速度极快，又极流畅。谈故事，故事是古老大地里烧起的一把火。读阿城，头皮发麻，痛快！
蒋未央,5,2016-07-05 17:05:53,unknown,15,世相图书馆第二期的第二本书，也是一直想读的。一口气读完仍觉意犹未尽
开膛手贝塔,4,2019-05-05 14:24:41,unknown,22,棋王吃饭，树王哭木，孩王打赌，堪称三大典型人物的典型时刻，也是道统蒙尘，众神哭泣的时刻。
admiral,4,2018-06-07 10:53:35,unknown,19,人有利器，易起杀心
空山,4,2019-01-23 21:04:14,unknown,8,【藏书阁打卡】总体感觉不像在读小说，而像在听一个老人讲故事，棋王、树王、孩子王，三个故事娓娓道来，没有刻意的结构布局，平铺直叙，一点不乏味，想一直听下去。棋王有点武侠风骨，特别是最后的一对九，像武侠小说里高手间的对决。让我记忆最深刻的还是棋呆子说的那句“混可不易，一天不吃饭，棋路都乱。”就算他如此痴迷于棋，但还是觉得吃饱是多重要，说明当时社会背景物质的贫乏，也更加突出人们对精神世界的一种追求。树王一篇最让人感动。世世代代生活在那片土地上的人，对自然有一种原始的崇拜，他们所敬畏的树王却能被一些到此地不久的革命青年所砍伐，为了革命，为了新社会，必须破除旧物，老树也是一种旧。其实这就是革命新文化与中国传统的乡俗文化之间的一种冲突。孩子王里面描写的那个年代真的有趣，有些大字报的纸，没有印刷课本的纸。
fyke,5,2017-04-13 09:51:53,unknown,9,大道至简
伍条仁,5,2020-12-13 00:19:26,unknown,9,喜欢孩子王大于树王大于棋王。字里行间对文革的点评非常稳准狠：摧残人性，不顺应天道（又是庄子的道🤔🤔
