user_name,star,comment_time,geo_ip,vote,short
linn,5,2011-11-29 23:11:44,unknown,3270,用了近一个月看完这本书，没有调查就没有发言权，很认真的说他大气而又细腻，将中国的阶级和各种矛盾错误问题分析的很透彻，之所以之后失控，是因为人们把他神化书中他也有提及，中国广大农民的无知性亦盲目。抛开生活等，只评价功。他是个劈山者，卓越的管理者，无毒不丈夫，虽然一将功成万骨枯，但他能挑起一个国。胜王败寇，相比较而言，蒋中正不适合开国。蒋之所以打不过毛，在于他分析阶级问题不透，至于经济，毛的经济政策，毕竟不是行家。但至少他是位帝王。
七哥,NaN,2011-12-22 00:34:29,unknown,2045,在水房和朋友扯犊子，提到毛。忽然想起高中时学辩证法唯物论，真心听不懂老师在讲什么，就，从图书馆翻出来第一卷和第二卷看《矛盾论》《实践论》，写的实在是太牛逼了，不管毛人咋样，政治上有啥失误，他的书都不该被鄙视。再有，马克思主义还是很牛的，如果自己学校有哲学院且有比较牛的马克思主义教授，你可以去旁听他的课，绝对闪闪发光，充溢着智慧的光芒。（我去听过张奎良教授的课，一学期给本科生讲两节，很难听到，后来朋友评论说“我甚至能感到他是爱马克思的”，他是真的为自己的学术骄傲的）放下政治的偏见，读一下左派的书，右派的不全是对的。。
soshow,5,2014-11-03 17:31:10,unknown,1957,里面有弱者战胜强者的大智慧
山涛,5,2018-08-30 07:51:33,unknown,2064,我横竖睡不着，仔细看了半夜，才从字缝里看出字来，满本都写着两个字是“屠龙”!
空_琢,5,2017-02-19 01:10:06,unknown,1091,看完毛选才发现，现在人们争论不休的很多问题，老毛早就给出了答案。很多人在绕着山脚打转，一边吵闹着嬉笑怒骂，而逝去的人的墓碑在崎岖的山路上站立着，默默为后来者指引着方向。虽然永远到不了山顶，但我愿意追随着那些墓碑，向上走。我要在那碑前放上一束野花，告诉他们，你们并不孤独。
海阔天空祝沽笙,4,2013-09-09 23:57:26,unknown,844,没看过一本毛选的人怎么好意思对老毛指手画脚？
步时,5,2013-05-22 21:56:22,unknown,764,“矫往必须过正，不过正不能矫往。”毛一生的行为指南
吉吉范特西,5,2016-12-27 21:35:30,unknown,668,毛选第一卷不难读，都是大白话，仿佛听到毛主席在发号施令，在开演讲会，在做点评家。对我而言，难读懂的是战争间的联系，缺乏历史背景，抓不住许多战争的动机。另外，发现毛泽东很善于“造词”，也就是玩概念，能够将现实矛盾简化为几个抽象词汇，当然，这些词汇在当时是很管用的，例如“打土豪，分田地”，这口号一出，顿时解放全国上百万劳动生产力，要做管理的，要搞营销的，该要学习。最后，读完第一卷，我依旧相信毛泽东为人，坦荡无私，万世楷模。
五月的麦地,5,2015-11-26 18:20:44,unknown,702,共产党能胜利，全在毛泽东。
Lionheart,5,2016-01-15 15:42:34,unknown,509,读第一遍，相见恨晚；政府的教育可能是成功的，但是公民的教育是失败的，填鸭式的应试并没有让大多数人养成主动思考和学习的习惯。太祖乃当今之学霸！而且是实干家！
Ying,4,2011-12-01 07:52:25,unknown,405,1如何区别合作伙伴和竞争对手？2创业不是请客吃饭，不是做文章3简单的标语、图画和讲演的市场宣传收效广而速4Whatarethetargetsegments5创业公司存在和发展条件6分股时杜绝绝对平均主义7Crossingthechasm&Thelongtail(星星之火可以燎原)7没有市场调查就没有发言权，多做AB测试，多收集数据
Yohna,5,2017-08-28 10:28:36,unknown,525,神他妈社会各阶级分析，给跪了
霸王别急,5,2013-11-18 21:29:46,unknown,421,工作以后很多年才发现，老毛的东西具有很高智慧，比如辩证法，实事求是，调查才有发言权。不要太在意马克思恩格斯那些概念的东西，当做一本普通的书来读，褪掉光环，回归本源，分析问题相当精辟。判断极具魅力
从此心安,5,2020-03-12 14:06:22,unknown,648,少年时期，课本上写文化大革命是毛泽东发动的；大学时期，室友说抗日基本上全靠国民党，共产党是捡漏；工作了，同事说，毛泽东思想和马克思恩格斯列宁主义都是恐怖思想。如果我早点看这本书，就可以当场怼他们嘴中放的屁了。
echo鱼儿,5,2018-07-22 22:08:16,unknown,418,以前老以为毛泽东被夸大了，但看完毛选，对他的理解认识完全改变。他对中国社会认识之深刻，对革命实践之深入，完全能指导各行各业、人生、甚至是看待世界的方法。特别是矛盾论，因为高中不是文科，第一次理解时真是膜拜，我看了不下两遍，对自己的世界观影响极大。
学术个体户,5,2018-03-28 19:22:21,unknown,354,读完五卷毛选，已经对毛泽东佩服得五体投地，单论其思维方式，这绝对是个绝顶聪明之人。毛的根本一点在于实事求是，广泛调查、深入研究、冷静判断、巧妙利用，在夹缝中求生存，巧用敌人矛盾，集中力量打胜仗、分散力量保平安。此外，毛也是个语言大师，他改造了国人的文风。套用现在的话讲，他是个见过世面、有格局的人。选集中部分文章值得反复阅读
Helle,5,2018-08-21 19:54:36,unknown,338,不读毛选，就还没拿到对毛爷爷评头论足的入场券。
小辰辰,5,2013-05-02 22:57:30,unknown,201,只有了解他才能打倒他.犹记八年前N2老师说学习他们的语言才能打入他们内部可不是么！
苏凌,5,2019-03-27 15:58:07,unknown,256,叔本华塑造了一遍我的世界观，毛泽东又重塑了一遍我的世界观。两人的共同点最为重要的是，知行合一。
阿越,5,2020-02-09 17:34:01,unknown,361,第一，毛选居然开放打分，第二，居然还有人打四星
法拉利轮胎不错,5,2020-02-13 21:18:56,unknown,0,
北楼鬼,NaN,2013-01-30 18:41:25,unknown,141,当年课上读毛选，被化学老师没收了==
憋论文的张怀民,5,2015-02-02 08:37:24,unknown,152,革命的首要问题是团结我们的朋友，以打击我们的敌人。
李守中,5,2015-09-22 19:44:07,unknown,116,伟大的革命家，把斗争的技巧总结抽象到了哲学的高度。难以想象当代的政治家、大商人能写出矛盾论、实践论这样的文章。青年时代的几篇调研非常厉害，facts丰富，并能抽象出来，高屋建瓴，指出新观点。特殊到一般，领导与群众结合。
怪木西西坐地铁,5,2017-07-26 08:31:13,unknown,173,看了牛人A的书，我会说：卧槽！好牛逼！看了牛人B的书，我顿时膜拜，真是大神啊！佩服佩服！看了毛主席的文章，我发现我连膜拜的资格都没有！我只能说：毛主席用兵真如神！毛主席思想万岁万岁万万岁！毛主席思想战无不胜！
风清扬,5,2010-04-19 22:43:24,unknown,163,自信人生二百年，会当水击三千里！
哑鸟,5,2020-03-20 22:43:09,unknown,318,短评第一那个说他是帝王的简直白读这本书了，亦或者根本就没读。
陆小胖,4,2017-07-09 17:02:35,unknown,135,《实践论》和《矛盾论》应该是后来《马哲》的雏形，涵盖了老毛对马克思主义哲学的主要理解，可见毛在哲学上主要是个列宁主义者。所以本质上老毛主要是个高明的政治家，纵横捭阖，高屋建瓴。但任何经典都难逃其宿命:毛是最讲实事求是的，但当他的策略被庸人奉为圭臬时，反过来却成了他向来痛恨的教条。
夏一慕,5,2016-05-26 09:54:53,unknown,75,MarketResearch-projectpositioning-promotion/channel-sell，鼻祖级。
岚,5,2010-10-07 17:04:23,unknown,84,哦，比当今政治书籍生动千百倍！矛盾论和实践论最喜欢此两篇，这是他的马哲读书笔记。
苇草,4,2020-02-07 07:50:06,unknown,141,真正希望人民从头脑上觉醒的人，他不会用虚华的辞藻以显示自己的才学，也拒绝以艰深晦涩的概念来表达自己的明智，人民读他的作品，仿佛在生活中同一位有智慧有魅力的长者并肩探讨，读得阔然开朗；敌人觑着他的文字，发现自己的坏心眼居然早就暴露得如此彻底，不得不为之胆战心惊。他是调查过的，有发言权的，是满心急切地为这个国家打起红旗的伟人，是为了人民而生的革命先导，他是起于黑暗的星火，更是漫卷旧世界的滔天赤焰！
逗猫师,5,2019-02-25 02:45:11,unknown,110,放在今天篇篇都是100000+
白起,5,2010-07-21 23:00:44,unknown,80,我家竟然有本1951年版的，我们现在在读语焉不详的孙子兵法，不如读读详尽的毛泽东的革命、军事斗争的方略。不过根据西方的《毛泽东传》，这本书有些许字句不那么伟光正，在出版时被删去了。遗憾。
笃壹,5,2020-03-19 17:28:50,unknown,151,能写出《寻乌调查》的人，对农村的各种细节和事物都实地考察到了极致的人，他会相信“亩产万斤”、“高产卫星”的蠢事吗？再看看他写给KMT高级将领的信，不卑不亢中又带有一种殷切和企盼乃至恳求，就知道当初的红军的抗日意愿是多么的强烈了！
LFAM,5,2017-11-26 03:00:23,unknown,86,真正意义上的授人以渔，比教你说话教你生活类的书不知道高到哪里去，毛的思想深不可测，每年都要读一遍。
小阿的树洞,5,2016-06-11 11:20:43,unknown,92,为了湖南农民运动考察报告专门买的。一针见血，很多问题放在今天的中国仍然存在。毛主席田野调查的扎实程度，今天几个学者能做到？
桂花糕,5,2020-04-01 00:31:07,unknown,112,我毛爷爷太棒啦！（嗯，读这本书马上被戴上“左”和“红卫兵”的帽子了，这种非常符合文中对小资产阶级和反革命的定义。）
Welf,5,2017-12-15 12:53:44,unknown,86,最近的认识是毛泽东有三点高明的，第一是注重实际调查，直接做详细的调查，认为调查就是解决问题，没有调查就没有发言权，主要是对苏区的社会各阶层实际情况的调查。第二是具有雾里看花的本领，能够透过纷乱的局面看清本质，比如分析因为军阀对立带来的红色政权的生存夹缝，不同时期要统一的阶级。第三是革命乐观主义精神，要是换作林彪，这革命早就放弃了。可五十年代中后期，毛泽东就像变了一个人，就像他自己说的，在北京呆的越久，脑袋越空。在大跃进实际据说还考虑太多粮食的出口问题，可不知道许多人吃不上饭。可见数据采集工作出了问题，再牛逼的方法论也派不上用场。
荠麦青青,4,2016-06-06 21:56:11,unknown,85,很不错。那时候真是一腔热血地造反（划掉）革命啊。从湖南农民运动的那篇来看，文革时代的可怕氛围，早在20年代土地革命就已有端倪。或者更确切地说，这就是人性本身具有的黑暗，就看是否被激发罢了。
独头茧,5,2018-04-19 23:58:07,unknown,55,这是一套关于方法论的书籍，毛选一尤甚。毛的厉害之处就是总能够比周围的人同时期的人看的更远，看的更准。至于如何锻炼这种能力，无他，总结二字
会飞的水电工,5,2021-02-01 18:24:12,unknown,185,大学故意把毛概教这么无聊的吗
[已注销],5,2017-10-05 04:31:13,unknown,57,看得清大势，有大局观同时又关注细节，把道理说得深刻而又易懂服众，在困境中保持乐观和理性，敢于承认自己的弱小，四两拨千斤，借力打力——真的是几乎完美的领袖品质。对于局势的分析也道破了目前为止人类社会改革可以成功的一些关键因素，值得当下、未来的社会改革借鉴。
勒拿河铁索,5,2019-07-31 17:13:21,unknown,85,也许你不赞同他的信仰，也许你会认为辩证唯物主义甚至算不得正经哲学，也许你根本就不相信XX主义会实现，这些都不重要。你姑且把这本书当作方法论来看，试着用书中的思路和眼光去理解、分析你所遭遇的所有困难。然后你会发现，你的生活和你的脑海不再是一团乱麻，每一条脉络都变得清晰，只要平心静气地依照重要等级的不同去处理，没有什么是解决不了的。
Oppenheimer,5,2021-01-12 00:06:13,unknown,42,初读毛选，让我对毛有了更深入的了解，我感受到了从1925年到1930年（看到反对本本主义这）革命事业的艰辛和他本人的无奈。不过就算革命事业遇到了挫折，我还是能从他的文字读到了自信耐心和智慧，不像网络上的鸡汤文，这是实打实的帮助同志们分析失败的原因找到解决的办法用科学的论断告诉你革命事业一定会取得成功。
青蜂侠,5,2019-03-31 06:51:59,unknown,76,创业指南只看这本就够了
沐心,5,2020-01-15 22:44:36,unknown,61,我们说马克思主义是对的，不是因为马克思是什么先哲，而是因为在实践中证明了马克思主义是对的。没有调查就没有发言权，实事求是，知行合一。当党内的其他人在讨论书本上的马列，蒋在政治和军事斗争，太祖饿着肚子在湘赣农村做各种社会调查。想的是浪漫主义，做的是现实主义，这是太祖的伟大之处。谁是我们的朋友，谁是我们的敌人。太祖智慧，屠龙之法。
lalala三只小猪,5,2017-02-23 21:26:11,unknown,87,如此境界如此眼力，此人不取天下何人能取？老蒋输的不冤啊。
Menghan,5,2020-05-10 10:26:54,unknown,61,大学时整理学生会杂物室时偶然找到毛选，一读便读了一夜。十来年后，社会智能，国力强大，然而民心思主席，为何呢，因为分配逐渐出了问题。不论是房价高启，环境污染，还是251，996，都直指财富和权益的分配。也要看到党国在努力，不忘初心，全面脱贫，可我觉得还不够。回到这本书，它是真成功学，如果有六星配得上六星，如果有十星配得上十星。
shinichi_do,5,2017-08-04 17:18:36,unknown,61,毛是我心里中国最伟大的人
愚公,5,2018-07-02 21:07:02,unknown,35,毛泽东，中国革命家、思想家。本卷收入了第一次国内革命战争时期和第二次国内革命战争时期，毛泽东关于中国革命、农民运动、武装割据和组织领导一系列问题的文章。在这些文章中，我们看到毛泽东在主动运用马克思主义分析中国现实问题中做出的努力。他将马克思主义阶级斗争学说，运用到中国社会分析中，指出中国革命的对象和团结对象。在军事斗争中，强调运动和变化，来克服军事斗争中，红军弱小的缺陷。当然，在分析中国革命的时候，强调了国际关系和国内矛盾，用很大的视角来分析了国内革命的现状。最后，两篇理论文章，实践论和矛盾论，则是对于马克思主义中国化的理论总结，将唯物主义与中国革命实践结合，总结成为实践论，将辩证法与中国社会结合形成矛盾论，用中国人能听懂的语言解释了马克思主义的基本原理，并以此来指导中国革命斗争。
吕过-,5,2013-05-10 12:25:51,unknown,54,完爆臭老九~
豆友3829030,5,2020-03-22 00:58:05,unknown,53,竟然有人打一星，哈哈
gengrenjie,5,2010-04-25 17:26:57,unknown,39,要学学毛泽东考虑问题的全面性和深刻性
初开,5,2019-09-14 20:30:27,unknown,33,基本原则、基本原因、基本矛盾、首要问题、重要因素。看懂书中的这些词，才能理解这本书谈的不是革命，而是如何站在问题的本质上。他的眼光超出时代太多，独立思考终究只是少数人的权利。
Tayadawahkugh,5,2020-02-02 15:57:50,unknown,35,cx上课和读书会常提到毛在读书时和朋友们约定三不谈（不谈金钱，不谈男女关系，不谈家庭琐事），不谈不代表没有或不要，而是不将自己的智识和思考投注在这些事上。所以，看他的书，你看不到他自己，但又全部是他自己。
Rita向上上,5,2013-08-07 20:24:19,unknown,27,不愧是老毛子，旁征博引，写report的技巧十分成熟。TAT
纷飞柳如絮,5,2019-01-24 11:06:56,unknown,42,毛主席洞若观火超越时代的超凡洞见，现在读来依然令人惊叹。如何把一个一盘散沙的旧中国改造成新世界，鲁迅抨击了中国人的劣根性意图唤醒国人，但毛不仅唤醒了国人还团结动员了全体人民，把一个积贫积弱要被开除球籍的弱国变成了站起来的大国。伟大伟大！晚年犯了严重错误，固然需要深刻反思和警醒，但仍然无法掩盖历史赋予毛伟大的定论。庆幸，现在的中国正走在健康发展的轨道上！主席，安息吧！他以领袖的身份离去，离开我们许久。他以教员的身份归来，指引我们前行。并将永远陪伴我们！
书生意气2333,5,2019-06-12 15:33:13,unknown,43,这就是我自信的来源
谢文,5,2008-11-10 19:29:03,unknown,33,其实是宝书四卷，只是数据库里没有，权拿这本做代表.不敢说倒背如流，但读过几十遍是有的.至于其中的老三篇，是可以默写的.所以我现在看到中东地区的原教旨主义者的言行，一点都不惊讶，因为自己在若干年内(恐怕大多数经过文革的中国人一样)也是原教旨主义信徒啊，只是读的经不一样而已.那年头，叫我当人体炸弹肯定没问题.
破晓,5,2014-04-29 17:32:53,unknown,27,毛祖做事，讲方法讲现实讲过程，很接地气
