user_name,star,comment_time,geo_ip,vote,short
戈城,4,2014-11-11 23:35:25,unknown,1676,我十年前想到的点子，原来在六十年前就已经被写成小说了。
wendy,5,2015-02-04 01:37:09,unknown,1075,妹子你演技这么好一定是第二基地来的
大师兄,5,2014-11-08 15:31:03,unknown,910,我不明白为什么有人读过之后会有深深的恐惧感，先不说书的结局是如此的光明和热血。仅就基础理念来讲，对于未来拥有无限种可能的选择权，难道不是人类为数不多可以称之为有价值的信念么？
科学的京兆眉妩,4,2015-10-10 07:13:18,unknown,689,看你们天天用『不会写爱情』来黑刘慈欣。换了阿西莫夫还不是一样？#无良索隐#
十八号木木夕,3,2015-05-27 13:53:28,unknown,458,爱情部分太烦了，为了一个女人要死要活的中二男主真是想把他拖出来暴打
三鲜伊面,5,2015-10-14 21:50:45,unknown,340,穿梭上下百万年都是徒劳，我们的征途是星辰大海
安猪,5,2014-12-06 01:31:17,unknown,248,拍成电影一定很好看！
到哪哪倒龙经理,5,2015-10-08 15:28:29,unknown,289,赞美的话不多说，嫌剧透，就说两点：1.永恒时空这么多男人为何没有人发现搞基其实也不错2.即使是阿西莫夫也没预料到短短几十年后胶片就被淘汰了
mee,3,2015-06-03 23:10:14,unknown,207,直到全书的90%处我都在觉得这根本不是科幻而是一部打着科幻幌子的荷尔蒙发酵小说，后10%的时候觉得大师们都犯一个毛病就是喜欢拿爱来说事儿。如果这是大师水平我只能说，不好看。另外，但凡碰上时间旅行的作品，都有各种大BUG，大师也不例外。又及，书中永恒时空的发明人谢尔顿·库伯难道不是谢耳朵名字的来源吗?
Touma,5,2014-11-26 11:53:35,unknown,186,反脆弱、未知、勇气。只是遍布星河，为什么一定要是人类？我想问一问阿西莫夫。
eccentric™,5,2015-08-17 01:58:38,unknown,253,看完发现书名才是最大的剧透
丹AI🌵,5,2015-04-01 16:50:04,unknown,163,又是一本思考终极问题的科幻，关于我们是谁，从何处来，往何处去。跨越几万个世纪俯瞰人类进化史的气魄与想象力，带来强烈的美感，也伴随着深深的虚无。但结尾依旧让人心潮澎湃：“永恒时空已经终结。人类的无限时空，就此开启。”
恶魔的步调,4,2015-03-21 22:53:14,unknown,154,本质上与其说时间旅行，不如说重点是乌托邦（的崩溃）……主要问题是爱情戏作为重要线索（且不可分割）让人觉得颇为扭捏，扣分。阿西莫夫可以写性爱，但完全不会写爱情，就算努力了，至少我觉得浪漫不起来。
翱云,5,2015-07-15 09:31:31,unknown,174,其实阿西莫夫想告诉我们的是：你应该不用S/L大法来通关一个RPG游戏
thezxz,5,2014-09-17 09:22:08,unknown,122,写作《永恒的终结》，读作《群星我的归宿》，最后几页看完起了一层鸡皮疙瘩。
三丰SF,5,2015-05-12 13:51:18,unknown,118,“永恒时空”这个设定值得写上几十部书。
小克,4,2015-01-10 09:01:42,unknown,128,全书的主旨是非常励志的：人类不能一昧地求安全和固步自封，必须向外开拓。不过一切变革的开端也很微妙：一场爱情颠覆了整个星球。恋人们的行为模式是永恒时空管理者们无法预见精确预见的，恰恰说明了整本书的基础不够牢靠：管理者们是如何挑选出来的？作为最不可控充满不确定性的人类，如何能被保证以不带感情色彩的机械性来决定那么多其他人的命运？这些点上无法说服人，永恒时空的建造和存在就没有可信度——太脆弱太容易被破坏了。
苏浅夏,5,2015-04-12 15:57:27,unknown,87,到底应该大力发展时空旅行将历史错误一一调整，还是发展星际穿越早日把过多的人类移民出去呢？太纠结了，还是当成爱情小说看比较美好，#我和你出生相隔十万个世纪，可是我们最终在20世纪携手到老，顺便改变了全人类的命运#。
阅微草堂,2,2014-09-26 14:55:34,unknown,82,过于老的科幻简直无法阅读
元非,5,2015-07-18 11:56:35,unknown,99,因为精虫上脑而拯救世界
蚂蚁没问题,5,2015-01-07 17:53:28,unknown,64,阿西莫夫老头一次次刷新我心中的神作标准，就这么牛逼，这书构架完美，故事还居然能写得这么动魄惊心，太了不得啦，拍电影啊！拍剧啊！
刘康康,5,2016-09-11 22:51:44,unknown,78,完美，真的可称为对时空穿越最恢弘的幻想。建立了一整套逻辑自洽的规则、系统、世界观，然后还能在解释清楚规则的基础上，讲述一个一波三折、情节不断反转的故事（最后的真相反正我没猜到）。唯一的不满，大概就是男主角太中二、太没原则、太情绪化了，感觉谁跟他说几句话，就能马上改变他的立场，这种人怎么能委以重任？男版程心！
种树安橐驼,5,2016-09-10 12:47:22,unknown,88,关于“我爱你，我会跟你一起在古老世纪生儿育女”的爱情部分全部不喜欢，不过阿西莫夫真是literally写尽了时间旅行的一切构想，有永恒时空的修正，隐藏时空的观测，精确偏航，在莫比乌斯环的无尽长河里遇见未来的自己，碎杯子还原像飞去来...看到未来人类一步步控制男主让他自以为做出了自己的决定和判断其实都是被操纵的梗恍然觉得类似SecondFoundation的眼熟，然后才意识到分明是一个作者...Again大多数个体的人生轨迹被少数个体决定并抹去，只是不知道，真实的亿万个世纪以后，世界是否还如此在意选择的自由。p.s.其实库柏留给永恒时空的信息就是这本书吧！在新的世界里，库柏没有成为马兰松，而是阿西莫夫，一直没人去接他，他就开始把那无数现实里的故事写成小说哈哈哈哈！
巨米雨,5,2018-09-08 18:57:44,unknown,79,我还是那个建议，豆瓣应该收钱让人可以打六星。我愿意花钱打六星。有些像时空穿越版的1984，没有人有权利去帮另一个人选择和决定命运，自由是人类生存的原因和目的，而一旦牵扯上星辰大海和人类未来命运的背景，就会让人更惆怅更向往。以为冷酷无情的时空技师被一场爱情拯救，同时人类难以跨越的时间征程也会被改变，没想到兜兜转转还是回到了不可逆转的时间直线上，当然我也想不到比这个更好的结局了。阿西莫夫用他超越时代局限的想象力告诉未来的我们，苦难和无限可能是并存的，而这也是人类种族延续下去的唯一出路，在人类试图消弭灾难选择稳定的同时，也拒绝了迈向星辰大海的可能，我们无法拒绝挫折困难，我们只能跨越它。另外，虽然永恒时空不再存在，但是我相信阿西莫夫一定是来自更上行时空的人类。
萨库拉,5,2014-11-25 20:45:58,unknown,83,后段的几下反转非常漂亮。可以抵消中段以为在看言情小说的错觉。
#Capella#,5,2014-11-20 12:37:13,unknown,53,脑补了一群青铜龙……“巨龙的时代已经结束了，现在是凡人的时代”
成知默,4,2015-02-03 12:44:53,unknown,38,关于永恒时空、时空旅行与无穷无尽现实可能性的探索，其本质上是对人类终极归宿的思索。从古老世界的生老病死覆水难收，到永恒时空对现实的篡改与消除、因果链的倒置与闭合，再到隐藏世纪里的人类银河帝国时代，它呈现的是人类对自己未来的选择。至于“也许就因为要成全她，一个时空终结了”的lovestory，更像是一个引发变革的触机而已。那或许是对扭曲的永恒时空的矫正，又或者是人类又一段失败的冒险历程，anyway，人类的无限时空，就此开启。
陈哈,5,2018-03-02 17:06:30,unknown,47,阿西莫夫在1955年就写出了关于时间空间科学幻想的巅峰之作...看得我头皮发麻。瑕疵就是，主角作为一个顶级的时空技师，居然情绪那么容易波动，明明是层层筛选，过关斩将的精英中的战斗机，一碰上美女居然就变成了傻子...不过话说回来，如果不是这样的性格设定，整个局也就没法展开了，正因为他是这样的又聪明又弱智，故事才说得圆。
汽车大师,5,2014-10-14 22:54:32,unknown,36,宏观科幻与微观推理再现，不知道为啥，我总觉得古龙的推理武侠有阿西莫夫的推理科幻影响在，比如骡。。这书里纸质书被胶片代替且沿用到永恒时空中，五十年代的伟人也难以预测到数字化时代降临
