user_name,star,comment_time,geo_ip,vote,short
木须龙,5,2012-05-08 19:14:19,unknown,1164,已经不能用什么“中国通”这样的概念来衡量彼德海斯勒了，他在涪陵的生活经历完全抹去了中国和外国的差别，这就是一个人和另一群人的交往，他们生活习惯和思维习惯也许不同，本质上对感情、对文学、对社会责任的感受却没什么区别。他有极强的幽默感，对事情的看法有股子宗教宽容般的味道，但对政治性的干扰很反感。这是本极其值得阅读的好书。
希夷子,5,2012-03-06 23:28:42,unknown,825,一个温柔的旁观者，纷繁混乱的描述下，隐藏不住悲悯之心
王坏,5,2012-07-28 13:06:43,unknown,584,没有一个译本比李雪顺本更好的
北,5,2015-02-27 21:43:35,unknown,454,拖了很久终于在过年期间读完。很叙事，但很有可读性，很漂亮。连番几大段甚至几页的陈述后那浓缩的一段思考便是本书的精髓和关键所在：这个美国人并非有意地提醒我们，中国人，我们自己，面对熟悉或不熟悉的身边人事，如何刷新自己的认识态度，如何跳出现有的依附性的，不独立的评价体系建立起我们自己的看法与评价。
欢乐分裂,4,2019-08-10 22:39:32,unknown,514,4.5；噤若寒蝉的今日只能惊叹真敢写，遍布槽点（没法提，建议能读且读之），对比一下这本书当初和现在的命运就能辨识出风向标。本书如揽镜自照，长年生活在此中环境中的人很可能已熟稔到麻木不自知，而外来者的客观叙述却让我们无比尴尬地窥见镜像。国人淡漠又热情、狭隘又宽容、自私又务实的复杂性被描摹得中肯切实，看客心理从未缺席，听任命运安排很难界定究竟是自身选择还是民族特性；既对公共事务/政治缺乏关注，但日常却始终被政治空气萦绕；对大部分事务的观念惊人同一，思维模式机械，与教育制度高度单一化&政治化不无关系。大量中西文化的差异导致的误解与偏见，幸而作者始终抱着幽默和乐观去拥抱这座江边小城，这条有生命力而充满力量与激情的河流，对时代剧变中的中国，他勉力做到客观而尊重，殊为不易。
水木丁,5,2015-12-30 11:58:37,unknown,134,书本身打四星，还有一星给作者的善良。
能工巧匠沙门哥,5,2015-05-19 09:57:32,unknown,130,结尾把我看哭了。这本书里最有意思的是何伟本人的成长故事。
Sarcophagus,5,2013-09-22 07:15:51,unknown,102,鬼子太聪明，翻译官也太能干，老百姓都被看破了，反正我被征服了。出色综合人类学家和作家和旅行者几种（？）田野目光，在熟悉的本土制造局部陌生，也平衡了浪漫与理性、批判与同情、苦难与日常。令人想起贝尔登《中国震撼世界》。页131、164、256-58等超有感
danyboy,5,2013-09-29 16:18:03,unknown,98,说起来并没有什么稀奇的内容，然而，却又让我时而感动不已，时而强忍住笑。其实这只是忠实于自己的内心与经历的报告文学。96到98年，正好是我从初中到高中的时候，书中很多的人和物，完全不令人陌生，甚至就像曾经见过一样充满怀念。
邓安庆,5,2013-06-05 23:18:58,unknown,85,太好看了！写得好，翻译也好。
小米=qdmimi,4,2013-01-14 01:24:03,unknown,66,封面低像素图片加无脑PS张志全你在砸牌子么……
Paradox,4,2015-03-01 23:32:05,unknown,92,阅读老外撰写的有关中国之书籍最有趣的一点便是视角的独特性。很多本国人根本不会注意到的细节，被不同文化的外来者注意并放大，从中发现新的含义。这本书从结构上而言是松散不成一体的，但正是因为他如流水账般的观察记录，使得我们可以回顾世纪之交偏远西部一个落后小城中折射出的国民性。无论经济如何发展，国人的精神世界却滞后了，这是读完整本书后最令人难过的。
左胸上的吸盘,3,2012-07-31 21:16:13,unknown,88,可读性还可以，作者的观察跟译者的翻译赢了分。作者的一些举动老让我想起传教士，我可不会对异国陌生人群的政治观历史观有这么大的兴趣（勾引七八岁小孩让他们谈论政治话题），简单说，就是书可读性还行，但是作者有时候也讨人嫌——你又不操人家，老关心人家的政治倾向干嘛啊，真他妈讨厌
神威,5,2012-02-18 15:03:52,unknown,83,如果大陆的这个版本没删节，这是本远胜寻路中国的书，不过估计不会这样理想化，书里对毛，邓，三峡工程等敏感问题的议论，基本不可能存活，然而，即便没有这些，这也是本无比难得的好书，详评见长评
八月槎,5,2012-11-06 08:05:17,unknown,58,《江城》是近期读过的最美好的书了，想不出怎么形容，只好去赞美！另外也向译者李雪顺致敬，这也是我近年来读到的最好的翻译！顺便说一句，某出版公司高管大赞通过买榜引导大众，信奉烂书买榜一样能够制造畅销品种。说实话，如果某天这真成为决定出版企业生死的黄金营销法则，我就不在出版营销圈混了。
木卫二,5,2012-05-29 13:22:42,unknown,73,漫涨升爬的江水刻度，像十年二十年时间一样，淹没了一座城市和无数记忆。许多年后回想起何伟的文字，总记得那些努力生活，为了走到外面世界的国人。
