user_name,star,comment_time,geo_ip,vote,short
Gray Wizman,5,2011-12-07 00:02:37,unknown,3638,我对自己的要求很低：我活在世上，无非想要明白些道理，遇见些有趣的事。倘能如我所愿，我的一生就算成功。为此也要去论是非，否则道理不给你明白，有趣的事也不让你遇到。我开始得太晚了，很可能做不成什么，但我总得申明我的态度，所以就有了这本书——为我自己，也代表沉默的大多数。——王小波
小岩井,5,2011-10-17 11:07:31,unknown,2902,我看现在是冷漠的大多数了
银河小姐,5,2013-10-12 23:21:18,unknown,2084,与其别人让我闭嘴，不如我自己赶快沉默了去。你的理又不是我的，我跟你辩个五六七八没意思。
墨梓,5,2008-08-20 20:14:16,unknown,932,我们是沉默的大多数，或在内心挣扎，或在脸上写满愤怒，然而结局终究是平庸与顺从。
汪啊我是虎虎,3,2016-07-14 11:39:52,unknown,507,看了一半，难以为继。语言风格是揣着聪明装糊涂，可能是时代需要。关键是这聪明在我看来还不够聪明，不过想想，在那个时代，这应当也是冒险了。庆幸自己生在了现在。唯一的收获是，书中说，看杂文看评论的人，永远不能真正了解一门艺术。算是对自己一记警钟。想要广泛涉猎，高谈阔论，却又不曾自己真正深入过什么，算是一种对艺术的亵渎吧。希望自己多一点沉淀。
螃蟹蟹,5,2011-05-13 23:20:03,unknown,261,王小波就是神。韩寒模仿的不太好
猴皮筋,5,2013-02-18 21:57:18,unknown,284,傍晚你坐在屋檐下，看着天慢慢地黑下去，寂寞而凄凉，感到自己的生命被剥夺了。当时我是个年轻人，但我害怕这样生活下去，衰老下去。在我看來，这是比死亡更可怕的事。
清风,3,2011-04-14 21:00:28,unknown,209,王小波确实有点被神化的意味了
macao,4,2010-03-04 23:00:24,unknown,202,说实话我不是很喜欢翻来覆去太婆妈了
A Story Teller,3,2013-03-08 00:08:24,unknown,187,不乏有趣的观点，但有点絮叨，对罗素更是不厌其烦的引用。豆瓣评分居然9.8，是盲目崇拜还是我打开书的方式不对。倒是在地铁看他妻子写的悼念文章，看到当众流眼泪。
人造人,2,2013-07-29 23:28:56,unknown,152,王小波真的不是被人吹捧起来的？
直布罗陀岩石,4,2012-04-05 23:26:14,unknown,160,如果以文论，体裁文笔王小波都未必算大家，卖弄文字怕是连郭敬明之流都比不了，杂文前四分之一基本都要离题而论再自行纠正。但我始终认为，写字这东西，文笔之类永远次要，最核心在于思想。读完此书，才发觉其思想之透澈，才发现了很多事情本来应有的样子。我们都是大多数，习惯沉默。
大眼狗,5,2010-08-14 23:38:33,unknown,145,今天看来王小波的思想有些值得商榷，语言或许有些不必要的粗糙，但我感激这位老师在我塑造价值观的阶段告诉我教育的话语也许是错的，这让我受益终生，至今还记得那种智识的碾压下暴露的道德的促狭，见识的贫乏和逻辑的混乱，我愿把我的师承献给他。王小波是一个有趣而正常的人。
Chandelier,4,2012-03-01 22:31:07,unknown,139,爸爸说他看后觉得有几个问题：1文字太生硬，拗口，不优美；2作为一个知识分子，着眼点不够宽泛，没有通过思想内涵换起整个社会思考的宽宏气质。我看了一下还没能理解我爸说的。再接再厉吧~~
克隆小丸子,4,2012-10-18 13:37:18,unknown,143,如果他一直活现在，也会是个吐槽怪吧。lol~
朵拉和朵拉,2,2012-09-24 12:29:42,unknown,80,有些“自由”的人总调侃说知识分子不该这样不应该那样，这又是一种自由的桎梏。
伊卡洛斯,5,2011-05-27 16:52:13,unknown,69,永远记得1997他离开了，永远记得他是作家，也是程序员。更永远记得他对我们说了那么多终生受用的话。那淡淡的失落，轻轻的唉息，怀才不遇的痛惋，如此的人生的苦楚，随还在我身边存在，我却只有更好的接受它，因为我的路还很长。谢谢你，王老师！
emma,4,2013-06-21 16:35:54,unknown,56,不知为什么，一直对王小波喜欢不起来，无论小说或杂文
还有什么更好的,4,2006-11-01 15:11:58,unknown,55,从前傻*的大多数人都沉默，他不沉默；现在傻*的大多数人不沉默了，他却不得不沉默……
苏氨酸,4,2015-10-12 21:50:33,unknown,48,好装逼的感觉
韧勉,4,2013-12-30 20:21:42,unknown,32,王小波学二代式的广博在今天看来已经是很普遍了，个人以为他的巅峰就是在这本书中的《沉默的大多数》和《花刺子模信使问题》两篇文章，当我们读过了今人诸多的随笔、读书札记之后，才能看出先知的V5!
