user_name,star,comment_time,geo_ip,vote,short
苏更生,5,2009-04-06 03:51:30,unknown,930,我惟一能做的就是蜷缩起来，赤身裸体，像婴儿一样睡在床上。有时候，绝望快吞噬我。因为想到你，所以我才有勇气。拉下蒙在头上的被子，去看这个可怕的世界。
shu,5,2008-04-14 23:26:07,unknown,569,在夜色中我有三次受难：生存，流浪，爱情;我有三种幸福:诗歌，王位，太阳
柴犬妹妹,4,2014-08-28 04:11:58,unknown,340,雨，是一生过错。雨，是悲欢离合。
汪见殊,5,2010-07-10 21:03:30,unknown,192,在夜色中我有三次受难：生存，流浪，爱情;我有三种幸福:诗歌，王位，太阳
有猫万事足,5,2007-12-14 17:07:41,unknown,218,还记得高中时坐在我后面的男生把《面朝大海，春暖花开》这首诗抄在纸上，放在口袋里。他从口袋里拿出诗的时候，我觉得那本身就是一首诗。
墨梓,5,2008-12-03 18:49:21,unknown,88,当我站在痛苦面前，你不能说我两手空空，你不能说我一无所有。
Plantago,3,2012-08-03 14:18:04,unknown,65,海子诗歌中常用的几个意象我不明白，意象与意象之间的衔接怎么也揣摩不到任何理性的线索。即使他有那么多脍炙人口的佳句，但是那些都是不重要的；重要的是他所未曾流传的晦涩。我得承认，我无法深入触碰那核心。
Yeoman,4,2009-03-27 22:36:45,unknown,72,远方除了遥远一无所有
春天大厦,3,2012-09-25 23:07:05,unknown,44,除了有几句其他无法触动内心
小波福娃,4,2007-09-13 17:17:44,unknown,39,比三联那个超级芜杂的海子全编要好，西川的眼光值得信赖。
胡桑,5,2010-06-13 01:12:22,unknown,30,1999年，读到后，一生发生了不可知的变化。
徐内向,5,2011-03-29 13:44:42,unknown,29,诗人是世界之光
雾港,NaN,2013-09-16 12:27:51,unknown,37,“今夜我不关心人类/我只想念你”
大头绿豆,5,2005-04-21 16:41:49,unknown,28,春天，十个海子
scarly,5,2012-07-17 01:36:18,unknown,29,如果可以，我愿做一个游山玩水的诗人，不在乎过去，不担心将来，有生之年不能走完全世界，那才是我的烦忧。
Lily Legacy,5,2017-08-20 21:46:57,unknown,20,治疗失恋、忧郁、绝望，也是使之更甚更绝望的诗歌，唯有欣然接受所有的不幸，用生命去品尝。
momo,5,2012-09-12 09:17:22,unknown,33,朦胧诗从来不朦胧，而海子直白得有些天才了！
刘二苍松,3,2008-10-15 21:33:37,unknown,15,他写过几首好诗，可是，我想说，他只写过几首好诗——或许是我不适合读诗吧.
王村长,4,2006-11-10 11:09:42,unknown,28,死亡放大了他的诗
lenlen,3,2010-06-01 09:56:41,unknown,18,这可以检验你是不是真正的文艺青年吧。。。看了三分之一实在看不下去了。。。
对乙酰氨基酚,5,2012-01-25 17:39:04,unknown,28,高三的桌洞里偷偷地读
Fleurs.哼哼,5,2020-03-24 23:10:05,unknown,15,海子，今天是他的生日，后天是他的忌日。看他生日忌日的年份，才吃惊到要妄想，要揣测，要唏嘘，如果他再多活70天，会在哪儿？会干什么？是投入洪流中去流血呐喊在枪口插上一只花，是作一首惊天地泣鬼神的诗，抑或只是形单影只地走在前门大街数着自己的影子。他的传闻，他传闻中的女人，他传闻中女人给他划下的伤痕，我们不要再想，也不要再问。我只希望这个春暖花开的天，十个他，没有寂寞，没有孤独，没有痛苦，可以在戈壁，在雪原，在德令哈，在怀宁，在世界任何十个百个角落全部复活。眼中映着大海。
豆友1120428,4,2006-04-07 22:40:25,unknown,14,当初火柴读海子，有人说火柴是疯子；现在人人读海子，火柴成了傻子。
琴酒,5,2009-01-23 18:01:34,unknown,12,他是来自年少的人。
moss,5,2013-04-29 23:57:37,unknown,9,万人都要将火熄灭我一人独将此火高高举起我借此火得度一生茫茫黑夜
桃鸢去远方,4,2009-12-20 10:03:46,unknown,11,我是从你的面朝大海，春暖花开认识你的。
我不是盆栽啊,5,2011-06-19 12:11:30,unknown,8,初中读物。极其迷恋。世俗的简单的得不到的温暖啊。
素手纤纤,5,2013-06-10 20:27:36,unknown,12,多年前读，今日读，一读再读，可知岁月磨灭去的不过是皮相，你留给我的本真，一直都在。
眠去,5,2007-11-02 17:37:25,unknown,7,在夜色中我有三次受难：生存，流浪，爱情;我有三种幸福:诗歌，王位，太阳
艾晨,5,2009-03-06 20:34:48,unknown,5,当然，这是无法超越的一个版本.
Yukii,3,2016-03-26 19:37:58,unknown,5,还真是一点都不喜欢。除了某几句不错
阿难,5,2019-12-07 02:37:07,unknown,5,能够读懂并有所感悟的只有为数不多的几首，海子的诗歌当然是写得极好的，然而除非变成海子本人，否则恐怕谁也不能完全理解这些诗歌，阅读感受那些抽象的诗句、意象与意象之间的连接，就像是在与诗人的思想和灵魂直接对话，缺乏足够的阅历和想象力，以及敏感多情的内心，还有诗人写诗时的心境，都会造成沟通理解的困难，这大概也是海子的诗歌抒情到了极致，所导致的遗憾吧。
阿里西亚,5,2016-01-21 15:39:52,unknown,9,大家只记得你的“面朝大海春暖花开”，而我只喜欢那句“黑夜一无所有为何给我安慰”。
花儿果果,5,2008-10-11 21:37:26,unknown,4,还能说什么呢，一个最纯洁的人。
我爱阳光,5,2007-09-30 19:41:19,unknown,5,他的诗令我痛苦地热爱着生命~
一阐提人,5,2006-01-26 16:04:29,unknown,3,最喜欢《日记》
苏远,4,2009-03-26 16:43:19,unknown,3,月亮是红豹子，森林是绿豹子，少女是你们，生下的花豹子。
赞成的巨兽,5,2012-08-11 01:17:03,unknown,3,烈诗！
4,5,2008-07-15 16:29:27,unknown,2,太阳是太阳的头，野花是自己的诗。
萝卜头,3,2020-10-21 14:52:32,unknown,1,还是古诗好
瓦达西瓦又又又桑只爱这巧克力,4,2012-05-03 16:05:27,unknown,4,选集。有几首不太明白。
Jesse Wang,5,2021-08-11 01:38:48,unknown,2,一个浪漫的，充满理想的孩子。一个失望的，属于大地的海子。
劈头士》睁木,5,2011-08-27 22:40:31,unknown,1,一位前辈，但是这样的称呼对他而言似乎又太重。。。25岁以后没有诗人～
蘑菇大人,5,2006-04-20 01:14:37,unknown,1,少年英雄。
NRain,4,2011-06-18 19:12:53,unknown,1,十个海子，十个太阳。
小十三,4,2011-04-25 22:13:45,unknown,1,林间的阳光劈断你，像劈断南风。你把手枪打开，独自走回故乡。
甲🎹,3,2007-04-26 15:04:39,unknown,2,一直觉得读诗是件很难的事情.要时间地点温度感觉都对了，诗的意境才能体会.我就是老不对.所以既没看到大海，也没闻到花开
大甜甜~~,5,2010-11-18 23:42:54,unknown,2,惊为天人。
piaopiao,3,2008-07-22 14:04:48,unknown,1,我坦言：读不太懂
xi as usual,2,2008-06-24 09:27:22,unknown,1,怎麽都不喜海子。
从前有座山,3,2010-04-02 21:58:11,unknown,1,装吧。。。。装吧。。。。
辛夷子,3,2009-01-25 13:36:32,unknown,1,不是很喜欢他。
