user_name,star,comment_time,geo_ip,vote,short
Περσεφόνη,5,2011-09-08 09:54:43,unknown,290,从小到大就莫名的痛恨那个脑残王子
小克,5,2015-04-03 23:35:34,unknown,160,这么多年后重读《海的女儿》，依然觉得这是个特别特别好的童话，因为小人鱼在那样撕心裂肺的痛苦之后可以超脱，因为安徒生对整个人类怀有深沉温柔的感情，相信人类有不灭的灵魂。这个我是不信的，因为不能信，尤其羡慕他。
Sophie  Z,5,2014-10-15 01:22:07,unknown,69,公主要等到15岁才能去看海面上的世界，最向往那个世界的公主年龄最小，她要等得最久。
我不是盆栽啊,5,2010-12-27 00:15:16,unknown,58,日出时海面上的泡沫。
账号已注销,4,2016-11-19 18:44:37,unknown,58,这个故事让哲哲产生了三个感悟：第一，爱不是占有，而是成全。第二，当你有为他人的幸福而牺牲的善念，就有了灵魂。反之，当你为自己的幸福而牺牲他人，就失去了灵魂。第三，即使是为了终身的幸福，也永远不要和魔鬼交易。可惜，童话的目标读者是儿童，所以必须要有相对圆满的结局。如果这是给成人读的文学作品，直接在海的女儿化为泡沫时结束，那种强烈的悲怆感，更能打动人心。
书鬼,4,2015-08-12 12:47:37,unknown,27,《旅伴》真是越看越喜欢，有点哥特味道的故事。小美人鱼渴求的并非王子，而是一个不灭的灵魂。
商夏,5,2012-07-27 14:05:12,unknown,16,现在想来小时候看过的童话基本都很悲伤，那时候为什么没有注意到这一点？
淳子小姐,5,2009-02-04 15:37:23,unknown,5,就是美……月光下化作虚妄的泡沫时。爱情也丧失。
一个小标点,5,2012-04-02 14:58:13,unknown,2,最好的童话，什么时候看，看过几次，都觉得感叹。这套书版式特别好，横排，繁体，78年版，略泛黄的书页，特别有读感，特别喜欢。
丟奋斗同學,4,2009-11-18 21:13:28,unknown,2,在爸爸的柜子里看到的呢~
核桃,NaN,2011-01-15 17:01:04,unknown,3,小时候看的就是这本。在静安区少年宫看到连人带椅子翻倒。那地板好亮好滑！我觉得那里象宫殿
岳宋,4,2010-07-05 14:05:06,unknown,15,为什么让我们相信有王子，又让我们知道王子会爱上别人？
风情绝代小萝莉,3,2012-11-21 13:15:41,unknown,3,在我看来，安徒生童话过于追求文字的精雕细琢，因此一篇故事总会拉的太长。适当简练，可读性更高。
许莲子,5,2009-05-15 22:07:05,unknown,1,T.T不开窍先学识伤心
黑花花,5,2011-05-03 00:03:49,unknown,1,矮油…这才花了两个晚上就看完了所有的~好怀念。。。下面开始温习格林童话！
粟冰箱,5,2020-03-31 15:07:59,unknown,1,《海的女儿》太美了，永远不会过时~《打火匣》《大克劳斯和小克劳斯》其实都还挺残酷的，那种人物的奸恶，安徒生远不止是个童话作家啊。
糖分王,5,2014-01-28 17:37:43,unknown,1,海的女儿和快乐王子，最喜欢的两篇童话
大秦在逃兵马俑,5,2019-03-23 14:07:34,unknown,1,被世纪撸过的最人类不可动摇的痛点解决最广大劳动人民的快感
[已注销],NaN,2010-12-30 17:51:33,unknown,0,精装硬壳的，是老姨送我的生日礼物。
万爷小名叫万年,4,2011-12-12 15:16:48,unknown,1,安徒生童话里我最爱的一个故事~！！！
