user_name,star,comment_time,geo_ip,vote,short
mOco,5,2012-10-28 23:25:48,unknown,3911,“李银河，你好哇”——这六字太动人了。有多少人因为他们再次相信爱情的存在。
バカ蓝蓝,5,2011-10-07 23:12:05,unknown,3058,你怕什么呢，我永不冷漠。
茶喵喵,NaN,2013-03-18 10:37:18,unknown,2126,活过写作过爱过最近两个月读了30多本书这种畅快感远远高于买了一堆没用的Hermes等奢侈品
Hey Johnny,5,2012-04-12 00:17:51,unknown,2071,“你想知道我对你的爱情是什么吗？就是从心底里喜欢你，觉得你的一举一动都很亲切，不高兴你比喜欢我更喜欢别人。你要是喜欢了别人我会哭，但是还是喜欢你。你肯用这样的爱情回报我吗？就是你高兴我也高兴，你难过时我来安慰你，还有别爱别人！”——读的人比写的人还脸红。
三个背影,5,2009-09-03 12:08:03,unknown,864,"""一想到你，我这张丑脸就泛起微笑"""
游牧人·芳汀,NaN,2013-03-31 19:05:45,unknown,460,翻来覆去滚来滚去~~~傲娇的小波同学卖得一手好萌╭(╯^╰)╮，害俺深切地对李银河同志感受到了强烈的嫉妒之情——“你好哇，李银河。”“请你不要吃我，我给你唱一支好听的歌。”“当我跨过沉沦的一切，向着永恒开战的时候，你是我的军旗。”
亚比煞,5,2010-11-06 09:15:17,unknown,398,你要是回来我就高兴了，马上我就要放个震动北京城的大炮仗。
[已注销],5,2014-12-19 13:16:32,unknown,319,早些时候看这本集子的时候，就觉得王小波真是可爱，对李的情感表达那样的万里无云。当时觉得这是王的个人魅力展现。看看如今李奶奶爽朗的公开声明自己和多年爱人的一些情况，坦坦荡荡（虽然那是私事儿不说也没人可以指摘），觉得这样的女人真配这样清朗的爱。
路边小狗,4,2012-10-16 22:18:16,unknown,285,“我发觉我是个坏小子，我爸爸说的一点没错，可是我现在不坏了，我有良心了，我的良心就是你。真的。”
劣质的海带酒*1,5,2013-07-03 23:03:48,unknown,264,他写那么多那么好的信，如果最后他们没在一起，会不会就都成了笑话
