user_name,star,comment_time,geo_ip,vote,short
Reflection,5,2015-08-08 00:32:01,unknown,5272,我敢说我从前读这本书的时候并没有真正感同身受。难道这不就是人的一生吗？从无知天真的孩童成长，变成掌握知识的人，最后垂垂老矣之时变得糊里糊涂。而且变笨的时刻未必是在衰老之后，许多当年的神童大学毕业后工作几年便泯然众人，然后不会再记得年少时聪慧的念头闪过脑海的感受。
李娇娥,5,2015-12-15 10:59:12,unknown,3786,中篇已经够好了，长篇细腻是细腻但整体并没比中篇好太多，没体现出扩写的必要（但还是哭晕了18回（然后看到有人因为“错字太多”给了3星，哭晕第19回
白玉京,5,2015-05-30 17:00:34,unknown,2847,飞机上看完的，然后在机舱一直哭。。。几年来看到的最好的小说。这被称为科幻小说，事实上科幻是形式，打动我们的还是人性。从不曾拥有和曾拥有全部然后眼睁睁失去到底哪个更令人无法忍受？
Agent Q,5,2016-02-29 20:39:29,unknown,3600,另人心碎的便匆名之路
Margaret.,5,2019-05-26 23:03:39,unknown,2558,我本可以忍受黑暗，如果我不曾见过太阳。阳光刺破我内心的荒凉，它却化作另一种荒凉。——艾米丽.狄金森
♢Triticum†L.,5,2016-06-05 13:22:20,unknown,1460,黑暗不可怕，可怕的是见识过了光明又重归黑暗。“我不会忘记阅读那本淡蓝色封面的书的美好感觉”，这是我读过的的，对知识的最高，最真挚的礼赞，不含一丝矫揉造作和虚荣刻奇。总之，此生，知识与爱，都不可或缺。
auboutde,5,2015-05-31 01:50:22,unknown,1129,罗素的三种passion真的无论什么语境都适用对爱的渴求对知识的探索对人类苦难的悲悯书里有个概念非常有意思“智商”是量化尺标的最高额度像量杯外的刻度其中的“智慧”是要自己去填补的
胖植物,4,2015-09-05 22:46:31,unknown,1042,看完了，只有一句话，草泥马我的心好痛。
小洋葱,5,2015-10-06 22:53:16,unknown,706,受教育越多越容易自恃优越，这跟从网上看了些二手信息转头嘲笑他人无知也没啥区别，鄙视链这种东西不能当真，保持一颗开放谦卑的心，自勉～
I𐤨ЭЯ.R18,4,2017-05-03 18:25:50,unknown,919,搞不明白为啥要把这本归到科幻类...“idiot（白痴）也会有id（本我）吗？”那句挺戳人的。
Fornever,5,2015-07-11 23:42:59,unknown,781,没想到如此沉重。不过仔细回味了一下最后几章，如果查理能彻底忘掉自己变成天才的经历，似乎也不那么令人难过……只是再没有人给阿尔吉侬坟上放花了。
一寸喜,5,2018-08-04 16:42:10,unknown,950,好像一个自然人的浓缩。从窘迫的童年飞速成长到青壮年，再急速萎缩。这期间遇到的人形形色色，你爱的和爱你的，同情你却也嫉妒你，帮助你却也憎恨你，生养你却也仇视你，冷漠地亲缘关系，温暖的抚养关系。当你无知时似乎失去一切却也拥有一切，当你拥有聪慧却发现人性的媚俗和恶劣。而你自始至终不过想要确认一件事，你是一个人。
Gla,5,2016-01-28 21:51:58,unknown,918,从流畅的报告出现第一个别字到它越来越多的过程，绝望。
如来,4,2015-06-05 12:33:10,unknown,311,不算差，但评分虚高了。故事也并非那么震撼，作者的文字能力显然也只是科幻作家级别的，还是要靠叙事技巧和故事加分。改编电影竟然还拿过奥斯卡最佳男主角。
夢殊,5,2015-06-09 17:25:37,unknown,383,带入感强的作品，就是动人心魄、扣人心弦的好作品。读毕最后一句，查理·高登请求有空在他公寓后院小白鼠阿尔吉侬的坟茔上献花的一刻，真是撕心裂肺，五味杂陈。珍惜每部让你战栗过的作品。
spring,4,2017-05-20 19:55:52,unknown,426,升降梯开始下降的时候，你知道总会落到谷底，却不知道什么时候会到谷底，只感觉一天比一天更低了。就像只剩归途的人生。残忍。如果知道是这样的便匆名，阿尔吉侬还会想要便匆名吗？
