user_name,star,comment_time,geo_ip,vote,short
释凡,5,2014-08-23 16:55:52,unknown,235,绝世经典佳作，王尔德这个抛弃妻女因为不伦恋被争议奇才作家，笔下富人虚伪贪婪，穷人疾苦受辱，追求爱情者则屡屡化为泡影。《快乐王子》为爱奉献、《自私巨人》梦想与现实、《神奇的火箭》《星孩》愚昧嘲讽、《夜莺与玫瑰》痴情牺牲、《渔夫与灵魂》肉体与灵魂欲望关系...令人毕生铭记
7酱™,5,2012-02-14 10:55:47,unknown,200,不是王子变成了快乐的燕子，也不是小怪人打动了美丽的公主，更不是骄傲的火箭在众人的眼光中华丽夺目的谢幕。他们以各种形态死去了，这真是童话般幸福的结局。
撒旦的表妹,3,2010-05-13 21:29:55,unknown,100,"看了下众人的评论，出现频率最高的两个词——""忧伤""""美丽""。是，极尽繁琐华丽的描写是美，但是这种过于修饰的美看多了就会觉得是一种负担，跟人一样，久而久之会感到厌倦。第一篇，第二篇，每一篇都是这样，辞藻堆砌越往后越索然寡味以至于烦躁，也许是那个时期所有作品共同的特点。这样的童话给成人看看就罢了，孩子还是去欣赏点简单的东西吧。"
曲若木风,5,2016-08-09 14:09:41,unknown,67,执迷不悟的从来没有结局，自私的大彻大悟只要一瞬，善良的都耗尽自己最真挚的情感直到死或心碎。
亚比煞,5,2017-03-07 20:01:36,unknown,43,一本太残酷的童话书。不能讲给小孩听。
Ying,4,2011-09-24 06:30:22,unknown,23,“我真担心我把他给得罪了，事实是我给他讲了一个带教义的故事。”“啊，这事总是很危险的。”
翯莹,3,2016-05-28 15:50:04,unknown,13,没被任何一个故事打动，尴尬
小晨,4,2012-07-31 11:31:48,unknown,13,有的喜欢，有的读的晕晕乎乎，有的完全找不到章法。到底几岁才是适合读童话的年龄。
is4dog,4,2010-07-28 07:41:27,unknown,5,你什么都知道，什么都说。其实不该给小盆友看，我们看看就好。
我爱阳光,4,2015-10-01 13:03:53,unknown,3,还是喜欢安徒生。
知未,5,2010-04-15 21:58:37,unknown,10,王尔德~好像总有一丝说不清道不明的忧郁的贵族气质，深深的忧虑和像海洋一样博大的慈悲
ZoeWong,4,2018-07-31 15:58:01,unknown,8,-他为什么不再跳舞了呢？-因为他的心碎了。-既然这样，那么以后来陪我玩的人都不能带心才行。以后就给我儿子闺女念这个，灌下毒汤，茁壮成长。
.捉摸透了姑娘.,4,2015-10-16 09:14:19,unknown,7,就喜欢童话里那些黑暗的东西毕竟童话是用来幻想的残酷的真实才是生活
spring,3,2012-01-27 14:24:34,unknown,3,不是很喜欢这种风格的童话，觉得写得很曲折和跌宕，情节冗余，很多对表达主题貌似没有意义，没有格林童话的简单明了，又不像安徒生那么精致。而且有的结局和寓意都有点莫名，比如星孩那篇，本来是想写大团圆的，而用最后一句话就很莫名的把结局毁了。颇像麦兜他妈讲故事啊。如果给孩子看，会看不懂，如果给大人看，会觉得想说的道理没有说清，又谈不上情境美。拙见。
迷藏,5,2010-07-14 10:49:30,unknown,4,当你被这个社会恶心的不行的时候，幸好还有童话。
書淺,5,2012-10-15 14:33:39,unknown,6,沒想到，最讓我難過的童話，是王爾德。他筆下滑稽人物，付出熱情和如火的生命，到頭來一腔犧牲，被棄若草芥。千般癡萬般眷，抵不過一句不在乎。夜鶯鮮血澆灌出的玫瑰，小矮人因愛破碎掉的心，踩在腳下，扔在溝中，忘在風裡。這麼殘酷的童話，讓人連一句遺憾都道不出。不遺憾，只是滑稽，連自己都要笑。
李桃杏子,4,2009-12-12 13:17:46,unknown,3,人心真好，果然世间还是人最好
阅微草堂,5,2012-12-30 01:20:26,unknown,4,最好的童话，其实是我们每个人拥有一个爱人的心
青绿十一,5,2015-04-20 19:42:46,unknown,2,爱比智慧财富都重要。
大秦在逃兵马俑,5,2019-03-01 00:03:20,unknown,2,因为读起来太幸福了🥰so每天只舍得看一个故事
阿有,4,2021-01-17 12:38:12,unknown,3,读的不是这一版，翻译质量差强人意，以后读书一定好好挑出版社，实在不行读一半也要及时止损。一开始是奔着【夜莺和玫瑰】还有【林徽因】来的，把九个故事读完后，发现也就只有这个故事感觉惊艳，不知道是不是因为其他篇目翻译质量太差的缘故。小时候读书只喜欢看故事，大了读书想从故事里获得启迪，这本书不太好看，只能说我读得太晚了。
花二刀,NaN,2009-02-02 19:20:57,unknown,1,牛
沈入忘🌟,5,2018-07-09 23:58:16,unknown,1,长大了再来读童话，真让人觉得忧伤啊。
Mooning,NaN,2013-09-06 12:21:36,unknown,1,第一部好看多啦，自私的巨人太感动了..【你让我在你的花园中玩过一次。今天我要带你去我的花园，那就是天堂】磨坊主太可恶了..恨得牙痒痒（ˋ＾ˊ〉-#
阿梦,5,2010-02-04 15:02:13,unknown,1,每个故事都直指人心
白 泽,NaN,2008-10-19 15:02:02,unknown,1,个人喜欢《星孩》.
蒙布朗,4,2009-04-27 11:01:04,unknown,1,王尔德早就知道要用剪刀分开影子了，而且影子就是灵魂
我算哪块小饼干,5,2011-03-23 21:20:02,unknown,4,一个多么纯洁的人，才写得出这样的童话。
懒人老猫,5,2007-10-19 09:23:29,unknown,1,很好的童话，很有意思的作者
巽,NaN,2007-12-14 18:00:45,unknown,2,最喜欢这妖人.
♡  FreyaM,5,2011-12-04 07:17:56,unknown,0,啊啊啊啊啊啊啊啊啊
菇菇不明白,4,2013-01-31 16:59:26,unknown,0,2013.1.30嘻嘻，治愈系
女,5,2012-01-21 09:46:27,unknown,1,theworldisascruelasitis，butyouhavetolive，andfindthebeautifulone.
改名叫无名,5,2007-09-14 21:48:27,unknown,2,没有人像他这样华丽而绝望地写童话
Fifio,4,2012-06-06 21:17:24,unknown,1,写童话的人是成人，好的童话一定折射出人性、环境最真实的本质。
司徒佩德,5,2015-09-26 19:00:25,unknown,0,好喜欢王尔德
章鱼大头丝,5,2010-02-28 16:32:31,unknown,0,忧伤的爱。
