user_name,star,comment_time,geo_ip,vote,short
Cambrian™,5,2014-02-04 07:41:19,unknown,17762,新版封面，严重剧透。
苏比,5,2014-01-09 22:23:11,unknown,9825,把小说写成这样绝对是开挂了吧，除了连番登场的几十号人物，随处雕琢的大时代的背景也让人叹为观止。对人性的挖掘比起吉田修一还是弱一些，就是纯好看，从第一句开始吸住你逐渐往往里掉。
蛍,4,2016-01-18 13:34:11,unknown,7818,情有可原，罪无可恕。
也许,5,2015-10-21 10:54:22,unknown,8087,故事中男女主人公从头到尾没有一句对白，经典。
麋鹿橙,4,2013-04-08 11:58:12,unknown,5185,张无忌的妈妈也说过不要轻易相信漂亮女人她们的演技和城府都是你无法想象的无删减版本比之前的版本多了关于性的描写阴茎和乳房等词汇也直接被接纳进来前十章用来构建人物关系和埋下案件伏笔从第十章开始抽丝剥茧地隐现真相枪虾和虾虎鱼（雪穗和桐原）的关系日渐明朗遗憾的是关于后半段作者的笔锋开始出现倦怠没有给出很完整明确的指示或者暗示对于最后整体的真相的揭露也并没有很吃惊除了娈童之外其他的因果其实已了然于心
金笑笑,5,2015-12-06 23:45:52,unknown,4488,她一次都没有回头。
热朱巧克力,5,2016-05-15 13:31:24,unknown,3478,看到最后，居然喜欢上了亮司，这个从童年就带着宿命般悲剧感的人物。而雪穗则是个隐藏更深的悲剧。亮司至少还能为朋友留下祝福，而雪穗厚重的面具让人无从亲近。他在漆黑的夜色中如野兽般来去无声，她在永恒的白夜里衣冠楚楚。
微喵的兔姑娘,4,2015-12-26 12:44:50,unknown,2930,虽然精彩文笔老辣，但是读到一半就为里面透露出的残酷感到阵阵恶寒，有人说里面有爱情甚至还有人感动，但我真的觉得连爱情也无法救赎他们，如此变态扭曲的内心且多次作恶让我对此无法有任何宽容度，我甚至在读到其中一部分时有些反胃的不适感，但它是个精彩的故事，文笔深厚，在一段历史的走廊里细致勾勒了群像，等读完了故事，除了感叹也会留下深刻印象，对那个年代，对那些人，对这复杂的感情。我能理解人性在白夜中赤裸裸暴露出的罪与恶的凄凉与可悲，我知道是黑暗逼迫他们前行，但我无法认同和给予同情，个人的不幸不是伤害无辜的理由，自己过不好那就让他人也别想过好充满了自私残忍的私欲，道德在他们眼中已经没有界限，这多么可怕，这又多么真实。
宅蘑菇Moku,5,2014-02-27 22:26:04,unknown,3129,「就算残忍的对待这个世界到窒息，也要永远在看不见的地方守护你。」推理细节丝丝入扣，结局短促而突然，让人猝不及防却意犹未尽。
夏维克 Vic.,5,2013-05-02 09:10:40,unknown,2706,世上有两样东西不可直视一是太阳二是人心
小蓝。,5,2015-09-24 15:03:42,unknown,2393,他们只是想保护自己的灵魂。雪穗从不以真面目示人。亮司则至今仍在黑暗的通风管中徘徊。
卡丽,1,2014-07-05 16:19:02,unknown,1855,心理变态男女杀人放火互利共生的糟心故事突然想起宫斗剧台词。。再冷也不该用别人的血来暖自己
☂3呼,5,2015-06-02 01:30:42,unknown,2218,一般推理小说让读者做侦探。作者是最后的法官。。。东野圭吾一点都不屑这一套。把所有的线索一点点浮现出来，任由你拼凑组合，却直到最后一页也不肯把真相说死说穿。是是非非十九年。原来我们才是这个故事最后的法官。
Proton,5,2014-06-25 21:08:06,unknown,1284,終於第一次完整的看完了原著，啊啊，這根本不是愛情啊，就是共生而已。而且吶，是兩個都很貪婪的人的共生嘛，說愛情的，您別開玩笑了啊啊。原著很讚！
阿闲闲,4,2013-10-12 19:32:11,unknown,1310,其实一开始就猜到凶手是谁，可是还是忍不住一直读下去……真的，一直到最后一句话，寥寥一句话，一下子就把心情变得好差这真的是一句话见功夫的阿
亘亘LOOK,4,2014-04-23 18:43:16,unknown,1118,读完《白夜行》深感自己的生活简单而阳光心情大好o(╯□╰)o
$5 Pearls,3,2014-12-12 22:02:38,unknown,877,实在是不喜欢东野圭吾的书这本虽然一直很想拜读但其实看完了也就这样不明白为什么这么多人感动得鼻涕眼泪一起流
冷麦子,5,2015-04-28 18:07:40,unknown,1035,我觉得亮对于雪穗更多的是愧疚，是哪怕穷尽一生都无法偿还的罪恶感。所以他牺牲了自己去全力守护她。但是雪穗自那时起已经不是一个完整的人了，甚至说当她不再是自己的时候她已经疯了。在这无望的守护和绝望的爱情里面最可怜的却是那些曾经无私爱着他们的无辜之人！
Ada,4,2014-12-24 18:04:09,unknown,1106,两个残破的灵魂要相互支撑才能走下去。
坚定躺平的锡兵,3,2013-02-05 22:57:04,unknown,795,与其说是推理，不如说是犯罪小说，全书没有像样的谜团和诡计啊。作者说明了恶劣的天性和恶劣的环境容易诱发犯罪。虽然故事讲得很好，但主人公真不值得同情。
劉丹青Shelia,5,2017-09-01 07:39:57,unknown,821,她的一生都在索取，为了过去那个永远无法被填满的黑洞。
二P子,4,2015-11-14 16:00:19,unknown,764,这里面有爱情吗，我觉得更像是男主单方面的守护。
名残り,5,2015-03-14 12:42:01,unknown,534,原来这是一本用没写出的部分写成的书，而一切能诉诸文字的东西，其实多无趣啊。
尔尔,4,2014-09-19 10:10:34,unknown,573,与爱无关，就是共生。两个可怜的孩子，失去了灵魂，唯有一些碎片残留在对方身上。他们以为拼命抓住对方就好，但其实不是，两个碎片拼在一起，只能是个更大的碎片。在成人的世界，请好好对待，我们的孩子们！（东野老牛的，看完以后回味细节，也是醉了…）
糖罐儿~,5,2014-12-25 10:02:52,unknown,519,图书馆里这本书是我所见最难借到的一本，终于到手了，看之前容我狂笑三声😁
hamsik,5,2015-11-07 20:09:56,unknown,631,看完觉得这个书名也是叼爆了
Tomly,5,2016-05-03 23:03:29,unknown,585,两个喜欢逛图书馆的孩子，小学时就喜欢看《飘》，喜欢一起做精美的剪纸的孩子，他们的未来本应该是光明的，而恰恰是他们最亲近的父母，让他们直面了人性的恶，就像她自己所说，她的一生，一直是没有阳光的。这恶之花一旦种下，为什么要指望一个11岁的小女孩自己把她拔掉？
几月的雨林,5,2014-11-18 14:20:02,unknown,476,终于在昨晚熬夜把这本书看完了。无疑这是我看过的东野圭吾的作品中最好的一部。但是看完还是很压抑，整本书，我并没看出爱，只看到了人格的扭曲。大约我还木有看透吧…但是已经不想再压抑第二次。
狷介有乌青,5,2016-03-09 21:20:59,unknown,465,微弱的亮，照不开阴霾。蝼蚁的爱，抵不到终点。幽秘的心事，扭曲的人性，修不成你和我。
卡内奇,NaN,2014-07-09 19:47:45,unknown,428,伤害了那么多无辜的人，再凄惨的身世也同情不起来，最让我气愤的是，居然没有受到制裁！最过瘾的地方就是成年后侦探刑警出现，东野圭吾收网的时候。还是《恶意》最好！
一往而深,4,2016-02-03 09:52:49,unknown,406,自己的世界再暗无天日，将别人从阳光下抢走，去充当虚伪的白光，也枉为人。
