user_name,star,comment_time,geo_ip,vote,short
秋里,5,2012-01-16 13:28:58,unknown,21238,每个人都是孤独地出生，在这世间恍惚几十年并不漫长的日子转眼就远去了，然后再孤独地死去。生命注定是个悲剧，因为我们从没有融入世界，世界永远是身外之物。如果有幸，能在茫茫人海寻得一个身体与灵魂都与自己万分契合的人，与之存在一种可以称之为爱情的联系，然后一起承受生命中不可逃离不可消除的深沉的宿命的孤独。可是这般的幸运艰深难得。有的已失去了爱的能力，有的爱得深沉却无处安放，有的死在这爱里……在所有的爱里，孤独有增无减。生命只是一场幻梦。
PerfectCadence,5,2014-06-19 21:56:07,unknown,13956,看第3遍开始越来越让我惊艳的已不是马尔克斯而是译者了。太牛逼了！这样的文字就算是母语创作也属上乘。尤其倒数第二代布恩迪亚在飓风中破译羊皮卷的全书结尾，笔触磅礴，美到让人惊怖。
幽篁,3,2011-09-26 00:40:00,unknown,10051,为什么我觉得不好看呢？是不是我没文化看不懂啊！
方方土君,5,2011-09-11 18:41:24,unknown,4031,开始很吃力，越读越上瘾。惊人得叙事与潮水版的叙事，野兽般撕开真理得外衣。原来那句经典的开场白，源自这本书。从四姑娘的第一本书，也就开始了他的抄袭生涯。
[已注销],5,2014-07-04 11:33:39,unknown,3030,一口气读完但却没有能力评价。
空气,5,2015-10-30 23:55:43,unknown,2238,多年以后，面对iPhone9，正在发送朋友圈的我将会想起独自一人阅读羊皮卷的那个遥远的夜晚。那时的我坐在书桌前，以几乎不动的姿势一页页的翻阅，眼前的文字在昏暗的灯光下像水一样流过。不可思议的是，沉浸在这由难以承受的痛苦和无法摆脱的孤独构成的故事中时，我竟然涌起了类似于平静恬然的情绪，那是一种比夜晚幽会中疯狂而短暂的快乐更平和深沉的感觉。就好像我知道人终究会老去，但在阳光打到脸上的瞬间，仍然忍不住微笑。
同志亦凡人中文站,5,2012-05-08 06:20:07,unknown,1879,一个家族百年反复浮现的竟然就那么几个名字，加西亚真的很残酷。一代又一代就像被推上命运轮盘赌后不断开出的绝望点数，以致于在最后血脉断绝的一刻，我们感到的不是同情而是如释重负。然而家族可以终结，孤独却是无视时空的永恒存在。它从洪荒流淌至今，还将延绵万世，就像南美大陆奔腾壮丽的亚马逊河，碾碎一切人事物。
大懒糖,5,2012-10-21 22:16:04,unknown,1612,费尔南达真他妈烦人
Luffyjun,5,2012-08-16 22:43:21,unknown,1593,一开始我还为华丽的辞藻，荒诞的情节，冗长的姓氏感到烦躁不堪，但随着故事的深入展开，我才发现我错了。那么繁复的一大家庭，七代人的辉煌与落寞，激情与孤独，坚毅与懒惰，世俗与超脱，疯狂与冷静，就这样蔓延开来……叫人感慨的同时不禁也要叹惜一下，孤独的何止是百年
Anrean,5,2012-06-14 13:44:07,unknown,1397,家族的第一个人被捆在树上，最后一个人正被蚂蚁吃掉。
飞行官小北,5,2012-03-26 16:31:37,unknown,1292,大学时草草看过，这次是第二遍，顺带自制一张布恩迪亚家族谱。这本书的神奇之处在于，看完像是活了一世纪之久，一个人。
Tennyson,4,2011-12-05 15:47:50,unknown,927,我的睡前读物，确实起到了很好的催眠效果，每当我纠缠于这个奥雷利亚诺是哪个奥雷利亚诺的时候就倦意袭来倒头就睡。前半本的时候还勉强能搞清楚他们家的复杂关系，后来就彻底放弃了，我已经不在乎角色之间的关系，就专注于情节好了，WELL，一些隐喻呀之类的还算看明白了。但我真是烦啊……他们家人搞得神奇的过得苦的，特别是乌尔苏拉。
Gala,5,2013-05-04 13:51:31,unknown,877,庆幸是在我22岁的时候读到，没有太晚
丹AI🌵,5,2013-05-03 20:30:43,unknown,816,回忆没有归路，春天总是一去不返。车窗外瞬间闪过世间万象，如同将一首飞逝的长诗撕成碎片向着遗忘之乡一路抛洒。
Caramel_Grace,5,2014-05-11 21:19:31,unknown,671,伟大的小说便是这样，倾注了作者全部的精神和价值重塑一个世界。而人物、情节、文笔、风格不过是帮助组织架构这伟大工程的工具。原来以为会读不下去，但一开页则根本停不下来。翻译也很加分。
冰红深蓝,5,2016-09-19 15:14:04,unknown,576,"1.翻译：范晔译本极为流畅精到。2.读后私感：恍若亲历了一个世纪的风霜血雨与精神洗礼，马孔多的一切都显得如此遥远而真切。3.手法：魔幻现实主义，全知上帝视角和口吻，闪前/预叙（""多年以后...""）与穿插回溯，博大的家族史诗格局与不断复沓轮回的人名（奥雷良诺·布恩迪亚与何塞·阿尔卡蒂奥），生动细腻的描写。4.感情：对童年与故土的缅怀，对笔下人物的深切同情，永恒孤独与疏离，情欲的泛滥vs爱情的缺失，拉美酷烈的独裁血泪路与永远遭遮蔽改写的历史，荒诞而无奈的宿命感。5.细节折选：看冰块的下午，飞毯，失眠遗忘症，报丧血流及火药味，小金鱼，糖果小动物，蕾梅黛丝的超凡脱俗，17个儿子额头的灰烬十字，佩特拉·科特斯的性爱与牲畜繁殖，持续4y11m2d的雨，马乌里肖与黄蝴蝶，蚂蚁，羊皮卷预言，飓风刮走的镜城。"
黄不胖,5,2013-05-04 16:56:57,unknown,567,令人恐惧的伟大小说。无法摆脱的孤独与无力，梦想与激情皆成泡影，暴风之中，只剩回忆。
