user_name,star,comment_time,geo_ip,vote,short
豆友50084116,5,2014-11-06 19:56:12,unknown,1908,我的天呐，太牛逼了。我都懒得数也记不住读的过程中有多少段话牛逼的让我发出感叹。越到后面，那种聪明诡异的风格就越浓烈，越到后面，那种高超的文字技巧和耀眼的才华就越夺目显眼，可奇怪的是却不招摇，丝毫没有二流作家的刻意卖弄，一切都那么自然清淡。那种体面绅士的刻薄真是太温柔了，不聪明的人很难做到，很难把刻薄的火候分寸掌握的这么柔和友好。这，哪是小说散文和诗，这都不是哲学，是宗教。是反天堂反信仰的严肃的宗教。是告诫是警示是对未来的预言，文字中竟有神谕的味道，把友好和威严揉捏在一起。真是神了。好多处一下笔就能看出功夫，我都怀疑卡尔维诺是一个臭吸毒的成瘾人员，需要一直嗑药才能想出这些场面情节。但也有可能他只是天生大脑结构异常，具有过人天赋。字数不多的书，一天就看完了。
bluekee,2,2014-05-01 23:26:03,unknown,1844,没有人跟我一样看不懂？
子乙小姐,5,2013-08-29 14:33:39,unknown,1048,所以卡尔维诺说，你跑了很远的路，只是为了摆脱怀旧的重负。
evilelf,5,2015-06-08 23:30:25,unknown,546,有些人足不出户，也能遍历世界。木心算一个，博尔赫斯是一个，卡尔维诺是一个。
鸡兔同班,5,2018-11-17 15:18:14,unknown,387,语文老师应该要求每一个学生读完这本书，然后续写一个“看不见的城市”，这才是好的课堂作业。另外，我始终觉得，宫崎骏是看过卡尔维诺的。
不理不理,5,2017-05-12 19:42:52,unknown,159,吃迷幻蘑菇之后的感觉大概和看本书的感受类似吧
多年入睡障碍者,5,2017-10-19 09:49:42,unknown,155,我读（用嘴巴读出声音的读）完了整本书，因为太好看了！要读出来才不浪费！
渡边,4,2013-06-11 22:40:32,unknown,144,要么接受地狱，成为它的一部分，要么持久地警惕和学习，并寻找非地狱的人和物，学会辨别他们，使他们生存下去，赋予他们空间。
虫虫,5,2018-05-27 12:59:10,unknown,90,如果，去世界各地旅游的时候随身携带着这本书，会不会旅途中的每个地方都会在书里找到她的影子呢？
遊۞,3,2016-01-21 13:59:12,unknown,66,可是我不知道他要说什么==又是形式大于内容呢。
粟冰箱,5,2018-05-07 23:18:41,unknown,78,可以改名叫《马可波罗神游记，兼忽必烈闲谈录》，里面的城市都好好玩：输水管城市，交换记忆的城市，马戏团城市，悬崖间的蜘蛛网城市，角色扮演的城市，细长支架上的城市，宅神与守护神的城市，像纸一样正反两面的城市……不仅脑洞大，还处处闪烁着诗意跟哲思的灵光，太妙了。
