user_name,star,comment_time,geo_ip,vote,short
黄青蕉,4,2013-12-29 22:04:42,unknown,9291,看完我在想这不是写得挺好的吗，为什么那么多人吐槽她。后来想到也许时时自省在有些人看来也是一种做作吧。
ʚmomoɞ,5,2013-11-28 21:55:59,unknown,7742,我们面对同一个世界，却无法看见同一个世界。
夏珞,5,2013-01-07 12:53:43,unknown,4315,2013年的第一本书，好久没有一口气不停读完几十万字了。柴静的文章，写得细致、真诚，没有戾气；不刻意煽情，却依然直指内心。她四两拨千斤的劲儿，最动人。
小畅,5,2013-03-19 23:44:09,unknown,2805,最近一段时间睡前都在读这本书中度过，一度焦躁，想要搁置，幸而最近几晚心里都很安静，仔细读完后面的几章节。读完想说：不要批评她的文艺腔，她写得非常真诚，在她剖析自己的文字里，我也看到我自己。收获的不仅是新闻业务上的感悟，更多是体味了人生中那些共通的道理和美好的情感。
沉歌,5,2013-04-25 19:33:46,unknown,1336,朴素有力的传达我都接受到了，很棒！大多负面评价都是哗众取宠。
China Blu,4,2013-02-06 16:07:17,unknown,757,在我看来，能在一本书里看到作者反思、自省和自嘲的书，就是好书。因为这比单纯犀利的抱怨、抨击、讽刺、诘问他人要难得多。
一个小标点,3,2013-06-15 21:50:24,unknown,521,后边比前边写得好。她文艺，道德化，也上进，有反省意识，但有意思的是，如果仔细看看，在书里她引出来的，所有人批评她的，都有道理，她自己也承认，“要服务，不要表达”“不能用道德眼光看一切问题”“自我感动、感动先行是准确最大的敌人，真相常流失于涕泪交加中”“柴静是个漂亮姑娘。她自己也知道，所以老忘不了”……但她，就是不改。陈虻说，“你这个人靠语言是没用的，什么事都非得自己经过，不撞南墙不回头”，她的朋友也说她“勇于自省，永远任性。”如果说文如其人的话，为什么不从做人开始呢？”还是陈虻懂她。这是文艺女青年的通病，我自己读到阳明说“未有知而不行者，知而不行只是未知”也觉得枪中得妥妥的。“水无所起止，只知流淌，但总得流淌。山高月小，它要滴落，乱石穿空，它要拍岸，遇上高山峡谷，自成江河湖海。”最喜欢这句。
娅,4,2012-12-22 13:21:14,unknown,484,在哪里生活都是一样的，没什么生活在别处。地铁上满头小辫的黑姑娘在电话里跟男朋友吵架，报馆里都是开会熬夜菜色的脸，咖啡馆里两个花白胡子老头对坐着看一下午人来人往……人类只是个概念，一代一代人都是相似的生活，这辈子决定你悲欢的就是你身边的几个人。
小海,5,2013-05-18 17:07:05,unknown,451,读这样的书还是需要感性天赋的，不感性难得读开。那种感触，怎么说呢，就像泪水消逝在雨中。
CharlesChou,2,2013-01-31 17:24:39,unknown,225,本来说的是挺实在的事，全被那种圣母般的视角毁了，加上条目里某工业码字机器整的那一篇评论差点没让人吐出来。反复强调个体，反复强调自己的缺点和渺小，反复强调自己的痛和无力，加上之前铺天盖地的造势，我真的觉得她是在消费自己【看见】的人和事。
Longz,4,2013-01-18 01:47:11,unknown,226,对柴姑娘了解不多，但是看之前就觉得她是那种特别“用力”的人，不是很喜欢。但看完这本书，还是忍不住推荐大家都来读一读。以这样的经济和时间成本获得这么大信息和情感含量的阅读交易确实很划算。
hedgehog,5,2013-01-02 16:42:34,unknown,270,这是看了之后忍不住想写书评的不多的书
项微微,3,2013-03-06 10:15:30,unknown,202,实话实说，柴静的文笔还是很不错的。特意把这本书带给我那热爱世界的爸爸看，爸爸评价说：好像是很中肯地叙事……但里面怎么还是有种得意洋洋的感觉呢。
玑衡,5,2013-07-23 13:09:37,unknown,190,看到后面觉得有一点滥情，有一点“过分有同情心”。不过我作为一个滥情的人，觉得一个控制不住想要滥情的人，其实挺可爱的嘛。
阿朽,4,2013-09-05 21:37:24,unknown,192,文艺病仍有，自省的精神真是摩羯座的好习惯。
小岩井,4,2013-11-28 22:10:11,unknown,173,希望这样打从心底有人情味的记者和主持人多一点
临素光,3,2016-01-20 09:31:40,unknown,151,我只是奇怪，她亲历非典地震第一线、家暴反抗杀人的大生大死，为何还囿于今天某（著名）领导一个肯定的眼神、明天某（著名）领导一句敲打的话语？并且花近乎一半的篇幅来记录这些。是自恋？抑或格局有限。
安东,3,2013-04-23 14:53:22,unknown,136,字里行间，满满的自恋。
神威,5,2013-02-20 15:38:14,unknown,123,修行31st。书组的蠢材因人废言诋毁这本书良久，实际上这样纯粹干净不沾半点文艺腔充满正能量而不引人反感的书极为难找，何况它阅读门槛之低与内涵之高的强烈反差。好书易寻，这种给那些已经看不了深刻文章的老弱病残孕准备的低门槛高内涵好书何其稀少，强推一发，长评今日内送上
Q。,4,2013-02-05 11:04:20,unknown,105,柴静的节目看的很少，大多对她的关注来自于她的博客，也算默默无闻忠实粉丝那种。书中没有浮华的文字，有如当中提到的“真实自有万钧之力”，脚踏实地的东西总是很容易打动人心。文章结尾对待诸多都不曾妄下定论，留下空白让人独立思考，最终的判断是由自己完成。这些人和事就像一道光，映射出了每个人生活的轮廓。
毛香菇,3,2014-04-12 10:52:01,unknown,103,她实在不适合写作
十三,5,2013-01-08 13:19:58,unknown,82,关怀时寻找准确，客观时拒绝凉薄，一步一个脚印克服局限，才走得远，站得高，问得深，摆得正。这是一个女人写的书，一个记者写的书，更是一个人写的书，这其中有一以贯之的悲喜起落，可以映照每个人的足迹。我所理解的人心不死，所指的就是这样的人心。
大島,4,2013-01-02 00:04:05,unknown,75,她不需要阐述什么，在她的字里行间，你自会明白她想说的道理。
Ava🐒,5,2021-04-08 01:58:52,unknown,180,真别怪她走了看看她以前都拍什么还有人敢吗
欢乐分裂,4,2013-05-11 11:40:34,unknown,58,微博时代人人皆公知，可那些火速走红又迅速凋零的信息，除了激起短暂热议外能改变现实分毫吗？之前没看过柴静任何采访或文字，单看此书，不谈国是，她对自身成长的内省和干干净净不失调侃的行文，很有可读性，尤其喜欢卢安克一章，假如拍成电影应该由赫尔佐格来执导；专业缺失、情绪弥补，仍显刻意，扣去一星。
王清欢,5,2013-01-10 20:02:06,unknown,77,在你不故作女性状，不故作忧郁状，也不故作活泼状的时候，你的气场开始凝聚。在遵守基本的行为准则和礼仪的前提下，你本身真诚的东西，最最引吸人。
成知默,4,2013-02-17 13:33:04,unknown,62,柴姑娘说：“采访不用来评判，只用来了解；不用来改造世界，只用来认识世界。记者的道德，是让人‘明白’。看她透过犬牙交错的生活来凝视人心，看她切开皮肤、直入筋骨的自省，不粉饰，不造作，有着一种妥帖的自然与真实。
S/Z,3,2013-01-17 16:50:21,unknown,77,柴静的优点就是她不断在反省，并不想着在体制内混混就算了，这在中国已经很不容易了。缺点是教育和知识结构太差
小波福娃,3,2013-08-06 14:03:14,unknown,48,刚看完给打了２星，可能是因为之前期望值太高了吧，毕竟没看过她的电视节目。觉得很多地方可以讲深入一点，但抒情一下就过去啦，很文青的一个人，但也许这点文青气也是可贵之处吧。
渡边,4,2013-02-16 15:57:53,unknown,86,不必拿家国人性道德大事拷问一个小女子，这就是讲述柴静自己的故事。写的挺好的。
北,4,2013-01-13 12:31:35,unknown,55,柴静是个什么样子，不需要这本书告诉我更多。对我自己，这本书的益处在于它教我怎样认识新闻，怎样思考一个新闻事件。它提供观念、认知和思考方式的更新，更顺道提醒我又该自我反省了，这不是作者的意图，但本书却起到了这样的作用。（嗯……还是觉得文字有点煽情。）
前江湖唱片麦田,2,2013-10-12 21:41:10,unknown,48,实在受不了。。。。。
小川叔,5,2012-12-21 10:03:56,unknown,57,这是我阅读里见到的第一本，没那么丰沛矫情和矫饰的情感，有的只有冷静和深沉，我想文艺青年让文艺成为生活本身，而采访则让生活成为了生命的厚度。
韧勉,3,2013-01-19 12:15:53,unknown,34,其实我觉得这本书的深度就是比《读者》要《格言》一些的水平，评分那么高或许是因为女神很大众，另外我也有疑问，为何都是干瘦干瘦的女新闻人，大家都要黑鲁豫，而捧柴静呢，这是为什么？
苏乏,NaN,2013-03-08 16:23:00,unknown,37,这是一本由有争议的公众人物撰写的有良知的书，它不仅厚，还卖得好。我更想说，它有一种力量，可以让每一个认真阅读哪怕十页的读者想要变成更好的人。如果有人觉得我说错了，我只能表示由衷遗憾。
西风吹吹,5,2013-01-06 22:35:29,unknown,46,强大的人不在于能够征服什么，而在于能够承受什么。剖析自己，感受他人。读完总觉有太多共鸣。好记者如柴静。
逆风飞扬,5,2013-09-04 21:52:49,unknown,26,柴的文笔很好；我要收回自己之前的成见，她混在那时那地，确实不算煽情了，在大陆的环境下，柴式新闻说不准比闾丘新闻要现实些
一只麦麦,5,2013-08-02 10:50:37,unknown,33,柴静的自省集。以前不太喜欢她，因为她性格太执拗，有不近人情的地方。而今读了这么一本书，她用锋利的小刀，把自己的缺点剖析给自己看。文字洗练有力道，不像出自小女子之手。她自己总结得最好：“他们是流淌的，从我心腹深处的石坝上漫溢出来，坚硬的成见和模式被一遍遍冲刷，摇摇欲坠，土崩瓦解。这种摇晃是危险的，但思想的本质就是不安。我试着尽可能诚实地写下这不断犯错、不断推翻、不断疑问、不断重建的事实和因果，一个国家由人构成，一个人也由无数他人构成，你想如何报道一个国家，就要如何报道自己。”
Sarcophagus,5,2013-01-29 14:29:57,unknown,32,北京的冬天，没有雾霾反而不正常了
Echor,5,2013-01-07 18:16:25,unknown,38,我不能以作家这个身份来看待写作的柴静，这本书每个章节都做了摘抄，柴静写的不单单是采访记录，更是她如何“看人”的过程。
丹AI🌵,4,2015-11-10 19:37:27,unknown,26,虽然有些散漫，但试图看到人的努力很宝贵。
子东文,4,2013-02-27 08:02:41,unknown,30,隐隐的觉得，这是柴静最好的时候，但最好的时候在出完这本书后就要过去了。她的难得在于一种青涩的真诚，虽然不能说以后就不真诚了，只是当她不再伴随着跌跌撞撞勇往直前，仍在迷茫中的人们也就失去了一个同行者。买这本书，是一种纪念。希望成熟后的她，会散发出另一种光芒，从一个坚持理想的女孩，蜕变为充满睿智的女人。
剧旁,5,2013-08-03 12:19:34,unknown,21,好几章把我给看得老泪纵横，有时候沉浸在恢宏的词汇中太久，偶尔被这种书从书斋拉回到物的世界也挺好。看见很多人说这书这人矫情、装、小资文艺，心里老想起熊十力对徐复观的教诲，唉，眼中只看见她的缺点，于自己的思想可有半分好处？不如不读。有些人说她这书没文化没深度，比不上赵汀阳的书，我哭笑不得，压根不是一个类型，比个毛线球啊？
烟波人长安,4,2014-01-15 18:19:31,unknown,23,撇去那些莫名其妙思考人生的部分，还是很值得看；柴老师的文笔简练、直白、有力量，这才是“鸡汤”应该有的样子
哦基米德。,4,2013-01-13 16:05:12,unknown,30,你不能说这是一本完美的书，它仍有些地方稍显自负自足，但是它也勇于自省自嘲。它没有企图在教育你，鞭策你，她希望客观讲述一些你看不见的人的生活，她自己的生活，然后去思考。这是朴实的力量，是生活的力量，是人本身所蕴含的力量。会在读的时候有欲望读完它，在读完之后推荐给别人，这就够了。减一分给太过于描述真善美的角度，事无完美，无真善，无全无丑恶。
沈十六,3,2016-07-11 08:06:15,unknown,28,当时读的时候，还没有人专门黑柴静。
小呆猫,5,2014-08-26 13:31:19,unknown,36,去看见，不要去评判。
火山上的一坨石,NaN,2013-04-29 13:48:15,unknown,19,不管现在柴静成了多么入门级的所谓文艺女神公知女神····至少我从初中起开始看她的博客，终于等来了这本书。我们都在变化。挺好的。
余颜,5,2018-01-20 12:42:58,unknown,25,感谢某师推荐，一举扫除了原有的对柴静的偏见（其实雾霾调查后已几近消失了）。作者显然没什么理论素养，但其工作却不得不牵涉到种种看似深奥的「学术议题」，这种思考与作者自身的性格、经历、工作的特殊性质（不得不去思考真实的边界、表达的作用、时代的症结）乃至那群新闻人的存在都有关联。可是又是谁规定这些内容是某种「学术议题」？她看见了，我便也可能得见。看见自有它的力量，并非我可以全然把握的。至于批评，仅个人口味言，语言、书写多少显得不够节制，可是作者既然已经自我批评，更有那个无处不在的陈虻提醒读者，语言之情感也就变成一种个人选择，我亦无从指责。现今的问题或许是，我们又要再借谁的眼睛去看见？
安提戈涅,5,2013-01-14 20:24:19,unknown,31,有些生活格局是本身就是一种气度，有些认知方式也默默暗示着判断力的精准。看这本书时太多次停驻遐思，虽则经验与文字感终究是别人的，我只等待生活如春雨般缓缓浸润、如树一般自己长起来。
李小丢,5,2012-12-30 21:44:08,unknown,22,就这样放在床头，时而翻一翻，让心安静下来。
肥匪廢·老🐰,5,2012-12-20 10:00:07,unknown,22,先睹为快，几乎是一口气读完的。是时正在狂流鼻涕，纸面巾一张接一张，也顺带抹几把或感动或触动或煽动下来的眼泪。她的文字跟她主持节目一样，清泉石上流，又像雕花刀一般，不动声色之间就剜出本质，强调只提供信息，不引导取向，尤其是有大量生动的细节、对话和心理动向，留待自我去作价值判断。近来读的非常棒的一本书，你不可以错过。现在都有人封她为“大慈大悲柴世音”了，相信她知道之后，还是会，淡淡一笑，宠辱不惊吧。再多的文字评论都是枉费，不如去读一读吧。
长安,4,2013-07-12 19:28:15,unknown,22,铁肩担道义，妙手著文章
