user_name,star,comment_time,geo_ip,vote,short
一年减肥300天,5,2009-10-06 14:42:43,unknown,3098,我走过山的时候山不说话，走过海的时候海不说话，我的小毛驴滴滴答答，倚天剑陪我走天涯，人人都说我是爱上了杨过大侠，才在峨嵋山上出了家，其实我只是爱上了满山的云和霞，象极了十六岁那年的烟花。
水仙操,4,2012-05-11 18:51:33,unknown,1350,郭芙一人全力担当起了反派的重任（╯－＿－）╯╧╧
瓦达西瓦又又又桑只爱这巧克力,3,2012-09-03 01:06:55,unknown,786,我是不太喜欢这本书的。之前看的时候不懂爱情，现在懂了爱情不信痴情。尤其是书里的人物性格基本上都让我喜欢不起来。女配们全是花痴女屌丝天天不干正事就知道追星，追杨过这个无敌帅哥。而杨过招蜂引蝶之后留下一句我只爱我姑，您的泡妞技法真是高啊！直接导致郭襄女侠创建峨眉，情窦初开遇见一个跟她搞暧昧的调情高手，你说让她以后能看上谁？
诸葛若见,5,2011-12-13 16:24:54,unknown,473,射雕三部曲中最爱的一部，情大于武。
沉默の玩,NaN,2012-10-24 22:29:47,unknown,379,要不是所有人都反对，以杨过贪玩搞怪的性格，未必就耐得住跟小龙女清心寡欲的过一辈子。
紧握刀锋,1,2015-10-10 23:27:19,unknown,251,最讨厌的金庸作品。好一个杨过，出门走三步碰见一个愿意传授武功的高人，走五步碰见一个愿意以身相许的美女，走八步拾一本绝世秘笈，人还绝顶英俊，还绝顶聪明，还绝顶不羁，还绝顶痴情。。。拍青春偶像剧么？
陈小一,5,2016-02-22 05:33:09,unknown,226,杨过问小龙女，倘若她是郭芙，便嫁大武还是小武？小龙女说“嫁你”。杨过再问，小龙女道“还是嫁你”。
声音声音,5,2012-07-10 22:44:05,unknown,206,如果要开一个“我最不喜欢的金庸女主角”的名单，小龙女绝对首当其冲。/最感慨的莫过于欧阳锋和洪七公双双葬身于华山峰顶。凡尘俗事抛诸脑后，只是一笑泯恩仇。绝了。
[已注销],5,2015-11-15 19:44:33,unknown,160,最近重看神雕，第一回中就有这样的文字:“唉，那女魔头凶恶得很，我打不过。不过朋友有难，可不能不去。”说着拄起铁拐，一跷一拐地疾行而去。明知打不过，朋友有难，不能不去！武功虽不高，却侠气凛然。重承诺，为朋友两肋插刀，自己的性命不重要，这，才是真正的武侠精神啊！柯镇恶就是“平凡的人给我最多感动”的武侠版诠释。
边城不浪,3,2010-01-23 11:51:09,unknown,173,集混男人、贱女人、熊孩子之大全，然后这些鸟人因为一点儿误会搞来搞去，实在是金庸超长篇里最憋气的一本。估计王朔就是看了这个，才写出《我看金庸》
