user_name,star,comment_time,geo_ip,vote,short
萤火虫小花,5,2013-03-28 21:35:59,unknown,825,译得很好。重看一遍越发觉得BBC的《神探夏洛克》改编的真是好啊真是巧啊
summer,3,2010-02-09 02:47:05,unknown,590,个人感觉，福尔摩斯只是作为侦探小说的鼻祖之一的地位，但感觉远没有阿婆（阿加莎克里斯蒂）的书来的让人出乎意料，令人回味无穷。
小亚,5,2012-02-04 11:50:03,unknown,379,这个应该是我人生中第一套书。。。。刚会认字，还不知道“犹他州”（印象深刻）为何物的时候，就在看男主角们搞基了，情何以堪。。。
Lycidas,5,2014-07-28 16:10:01,unknown,271,已经读了不知多少遍但真的读一辈子都读不厌
锦衣夜行,5,2010-04-30 19:08:02,unknown,97,为什么妈妈要把它借人？现在好了，只剩一本了！给人家弄丢了。
逍遥兽,NaN,2007-07-15 08:23:39,unknown,35,少年时一篇不漏地看完那时候怎么会有那么多时间
般若死火,5,2013-10-23 23:13:19,unknown,38,还在！从小学至今已经读了3遍！！
StLiberato音控,5,2020-02-08 00:47:47,unknown,44,伟大之处在于，这是一本没有怪屋孤岛、密室机关、时诡叙诡、怪力乱神、不可能犯罪等炫目元素的探案集，朴实却又离奇，吸引力强大到让人不免一读再读反复读~~~~相比4中篇，更喜欢56个短篇，理由是——精湛至极！从商业角度，每则短篇确实可以扩充成几十万字的长篇，正如很多后辈作家的伎俩（包括编剧），即使杰出如阿加莎、埃勒里奎因：更多对话、更多心理分析、更多辗转调查、更多无关线索、更多龙套人物moreandmore只要更多。但大量灌水、节奏被拖垮的作品，不管布局手法多高明、推理多严谨细致，阅读体验也会大打折扣，无法超越这永恒的巅峰。
神威,5,2011-12-28 19:23:53,unknown,32,想重温一次的，可是发现每个故事都已经深深刻在了心里，我拥有的那本盗版的纸张很糟字很小却没有错字的福尔摩斯陪伴了我整个小学，这本书对我的意义不只是一本书而已了，福尔摩斯，3Q
文泽尔,5,2007-09-18 21:44:39,unknown,23,6岁上下，我所读的是最早的版本，并不是这个，而是带黑白插画的素面版本。当时甚至看不懂..只知道文字非常好，最喜欢的无过于四签名和血字的研究。稍大些后再看，仍然最喜欢这两篇，这一套书可以说是我的（同时也是很多朋友的）推理启蒙了吧。
碧落亦然,5,2008-04-30 01:12:22,unknown,24,小学时看得最疯狂的一套书，由头至尾完全就是一口气看下来的！！
时间.世界,3,2014-06-15 13:45:22,unknown,14,比3星低一点再低一点.。
偷油猫,NaN,2011-10-23 10:28:55,unknown,15,用现在的眼光看，佛尔莫斯其实算不得很好看了。不过他是始祖，地位不可动摇。
陶者无缰,5,2011-11-03 05:21:40,unknown,17,一直被模仿，从未被超越。
cris91,5,2012-03-21 10:20:14,unknown,19,这个版本非常经济，不要去买新星的坑爹版了。
流空破刃,4,2012-03-29 13:21:46,unknown,17,太……不好看了。比起事件，更引起注意的反而是归来记里头一篇的段子。华生在福尔摩斯回来之后就把诊所卖了离开老婆跑回221B去跟福尔摩斯同居，问题是买华生诊所的那人是福尔摩斯出钱雇的。这分明是生死相隔后终于明白真爱啊！
西月桃桃,5,2018-03-19 17:43:13,unknown,11,历时3个月，带着它走过2个国家，9座城市，终于重温了福尔摩斯全套书籍。由于第一次读的时候是小时候，并且只读了一两本，所以记忆并不深刻。在各种影视化作品和当代推理小说已经不能满足我的时候，大师的经典之作让我重拾对推理的热情。对人物的描写，对场景的建模，加之对推理过程的精细解读，同时又不失故事的趣味性，真可谓是侦探小说之楷模。
陈毓秀,4,2012-04-03 21:47:57,unknown,5,曾想买来送给朋友的，可惜时间老了。
[己注销],5,2009-06-14 21:17:26,unknown,10,我最爱的侦探小说！！！！！
珍珠大爷,5,2007-08-13 15:48:33,unknown,9,SherlockHolmesforever
歧木零,5,2008-02-17 22:24:42,unknown,7,我对福尔摩斯探案是什么感情？它教会了我思考。
Evil,5,2012-01-02 10:41:04,unknown,2,我爹地的收藏！但是上册被小盆友借去就再也没有还给我虽然我记得但是对方现在都不记得了不知道扔哪里去了。小时候因为那件事情就再也不借书给别人了。
豆友1167238,4,2007-01-14 12:57:40,unknown,2,我初一寒假一口气读完一个长故事我的妈我以前都不读书的
大头绿豆,4,2005-12-05 02:39:11,unknown,3,初中时候囫囵吞枣。
🌵伊安,5,2012-07-29 03:21:43,unknown,2,真舍不得读完
jj73浅之,5,2006-10-06 11:23:14,unknown,6,还记得在最老的老房子里深夜读它的情景，福尔摩斯死的时候太伤心了，当时已然是一个花痴。那是1998年的夏天，谁能想到这个人物后来对我的三观悄咪咪产生了这么大的影响呢
窗边的小豆豆,5,2014-11-07 00:24:32,unknown,3,看过很多次，但是我记性不好。每次看，感觉都好兴奋，可以跟着福尔摩斯一起破案~颇有少年时看小虎队的感觉~福尔摩斯探案全集的零零碎碎，在我脑海中已经整整12年。
土佐脱藩浪人,5,2017-07-03 23:13:38,unknown,3,很少看到这么评分高的书了，这个我只看过一本好像。
小易甫,5,2009-03-22 14:30:41,unknown,2,我会要写这个分析的，先保留着.
将离。,5,2019-09-15 22:06:07,unknown,1,我最喜欢血字的研究
边城不浪,5,2009-10-30 10:09:01,unknown,2,国庆节又重读了一遍。我越来越觉得，这部经典之于冒险小说的魅力，可能比推理小说的魅力还来得大
test,5,2012-12-10 16:02:35,unknown,2,卧槽，和我在省图借阅的那本封面一模一样！！！
桐初,5,2008-08-31 17:53:46,unknown,1,就是这套哈哈！小学时光
Patrick/小白,4,2008-09-29 12:39:47,unknown,2,小时候买这书动用了巨款一笔，还好这个版本确实比较经典
浠墨,5,2007-12-26 15:02:32,unknown,1,很棒的一套推荐侦探小说！永远的经典！
老探戈,5,2007-02-28 15:08:55,unknown,1,学会观察~
Nek,5,2021-03-18 21:39:17,unknown,4,好像也是高中时代通宵看的
肖以默,5,2007-03-20 01:42:02,unknown,3,不用说了，最喜欢《恐怖谷》
五星集中营,5,2009-03-13 09:13:50,unknown,1,|5242:3011|
意闲,5,2009-02-28 02:50:59,unknown,0,少年时代的偶像
QinHW,4,2020-08-21 13:22:54,unknown,1,没看过其他侦探小说。反正我一个手法都猜不出来，感觉就一通分析就逮到人了，没什么参与感。当悬疑恐怖故事看
蝉,NaN,2014-03-20 14:02:27,unknown,1,:	I561.45/4943
我不是盆栽啊,5,2010-12-14 21:06:44,unknown,0,还是这种通俗小说我比较适合。
阿右,5,2006-07-13 13:11:14,unknown,0,小学的时候最爱看的就是侦探小说。
苏,NaN,2008-05-24 17:58:04,unknown,0,我家的是老版的
微霄,NaN,2011-02-19 17:33:58,unknown,0,全集真的好厚挑着看的
浅草君,5,2009-05-16 14:08:55,unknown,1,最爱《血字的研究》，很诡异的案子，福尔摩斯，是个人才
豆瓣猪,5,2006-01-03 19:52:30,unknown,0,（英）阿·柯南道尔
染.world,4,2007-12-15 11:10:11,unknown,0,走出去，看看别人的生活吧
Melody,NaN,2011-06-18 11:41:49,unknown,0,我小学就开始看这了。
journey,1,2009-06-23 19:54:15,unknown,1,糊弄小孩可以
穆清,5,2008-09-12 22:09:16,unknown,0,天哪，天哪
深津奈留,5,2010-07-21 01:23:58,unknown,1,启蒙。
摄影师·星子,5,2009-10-10 21:43:52,unknown,0,侦探小说迷必读的一本书.
螃蟹蟹,3,2011-05-13 23:18:12,unknown,0,虽然经典。但是给人的思维定势太强了。
夜莺在广场歌唱,NaN,2011-06-03 09:22:43,unknown,0,复习
Asa,NaN,2012-01-20 19:46:35,unknown,0,我家的正是这个版本嗯！还是我爸大学的时候买的！重读ing
RIC,5,2010-03-23 22:11:17,unknown,0,八岁时的生日礼物感谢姑妈
镜泉,5,2011-01-21 11:55:20,unknown,4,当年清理外公的遗物时，舅舅从书堆里挑出两套书给我。一本是雨果的九三年，至今未翻。一本是这套书，现在已经给我翻烂了。黄金时代的笔法是后辈本格、新本格们再也无法复刻的。这个侦探永远是一群人心中无可替换的Symbol，不论JB，唐尼还是二瓜演绎出万般风情，他还是他。
商夏,5,2013-05-31 17:11:01,unknown,1,侦探之神你好。
文盲,NaN,2013-08-25 21:16:00,unknown,1,曾经不能释手的书
幽灵不会哭,5,2007-05-01 13:48:56,unknown,0,柯南道尔
桑菲尔德,4,2015-05-10 10:10:15,unknown,1,重读中。才发现第一章血字研究的故事起源是西部淘金时期的StLouis，莫名鸡冻ing~~一u一
暗夜大佬,4,2008-11-06 22:42:12,unknown,1,永恒的经典
看不见的城市,5,2011-06-01 22:16:30,unknown,0,此版字超小，看得极累。。。
大甜甜~~,5,2009-02-12 09:11:00,unknown,1,一场思维的盛宴！
刺鱼,NaN,2008-07-18 16:55:36,unknown,0,生来的好奇与冒险，太早就看完这些书了，记住不多啊。
袭人继续收破烂,5,2007-10-07 23:44:54,unknown,1,这个实在是好喜欢，每回看都喜欢.
入雪,5,2021-03-26 21:39:40,unknown,2,福尔摩斯永远的神
陆小包,5,2010-03-10 17:36:28,unknown,1,经典
静下心来,5,2021-09-06 23:39:29,unknown,1,百读不厌的经典好书！
朴实无华的阳光,5,2019-10-06 13:29:10,unknown,1,侦探小说的启蒙之作，从福尔摩斯开始我发现自己对于探案类的小说很感兴趣，惭愧的是没有锻炼出逻辑思维，还是停留在了看、惊讶、恍然…
听风,5,2012-07-19 22:47:38,unknown,1,真·柯南越发成熟，福尔摩斯渐入佳境；问一，福尔摩斯为神马打了一辈子光棍？问二，华生为神马被福尔摩斯呼之即来百般挖苦却甘之如饴~问三，为神马福尔摩斯有了别的盆友或者助手华生就不在，华生妻子不在就和福尔摩斯同居，福尔摩斯老把华生从妻子那拐跑？
白驹在空谷,5,2010-06-12 18:38:20,unknown,1,本能膨胀的异想世界。
就叫我麦兜吧,4,2008-09-11 17:30:55,unknown,1,经典高中自习课上完成
莱昂哈德,5,2017-11-16 11:40:06,unknown,1,确实是启蒙，数不清看过多少篇了
Aggie,5,2011-05-29 02:08:53,unknown,0,五年级奥赛班时找骏妈勒索的
qian0605,5,2006-03-01 00:31:51,unknown,0,看了至少3遍，演都会演了。。。
错乱天堂,4,2009-06-14 21:53:40,unknown,0,小时候看的~
Rock Otaku,5,2010-03-14 12:55:34,unknown,0,年少时读过，厚厚的一大本
逍遥地蔷薇~,5,2007-12-09 17:50:59,unknown,0,喜欢的经典
湖畔,5,2007-10-22 09:17:49,unknown,0,大学时借朋友的书看的。不错，我喜欢。嘿嘿。情节已经忘记了。收藏不错
鹿梦二,4,2010-12-04 20:04:36,unknown,0,这是我童年时每天的肥皂剧啊！~
康夫,5,2012-02-20 02:01:42,unknown,0,小学六年级的日日夜夜……
shackle,4,2007-02-13 12:06:56,unknown,0,又是我的版本:)几乎可以背了
Doyle Frenger,5,2010-02-20 01:49:52,unknown,0,一直只有这一套。
挥策青崖,5,2008-05-25 12:43:23,unknown,0,永远的福尔摩斯
说你什么好呢亲,5,2010-02-23 00:24:37,unknown,0,从头到尾看过两遍……还是没记住多少
湛卢,4,2011-12-07 11:15:58,unknown,0,还是老版的翻译靠谱
格伦夏尔,5,2009-03-30 01:34:56,unknown,0,出版年明明是1981啊。小时候圣经一样的作品。
就,5,2010-08-23 18:15:36,unknown,0,小学开始翻了不只10遍。。。
六年,5,2013-02-01 20:46:26,unknown,0,啊啊就是这个版本！！！
夏衡,5,2009-02-20 19:34:29,unknown,0,如果没有福尔摩斯现在的我不会爱上推理小说
scholarschwein,5,2008-09-07 16:09:39,unknown,0,小时候第一套精装书
miu,5,2006-08-03 17:28:54,unknown,0,经典~
旅舟,5,2012-03-03 18:21:01,unknown,0,小学四年级的回忆……
$ophie,5,2010-12-21 13:57:29,unknown,0,小时候读得很入迷的一本小书，好厚的书啊，不知道读了多久才读完~~好多故事都忘记了，等有功夫买本英文版的重读一下！
AutoMan,NaN,2007-05-25 14:15:49,unknown,1,大学时
苏简,5,2008-12-06 19:54:28,unknown,1,唯一能摆上世界著名文学书架的推理小说
皇帝陛下的玉米,5,2009-11-15 19:25:55,unknown,0,小时候就是看这个版本的
AJ,4,2011-12-24 20:09:00,unknown,0,据说是英国警察的教科书之一。但觉得，看多了，也就那样。
小M,5,2007-10-03 15:39:50,unknown,0,最有名的侦探和最有名的侦探小说
摇曳萧萧下,5,2011-07-08 02:57:11,unknown,0,不知道第几遍了
KURURU,5,2009-12-06 01:32:28,unknown,0,wheniwasveryveryyoung..后来看柯南的时候觉得经常有案件都很熟悉
已注销,5,2007-12-05 21:48:07,unknown,0,跟现在滴CSI大餐一个路子
RoBeRt,5,2009-11-24 20:58:09,unknown,0,儿时的大爱
音弥小姐,5,2011-07-13 21:10:14,unknown,0,小时候读的不全。
已注销,4,2008-12-24 15:14:01,unknown,0,跟老爸的书一模一样，高中的时候不好好学习~偷偷把上下都看了，现在都忘的差不多了o(≧v≦)o
馋灯懒鱼,4,2008-02-02 17:22:46,unknown,0,小学时，让我爱上看小说的一本书，居功至伟
mario,5,2012-02-01 12:21:06,unknown,0,无话可说的经典之作。。。
打脱手,NaN,2009-12-21 16:36:25,unknown,0,平淡无奇，这就是做祖师爷面对后辈时的尴尬。对电影也罢，类型小说也罢，文艺的结局，大多如此。
hardyzhou,NaN,2010-04-27 14:28:26,unknown,1,无论是小说的柯南还是动漫的柯南，都是最爱。
fayetasy,5,2010-11-02 18:14:49,unknown,0,断断续续花了一个多月重看了一遍电子书
亂室佳人,NaN,2009-11-14 23:54:43,unknown,0,CLASSIC
哆啦酱,4,2011-04-12 12:15:39,unknown,0,厚的可以压死我的一本书。第一部看得侦探小说。之后毅然决然投入阿婆的怀抱
mer,5,2011-04-19 00:14:20,unknown,1,这套书初中我看了一遍一遍又一遍。直到被班主任没收的那天。
林清月,5,2010-09-16 11:13:51,unknown,0,读过6遍以上了貌似。。
阿辣布猫,4,2011-07-02 20:05:44,unknown,0,福尔摩斯先生是个阴霾的人
豆友1120428,4,2006-05-21 16:28:25,unknown,0,喜欢爱伦.坡的人，能看出科南道尔对老前辈的致敬之处。
魏无忌,5,2012-10-23 21:23:43,unknown,0,精巧性比之今天日本的本格推理确实有差距，但对当时初接触侦探小说、十几岁的我来说绝对是牛逼闪闪。最喜欢的是《恐怖谷》那个中篇。
镜花水月,5,2011-03-30 20:02:32,unknown,1,永远的大爱……初中时看的从此爱上逻辑强大的推理小说和这类电影……大学重温影响深远……远目……我TMD沧桑了……
Lady Irene,5,2009-01-22 23:59:06,unknown,2,好吧，太精彩了，华生和福尔摩斯的组合，福尔摩斯永远不会死
Woodring,4,2008-09-30 13:45:05,unknown,1,小福~没什么可说的了~
清音,4,2008-07-27 01:36:52,unknown,0,电视也很不错。
amour,4,2018-04-30 13:09:28,unknown,0,可能是翻译问题，始终如隔靴搔痒
Shady,5,2011-04-07 11:27:57,unknown,0,启蒙吧~
心生欢喜,5,2007-01-15 09:50:43,unknown,0,连妈妈都会买来读呢
芝草,4,2007-07-19 09:59:24,unknown,0,小学四五年级左右看的，还记得是在农林下路的书店里买的，在牛奶店和玻璃店附近．惊心动魄，然而年纪太小，看得相当吃力．
叫花子打鼓穷欢乐,5,2006-08-16 16:36:00,unknown,0,侦探小说的开山之作
爻。馒头™,NaN,2012-01-27 22:48:06,unknown,0,小时候这一套就买50多元，感觉好贵，但是我家保留着的那套和这个封面都是一样的～
睡裤大叔,5,2012-01-25 19:56:13,unknown,0,好多年前买过一套。
ocean,5,2010-07-08 14:13:10,unknown,1,这个男人太有魅力，爱了很多年了
松萝,4,2019-08-16 09:45:24,unknown,0,理书柜翻出来了，有点感慨，比汉语字典还厚，字特别小，以前的排版真是实心眼啊，当时用了一个暑假才看完的
Knight,5,2012-01-14 14:06:53,unknown,0,忘了标记
Ryan·白弃,NaN,2009-07-11 20:53:01,unknown,0,有机会一定要读原版~^_^
asado,3,2007-09-21 01:37:06,unknown,0,借来的……一借3年
Oer,NaN,2008-02-23 14:11:01,unknown,0,看不完
Café里的烏托邦,5,2008-09-05 02:53:33,unknown,0,儿时的书
元気少女俊一基,4,2010-10-09 05:44:05,unknown,0,我好像读的不全。。。
爱丽思,5,2006-08-01 19:16:18,unknown,0,thefirst，thebest
米粉,5,2009-08-04 16:59:38,unknown,0,小时候妈妈不读童话，读此书现在觉得是恐怖小说
卡列宁的微笑,3,2011-06-30 11:34:39,unknown,0,虽然作为一个推理粉但是对福尔摩斯真的没有兴趣啊啊啊啊……
十個雪碧,5,2011-10-11 01:05:18,unknown,0,這個版本真的好看，信買書如山倒小組果然沒錯。
黑曼巴,4,2010-08-15 13:42:28,unknown,0,抱歉，只是读过一部分
麥田裡的狐狸,5,2009-02-21 12:08:53,unknown,0,大爱~~~
没头脑和不高兴,NaN,2008-05-24 15:34:08,unknown,0,哦哟哟膜拜的
还没死哈,5,2008-05-30 16:30:10,unknown,0,一生的挚爱
iSha,5,2008-11-04 15:19:23,unknown,0,高级货
蓝手套,5,2007-11-30 20:21:50,unknown,0,关于福尔摩斯，还需要做什么解释吗？
musagetes,4,2008-08-12 18:38:56,unknown,0,小学时的课余消遣。真的很怀念。s.h.心中永远的英雄！
Andrea,NaN,2006-12-23 13:54:35,unknown,0,对侦探小说的喜好，由此开始。
德拉库拉拉,5,2008-02-13 14:35:21,unknown,0,当时真是入迷了……
三日月雫,5,2011-04-16 11:49:40,unknown,0,当年还真被吓到了……
VESPER&清和月,4,2011-08-06 21:49:48,unknown,0,小时侯看的
颜夕,5,2008-01-26 23:14:36,unknown,0,不管第几次重温都爱不释手
no~no,3,2012-05-16 12:59:57,unknown,0,字儿贼鸡巴小
陈小桃,5,2007-06-17 23:17:50,unknown,0,很小的时候看的了
铎奇,NaN,2007-12-02 10:55:22,unknown,0,描写也很棒
河童,4,2007-03-28 17:26:31,unknown,0,只看过中来着～看多也就那样……本人比较喜欢柯南……
晓风,4,2013-01-02 16:16:51,unknown,0,12岁的生日礼物，印象最深的是3K党……
七三,5,2007-02-20 13:46:44,unknown,0,沉迷
Henrietta,4,2010-07-11 00:13:33,unknown,0,不少故事都忘了
妈宝狗的妈宝妈,NaN,2008-03-29 14:36:37,unknown,0,經典
Jiong,5,2007-06-03 18:35:26,unknown,0,小学的时候看了不知道多少遍了，书都翻破了
阿斯旺இ绿豆粉1号&波粒2象性,NaN,2007-08-24 13:17:04,unknown,0,初二寒假看的，吓得晚上不敢去卫生间
Becca,5,2010-09-29 20:32:59,unknown,0,啊哈，父母给我的6岁礼物
遇@心,5,2008-06-12 00:19:59,unknown,0,我小时候的第一本侦探小说哎~~
大吉！兔兔,5,2010-04-30 22:14:43,unknown,0,这版封面我也有，现在也是最爱之一
如,5,2007-05-23 20:32:12,unknown,0,经典！
zard砸得王大崩,5,2007-08-06 22:08:18,unknown,0,myfavdetective
反山,4,2010-10-26 20:16:52,unknown,0,至今仍然记得四签名
ILoveRMB,5,2012-02-23 19:29:26,unknown,0,小时候看过几篇经典的，最近在iphone上看完了全集，传世经典。看过原著，才发现那些演绎出“福尔摩斯-华生”基情的电影电视并不是没有道理的
小扁,NaN,2016-03-23 15:51:27,unknown,0,大部头，看过大半，忘得差不多了
卷卷,NaN,2015-08-23 07:29:57,unknown,1,快30岁了才开始觉得福尔摩斯好看，真是……【然后我发现我高估了自己……看到第二个案子就看不下去了……
叉叉小箭猪,5,2010-01-12 08:14:48,unknown,0,Sherlock!
Fs{2:V#v=/n,5,2010-12-04 02:24:49,unknown,0,被人一借就弄丢了上册。
climber,4,2013-08-16 05:14:48,unknown,1,小学时候废寝忘食的看，图书馆一本本的借，公交车上目不转睛的读
镜饼,4,2010-08-24 23:28:53,unknown,0,后来就忘记带入BC了...
不不鱼🌈,5,2010-01-04 23:26:29,unknown,0,中学看的
反方向の钟,5,2006-02-14 15:34:41,unknown,0,我最喜欢的让我学会去...哈哈哈看了你也会想的
小盐,5,2012-02-23 09:26:30,unknown,0,忘记标记了，2月18号开学前一天读完的，好看极了，刚开始看的时候不习惯，觉得不够刺激不够惊险，后来慢慢就投入了。
柔婴,4,2010-03-10 00:53:11,unknown,0,被人拿跑了55555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555
鹤鹤崽,NaN,2010-01-20 18:38:14,unknown,0,魅力男子
拉小康,4,2013-01-09 12:48:24,unknown,0,一星扣装帧
陈三趣,5,2009-11-07 11:13:48,unknown,0,曾经的最爱
耳朵®,5,2008-02-14 17:35:26,unknown,0,相当老的书了
落莲,4,2007-11-29 14:10:53,unknown,0,思维很巧妙……文字很好，但是我还是比较害怕悬疑小说……
红杯杯海啸,5,2011-07-22 16:46:39,unknown,0,不用解释
kathyy,5,2010-03-10 18:46:52,unknown,0,世上最完美的男人，没有之一
压卷,5,2013-03-15 15:17:19,unknown,0,超经典，只是翻译有着明显的早期语言风格，比较刻板
路克,5,2006-07-20 19:43:00,unknown,0,启蒙读物!侦探小说对我的影响太大了
Jeremy·叽喱咪,5,2010-06-07 02:44:48,unknown,0,我藏的也是最古老的翻译版本呢！
♪小馒头,4,2010-09-23 12:33:08,unknown,0,情节好离奇小时候有点看不懂
