user_name,star,comment_time,geo_ip,vote,short
李青菜,5,2020-05-18 10:23:16,unknown,6892,这书比你想象的小，比你估计的沉
十七呀,4,2020-05-13 15:19:58,unknown,3325,看到结尾秋园去世，眼泪忍不住就掉了下来，为秋园，为之骅，为每一位在生活的洪流里挣扎、抗争的女性。故事的开始，五岁的秋园不谙世事、天真可爱，和父母兄弟生活在中原腹地的洛阳，喜欢在雨后的屋檐下光脚踩水，还不知道命运为她准备了什么样的磨难；故事的结尾，秋园八十八岁，依然会为外孙女没能看到山崖上怒放的杜鹃花而感到惋惜，最后终老于湖南。这中间，八十多年的光阴，仅仅用一句话来概括——“一生尝尽酸甜苦辣，终落得如此下场。”中国漫长的历史上，曾有过多少像秋园这样平凡普通的女性？她们善良一生，隐忍一生，奉献一生，在不可抗拒的命运之力下，拼尽全力也只为了活下去，而她们身上的韧性又超出了所有人的想象。什么时候，女性才能真正掌握自己的命运，能够活得舒展而自由呢？
木卫二,4,2020-05-25 12:54:10,unknown,1537,之前有看过后记作者的说明，是一本“妈妈写外婆”的书，女性身份角色绕一圈，会感觉今时今日国人女性，似乎逃过了历史的磨石重负，但小脚这样的反人类陋习，有过长达千年的赞美（本书开头就是秋园侥幸逃过，拥有了一双半解放的脚），以这双脚，开始了中国地图上的活命奔走。作为小说，它最精彩的段落，是母亲带两个儿子去湖北、女儿出走江西的平行蒙太奇，其余篇章均为单线流水记事，也就是祖辈老人家“没什么好说”的一滴水，一滴泪。是啊，“他们”甚至不允许也不希望人们去说，去回忆。中间有二十年明显被人为划去，阅读跳跃感明显。
#暗蓝#,5,2020-05-24 21:09:00,unknown,1392,非常出色的个人史，聚焦在50-70年代的艰难岁月。看到在那三年，秋园走投无路时，偶遇的大姐问她要不要去湖北，那边要收棉花，缺人手时，不由得想起《愤怒的葡萄》。平凡人的命运太容易被打乱了，无论是因为万恶的资本主义，还是那些不可说的巨大之物。他们要么如秋园一般努力生存，支撑起一个家；要么如秋园的丈夫随波逐流，做一个有口皆碑，对所有人都逆来受顺，只是没忘了妻子“失节事大”的“中国善人”；要么动用一点点被施舍的许可，挥刀向更弱者。后两者放弃了抗争，也就放弃了愤怒，但努力生存的人是有权愤怒的，这愤怒源自于他们值得更好的命运。也正是他们的故事才值得书写，因为这才是人该有的样子。
Fleurs.哼哼,4,2020-05-22 22:01:25,unknown,1257,书，不大，不厚，不重，掩卷后一声轻叹。一个贯穿全书的“冇”字，把“有”的两点挂在了看书时的眼帘。有点严歌苓的女性视角，也有点余华的时代演变，但却在字里行间散发着《城南旧事》的光辉。没有刻意的苦大仇深，却字字淌血。没有刻意的点明时间，却透露着时代的悲鸣。想到了自己的奶奶、姥姥、姑奶奶，想到了妈妈，姑姑，姨。想到了身边那些看似普通质朴却隐忍前行的女性长辈。大痛并小乐着。
简单问问,5,2021-05-06 18:44:57,unknown,1569,看完终于明白天下文笔，独真诚不破。
Morgan,5,2020-05-21 23:01:53,unknown,531,谢谢让这本书出版的人们，杨阿姨是真正纯粹的写作者，她的语言平实有力，真诚而诚恳，她的手稿遍布油污，她是在照顾一个近乎老年痴呆的老伴的同时在厨房里抽空写下这本书。我想文学的魅力就在于此，它没有门槛，只要识字，就能从中汲取也从中传达力量。纷乱世代里的家族史，读得我眼泪阵阵，让人格外难过的是她们能做的选择少得可怜，还没认识世界，便被时代裹挟了去，比如今缓慢蚕食人心的家世决定命运更严酷的出身论，毁了多少有志青年。一代人托举一代人向上，用勇气换来的知识，在迟暮之年，通过书写生活与命运的悲换取了如此多的爱，可谓是一种奇迹。她们的时代早已过去，我们的时代也在慢慢消失，但书籍会留存于世，它比冬天更长，比王座更久。
张天翼,5,2020-08-02 18:04:21,unknown,517,没想到是这样轻而小的一本书，既轻，又重，就像秋园的一生。文字非常好，清楚明白地讲事情。读的期间心里只有三个字：太苦了。一个普通女性的一生，都不用渲染，就流水账似的写下来，已经是一部惊心动魄的苦难史。这书是秋天的园子里结出的一条碧绿苦瓜。
闻夕felicity,5,2020-05-23 22:23:09,unknown,471,如果女人来写《活着》。这本书太好了，文字好，编辑好，装帧好，甚至连腰封都很好。生而为人、为女人，总有些心境和悲欢是相通的，就算她生在1914，她在1937，你我在1990或2000。我们都是中国的金智英。
李斯本,5,2020-07-23 20:38:46,unknown,286,为苦难里依然寻常而明亮的良知、善意、爱。
粟冰箱,5,2020-06-15 01:24:46,unknown,242,平淡且近自然，文笔好舒服啊。叙述一直很和缓，娓娓道来，没有过多的渲染跟煽情，就算是很苦的生活与磨难，也是这种平静的语调，但让人能感受到底下汹涌的惨伤，经过岁月的淘洗，只有些模糊的棱角了。细节特别充沛真实，写饥饿，写落下的骤雨般的毛毛虫，写恶意和善意，写埋下的四缸盐，写病痛和死亡……那个年代，那些渺若尘芥的人，那些命运，或许就被称之为“无常”吧。其中最让我感觉到“无常”的竟是这一段：“至于小徐老师，之骅再没和他联系过，这辈子也没再见过他。”
热带人物,5,2020-05-28 09:03:47,unknown,272,这是真正的“你一生的故事”，朴素、残酷、纯真、雅致。生活于秋园、仁受和那五个孩子，都像裁缝小泉的手心——“洁净的丑陋”。洁净是因为他们洁净，丑陋是因为命运丑陋。在丑陋中维持洁净，就是他们生而为人的尊严。每个人都受限于自己的时空，但他们所经历的终于不朽。
SETH,4,2020-12-28 21:13:04,unknown,890,大时代不在乎小人物的生死，小人物却要背负大时代的重担
龟掌拨清波,4,2020-08-23 08:30:28,unknown,429,每天二十分鐘坐在陽台上用微信語音念給黃奶奶。我們倆就這樣一起讀完了一本書。
小伙锅,4,2020-05-31 21:00:26,unknown,188,“像是用笔赶路重走了一遍长长的人生”看完推荐给我妈了她最近也在写点什么（虽然她总是说初中生能写个啥呀）这种自发自然的写作真好（也许会像呕吐一样）世上并不只有名人的巨流河或无愁河每个人都有河都可以写都能被看见也许那时打工诗歌这类称呼也将解除它的尴尬
晓林子悦,5,2020-11-30 21:16:56,unknown,306,读林贤治《故园》，阎连科《她们》，杨本芬《秋园》。最后一本，最好。我想，主要原因有两点：1、她不是在写作，她是在写人生。2、是她在写，而不是他。她真切地知道，她们都经历了什么。
伊夏,4,2020-05-18 20:24:06,unknown,95,这是乐府女性书系里的一本书，却让我想起之前乐府出的那本《守山》。普通的，劳苦的，忍辱负重的一个人的一生，无论怎样走过，都含着那么多相似的眼泪和说不出的悲哀。“秋园”可能是你我家族里任何一位长辈，在他们还没来及说出自己故事的时候就溘然长逝了，还活着的我们如果可以，要记下来啊。用明白人生值得回望与反思的心，记下来啊。
赫恩曼尼,5,2020-11-27 21:34:29,unknown,196,个人史写就的小说就是这样让人惊喜，没有多复杂的谋篇布局，也没有多宏大的立意，它质朴，坦诚；比起苦难，更看得出人的坚韧和脆弱、贫贱和高贵，看得出比时代更恒久的时间。看过秋园的一生，也就看过了曾被这片土地滋养和伤害过的千千万万的人，看过了无穷悠远又恍如昨日的历史。
danyboy,4,2020-05-22 14:25:22,unknown,96,本来没想读，可巧刚翻完阎连科笔下的女性，于是就拿起这本像秋叶一样大小，一样色调的掌上书，竟很快看完了。这是一个60多岁的女性，在女儿的帮助下写自己的母亲的书，也是回忆录，但写法更像小说。已经熟悉那段历史，再读个人经历沉浮生死的时候，我并不很震撼，我所震撼的是作者在60以后开始写作，执着的记录自己的母亲，记录父亲之死，记录自己。她们不必去记录时代，时代就在那里。‘
成知默,4,2020-08-14 16:34:20,unknown,127,2020122：秋园的一生，不仅是一个普通人在时代的滔天巨浪之下被折辱与被损害的一生，也是其历经颠沛流离、饥饿困厄与家国之变终不改其温厚、良善本色的一生，更是彼时无数随命运载浮载沉的渺小个体的缩影，是无数个秋园的生命中不可承受之重。平淡的素朴的克制的写法，没有歇斯底里、声色俱厉地对苦难的控诉，却反而更有一种摄人的力量；而这种平淡却反而更凸显了那些个不可言明的时代的荒诞与摧拉枯朽。书中的男主人仁受误以为秋园失节，“绳子也好，菜刀也好，你去死吧！没死之前，我不想戴绿帽子”，让人极度不适，人都是复杂的吧，那么敦厚的一个人也有如此传统而大男子的一面。
西窗随笔,5,2020-09-01 22:32:37,unknown,131,这本书写得太好了，是强忍着眼泪读完的，一直读到最后一句，实在忍不住泪奔了。一位出生于1940年的老人，在60多岁的时候，拿起笔，在四平米厨房里的矮凳上开始写作。写出了这本自传体小说，写她母亲的一生和她自己的生活。挣扎求生的中国底层老百姓太苦了，这本书主要描述的四十年代到七十年代，正是她们最苦的时候。这是一位最普通的中国老人，用她的人生经历写出的“活着”。她们一家经历的苦难一点也不比余华的《活着》里面少，而她们有着更加旺盛而顽强的生命力。
欢乐分裂,4,2020-06-14 16:00:00,unknown,79,一本素朴而厚重的小书，以接近白描的手法记录万千众生经历的“随波逐流、挣扎求生”，其隐忍、刻苦、勤勉、不屈之心性，是多少女性的缩影与镜像，如后记秋园外孙女所言：“隔着死亡这一距离，我们安全地听着他的故事，多少像对待一个局外人。”然而，这样“一生尝尽酸甜苦辣，终落得如此下场”的女性今日难道消失了吗？以辗转几地为章节结构，人啊在历史洪流里遭受的一切苦难，可能都无法激荡出任何涟漪，毕生能追求的仅仅是活下去，活着是蝼蚁的奢侈。那些并未刻意点明的时代风云，在寥寥陈述中如此令人心痛，所有滴血的件件种种不敢细想，能写出来才不会真正埋葬一个人。
唐小万,4,2020-05-30 13:48:01,unknown,92,这样的纪录的价值是被低估的，这样的书应该有更多更多。以及很喜欢它的纸张开本装帧字体，有用心。（看完给了我妈，她也说很好
mumudancing,5,2020-05-23 17:20:53,unknown,60,一口气读完了。轻轻的一本，沉沉的一生。一位古稀老人的处女作，语言质朴得很好，故事流畅得很好，也是没有人会去费笔墨记录的一个平凡之家的苦难一生。让人感动的是他们一家非凡的生命力，包括老人自己：“人到晚年，我却像一趟踏上征途的列车。”
朏朏,5,2020-05-12 16:40:00,unknown,48,在窗前站着读完。开始是细细碎碎的心疼，后来是断断续续地掉泪，再后来，忍着一口气读完，开始抽抽噎噎一把鼻涕一把泪地哭了起来。不知道如何形容这本书，“一生尝尽酸甜苦辣，终落得如此下场”，只是感慨、无奈、悲哀、感动。想起了很多很多小时候经历过的人和事，一点点悲凉，一丝丝苦涩。不仅仅是秋园一个人的故事，也是千千万万被忘记、被遮蔽的人们的故事。（想起突然倒地死去的姥爷，受尽折磨死去的姥姥，一夜老去的母亲和父亲，想起几年前偷偷回老家，那天风很大，裹着沙子和尘土，妹妹躲在她的屋子里没有出来，奶奶佝偻着背站在门外的小坡上看着我，爷爷坚持走到村子路口在大风里目送我离开。）
dawn,5,2020-06-17 00:25:52,unknown,65,自序的几句话就很受触动：“如果没人记下一些事情，妈妈再这个世界上的痕迹讲迅速被抹去。在不算遥远的那一天，我自己在这个世界上的痕迹也将被抹去……我真的来过这个世界吗？经历过的那些艰辛困苦什么都不算吗？”问得好。作者女儿在代后记里说，“外婆、妈妈……在命运面前显得如此渺小无力，彷佛随时会被揉碎。然而，人比自己想象的更加柔韧，她们永远不会被彻底毁掉。”真的不会吗？我倒觉得彻底毁掉的不在少数。反正彻底被毁掉的人，永远也没有机会拿起笔记录发声了。书拿起就难放下，最有力量的是诸多细节，比如互相拨屎的人们，藏盐的老人，一言难尽的满娭毑……而满宝生的发达过程和兴风作浪，有点生活经验的人都不会觉得陌生吧。
脑菇,5,2020-06-10 10:13:33,unknown,98,苦。因xx的苦。太苦了。这里的人民。
我爱阳光,4,2020-05-27 15:29:05,unknown,32,一本小小的、朴素的书，正如秋园的一生。用中午的两小时看完了，几次泪眼模糊，无法继续读下去，心里沉甸甸的，这样的人生太苦太苦了，秋园的第一次婚姻直到战乱的前几年，已经是她此生最平静最幸福的日子。想拿去给某人妈妈看，也许会有不少共鸣。
Morning,5,2020-05-31 23:46:27,unknown,45,我是湖南人，看到这本书很亲切，她写得好，让我落泪，也让我感叹，人的命运很渺小，但活过来了就是无比的强大。
豆友2312064,3,2020-07-28 01:12:58,unknown,96,这写的啥？语言表达真是太影响观感了，流水账一样的受难记
黎戈,5,2020-05-28 06:21:55,unknown,29,记一下我妈的读后感：“这本书是作者写母亲的一生和自己一家人如何如浮木般随波逐流、挣扎求生的故事，还有那些在中南腹地的乡间人物的生生死死的故事。她写得简单、易懂。本书写出了那个时代的人的心声，我想，和作者同时代的人，看了书，会代入感更深”。
小隋,2,2020-10-11 08:14:28,unknown,91,故事逻辑性太差，充篇都是我很惨，想起了以前看活着的时候。《活着》至少能把故事说圆满背景结局交代好，这篇纯粹就是痛苦的堆叠
一个小标点,4,2020-06-05 18:07:54,unknown,52,一个没有名气的退休老人写自己母亲的一生，写出来倒是比大多数作家好。节奏语言都很不错，让我非常意外，甚至连书中的名字都很考究，哪怕只是小小的配角：正明、兵桃、之骅、宜民、贵芸、国臣、子文……都很妥帖。也不像《巨流河》，说是不懂政治不评判，却时时处处带着偏见。书中秋园的丈夫是国民党军队的参谋，1937年南京被攻陷后本要迁去重庆，临时决定带全家回湖南老家看老父亲，后来做了乡长、田粮局局长、教书先生，然后才是49年后各种。秋园也曾是家里的小妹妹，也读过书，后来却成了一家的顶梁柱，在所有苦难中艰难前行，最终高寿去世，死之前她说，不是活不下去，是不耐烦活了啊。以一人一生见大时代，确实不错（除了里边丈夫说了一句非常恶心的话）。
冒菜王,5,2020-05-21 17:39:35,unknown,34,今早上拿到的，小小的厚厚的一本，颜色很美，摸起来也很舒服，翻开之后再没停下，一直到看到最后一句话，忍不住地哭出来。文字越是平淡，看完越是难受，太难了，太苦了，秋园不止是秋园，是祖祖辈辈洪流里艰难生存的女性，困苦了一辈子的母亲。八十几年，何止一句“一生尝尽酸甜苦辣，终落的如此下场。”
Salvia,5,2020-08-19 21:38:22,unknown,27,书比想象中的小和轻，文字朴实无华却沉重后劲强
junepig,4,2020-06-13 23:27:26,unknown,29,自序中的追问「我真的来过这个世界吗？经历过的那些艰辛困苦什么都不算吗？」就已经足够振聋发聩。那些特殊年岁的故事听过已不少，读来还是震惊于其荒谬，与书中人同焦急同悲切，几度落泪。印象最深的是即便去讨饭，父亲仍要用大刷子把女子浑身上下刷得干干净净，人的尊严油然而生，而加诸其上的践踏也让人不寒而栗。准备寄给妈妈，让她读读，也写写回忆录。也许这真的是最好的治愈。
blueshadow,5,2020-07-21 11:21:58,unknown,65,快到结尾有一段，写的是之骅生孩子。“之骅静静地闭着眼睛，头上栖落着黄豆大的汗珠。从此，她成为一个母亲——如同秋园，如同世世代代的女子。”又说到床下的笋。。“这竹子生命力真强，从山上地底下钻进房来，花了多少力气。要是它们知道自己会成为盘中餐，绝不会贸然行事。”强大坚韧的力量如此骇人，但痛苦之流又是如此平静的。她来了，她必如自然，要完成她的使命
麻绳,5,2021-07-26 12:24:40,unknown,136,开始好像是在读《呼兰河传》，读着读着就变成了《活着》。因为是女性写作，笔触要温柔许多，但生活的残酷、时代的荒谬、人性的丑恶依然让人震撼。女性视角下的母性礼赞，我却对文中的父亲印象最为深刻。这是个随波逐流、没有担当的滥好人，从军官到小官吏到农民，他的人生一直在走下坡路，他几乎每一个决定都是愚蠢的，给家庭造成的影响也都是灾难性的，而他自己却浑然不知。他是个好人，安贫乐道，乐善好施，但全无用处，一直到他悲惨地死去，这个家才迎来新生。
sub rosa,5,2020-05-26 19:05:31,unknown,22,非常好看，让我想到很多那个年代的女性，也有想给她们写故事的念头但一直没有付诸实践。从史料层面看，秋园的故事代表的阶层在以往的贵族或革命者叙事中一直缺席，秋园的故事是普通人的故事。腰封上有一句话我极喜欢，剪下来做成了书签。
陆钓雪de飘飘,4,2020-06-04 21:49:30,unknown,30,语言平实，故事现实。为了让秋园腾出更多时间替人做衣，之骅傍晚放学回家，书包一放，就出门去搞柴、挖土、浇菜……直到天黑，再回家炒菜。仁受已煮好了饭。家里有块肥肉，约莫半块豆腐那么大，每次炒菜前，用它在锅里擦一擦，当是放了油。久而久之，肥肉变成了深黄色，表面薄薄一层熟了，散发出诱人的香味。每回炒菜，之骅闻着香味都很想吃。一次，她实在馋得不行，就用菜刀切下薄薄的一片，放进嘴里，慢慢地、爱惜地嚼着。本想多嚼一会，品尝它的美味，可这片肥肉实在太小太薄，一不留神就滑进了肚子里。又这样吃了两次，肥肉明显变小了。一天，之骅正在炒菜，秋园进来看到放在灶上的肥肉，说：“这肥肉真不经擦，细了好多。”之骅不敢作声，背对着秋园，装作专心专意地炒菜。
珍妮的肖像🦄,4,2020-06-02 23:06:03,unknown,12,那一代的人在时代的荒谬里勉力浮沉。活着，可以是缓不过气的负累，也可以是唯一自救绳索。饥饿，贫病，劳作，流落覆盖一生漫长而细节具体，（舒适度高的日子，统统都是概括笼统的。贫穷饥饿这种日子才会详尽具体，所有细节都在捉你，并稳稳捉到。）沉沉厚重的家族史题材，足够质朴诚恳，就已足够温厚动人。4.5
谷谷哒。,4,2021-03-23 14:35:10,unknown,60,看完这本小说之后，我觉得一个值得思考的问题是，为什么中国像秋园这样表面温顺，高度依附丈夫、儿女，对自己自身命运甚至显得有点随波逐流的家庭妇女，却反而有着更加强大的生命力。看一些章节的时候很生气，觉得秋园太不“厉害”了，难怪要被人欺负，但是反过来思考她命运中的一些转折点，却可能正是被这种性格所保佑了。看到秋园去世前给自己写的履历，觉得非常伤感，才意识到颠沛流离的生活底下，她也许一直在不断地咀嚼与思考自己的命运，人们何尝是心甘情愿地忍受着苦难呢，即使是那些日复一日的人，也有着深刻的人生。
锐利修蕊,5,2020-06-23 23:31:27,unknown,31,普通中国人的家庭史，都是一部苦难史。或者说，中国人的历史就是耻辱的苦难。一口气读完，惊觉老一辈人对生命被动的沟壑，有着强大的记忆力捕捉，也被这种平常但有力的文字叙述给震撼吸引！最后想说支撑秋园一家活着的，是女性与生俱来的遮蔽保护本能。但击中我的，又是那些与生命相违背不辞而别的收获——想必那是不为人知的，生命的意义。
云谁之思,5,2020-05-24 00:06:28,unknown,13,一位老人，在晚年提笔写下的，她母亲一生的故事。笔触平淡，故事却惊心动魄，女性的坚韧在书中显现：“这个家是靠一位裹过脚的女性和她不幸而早慧的女儿撑起来的。”书中有高贵善良，也有龌蹉卑劣。另涉及了五六十年代的历史，是难得的普通人的记录。序言写得非常好，建议编辑直接放在豆瓣评论里啊……
bird,5,2020-06-10 19:52:54,unknown,10,断断续续读完，又从头翻阅了一遍，才顿觉沧桑与厚重高贵。“一生尝尽辛酸苦辣，终落得如此下场”，多少那个年代普通人的写照。我曾以为女性离开出生之地已是人生最苦楚之事，哪知还有人要面对丧亲三悲，饥寒交迫与种种屈辱。而这普通人高洁、隐忍和传递的故事，更值得记住和歌颂。
佳音,5,2020-12-06 19:58:18,unknown,33,文字平实亲切，却总是拨乱人心。文中秋园一家人，概括起来竟都是一句“虽累风波苦，不敢恨江湖。”
