user_name,star,comment_time,geo_ip,vote,short
Vamei,4,2012-08-27 18:51:11,unknown,3648,教育，就是要蹲下，看看孩子们所看的高度。
艾晨,5,2014-02-02 19:27:56,unknown,2114,近一百年前，就有如此前瞻性的教育理念，有这样的校长和妈妈，是作者之幸。
王老虎,NaN,2008-06-06 18:50:29,unknown,1107,做一颗小红花真的是生活所迫，如果可以我想做颗小豆豆，想发芽就发芽，不想发芽就不发芽。。
藤堂非,5,2011-09-29 14:53:40,unknown,1051,在地铁上，两次读到眼睛发湿，赶紧眨了眨眼，把这一段温暖偷偷藏在心里
迷踪,3,2009-03-31 09:07:42,unknown,414,适合所有觉得童年被辜负的人。
寂多蔓生,5,2012-08-16 22:38:10,unknown,186,比什么哈佛女孩刘X婷之类的强多了
阅微草堂,5,2012-10-28 20:50:19,unknown,197,顶级的教育学其实就是因才而教！教育学的设计典范，不知道我的孩子有没有机会去上这样的学校！
欢乐分裂,3,2013-11-11 16:15:05,unknown,105,在学校电子档看完；以业内人士的眼光看，未免太理想化了些，不过人总是需要梦想的，这些理念足够天朝人士学习50年。
naoko,5,2012-02-22 20:27:54,unknown,149,山的味道海的味道
E,4,2011-11-30 13:14:06,unknown,86,“教育更多不应该是为受教育者找答案，而是给他们找自己答案的勇气与能力。”这句话说得多好呀。所以，校长在看到小彻子挖粪池、捞钱包的时候，没有去阻止她的，校长不用成人世界的条条框框和精致规矩做一只笼子把小彻子“关”起来。一个不墨守成规、耐心聆听孩子需求、有创造力的老师，令巴学园如此不同。大家努力，让世界上有更多这样的幼稚园和学校吧！
赫克托尔,5,2011-02-23 09:15:44,unknown,101,很有趣又很感人的书。“小豆豆感到生平第一次遇到了自己真正喜欢的人！因为，从小豆豆出生后直到现在，还从来没有一个人这么长时间听她说话呢。”
海岸,4,2015-07-15 15:03:34,unknown,81,这种不做作业纯玩的小学确实存在过，二战前的日本。歌颂派好好想想，八十多年以前了，当时侵略战争即将开始。现代日本到处中小学补习班，全亚洲大同
庄晓渊,4,2015-06-02 17:13:56,unknown,76,一边在读小豆豆，一边在看虎妈。两种教育之间不好说哪一种是完美正确的，可教育只有因材施教才是最适合的。不过，这只是小学阶段，在教育竞争愈发激烈的东亚地区，所有的教育都会屈服于考试分数下。
林||我们谈什么都像谈死！,4,2016-05-23 14:40:51,unknown,68,正是因为能在巴学园这样的地方成长，后来才有了出色的黑柳彻子吧。现实点来说，这还是与她的家庭背景密不可分的，不然怎么会有各种教育界、艺术界、体育界名人都出现在小豆豆身边。
❤ 。韩小绿,3,2012-03-11 10:09:39,unknown,41,可能我已经失去了童心。以至于觉得这是本儿童读物。
自娱者小五,4,2012-02-04 17:09:25,unknown,52,即使是对孩子并不喜欢的我，也真心觉得小豆豆的善良和单纯恐怕是世间最美好的事情。读前两章的时候，觉得这书中所描绘的简直就是孩子们眼中的乌托邦，心中有点点不满意，因为觉得全无缺陷的世界并不存在，也无需粉饰太平给孩子看。但是后两章让我大跌眼镜，死亡、战争、伤痛悉数登场，最终甚至是以巴学园被焚作为全书收尾。奇怪的是，这种极度黑暗的事物描写也没有冲淡前半部分我在心中所建立起来的对未来的信念，不禁相信小林校长会继续为孩子提供独特的教育，而小豆豆也会成为巴学园的老师。我猜，这就是最成功的儿童文学了吧。有黑暗，但永远有覆盖黑暗的光明。
甯,5,2011-06-24 11:58:55,unknown,37,记得读这本书时，是二年级时的小学图书馆
Pazaka,3,2016-05-28 10:39:54,unknown,23,跟地球上的星星如出一辙
陶者无缰,5,2011-05-26 03:35:39,unknown,21,教育是一件伟大事业，请让它保持最初的爱与美。
