user_name,star,comment_time,geo_ip,vote,short
锦翼,5,2013-05-25 23:25:32,unknown,4108,小时候读《笑傲江湖》也就看个热闹，不明白欲练神功必先自宫背后的映射，如今就业将近十年，在是是非非的工作当中才恍然大悟，其实葵花宝典并非什么难练的武功，只要横下心去自我阉割，舍了脸皮和尊严，没有什么得不到的。最难成就倒是令狐冲的独孤九剑，谁能耐住孤独在现实欲望的横冲直撞之下守住自己的精神家园，那才是真正的笑傲江湖。
水仙操,4,2010-06-25 10:21:05,unknown,1322,东方不败出场只9页啊啊啊！！！！！！！！！
筱堂,5,2013-09-20 17:43:59,unknown,462,从前武侠读得太少，此次算是补课，断续看完，殊觉荡气回肠，爱不释手。书中的令狐冲不知是否金庸最喜欢的角色，在我看来，确是光明磊落，侠骨柔情，令人钦佩。此外女子如盈盈、仪琳、岳灵姗，男子如风清扬、方证大师、桃谷六仙等，都给人留下深刻的印象。东方不败、岳不群、任我行三人，都算得是一代枭雄，可惜收场有些草草。原是正邪势不两立的世界，到后来几乎掉了个头，可知善善恶恶并非那么简单。值得注意的是，这本小说还有寓意深刻的一面，说什么千秋万载、一统江湖，大概离政治专制不远，令狐冲的反对，颇有抗争的味道。大儒孟子说过“物之不齐，物之情也”的话，西哲罗素也主张“参差多态乃是幸福的本源”，东海西海，心理攸同，此在今日看来，尤觉意味深长。儒者以文乱法，侠者以武犯禁，殊途而同归，无非是为这浊世鸣不平罢了。筱堂记于望岳楼
Tsing river,5,2013-04-15 23:27:39,unknown,346,此书害的我连续一个多星期熬到四点才睡看的人欲罢不能只盼着快点知道接下来的剧情然而终于看完的时候又觉得好惆怅能一直看下去不结束该多好。。就这么看完了。。还好是大团圆的结局不然心脏真心受不了
光寒,4,2016-07-21 09:59:29,unknown,328,出身寒微的大学班长爱上班花兼教授女儿，教授女儿搭上了插班的富二代，甩掉了班长备胎。班长毕业进入社会，无权无势，混得很凄惨，但狗屎运得到了富二代女友的垂青，利用聪明才智帮助女友父亲夺回了公司控股权，从此走上了人生巅峰。
一只麦麦,5,2010-01-28 21:31:10,unknown,199,我认为《笑》是金庸最好的作品。
郭七七,4,2014-07-04 14:12:01,unknown,193,一本读完，最打动我的是林平之了，也只有他的情节让我频频落泪。纨绔少年家破人亡，卑微艰难的活下去，忍辱负重，无法真正的去爱，无法获得爱。如果要摆脱这种命运，大概只能是被岳灵珊救了之后就隐姓埋名，忘记旧事。弃我去者昨日之日不可留，真正的把现在的每一天当做新生，前尘往事统统抛去，爱恨情仇皆成过往。没有执念，才能善待自己吧。
樂少爺不戴花,2,2013-05-12 02:44:24,unknown,143,1.愈发觉得金庸的男主角没一个讨喜的，目前最让我能接受的应该是乔峰。令狐冲简直就是傻逼，很多细节不都显得就是个反复无常的蠢货&小人么？2.这一本的观感因为令狐冲和桃谷六仙的废话连篇大大打折.3.岳不群和东方不败的人物设置我倒觉得很棒.4.所以任盈盈真的是女一么?还有这么对故事情节推动不重要的女一么?5.金庸的小说是不是每一部都会有一个非常神的神医，还总有些怪癖。然后男主角一定要变装一下？？
神威,5,2011-12-14 10:26:00,unknown,109,这本书对政治有所影射，是鹿鼎记之前金庸先生少有的对政治发表见解，文字情节都没话说，人物没什么特别喜欢的，只是对林平之深深叹惋，看着小林子一点点黑化真是很遗憾啊，酒楼笑骂余沧海一段，林与令狐二人相映生辉，可惜人家命好，他命苦啊，本来就没多少路好走，于是一步步被命运推向偏激无奈的结局，另外桃谷六仙实在是太糟糕了，倒不是描写差劲也不是不合情理，只是给后世的武侠写手提供了傻瓜数人组的mode，从此我们不得不忍受各种各样的傻瓜，奇怪的是，如此多的傻瓜中，从无一个阿甘样的傻的朝气蓬勃清新向上的，这也算中西文化差异？！
dromobabel,5,2013-02-16 16:10:17,unknown,134,果然有着对文革中国的深恶。怎么说来张版电视剧其实是改得不错了，为了迎合观众心理势必要将结局变成落入俗套的大决战，尚算情有可原。只是真正笑傲江湖的便是金庸自己了，岳不群在封禅台上何等威风，却会被魔教的陷阱捉住还被逼服三尸脑神丹，最后死得这么狼狈，任我行自不必说，任你怎么行，世事轮回你逃不过。而将方证、冲虚一干人的嘴脸揭露出来也自是要破除读者的所有幻象，哪有什么节操高尚的武林泰山耆宿，要想在那个位置上坐稳，自然从里到外都必须是黑的，武当一派人才不济，所以冲虚只能唱白脸，方证是武林公推的大哥，他唱红脸，一个牢固的分工便建立起来了。金庸是追求隐的，大浪淘沙之下，明哲保身或许比弄潮更能显出“笑傲”的气度，只是真真退隐得了么？笑傲江湖即便是琴曲名，也该多画上一个问号的。
