user_name,star,comment_time,geo_ip,vote,short
朱红尽颓,5,2012-05-15 17:26:24,unknown,9105,盛衰之理，本为天命。然而人心就是如此。眼见得他起高楼，于是便不忍心见他楼塌了。见过他鼎盛的时候，再看他的衰败就无比心酸。而更加可悲的是，目睹这场哗变的你，本就是这戏中之人。
fwb,4,2007-01-15 12:55:56,unknown,5992,第一次看《红楼梦》，是小学五年级。因所有人都说，这是部名著，于是，期末考后，怀着极大的敬意与耐心，准备好好下番苦功夫。不曾想，从头到尾，一点不打绊儿地，没花多长时间，就囫囵吞枣地顺利看完，幼小心灵还因此生出些疑问：怎么一点儿不象名著呀，即不难懂，也不深刻，不就是些家长里短的故事集锦吗！留下印象的，不是爱情纠葛，不是阶级矛盾，不是白茫茫一片真干净，而是当时粗糙日常生活中，一些根本无法想象的精美事物：比如，一些菜品，要经过如此多复杂细致的步骤，才能一点点做出；比如，一些庭院宅子，院名的起法，树木的搭配，房子的色彩，有那么多讲究；比如，一些好听的布料名，一些古怪材质的饰品，一些用途不明的摆设；再比如，闲谈，对诗，饮茶……才知道，原来人可以这样生活，可以这样打发时间，而不被视为浪费生命，也无需心下内疚，有些无法理解，又有点儿想入非非。这或许是文学的另一个用处，让人从踏实细节处，活生生触摸到一个时代的体温。只是后来，每当我跟人说起，《红楼梦》对我来说，就是故事会，就是菜谱与家居指南时，十个会有九个半露出惊讶表情，让我觉得自己，可真没文化！
素梳影,4,2012-08-12 21:30:00,unknown,4311,亲戚是干什么用的大全
时间之葬,5,2013-12-14 22:31:46,unknown,3056,长这么大，到今天才把这部奇书读完。觉得并没有那么多微言大义，倒是曹雪芹的文笔实在了得，对人的那些细腻情感拿捏得十分到位。特别想说的一点是，坚决认为林黛玉不能算是什么完美的理想主义者，她非但不完美，而且是毛病最大的一个。所有的问题又都归结于三个字——看不开！
NGC2906大使,5,2016-03-03 15:46:42,unknown,2715,一个呼吁：那些清穿小说的主人公你们风花雪月以后就不能顺道送曹雪芹个打印机么？
彦大多,5,2009-12-05 13:04:36,unknown,1386,我觉得史湘云是最真的一个女子黛玉你就天天伤心吧。宝玉你就天天游走在各个姐姐之间吧。宝钗你就世故圆滑你的吧。唯独我的湘云手帕包花作枕醉卧青石凳，蝶舞翩翩。唯独我的湘云真真的直言快语管你是太太还是姊妹。唯独我的湘云妙语连珠诗词连篇造就“寒塘度鹤影”
玛嘉烈玛嘉烈,5,2013-06-28 21:18:59,unknown,1208,“为官的，家业凋零；富贵的，金银散尽；有恩的，死里逃生；无情的，分明报应。欠命的，命已还；欠泪的，泪已尽。冤冤相报实非轻，分离聚合皆前定。欲知命短问前生，老来富贵也真侥幸。看破的，遁入空门；痴迷的，枉送了性命。好一似食尽鸟投林，落了片白茫茫大地真干净！”第四遍，还是会被震撼到。
沉歌,5,2008-01-24 15:32:48,unknown,998,满纸荒唐言，一把辛酸泪。都云作者痴，谁解其中味。
夏言,5,2013-01-03 18:32:52,unknown,1088,读了三十多遍，文学史上的断臂维纳斯
暗夜大佬,4,2011-11-19 23:33:55,unknown,825,后四十回的续作者明显不如曹雪芹那样有才华，情节安排上也较为匆忙，完全没有曹雪芹那样的气定神闲。总是在想，为什么这样一部佳作，会遗失了后面的章节？难见到全本的曹雪芹所著《红楼梦》，终归是一件遗憾。
未央不睡,5,2013-09-17 08:23:21,unknown,684,很想坚持下去，可是到第85回还是怂了。有一句辞不达意的话叫做“由奢入俭难”，看惯了曹雪芹的水准，就没办法接受高鹗了。
叶酱,5,2013-08-22 21:11:06,unknown,515,宝钗这样识大体明事理的，的确宜家宜室适合娶回来，黛玉这样有才情又爱耍小性子的才让人爱，只是刻薄多心又爱动气的姑娘真是叫人喜欢不起来啊。还好，红楼梦本来就不是叫你去爱上哪一个人物的，大概每个人都有她可爱之处。
蜉蝣,5,2014-05-25 18:25:19,unknown,435,最好的小说。
夏小暖,5,2015-03-18 10:31:53,unknown,389,重新遇到这本书果真是生活中太棒的习得，真的是该当圣经来读的一本书。知道归知道，执着归执着。《红楼梦》的迷人就在于此。她知道所有都是空的，但她在每一刻都执着。每个人生阶段都能读出新的体会。感谢中国有这么好的书。
芦哲峰,5,2007-10-29 20:57:53,unknown,436,真正的《红楼》，隐藏在每个人的内心深处，它就是我们的泪水人生；就是那“乱烘烘你方唱罢我登场，到头来，都是为他人作嫁衣裳”的荒谬；就是那“一朝春尽红颜老，花落人亡两不知”的无奈；就是那“因空见色，由色生情，传情入色，自色悟空”的轮回和缘起缘灭……从生到死，从空到空，每个人走过的，都将是“泪水”的一生，“情”的一生！最终也都将化为“食尽鸟投林，落了片白茫茫大地真干净”的无常。
二月鸟语,5,2016-02-26 01:03:06,unknown,435,永远只读到80回。。
豆友50084116,5,2014-10-16 12:08:32,unknown,343,太好看！曹雪芹好叛逆。本以为会很闷，没想到读起来这么顺畅轻松。如果没有续书，元妃薨逝后的情节实在是压抑阴暗的让人绝望。最喜欢探春惜春，一个伶俐果断，一个能舍能断不牵三挂四。喜欢王熙凤，聪明利落，也挺善良。读完之后觉得金玉良缘不是个好词，象征着妥协草率、委屈不甘、凑合将就、平庸苦闷。宝玉从没爱过薛宝钗，也决不会爱上她，宝钗也没真爱过贾宝玉，不过是逆来顺受嫁到哪算哪，嫁到谁家她都会像如今这样持家有方周到圆滑的。金玉良缘，我真不羡慕。我一定会选林黛玉。她是真懂宝玉的，跟宝玉一样都是那种心无挂碍一门心思堂堂正正的想着谈恋爱的，不被俗事功名缠扰。跟黛玉在一起，生活不会无聊。红楼梦当中的真爱，那些纯粹干净的暧昧几乎都是同性之间的。我自己觉得宝姐姐可能是喜欢林黛玉的，那份周到体贴。贾宝玉真是难得的极品。
苏豆芽,5,2010-06-01 08:26:29,unknown,346,中文系毕业要是没看过这几本书，真是丢死人啊，为了考试也得看啊！
大島,5,2014-11-06 13:16:39,unknown,247,花了一个半月才读完，开始没进入状态，五十回后越看越停不下来。
欢乐分裂,5,2017-12-23 23:04:44,unknown,219,不知第几回重读，在对情节走向了然于心之余，细细品味细枝末节里蕴含的丰富用意是最大的乐趣，一唱三叹绕梁三日。古典主义的叙事开篇，暗含市井民生、社会百景的白描姿态，长篇巨制徐徐展开；散点式描绘，草蛇灰线伏笔千里，却是一早就布局好的棋子，在各事件的酝酿发展和推波助澜下，紧紧缠绕成一团紧密核心；「仙境」与「人间」，「现实」与「梦境」，呈镜像式的映照，也正应了“到头一梦，万境归空”的意境；向往花柳繁华的温柔富贵乡，不历尽悲欢炎凉世态，焉知“到头来都是为他人作嫁衣裳”，因空见色，由色生情，任你笑逐名利场，不过南柯一梦，大梦方觉；上半部的大观园，真如烈火烹油、鲜花着锦，不忍读完这部分，每次都希望时间永远凝结在那一刻。三春看破，大厦将倾，自情天来，去由情地，从此两不相挂。
我不是盆栽啊,5,2011-06-19 14:42:47,unknown,211,小学时候很迷里面的诗词。初中时候很迷消灭书中我不认识的字。高中很迷蹲厕所拿电子词典看这个……我，越来越低俗了。
静之禅,4,2012-03-13 21:22:08,unknown,266,近年又看了一遍，是想研究贾宝玉的双性恋问题。
Finale,NaN,2007-11-08 11:32:09,unknown,230,终不忘，世外仙姝寂寞林。
吴异.nova,5,2016-03-01 22:37:03,unknown,239,曹雪芹写的很过瘾，高雅的诗词写的好，下人的骂街写的过瘾，偷情的爬灰的写的够赤裸…所以我只能停在80回了，谁让一过81，贾宝玉去准备科举了，林黛玉吐血了…不看了不看了
