user_name,star,comment_time,geo_ip,vote,short
传奇☂,5,2011-11-21 16:42:13,unknown,167,2011-9-15如果所有的教课书都是这样的，那么我们会有多么幸福！
Ying,5,2012-09-03 17:42:46,unknown,104,为了演讲又翻出来看了下，真是经济学入门最好最有趣的书，没有之一。
角质紧猫,4,2009-08-29 16:14:39,unknown,90,咿呀......知道是本好书可是看不进去怎办呀掩面
leoglory,5,2010-07-01 08:33:37,unknown,43,我以后也要写这样的教科书。
leo,NaN,2010-04-11 07:07:13,unknown,21,作为一本初级的西方经济学教科书，它十分成功。对于绝大多数渴望了解西方经济学的非专业人员，读完这本书足矣。但是，我不肯定此书的汉译水平。它的拙劣将影响至少一代中国经济学人的专业表达能力。
Mannialanck,5,2012-08-27 10:01:26,unknown,10,多年以前，这门课得了个A，大学里一共就得了几个A
Once,NaN,2013-09-04 20:18:14,unknown,7,比《经济学的思维方式》更好一些
菠菜,5,2010-11-08 21:28:48,unknown,7,就我的脑子得读多少遍啊--
Bill,5,2007-12-17 23:21:17,unknown,6,非常好的经济学教材多用图形解决问题些许翻译错误美中不足总体来说是非常经典的经济学入门读物不仅可以当作课本来用有兴趣的也可以当作科普书来增长一下知识可惜案例多以西方视角入手特别讲到宏观部分的时候对中国有些水土不服
吃饱饱的贼贼,5,2008-03-16 17:24:08,unknown,4,还是曼昆人好．．
刘小昭,5,2017-06-12 11:54:16,unknown,2,曼昆+梁小民
[已注销],NaN,2010-08-02 20:14:24,unknown,2,只看完了上册。。。下册过阵子再看吧。。蛋疼
北漠,4,2007-04-21 03:06:17,unknown,3,呵呵，还不错，不如塞缪尔森但是曼昆是个才子，这么艰深的经济学，他深入浅出
withinbeyond,3,2010-09-21 22:54:31,unknown,2,逻辑没有问题，有问题的是作为起点的假设。
miniuminiu,5,2014-01-06 11:27:35,unknown,2,无言
daling,5,2012-04-08 23:07:17,unknown,2,大学教科书啊
樱桃木,4,2012-11-15 21:58:38,unknown,2,老纸已经毕业了！！！！！！我的专业书！！！！！！！
Sol,5,2007-10-17 00:32:26,unknown,1,经济学入门教材
命运建筑师,4,2009-02-28 16:16:49,unknown,1,曼昆的书作为经济学入门最好了，他总是能阐述的引起人的兴趣
fallsky,5,2012-12-01 21:00:05,unknown,1,像高中政治老师借的。办公室的老师们说，你若读懂了，高中就不用上了。。。事实是，我读了，我真没读懂。只是序言写得很幽默呢~可是我不能明白，他总是一个个地定义，为了这个定义，引出了另一个定义。从来没有好好说明白，不过这大概是很艰涩的经济学著作吧，我不能毫无基础地读。但却是编排不错
黑玺,4,2010-11-16 00:21:28,unknown,1,这本教科书的最大特点是它的“学生导向”。如作者自己指出的，他要写的是一本学生喜欢看的经济学教科书。与其他同类教科书相比，本书更多地强调的是经济学原理的应用和政策分析，而不是正式的经济学模型。为此，作者在大部分章节里都提供了案例，以说明经济学原理如何应用于现实经济问题的分析。此外，作者在书中还提供了大量的“新闻摘要”，以使读者懂得什么是生活中的经济学。
已註銷の关注,3,2012-07-18 17:34:42,unknown,1,简易版
有只老鱼儿,5,2020-10-10 01:27:04,unknown,3,非经济学专业也能看懂的经济学书，真正的大师是将深奥难解的理论，写出一眼就能明了的案例和语言。而不是将简单的理论讲的多么深意，让人越看不懂，觉得好难啊，自己真笨，你真厉害。
/,5,2009-04-13 23:33:10,unknown,2,年度最佳小说
Brenda,5,2009-05-10 16:33:34,unknown,1,好书，入门好选择，经济学也可以有意思
Miss power,NaN,2009-08-22 03:00:32,unknown,2,简单，但清晰。入门级读物~
私享史,5,2009-12-01 00:15:27,unknown,1,其实还没看完...有时间了再找新版来读。
Ashely,4,2012-12-28 19:10:19,unknown,1,大学时候读过的，已忘记得差不多了，需要重读一遍
辄馨,NaN,2014-01-13 10:30:27,unknown,0,可参考的公式太少
蝉,NaN,2013-12-25 12:59:09,unknown,1,:	F0/6467-2#1
小K童鞋,5,2009-02-26 17:42:28,unknown,2,经济学蛮有意思的
阿咪老师Ami,NaN,2010-08-16 23:44:42,unknown,0,曼昆V5.！！！
Spike,5,2012-04-20 15:44:36,unknown,0,basic
熏田Ray,5,2010-12-26 20:17:40,unknown,0,有趣的教科书，经济学即生活。
交易者卓远,5,2012-03-31 07:19:51,unknown,4,通俗易懂
ys,5,2007-12-11 15:26:47,unknown,0,终于终于解决了，，，
Asuraa,5,2010-08-02 11:26:58,unknown,0,入门读物。
