user_name,star,comment_time,geo_ip,vote,short
御手洗黑,5,2020-04-23 18:21:30,unknown,2702,一天一天形成恶意，一步一步走向地狱
断鸿声里,5,2020-08-28 18:05:50,unknown,2580,第二人称让人心碎
小小江湖骗子,5,2020-07-27 00:58:10,unknown,1799,整本书看不到一点人性中的真善美，中间一度读得很绝望。日本历史几十年间的重大变故书中笔墨都略有涉及。“时代的一粒沙，落在一个人的头上就是一座山。”作者文笔不错，很多地方的形容都感觉很贴切。第二人称的写法让读者的代入感一下子强了好几倍，读的过程中甚至一度觉得是自己的人生已经毁了。。几条不同的支线发展交织最终汇合，效果也不错。悬疑推理要素在社会派的大框架下完成得很好，虽然作者的重重铺垫使得读者大致猜出真相并不困难，但是一些小细节的设计仍然让人惊喜。绝叫，绝望的嘶鸣。令人震撼的小说。
那希索斯,5,2020-12-07 09:53:59,unknown,3572,铃木阳子四十年的编年史，以第二人称叙述阳子的人生很能产生代入感，女警察查案这条线并行得非常流畅，最后第二人称切换到第一人称，哇。社会派反思涉及：重男轻女、校园霸凌、家暴、泡沫经济与消费主义与援助交际、高利贷、贫困人口、骗保、各行业的混乱私生活等等，这本书只有20万字，真是令人惊叹的笔力。看到最后的话，是幸存者阳子、大赚一笔的阳子，其实世界上更多的是——提前消费过度被高利贷逼到自杀的阳子、在援交时沾染性病死去的阳子、被强制应召QB致死的阳子、被家暴致死的阳子、孤独死的阳子。
它不让我叫tt,5,2020-06-25 17:32:44,unknown,588,因为《死亡护理师》的口碑不错，所以开始看这个作者的小说（没追同名剧）看评论有人跟宫部美雪的《火车》相提并论，但那本我也没看过。不过看进去发现还真是社会派。社会派还挺涨知识的，就是读着真心累啊。看了一半就觉得要窒息了：不幸的原生家庭，感情上遇到渣男，职场上屡屡受挫又有所谓老后破产的危机。有点当初看《松子》的影子，不过后面到结局突变复仇爽文（？）评论吐槽松子变雪穗太逗了⋯看的时候在想：我们这一代好像很多人的家庭都是打压式的教育，仿佛只看得到孩子身上的缺点，而所有优点的存在都是理所应当不值一提。（当然倒不至于像主角妈妈那么喜欢无端讥讽孩子）这样的成长教育真的很不好，因为小孩最初都是希望从家长那里得到肯定的，如果得不到，可能长大了就会迷失在各种寻求他人认同感的漩涡，而失去自我判断。
鸡丝豆花面,5,2021-02-25 03:18:04,unknown,1767,MissViolet的女店员就是阳子吧。“希望每一位来这里的客人都能把这家店当成避风港。”其实这里才是铃木阳子打造给自己的避风港。原生家庭带来的一系列痛苦太令人窒息。作者真的很会写，第二人称代入感太强烈了。
喜蛋,5,2020-09-27 00:34:39,unknown,684,被嫌弃的阳子之绝地反击
seven,5,2021-04-21 07:40:35,unknown,1068,最后第二人称变成第一人称的时候，哇，真是绝了！我才知道最开始并不是以作者对阳子说话的口吻，而是重生的阳子对以前的阳子。
哪种汪呀,5,2020-09-02 04:52:44,unknown,446,她杀死了她的母亲，却说着谢谢。谢谢让她活在这个世界上，虽然一点也不美好的活着，但她就是想要，单纯着活着。确实配合《饱食穷民》会很好看。
沉潜的瀑布,4,2021-03-05 00:11:10,unknown,733,这不比东野圭吾写得好吗？
喵叔,5,2020-12-11 21:34:32,unknown,623,看到一半的时候，我以为我已经掌握了这本书：社会派推理，简单的一个案子，引出一大堆的社会问题，像保险公司的无耻推销，职场上领导对下属的PUA，还有日本女性工作困难不得不出卖身体等等。其他很多书里都写过了啊，虚构的《樱树抽芽时，想你》《被嫌弃的松子的一生》，非虚构的《无缘社会》《女性贫困》，还写这些未免太俗气，撑死也就是个《被嫌弃的阳子的半生》。可是后面的反转实在是让我瞠目结舌。不是通常意义上的反转或诡述，作者以一种不可思议的方式设置了一个盲区，案件的真相将这本书一下子拔高了一个层次。「我向前奔驰。奔向何方？奔向我的避风港。如果没有，打造一个就行了。」阳子，你自由了。
美食拯救世界,5,2021-02-14 15:08:43,unknown,659,平庸者的崩坏是野兽的绝叫。最怕看恶女向小说，看的时候有多爽，回味的时候就有多痛苦，因为你知道在将她们一步步逼向恶女的路上，有无数其他女人的尸骨。平凡的阳子几乎遇到了女性一生中经历的所有绝望合集，最后的尾声像是作者给世界最后的一点温暖鼓励，但是傻子都知道事实的真相不会如此。原生家庭的创伤永远不会被抹平，出轨的前夫联合小三会让阳子净身出户，职场pua骗财骗色的上司会一直在职场上耀武扬威，会在第无数次拒绝不成后被染上X病，走在路上会被狩猎应召虐待致死，在家里会被家暴男打死，终于狠下心来反抗，迎接她们的也不过是牢狱之灾。如果你不信，也许多看些新闻会让你沉默。
草色连云,5,2020-08-11 17:02:34,unknown,333,真社会派，快成日本社会阴暗面大全调查报告了，基本上把这些年公众号非虚构和纪录片里涉及的绝大多数日本社会问题全包括了，很多议论流露出浓厚的左翼思想。女主真的是被这个社会一步步逼成魔鬼的。结局如果不是因为最后一个死者没干过什么罪大恶极之事，还是大块人心吧。母女这条线自始至终看得是真令人难过。
Kilig🦋,4,2021-02-05 12:56:38,unknown,311,太绝望了，铃木阳子最大的不幸还是来源于她母亲，“最爱的妈妈所给予你的期望，如同世界对你的期望。无法响应这份期望让你内心既空虚又难过，仿佛破了一个洞。”她在亲手杀死母亲的时候都在渴望能得到她的一点认可，结局的反转太出乎意料了，铃木阳子从松子变成雪穗的一生。我还有一个疑问：神代究竟是不是小时候送阳子金鱼的那个六指大叔？或许只有叶真中显本人知道了。
番薯藤,5,2020-08-03 09:50:16,unknown,257,一气读完，汹涌的绝望近乎灭顶。一个1973年生的日本小镇女人的半生，经历泡沫经济、千禧年、311大地震，弟弟自杀、父亲失踪、离婚后独自勉力生活。终局不算新潮，可贵的是描写足够细腻残忍到讽刺的地步。弟弟的鬼魂化身童年死去的那条金鱼，一直伴随着阳子，重复的那句“人类只是一种自然现象”，更是一语道明，苦难没有意义。“平庸者的崩坏是野兽的绝叫”，忍不住拍手叫好。
狂奔的蜗牛,5,2021-02-10 16:17:03,unknown,546,读了一半以为刚开头的尸体是其母亲，后面发现居然女主还有一层设计，要说bug，那就是神代跟女主啪的时候被电棍击晕，而女主居然没有受牵连触电。
成知默,NaN,2020-12-16 15:01:57,unknown,128,双声部、双线并行，将诸如日本经济崩溃、原生家庭的背弃、职场困境、女性贫困、校园霸凌、家庭暴力、无缘死、歌舞伎町生态、骗取保险金等社会热点议题融入其中，虽是典型的社会派，但在悬疑的设置与谜题的破解方面也颇可称道。连环保险金杀人案之下，并非是如“被嫌弃的松子的一生”一般走向的剧情，而是一个被社会视而不见、被家人与伴侣抛弃、没有归依与依靠、独自挣扎于生活泥沼中的女性弃民，在被侮辱与被践踏之后如何反戈一击、逃出生天的暗黑故事。在这个无法自由选择的世界上，这种悬置于法律与道德之上、看似拥有无限选择可能的所谓自由，不过是“与恶龙缠斗久，自身亦为恶龙”，不过是另一种不见天日的生存深渊罢了。
