user_name,star,comment_time,geo_ip,vote,short
Hey Johnny,5,2012-04-11 23:50:55,unknown,799,几盏昏暗的路灯下，人们就像在水底一样。我们无言地走着，妖妖忽然问我：“你看这个夜雾，我们怎么形容它呢？”我鬼使神差地做起诗来，并且马上念出来。要知道我过去根本不认为自己有一点作诗的天分。我说：“妖妖，你看那水银灯的灯光像什么？大团的蒲公英浮在街道的河流口，吞吐着柔软的针一样的光。”妖妖说：“好，那么我们在人行道上走呢？这昏黄的路灯呢？”我抬头看看路灯，它把昏黄的灯光隔着蒙蒙的雾气一直投向地面。我说：“我们好象在池塘的水底。从一个月亮走向另一个月亮。”——你怎好这样浪漫！好巧今天刚好王小波逝世十五周年祭。
Eureka A.O.,5,2012-05-21 19:32:56,unknown,716,真的我人生的理想之一就是看完王小波的所有作品
杨园卡拉特拉瓦,5,2012-12-01 20:05:30,unknown,557,我在北京等了你一年，可是你没有来。你现在好吗？你还记得你童年的朋友吗？如果你有更亲密的朋友，我也没有理由埋怨你。你和我好好地说一声再见吧。我感谢你曾经送过我两千五百里路，就是你从学校到汽车站再回家的五百六十四个来回中走过的路。
少管所悲情公主,5,2014-05-14 13:59:13,unknown,358,“到目前为止，没有一件事能让我相信我是对的，就是人生来有趣，过去有趣，渴望有趣，内心有趣却假装无趣。也没有一件事证明我是错的，让我相信人生来无趣，过去无趣现在也无趣，不喜欢有趣的事而且表里如一。所以到目前为止，我只能强忍着绝望活在这个世界上。”
Luoyu Road,5,2013-07-11 10:11:56,unknown,162,一直以为《绿毛水怪》是友情故事，昨天才发觉是个爱情故事。最早的时候是友情，初中再相见，友谊渐渐变成朦胧的爱恋。老陈天天送杨素瑶回家，一路上谈论诗歌，文学和理想。真喜欢这一段，他们互相喜欢，可是没有一句暧昧的言语，纯粹坦然，与其说相互吸引，不如说互为知己。
青初,4,2012-03-08 21:30:05,unknown,114,也不知为何，真叫人难忘.
玉楼,5,2016-03-16 03:54:22,unknown,121,你怎么知道我不愿意和你一起当水怪？
oppıʞ,4,2011-06-27 00:18:09,unknown,73,“我想，我就是被车轧死，人们也会发现我书包里放着两本好书的，心里很为书和我骄傲。”“祝你在岸上过得好，永别了。但是你不该骗我的。”
姬气猫,5,2011-07-15 20:18:44,unknown,78,天長地久這種事，天時地利人和少一樣就不行。
老袁,5,2011-03-09 01:49:50,unknown,50,妖妖，连名字都那么动人。她最后飞起来那段，我每次看都想哭
盐花,5,2012-05-05 17:28:43,unknown,64,王小波早年的风格还真是……有一种目睹黑社会老大穿hellokitty睡衣的心情==
α＆ω,5,2016-05-23 14:44:54,unknown,43,“我们好象在池塘的水底，从一个月亮走向另一个月亮。”“忠贞不变的友谊是六百四十二个来回，和两千五百里路见证的。”没有料到满口喷粪的王二竟是个如此浪漫的诗人，惊喜。
一只迷人的,4,2012-11-21 21:33:19,unknown,40,里面提及的那么多书，只知道廖廖几本，顿时觉得知识面太狭隘了。
我昨天叫何宝荣,5,2010-10-06 20:34:43,unknown,31,稚嫩的手稿，却始终是我最喜欢的故事。从一个月亮走向另一个月亮。
不过四随便记录,4,2012-03-07 10:48:31,unknown,26,大团的蒲公英漂浮在街道的河流上＼吞吐着柔软的针一样的光＼我们好像在池塘的水底＼从一个月亮走向另一个月亮
是小鱼啊,5,2011-09-02 00:59:05,unknown,22,在大学图书馆的最后一本书…答辩间隙
盆栽弯弯鱼🐟♫,5,2010-03-02 18:54:48,unknown,21,他和李银河因此而结缘，哈哈
zhizhong,5,2012-06-15 09:35:32,unknown,16,心不離，多久的等待，多遠的距離都輕易地被瓦解。靈魂想通之地，並不存在欺騙，死亡亦對它無效。
枪枪枪,4,2015-05-05 17:29:06,unknown,19,读完此书感觉像看完电影《杀出个黎明》一般，上部温情公路篇，下部出其不意的丧尸篇。王小波有一种能力，就是能将小说里女主角叙述得格外美丽灵动，连我这样一个女孩子也要忍不住爱上。最后我完全同意这种建立在共同精神世界之上的知识分子之间的伟大友谊，即使美好的事物最后的结局大多是留下遗憾。
Coici,4,2015-12-08 23:30:00,unknown,31,我爱这渺小的离经叛道。
大云,5,2013-08-01 21:03:48,unknown,12,歌仙那个刘三姐，哎呀，搁到现代，去做几年后台假唱的替身然后攒够钱整个容回来爱嫁谁嫁谁，也不至于给阿牛祸害到羊癫疯啊。哎。都是丑惹的祸。
贪心的丫头,5,2011-04-21 08:55:20,unknown,10,妈的，哭死我了！
小周每天都很困,5,2009-11-08 11:14:51,unknown,11,最喜欢绿毛水怪了。
腾辉,5,2018-11-30 21:11:26,unknown,8,克制和闷是两个概念。克制的意思是说，底下有汹涌澎湃的情感力量，但坚决不让这种力量流于表面，于是对观众产生了一个理解上的时间差。在理解力填补完这个时间差的瞬间，观众突然感受到了潜沉的力量。典型的例子是王小波的《绿毛水怪》，当读者看完妖妖在海边石头上刻的那句话以后，一下子就瘫在了沙发上，要是他们能在一起该有多好，要是他们能在一起就可以变成一部长篇小说了。这就是克制。而闷指的是在电影院里看《冈仁波齐》的时候，虽然冷气非常足，但是一直在犯困。
燕仰,5,2011-10-27 18:20:51,unknown,8,“我们好象在池塘的水底。从一个月亮走向另一个月亮。”像大海一样宁静广博的爱情故事，藏不住的全是空灵的诗人气质。
Elact,4,2016-05-02 12:00:45,unknown,8,据说这是王小波初出茅庐的作品，凭借它王小波认识并泡到了刚毕业的编辑李银河。写的太逗了，比王朔那个讲方枪枪在幼儿园遭遇的《看起来很美》还逗。
小愉深情款款地,5,2015-11-08 21:41:44,unknown,6,像是写给大人的童话，重温一遍红拂夜奔
纪恩同学,NaN,2014-05-07 08:24:33,unknown,8,完全不喜欢这样的写作。
豆友62370259,3,2015-11-03 23:59:51,unknown,7,又俗气又闪光
荒野侦探,4,2013-03-17 14:46:32,unknown,6,这种天气很适合看他早期小说。“你们两个小青年，真是复杂”
witch,4,2010-05-18 14:41:21,unknown,4,原谅我初中时年少无知买了本十块钱满是错别字的盗版书看光了他所有经典小说
茉莉妙Molly,NaN,2011-03-09 14:50:23,unknown,8,永远年轻，永远热泪盈眶
一根鸡毛菜,4,2016-03-25 19:35:51,unknown,8,在爱情里不是每个人都勇敢的，或许像王二，渴望那样一种爱情，但又深表怀疑
羲和,4,2015-12-30 15:36:40,unknown,5,世上的好书怎么这么多呢
