user_name,star,comment_time,geo_ip,vote,short
内   河,5,2013-03-12 17:21:44,unknown,4003,我擦！！！！！！！！！！！！！！！！！！！！！！！！！
零度天气看风景,5,2016-03-05 11:12:51,unknown,1832,下面的短评太缺德了。虽然我一早就知道xx应该是凶手。建议推理悬疑读者没有读完都不要来到作品的豆瓣页面。真的够扫兴的。【还好我都是看完再来做标记……><
ibelieve,5,2015-11-03 02:52:35,unknown,2147,如果波洛没有隐退到这里来种西葫芦就好了…阿加莎真的想象力爆棚！
fomalhaut,5,2018-03-28 13:18:58,unknown,2193,又是一个出人意料的结局。中段惊现1920年代英国农村人打中国麻将的桥段，国粹的威力真是惊人啊。
夏澍,4,2015-05-08 14:19:34,unknown,1061,东野的《恶意》应该是有借鉴阿婆的《罗杰疑案》吧，看《恶意》在先，难免有剧透的感觉。推理小说看到一多半猜中凶手，不觉兴奋却感失落。
微喵的兔姑娘,5,2015-01-11 15:41:32,unknown,1075,阿婆成名作。即便读第二遍知道凶手是谁，也会被她千里伏线的细心和悬疑营造的手笔所吸引。听说卡洛琳是按照阿婆的形象塑造的，这么一想，阿婆超可爱wwww
Fornever,5,2020-01-21 05:08:02,unknown,1239,好多短评可以简单概括为「读到XX我就猜到了，凶手是YY」。能和这样绝顶聪明的用户使用同一个平台，真是我毕生的荣光。
落花灯,5,2017-05-04 10:12:13,unknown,713,明明先读了恶意还是一点点都没怀疑到凶手
双,5,2017-08-19 12:53:04,unknown,780,近一百年前叙诡已达到这种高度
毛醬消滅機。,5,2014-02-09 17:53:46,unknown,558,在波洛說明之前我都沒對真兇產生懷疑，嗷……_(:з」∠)_
蝌蚪往人,5,2015-05-22 21:28:31,unknown,575,已经不用废话了，这就是那种逢人都要推荐，不看就是人生遗憾的杰作。波洛开口，佛光四射。类似的案件我看过好几个，但是当真相被揭示，我还是要傻上五分钟。杰作，永不过时。
喜乐,5,2017-11-26 22:56:48,unknown,360,好看！之前幸好没看短评，短评里剧透的家伙非蠢即坏
nani❗💛💙,5,2015-06-18 14:15:14,unknown,248,(波洛)“…虽然他(佩顿)在英国人中的确堪称百里挑一的美男子，按贵国女性小说家的标准，他够得上希腊天神级别…”《罗杰疑案》这段写法很妙，阿婆借比利时小矮子之口讽刺英国当时女作家的通病；却不露声色表明佩顿『够得上希腊天神级别』；但又不会落入烂俗的窠臼，反而变成不失幽默的自嘲，一举三得。据说本书是阿婆奠定风格之作，且很多读者被骗得很惨。BUT！案件发生，罗杰一死，我再返回去看眼目录，一下子就猜到了真凶~最后读到结尾真相大白，真忍不住佩服自己!居然那么早就看透阿婆的高明手法，哈哈。读侦探小说一大乐趣，就是和作者斗智斗勇，尤其最后胜利的快感，特别是面对如此精彩出色的作品
胡大胖,5,2020-02-19 15:38:55,unknown,903,我说各位大佬你们剧透这个也就算了，还顺手把《恶意》也给剧透了，别那么凶残得不？
安能,5,2018-07-13 15:40:36,unknown,354,《恶意》起码影响了50%《罗杰疑案》带给我的快乐
呆博拉,5,2016-04-04 16:04:16,unknown,303,直到倒数第二章我都没有怀疑讲述者，以为只是替一下小黑。等波洛开始分析案情时，脊背才开始发凉。
方枪枪,4,2015-12-24 17:02:30,unknown,260,好神奇，这估计也算是侦探小说的铁律吧，凶手往往是读者看起来最不可能、最不会去怀疑的那个人。
呆呆,5,2013-08-26 11:03:31,unknown,277,太过瘾了！不剧透，借用「医生」的话：＂整个案子太让人着迷了。就像万花筒一样，每一次转折都让景象焕然一新。＂
莫西干,5,2016-03-11 22:31:14,unknown,188,阿婆的书都非常适合再读，环环相扣，细节超赞。好喜欢全书最后一句话……
磊子,4,2016-01-11 19:56:09,unknown,240,这本好看，而且故事里的那个姐姐实在太可爱了~
leonhardt,5,2015-03-29 21:28:29,unknown,199,一旦知道了此书是那啥类型推理的鼻祖，就直接知道了凶手是谁了
lalala三只小猪,4,2018-06-11 13:58:49,unknown,207,“华生”就是凶手，确实出人意料。
七毛,5,2019-01-17 21:56:07,unknown,96,我擦！！我他妈震惊了！！过年回去我要把阿婆的书补完了！！
鸡叔叽叽叽,5,2015-09-07 23:06:16,unknown,143,我原来以为阿加莎的书不适合现在看了，毕竟现在的读者已经看过形形色色的侦探故事了，结果，这是我的第一本阿婆的书，看完我想补完阿婆所有的故事。总之这个结局出乎我的意料我好喜欢
李娇娥,4,2015-11-30 14:15:31,unknown,102,其实不到一半就渐渐能发觉，有一个与所有线索都不矛盾却从来没被提起过的、作者故意制造的盲点，也就是谜底本身。阿婆这时候技巧还不十分纯熟啊。
狷介有乌青,4,2017-04-08 23:37:28,unknown,90,【2017.37】一边阅读一边启动了我小小的灰色细胞，我成功锁定了凶手。用上了福尔摩斯的经典推论“排除一切不可能的，剩下的即使再不可能，那也是真相。”，再用上推理小说惯用的套路：那个看似最不可能却总是围绕案件徘徊的人最有可能是凶手。真相已呼之欲出
游牧人·芳汀,4,2017-03-26 23:33:16,unknown,97,厉害的设计，很大胆的真凶视角，写作难度真高啊
兮余徐,5,2017-12-31 21:40:39,unknown,100,阿加莎小说描写的大多都是“密室类”案件，在所有的出场人物中，必定有一人是凶手。而《罗杰疑案》却是创造了推理小说“叙述性诡计”的鼻祖，视角独特到一个世纪过去了至今没有成功被改编为电影。阿婆的作品又总是兼顾诡计和人性因素，且又有不少有趣的感情描写和环境展现。本书叙事缓和，故事夹在日常生活中慢慢发展出来。女人善于在不知不觉间捕捉到许多细节，她们的潜意识会自行将这些细节组合起来，然后把所得出的结果叫做直觉。科学且理性，我很喜欢。
苍术,5,2021-06-20 20:24:32,unknown,272,永远猜不透OMG，为啥我会怀疑雷蒙德
Yolanda,5,2015-11-29 21:50:46,unknown,60,结局略悲伤。用kindle读完的第二本书。
Grass.,5,2021-04-19 08:24:02,unknown,94,华生你怎么了华生！
王小差🐺,5,2019-03-17 17:07:13,unknown,94,这书的阅读过程，一度想打三星，但是看完结尾，改为五星。在推理小说中，侦探的对手是凶手，而在阅读过程中，读者的对手是作者。殿堂级大师的开宗立派之作。
阿鲁,4,2015-10-01 21:22:06,unknown,64,趴在床上有点昏昏欲睡的看书，看到结局的时候立马直起了身张大了嘴。纵使推理小说推理剧泛滥，但依然被震惊到。我还是图样图森破。
燕仰,4,2018-02-06 15:54:24,unknown,64,像郭襄一见杨过误终身一样的叙述诡计鼻祖。这样的经典，读太晚不足以领略其当时的开创与颠覆，读太早又会觉得后来的都黯然失色，曾经沧海。
：）,5,2019-12-29 19:13:52,unknown,143,。。。我灰色的细胞动起来也没料到是ta
绿妖妖,3,2018-09-22 11:10:54,unknown,40,写作手法确实特别。但是这部小说的情节从开头就没有很吸引我，所以读的特别吃力。要不是因为盼盼一直劝我读到最后有惊喜，我可能真的要中途弃书了。也有可能是翻译的原因，从头到尾都觉得故事背景很乏味。当然推理过程还是蛮刺激，但是远不如东方快车谋杀案和无人生还带给我的震撼。
临时昵称,3,2017-04-11 01:21:58,unknown,39,小失望。不能完全以猜不到为评价标准啊。况且我还猜到了……
布朗日,5,2021-02-18 22:36:19,unknown,98,这本书，放了三年没看，因为三年前被剧透了。三年了，我以为我忘了，但我没有。😭
望仔放弃减肥了,5,2019-01-18 12:53:39,unknown,37,虽然真的是很棒，但我无法接受这种叙事方式，有种虽然好奇妙但自己莫不是被耍了的微妙情绪有一点糟糕。
c_yu,5,2019-05-28 23:24:25,unknown,44,灰色的小小细胞这回竟然有点用！幸好没提前看短评，这种剧透的短评还那么多赞是认真的吗？？？
castiel,5,2016-02-09 00:34:52,unknown,34,悬疑设置精妙，整个小说不仅仅在破解谋杀谜团，更像是给每个人物做了一次心理辅导，给每个善良的人给予忠告，并作出正确的选择
阿柴,5,2021-04-28 17:24:40,unknown,39,读的时候一直试图保持清醒，到头来还是局中人
游佐中,5,2020-07-29 21:34:27,unknown,33,柯南道尔写了一个爱记录的医生，好的，阿加莎这儿也有一个，而这个医生能让你觉得，诶呀，柯南道尔也应该看看这个文。太喜欢姐姐了，怎么会这么可爱，女人的直觉！笑死。阿加莎真是太棒了。
你瞳孔的星,5,2017-09-13 04:06:39,unknown,31,太好看了，近期看的最好看的推理！结尾处解答了所有的疑惑，所有的线索都没遗漏，前面的细节处的铺垫非常完美，拿起来就放不下的书，情节充满了人情味。唯一可惜的地方就是我被提前剧透了凶手……
吃蛋挞,4,2020-06-24 16:45:16,unknown,30,虽然已经对阿婆的叙诡保持了高度警惕，但仍被耍的团团转…又昨天想为这本书标记在读，结果劈头盖脸看见一个友邻“虽然一开始就猜到了凶手是xx”的评论💢怎么会有这么缺德的人！有病吗！直接拉黑！还好就算被剧透了凶手，本书依旧令人着迷，但体验已经大打折扣了，扣一星……
Ljiljan,5,2021-04-04 22:27:28,unknown,25,小小的灰色细胞不够用了
雪·法妮奥,5,2016-10-27 20:58:56,unknown,19,早已被各种泄底，还是被阿婆的各种误导所折服。
蔻司墨,5,2021-07-07 00:35:30,unknown,29,如果先读了这本，可能就不会被《恶意》震撼了。
沉默的Lamb,5,2017-09-06 00:25:55,unknown,14,看到结局的时候真的被惊到了！
