user_name,star,comment_time,geo_ip,vote,short
時代抗疫totoro,5,2011-04-13 00:15:09,unknown,1712,我只想证明一件事，就是，那时魔鬼引诱我，后来又告诉我，说我没有权利走那条路，因为我不过是个虱子，和所有其余的人一样。
阅微草堂,5,2012-07-01 11:58:09,unknown,1062,“不能再这样活。。。。”俄罗斯时代语言。数学是可以翻译的，因为它是逻辑的；物理可以翻译，因为它的对象是所有人面对的同样的对象；陀思妥耶夫斯基更是可以翻译的，即使最差的翻译，也可以揭示出他的那不朽的精神带给所有人类精神的颤动。日本作家写作风格多为抄袭俄罗斯作家的精神，可惜仅仅是皮毛。每次读到陀思妥耶夫斯基，我都感到离自己的灵魂更近了一步
koala,5,2014-07-20 13:57:25,unknown,512,糟糕的装帧以及糟糕的翻译都不能阻止在读完最后一页合上此书时心悦诚服的感慨，这果真是一本伟大的书。到后半部，几乎可以如临其境的理解拉斯柯尔尼科夫那种需要具体的行动，来证明自己的理论的那种急迫的焦虑。但是，仍然是最后的爱，才是最后的解脱和治疗。
渡边,4,2012-03-05 17:31:23,unknown,448,读老陀总能感受到令人晕眩的疯狂、纠结和痛苦，以及一波又一波直抵人心的冲击，掩卷之后，好像醍醐灌顶，又好像什么都没有发生。尾声实在动人。此版译文差强人意。读书计划进度6%。
秋里,5,2013-03-12 19:41:01,unknown,339,陀氏的书真是太宏大了。只是我不喜欢结尾，我仍然觉得没有解救之道，爱只不过是缓解疼痛和罪恶，却还不能根除。而且罪恶究竟是什么呢，惩罚又是什么呢？书中在争辩，却没给出正确答案，因为都不能断定。
mayfog,5,2012-12-21 23:24:42,unknown,158,陀思妥耶夫斯基。罪：真实的犯罪，主观的无罪；罚：真实的体罚，心理的煎熬。与罪相比，罚是一种无法承受的来自于“爱”的罚。亲情，友情，爱情，这三种夹杂的“罚”，还有什么能够比他们更沉重的吗？而罪，他服罪了，他自首了，他自首不是因为他认为错了，而是因为在实施罪的时候他失败了。失败是罪，杀人不是罪，这是一种理论，这种理论把自己凌驾于任何的生命之上，他是一种强大的唯心主义。陀氏，在罪与罚之间，不断的摇摆，最后给出了自己的答案，因为爱，服罪；因为爱，受罚。
末摘花,4,2018-05-31 18:28:07,unknown,145,深刻犀利，但俄罗斯的人名实在是太长了
千山月,4,2014-12-25 09:01:49,unknown,145,为什么你会原谅一个拿斧头杀人的人。明明是凶手，却希望他不要去自首。
停機,5,2009-02-22 14:06:59,unknown,112,高中大部分上課時間都用來讀書或者睡覺了。作業從來不寫。考試基本靠作弊。上語文課之時。老師常提醒我好好聽講。晚自習再看書。但當我在課上讀這本書的時候。她說「你終於開始讀這本書了」。我至今記得她當時微有笑意和欣慰的表情。這個回憶塑造着我腦海中那個年輕時代的我，似有凌雲之志而無處發泄。
撒呓挣,5,2011-01-20 16:12:49,unknown,121,拉斯柯尔尼科夫在流放西伯利亚时所做的末世噩梦，是陀思妥耶夫斯基对于未来的预言，可悲的是，它后来真的实现了。那些自认为掌握了凌驾于自然规律之上真理的“伟大领袖”们，高声呼喊着“为了你们好”，微笑着杀死你杀死他杀死我，造成了上世纪的那场波及世界的狂热理想主义浩劫，那种让亿万人陷入集体无意识的疯癫，恐慌，败坏，相残和死亡的病症。世人每每是以理想主义开始，以专制为结束，违背了自己的初衷。再美丽的概念，也不值得为了它去杀人的
Irgendwann,5,2011-04-30 23:56:00,unknown,83,个人认为，每个人都应当读这本书，无论抱着怎样的心态，它都相当有文学价值和现实意义。这是我近日来最喜欢的一本。而我在您面前也犯有罪过：我爱您。我固执地始终要在明亮的房间中点燃蜡烛。惩罚或许即将到来，但我心中没有恨意，只感到暖暖的余温。安德烈，愿这里始终有一颗星，庇护着你，这祝福永远永远都不改变。
橘 きよあき,5,2016-05-03 22:27:15,unknown,77,他在病中梦见，全世界遭遇一场可怕的、闻所未闻的鼠疫，人们因旋毛虫而陷入狂乱；梦见棺木中的少女，她的黄发是潮湿的；梦见孩子的脸上露出无耻而撩人的淫荡；梦见拉撒路复活。
ketos,NaN,2014-03-05 13:22:34,unknown,86,图书馆的书，最后一页上不知道是谁用红笔抄了一句“犯罪是对社会的不正常现象的抗议”——如果都把这个看成中心。
大士かっこいい,5,2014-04-27 23:22:48,unknown,86,这本书的写作风格其实有些像剧本，人物们总是喋喋不休地争吵。上帝给了每个人相同得罪，却给了每个人不同的救赎。
尽性,5,2019-11-20 12:06:45,unknown,82,拉斯柯尔尼科夫的思想是尼采式的、马基雅维利式的。拉斯柯尔尼科夫认为在通往伟大的道路上踩死那些虱子一样的人，这不是一种罪过。他为什么要受罚，他痛苦并不是因为尼采所鄙视的那种自我道德谴责，而是他发现自己并不能免于受杀人这件事的影响，不能免受这种影响，就证明了他并不是他所认为的不凡之人，他也不过是虱子而已，他痛恨的是这个。至于他为什么要受罚，这是福柯的《规训与惩罚》里讨论的问题。你没有能力逃脱这种社会制度的规训，思想如何激进，失败必然如此。这本书真正让我感动的倒不是这些哲学层面的讨论，反而是这些人物本身的道德，拉斯柯尔尼科夫以及他的朋友、索尼娅、杜尼亚，甚至是那个警察，他们都有无私、善良的品德，人类的苦难是因为这个才得到慰藉。
Chambord,4,2018-04-26 15:31:17,unknown,73,“世界是无法得救的，你唯一能救的是自己的灵魂。”
消失的旅行者号,4,2017-11-07 08:38:33,unknown,60,人这种卑劣的东西什么都会习惯的
exit2000,5,2019-09-29 11:25:35,unknown,55,完全是抱着surpriseme的心态读的结果真的有被戳到，epic，不管是从文学还是神学角度，虽然我还是不喜欢最后落到爱里的结局。最触动我的还是马尔梅拉多夫的死，大概是我读过最吵闹的死亡，医生，神甫，警察，喝过一次酒对其忏过悔的陌生人，冷漠又喜爱热闹的邻居，他那没有穿鞋的小女儿，跪在他面前划十字架的别人的孩子，因为他的过错而穿起不适当裙子的他那瘦弱的大女儿，他神经衰弱又过分要强的妻子，所有的人都围着他，他要死了，没人知道要怎么办，吵吵闹闹，慌慌张张，他的胸口被踩烂了，骨肉都暴露出来，没有时间忏悔了，他也做不出忏悔了，在被上帝赦免前他想被他的孩子赦免，他这样一个被人间唾弃的人，却迎来了最热闹的死亡，终于被人间见证，虽然在他的死亡里他也是个局外人。
🫀Psyche,4,2016-02-13 08:35:52,unknown,33,如果说卡拉是本社会白描的大手笔，那么罪与罚就是一本精神分析手册。从陀氏的视角来看，不可赦免之罪仍然根源在骄傲的原罪，圣经中一再强调理顺的罪-律法-恩典之间拉扯的张力，唯有挣脱狭小的自爱，接受救赎与宽恕才能平复精神的燥热。说罪与罚是罗马书的扩写绝不为过，再高尚的犯罪都是犯罪。
笑望江湖,5,2012-05-17 10:00:31,unknown,32,谁的书比托尔斯泰还伟大，比司汤达还深刻，比阿加莎克里斯蒂还惊心动魄？没错，就是陀思妥耶夫斯基，这部就是他最好的代表作。
谭香山,5,2014-05-26 10:48:10,unknown,34,深刻。救赎没有金光万丈和圣灵歌唱，而在那之前要渡过的是郁郁千愁。
諾,2,2013-12-06 15:47:20,unknown,38,看了一半，实在是看不下去了。好累，琐碎和病态的叠加一层又一层，内心戏太多了，罗里吧嗦的，抓重点有策略的铺叙多好。
莫西,NaN,2014-06-30 12:54:46,unknown,27,名字是在太长了到最后我也无法复述男主人公的名字只能说看到认识
Sx,5,2008-10-09 22:41:05,unknown,49,有思想的人大多要被自己的思想折磨
Dolly Bell,5,2016-04-13 15:41:04,unknown,19,生活代替了理论，一个完全不同的东西在意识里形成了，拉斯科尔尼科夫最终在索尼娅爱的的光辉中，看清了自我的罪孽，并因此而获得新生。
周鱼,3,2010-04-07 21:52:11,unknown,15,有些铺陈在我看来过于冗长，而枝叶繁茂之后是要斩断还是新生，纠缠还是释放甚至是解脱，这些部分很精彩。
果,5,2019-11-24 20:38:33,unknown,12,10分，如果能给20分我也想给，起初不相信有那么好，看到一半也不觉得，看到2/3突然有了，看到最后一节顿觉他的伟大之处，伟大就蕴藏在默默无闻的字里行间，最后以排山倒海的气势扑来。老陀不是随便写写的人，落笔即深刻！那么通篇压抑与阴郁的氛围的结尾蕴藏着人性最闪光的爱。老陀，写了那个与我们有着千丝万缕的社会里的故事，他是那个社会里的真正的作家！
Dk,5,2013-03-24 20:14:07,unknown,16,主角干脆改名叫“k先生”算了。
