user_name,star,comment_time,geo_ip,vote,short
愚公,4,2016-03-29 11:26:29,unknown,464,李泽厚最有才气的作品，与同一时期的《康德学述》和《中国近代思想史论》相比，无论从行文还是从视角，都是独一无二的。而且贯彻李泽厚个人的审美体验，以致后来许多年轻人都将此书作为模仿的对象。不过，我们现在读起来，会感觉到他受到黑格尔《美学》和钱穆《国学概论》形式的影响，也就是说他选取了中国历史上各个时期艺术形式，加以重点阐发，这与钱穆在《国学概论》中，将时代与学术思想结合的方式很接近，又突出了审美与历史精神的结合，后者则是黑格尔美学的特点了。李泽厚将历史与艺术形式有机地结合起来，进行了独一无二的审美解读，这种影响力今天已经无法想象，但是这种创作本身也是艺术性的，而不是学术性的。因此，用学术规范来批判他，不免说不到点上。
mumudancing,5,2016-10-04 18:06:00,unknown,479,在去重庆的火车上一口气读完了。被李泽厚流畅的文字和精准的表达感染得要哭。更可能因为历史过于庞大，而不同时代的美即使不朽，也无法解决人生的有限命题。不管文学、哲学、宗教、艺术，美是“有意识的表现形式”，但更是人性的表现形式不是么。
时间之葬,5,2013-04-01 10:45:25,unknown,266,是美学史也是思想史，两者从未分离。看来是该再读读中国思想史了
大甜甜~~,3,2011-10-14 23:25:37,unknown,182,想了很久，还是审慎地评为3星吧。或许只是耳闻过盛，等到眼见为实的今天，才觉得有些微薄的不满足。30多年过去了，学术倘若还不曾精进，也是不应该的。当然，书是无可挑剔的流畅，对初学者而言，当之无愧的最佳读物。另，李泽厚竟然采用了魏晋封建说，不知在当时有怎样的反响？何兹全先生该是快慰过一番吧。
陆钓雪de飘飘,5,2014-06-11 02:20:14,unknown,186,诚如车尔尼雪夫斯基所说，尽管是莎士比亚，也不能替代今天的作品，那么我读读还没有完全成为明日黄花的泽厚，当不为过欤？同身为中国现代美学三派，对外的朱光潜入乎马哲而毁了功底；比较的宗白华则胜过其学生刘小枫，可见饱含华夏民族盛唐精神，我为其贬晚唐引以一憾；稍晚的对内的泽厚是入乎马哲而能出之的人，时代如此这般，再好也就异端了！有意味的形式，美与自由是其核心辩证，不赖。对李白和杜甫的盛唐之音辨析，对苏轼和陶潜泛化到逸品与神品的南北宗之论更是画龙提不上，比画蛇的人们好太多。黑格尔与康德的气息实在太重，进步的目的论导致善的掺入多多少少矛盾了自己的独立艺术观。儒道佛乃至晚明解放思潮说得有板有眼逻辑鲜明又不流于死逻辑，兹封泽厚为半代大家吧！这是个避席畏闻文字狱，著书都为稻粱谋的时代，说实话我和鲁迅不抱任何希望
张师卿,5,2015-06-22 00:05:51,unknown,124,如同失了一场大恋，怅然若失，久久难忘。我还有话想听，你却讲完了。
失控芭乐,5,2015-12-05 16:27:35,unknown,60,艺术是一个时代的思想的最好注解，你看那辉煌的开始总有征战的嘹歌，愿景的式微也有一个朝代艺术的出世描摹。很好奇后人如何看待新媒体发展的十年，这个时代的艺术又是如何被定义？
郑人,3,2015-08-14 01:38:40,unknown,38,基本可以断定，这厮不懂画也不懂诗
虫虫,5,2019-05-30 11:50:45,unknown,41,开篇没有期待的那么好，直读到秦汉时期才渐入佳境，独具灵韵，有些观点以西方美学的视角来审视中国传统艺术，魏晋风度和盛唐之音应该是最具感染力的两部分。美的历程是指向未来的。诚如车尔尼雪夫斯基所说，尽管是莎士比亚，也不能代替今天的作品。艺术只有这样才能流成变异而多彩的巨川，另一方面，艺术也不乏继承性和统一性，因此古典作品中的审美情趣和艺术风格仍然与今天人们的感受爱好相吻合，让人产生亲切感。
周安迪,3,2016-01-07 00:45:03,unknown,29,80年代的时候应该是很有突破，现在读起来有点过于拘泥于经济基础和上层建筑的关系了。
把噗,5,2012-06-23 21:58:03,unknown,22,感谢读到这本好书，古典文艺入门，接下来是一条漫长的求索之路。
镜中,4,2019-04-24 17:50:57,unknown,49,此书评价过誉，3.5星。虎头蛇尾，讲古代宗教神话艺术用力颇深，至唐代尚可，其后泛泛而谈，到最后讲明清艺术几乎流于表面，堆砌作者与作品。整体看，受黑格尔历史哲学影响颇深，致力于寻找一种艺术背后隐藏在历史深处的时代精神与民族精神，与斯普林格和潘诺夫斯基一脉相承。美学观完整继承德国古典美学-俄国艺术批评这条路子，观点十分鲜明。这种写法在于提供了一个预期的框架，把时代性纳入到一种精神中来，深具感染力与诱惑性，但这也暗含着一种专制，智力的偷懒与陈词滥调。不过是四十年前的书了，能够开始尝试在艺术评述领域“去政治化”，回归艺术本身与衍生精神，也就不必过分苛责
丁一,NaN,2017-05-20 22:22:46,unknown,34,词藻逆流成河，七宝楼台炫目，展览馆半日游，蛋糕太多奶油
摸鱼居士,5,2017-08-07 23:53:04,unknown,34,如此挥洒自如，该有多少底气
HUAIHAI,3,2014-07-15 22:21:27,unknown,25,艰难地翻完。往往看着看着就不知道前面讲什么
ReginaPhalange,3,2018-08-16 20:09:42,unknown,23,读者和作者之间也需要化学反应。有的书尽管评价不错，但在我读来，坚持了大半，感觉还是淡淡的，喜欢不起来，最后我不再挣扎，选择放弃。印象中《我的天才女友》和《卡罗尔》就是这一类，《美的历程》也是。字里行间的气质让我有些反感，盖过了内容，于是匆匆读了大部分，写了一篇课程读书报告。不过多少还是学到一些“艺术的意味”等种种理论启发。个人喜好无可厚非，读书这事上不必太苛求自己。
子酱,4,2015-06-04 09:34:37,unknown,21,坦白说，看不懂。。。😂
木下天一郎,5,2013-07-21 18:52:49,unknown,17,美学通俗易懂的入门级读物，但实话说，不喜欢李呆毛的写作风格，动不动就你看你看的，有一些小错误也一直没有改，除此以外，对各个时期美学特征的总结均是比较到位的，从图腾时代到明清文艺，一以贯之
🐼🐼🐼,5,2013-10-24 22:54:18,unknown,14,我所读的第一本美学专著，用以扫盲。
Lyre,5,2013-02-28 10:16:02,unknown,15,4相见恨晚！之前想当然以为是谈美学的空话，看了才发现是扎扎实实的中国古典艺术巡礼阿！写的好大气，又不缺细节，边看边查资料，每一页都充满惊喜阿！
苦月亮,5,2018-04-10 17:15:23,unknown,9,也太赞了吧！我更愿意把作者看作一个性感的男人，带你穿梭在历史的长廊里，用“抚摸”式的眼光看待每朝的尤物。怎么美？如何美？美的方式也是需要寻找和训练。慢慢去唤醒我对美的感官，去重塑观者的审美观念。
觐威,3,2015-08-06 03:58:52,unknown,10,可真是通俗易懂浅显有趣。
与忘,5,2009-12-11 12:52:25,unknown,14,观古今于须臾，抚四海于一瞬，缩千里于咫尺，揽万趣于指下。笔墨点苍，意蕴流长。取诸于物，形之于艺，表乎于意，成乎于心。世有浮沉，艺亦板荡。虽有形格势禁，亦可空灵不羁。模形拟物，借景抒情，寓情于景，至于随手应物，任心所成。
pricessbridget,5,2017-07-16 11:08:32,unknown,9,读完有种像千年老妖活到现代的怅然和沧桑感…很好的美学入门读物。
Vogon,3,2015-12-19 21:50:38,unknown,13,这种古早的写法感觉每一章都可以出个课后简答题，适合高中读吧……
油炸托克思,4,2013-08-01 17:12:24,unknown,3,马克思话痨病没《中国古代思想史论》那么多了，此书也可算是在没有更好的选择下的中国美学普及书，还是有其意义的。
Lily Legacy,5,2016-08-18 16:22:18,unknown,7,这等极好的书，能有几本？
zhizhong,5,2011-02-17 07:28:26,unknown,9,好书！一遍下来，对中国美学的变化过程了解清晰不少。读得相当过瘾！
Tired Zippo,5,2014-03-07 05:58:51,unknown,7,尤西林评李泽厚：“问题意识”与“人生深情”
