user_name,star,comment_time,geo_ip,vote,short
默音,4,2010-01-26 08:38:45,unknown,2841,印象深刻：纳粹高徒。
大头绿豆,5,2012-03-03 14:51:13,unknown,2681,电影改编非常成功，成功到我觉得如果看过电影的话，其实可以不用看书了。
JUNWK1334,5,2012-01-13 09:39:51,unknown,1176,还蛮好看的啊，我当初居然还因为“看的人这么多，不想看了”这样的理由放弃了这本书……中二病是得好好治一治啊。
烟波人长安,5,2012-07-10 12:10:02,unknown,256,其实我觉得第一好看的是傅月庵的序.....
somnambuleNRR6,5,2010-07-25 02:16:25,unknown,287,最爱《纳粹高徒》
Ecthelion,5,2014-06-02 14:56:28,unknown,121,“有的人会沉沦，如此而已，并不公平，但世事就是这样，有的人会沉沦下去。”
品味糟糕,4,2012-11-03 18:05:07,unknown,117,除了那篇著名的同名电影原著，强烈推荐《纳粹高徒》。
王姐一斤没瘦,4,2015-03-18 16:35:06,unknown,87,畅销书作家就是畅销书作家，你买不了吃亏也买不了上当。当然，作者一辈子都被“畅销书作家”这个名头所苦……
🤲🏻,5,2008-09-27 13:33:41,unknown,84, 五颗星给《尸体》，四颗星给其他三篇
托尼·王大拿,3,2010-06-30 17:45:30,unknown,68,一般般，印证了一个理论：能改变成伟大电影的小说都是二流小说。
十一月的雨,5,2011-07-14 09:21:34,unknown,62,金一直在纠结自己被定型的问题，所以这四个中篇故事集结成书几乎成为他对世人的绝佳证明，对自己的一个交代。四季奇谈，金的巅峰。
伯爵在城堡,4,2012-04-21 19:48:07,unknown,35,是这本书让我有了观看怀旧电影的欲望。
今天小熊不吃糖,4,2008-09-12 13:10:45,unknown,60,很不错的一本书，可惜还没读完就借给了前男友的姐姐，从此有借无还……
神威,5,2018-11-01 23:50:27,unknown,49,休憩310th，还用得着说什么呢？肖申克的救赎我读了六遍，纳粹高徒读了四遍，然后现在发现自己没标，管他呢，再次美美的读了一宿，最近晚上重读小说成瘾，热夜之梦前两天也刚来了一发，读书真好，良夜宜人
北极熊吃科学家,3,2011-10-07 10:54:17,unknown,39,可能期望太高吧...难得有部电影会超越原著，肖申克的救赎系其中一个...
peppersoul,4,2018-08-01 22:07:40,unknown,44,全书除了最后一个故事其他都蛮好的，尤其是剧情张力十足的夏和极具自传性质的秋。喜欢史蒂芬金的那种“啰嗦”，读起来让人觉得地道。四篇中就有三篇被改编成电影，不过为了销量把标题《四季奇谭》改成《肖》也太过分了。
Matthew,4,2007-08-29 15:24:08,unknown,30,尤其喜欢《尸体》
透明,5,2014-02-03 14:20:11,unknown,32,其实根本讲的不是希望，而是每个人都会沿着早已注定的路线成为他自己。还有，肖申克的救赎是前三个故事中最乏味的一个，大概是因为中产阶级银行家本来就很乏味吧。
八点钟有骨气,5,2007-10-09 12:21:29,unknown,30,最爱《纳粹高徒》那一篇
Moss大妖,5,2008-05-23 12:50:53,unknown,32,《肖申克的救赎》由于已经看过电影所以再看书的时候没有什么感觉，《纳粹高徒》写的真的不是一般的精彩！把那种阴森直写到你的骨子里去！！
littletwo,4,2012-10-30 13:18:19,unknown,21,以旁观者的角度娓娓道来，温暖又从容。好像一个五月的下午，你和Red并肩坐在阳光撒满的天台上，他说，“嘿，我给你讲个故事”。
老脸,5,2012-03-31 13:06:17,unknown,28,最喜欢的是《纳粹高徒》。
蓝文青,5,2010-12-02 16:14:34,unknown,11,这是斯蒂芬·金最容易让人理解的书，比之其他惊悚故事，以及惊悚片，此书比电影还有意思。
释凡,5,2018-09-29 05:00:36,unknown,10,美国畅销文学传世经典力作，斯蒂芬·金对情节设置与铺垫，还有恐怖惊悚营造均登峰造极！《肖申克》挖地道脱狱、转移视线、自由呼唤，《纳粹高徒》近墨者黑、控制反控制、杀人埋证，《尸体》童年恐怖回忆与好友物是人非，《呼吸》触目惊心死人头颅....缜密细微、丝丝入扣的心理惊悚，美国当年文学注重故事与气氛在本书中达到巅峰
砍脖厮,4,2008-02-17 20:13:00,unknown,19,越狱不是主题
≌菩提风花,5,2007-03-30 21:06:20,unknown,15,四个非常经典的一个希望一个人性一个成长一个恐怖的生命
MoWen,5,2019-04-15 01:46:04,unknown,9,有点惊讶，我居然没有标记这本书的已读。想当年高四，这本书是如何陪伴了我许多的日夜。在绵中高高的山顶上，操场的隔壁就是监狱，另一个方向是田野，我总是站在教学楼的尽头眺望，看向不知名的远方。这本书里的希望是最珍贵的种子。
别的熊,4,2011-05-13 20:49:53,unknown,11,即使是为了销路的考虑，书名也实在不应该这么搞的。除去声名在外的肖申克外，其余几篇都极其压抑。
linn,5,2011-08-11 09:35:45,unknown,12,对于这本书的感悟都在笔记里。不仅如此还在我一颗不死追梦的心里。
#瞬间收藏家#,NaN,2010-08-26 12:39:31,unknown,3,不过不是这个译本，是网上一个网友自己翻译的
小晨,3,2011-02-14 23:33:32,unknown,10,语言是文化的承载体。很明显这书的氛围就是靠一个老黑人的语言来体现的。原书应该会精彩的多，至少自然。不能说是翻译的不够好，是很多东西本来就翻译不出来。不过也依然看的出来，电影改编的比书更加精彩！
张屁股,4,2015-11-12 10:19:38,unknown,5,真的是电影比书还要赞！
驴打滚,5,2019-05-23 14:53:19,unknown,6,怎么会有人写得这么好？！
鸟川芥,4,2019-09-25 23:07:50,unknown,2,四星半，改编的几部电影都非常出色，是少见的视听语言超过原著的。拿《肖申克的救赎》这个短篇来说，大部分人对监狱生活缺乏生活经验，因而小说中第一人称的叙述对环境和生活细节描写过少，就很难脑补出监狱生活的细节和感受，电影就很直观了，另外电影里演员的精彩表演深化了几个角色的情绪，小说还是薄一些。
八月槎,4,2011-06-06 12:50:29,unknown,7,很好，很喜欢，看完书又把电影翻出来看了一边，《尸体》也很好。
赫克托尔,5,2007-06-06 12:23:00,unknown,4,电子书.跟电影一样好看.
核桃补脑,5,2011-08-10 16:47:57,unknown,3,与电影有着不同的魅力。
李荷西,5,2020-04-04 19:17:41,unknown,5,又宁静又悲惨又有光。
Cambrian,4,2012-02-21 12:29:51,unknown,4,不错哦…比很多纯文学好的多
Spike,5,2012-01-23 23:06:45,unknown,18,恐怖小说大师告诉我们，抛弃希望才是最恐怖的事
懷德,4,2013-03-10 00:41:46,unknown,8,这书看了近七年。06年看了肖申克的电影后买的，但只看了第一部肖申克就被束之高阁。春节前在书柜中看到，觉得该读完剩下三部了，于是春节前浑浑噩噩地看完了《纳粹高徒》。初五晚上在河内机场等了一夜飞机，读完了《尸体》（电影standbyme改编自这部小说）。前两天终于又读完了最后一部《呼吸-呼吸》。
Philex,4,2017-11-06 16:42:57,unknown,8,金算不上大师，但算得上是位好的作家。他生活在“你为什么浪费时间写这种东西，为什么糟蹋自己的才华”的黑色恐惧中，但又有多少人在这恐惧的对面，被经典传统压碎？上到同等高度再挑选吧，在此之前说什么都是废话。
小吉,5,2013-02-28 23:12:28,unknown,3,记得是CR借我的，运动会上看的，震撼
红磡菲林,5,2020-06-12 20:39:09,unknown,8,纳粹高徒最好
大甜甜~~,5,2008-01-20 00:33:15,unknown,3,天行健，君子以自强不息。
老黄天生神力,5,2012-06-03 01:10:41,unknown,1,有目标就是好事
石小po,5,2009-12-25 11:32:33,unknown,2,但其实我觉得小说没有电影好噢！
二黑仔,3,2013-10-09 15:59:27,unknown,1,书没有电影精彩
冰糖木耳,3,2009-12-21 17:04:28,unknown,3,没有传说中的那样好。我只觉得这就是一部被冤屈的男人的奋斗史…==…
透明少女,5,2019-04-27 13:50:09,unknown,3,最喜欢的是呼吸——呼吸，最印象深刻符合自己审美的还是纳粹高徒，人性里面不容窥视的恶，才是永恒探索不完的主题
大大大大大丑叫,5,2013-04-25 10:40:09,unknown,4,电影的改编似乎更残酷些！小说里的安迪更像一个人。
活死人阿過,5,2010-06-17 12:57:49,unknown,8,花了一个上午读完了《肖申克的救赎》。窗外的阳光打在身上，我确认这是自由的味道。有些鸟儿天生就是关不住的，它们的羽毛太鲜明，歌声太甜美、也太狂野了，所以你只能放它们走，否则哪天你打开笼子喂它们时，它们也会想办法扬长而去。
器官坏死,NaN,2008-03-25 11:43:21,unknown,1,经典到死的片子，书也让人感动
Happy Wiggin,5,2010-01-31 00:07:54,unknown,0,最喜欢的电影中的两部的原著书都在这里面了><
Angela,4,2011-04-26 20:37:31,unknown,0,感觉电影改编得更精彩，少有。
水,NaN,2009-10-17 21:23:59,unknown,1,.....
Bill,5,2007-09-12 00:13:50,unknown,4,四个精彩的故事斯蒂芬·金更为重要的另一面序言很有帮助『肖申克的救赎』太出名了个人以为电影剧本比原小说在情节设置上更为出色戏剧冲突更为强烈『纳粹高徒』真的很棒阅读过程中及读后都有一种发凉的感受在内心转变上刻画得入木三分尸体在故事性上逊色一些但可视为作者自传式的作品别有风味最后的呼-吸-呼-吸在继承作者恐怖小说风格的基础上有所发展有种奇幻且意犹未尽的感觉四季奇谭各有特色互有所长各取所需
将离。,5,2019-09-15 22:07:34,unknown,0,先看的电影后看的书书也超级棒
螃蟹蟹,5,2011-06-09 13:08:38,unknown,3,电影好看么。。我怎么赶脚书比电影好看多了。。
笔力不及纸,5,2018-05-21 21:48:39,unknown,5,“我希望太平洋的海水和梦想中一样湛蓝。”——我也这么希望着。
小敏吃掉小敏,4,2009-03-08 15:42:56,unknown,2,虽然小瑕疵不断，和丹布朗可以拼下
虚弱橙,3,2009-04-23 19:16:01,unknown,0,纳粹高徒也不错
蝉,NaN,2014-03-10 14:02:35,unknown,0,:	I712.45/8010-16
Patrick/小白,4,2008-09-29 12:23:04,unknown,1,书名摆噱头，哗众取宠了，别的还不错
霓霓啵系江湖骗子,5,2020-12-24 15:06:34,unknown,1,第一个故事—肖生克的救赎翻拍后增色不少；特别喜欢秋、冬的两则故事，秋·尸体也翻拍成了高分电影，冬营造出的俱乐部氛围和呼吸故事很有画面感，没有故弄玄虚，没有拖沓，斯蒂芬金故事大师实至名归。
F–A♭–F,NaN,2011-01-05 02:52:19,unknown,0,难道我真的就与这么畅销的作家无缘啦?!!!为了《尸体》而读，为了standbyme而读，却没发现他有什么可戳中我萌点==|||半自传性，有意思，不过我没看到丁点吊诡，反到是似水年华与曾经友谊的可贵
五月微蓝,4,2008-07-18 10:27:16,unknown,0,似乎电影更加精彩
MaY°玫,NaN,2011-06-11 21:35:29,unknown,5,书永远比电影更容易得到我的青睐啊。
chrissy,5,2011-06-28 00:34:27,unknown,0,真好看，前三个故事完全不恐怖却很精彩！第四个稍微有点单薄。http://vip.book.sina.com.cn/book/index_40762.html
李玉米,4,2016-05-01 06:28:30,unknown,6,少有的先看过电影再来补看书的。以前看过，还有些模糊的记忆。电影里大雨里冲刷的样子，一直记得
李先生,4,2016-04-28 11:38:46,unknown,6,对于小说与电影共存的题材一直偏好于先看小说再看电影小说通过文字的叙述给了读者遐想的空间电影通过镜头语言视觉化小说的细节读过小说之后通过对主要角色的了解会对电影中演员的代入感进行细致的揣摩一方面可以对故事的还原度进行吐槽另一方面可以从另一个视角来审视故事的脉络甚至通过精湛的演技可以深度的体会故事人物复杂的内心活动很多时候当我们试图描述一个场景会发现恰有那么一刻我们可以体会到文字的苍白无力而偏偏这种场合镜头的变换音乐的渲染演员的肢体声调亦或是眼神都可以意味无穷的展示文字所无法描绘的意境可偏偏肖申克的救赎先看的电影偏偏电影还如此无懈可击以至于阅读的时候脑中还原的都是电影的镜头
豆友132887029,4,2020-03-15 23:30:54,unknown,2,纳粹高徒，一个隔着纸张能让我嗅到尸油味的故事，如果最后两小节没有写崩就更好了
黄昏之星,4,2017-10-21 20:53:59,unknown,2,和电影一样经典
moon酱,5,2012-11-08 20:21:05,unknown,0,每次看完优秀的电影都会想找原著来读大多不会失望
大苏暖袖,4,2011-01-26 11:12:42,unknown,0,我觉得电影更立体。
BabeSarah™,NaN,2007-09-02 18:57:06,unknown,0,貌似有点像越狱
雁荡九州,4,2021-09-04 10:09:13,unknown,4,四季奇谭，四季又何尝不是人生，春之希望，夏之躁动，秋之追忆，冬之新生。
却邪,2,2020-01-15 05:19:31,unknown,1,很多那种吹上天的书，我看完了也不明白好在何处，比如这本和杀死一只知更鸟，我是不是无药可救。
离,5,2007-04-22 12:35:29,unknown,0,斯蒂芬·金是个编故事的好手
颜希Yancy,4,2012-06-04 16:40:33,unknown,0,有些鸟儿天生就是关不住的。
肚子痛阿疼,5,2010-09-01 15:17:58,unknown,1,赞死个仙人了
韬光养晦,5,2009-10-23 21:37:50,unknown,0,书和电影一样经典！（或者是我说反了？）
散落。,5,2009-08-28 14:51:38,unknown,0,自由。自由。
ximo,5,2011-11-16 17:04:57,unknown,0,非常适合拍电影的小说
夏||無我夢中,4,2007-08-15 22:01:17,unknown,0,肖申克的救赎就不用说了，尸体大赞><
Sei,5,2010-02-24 16:35:05,unknown,0,很哲理，肖申克的救赎里的希望、纳粹高徒的人物心理反差、尸体结尾的温情、呼—吸—呼—吸里的母爱！
废宅朋克少年遊,5,2010-07-23 11:24:47,unknown,4,（友）原名《四季》，因为肖申克火爆而篡改其名，人文社竟也是急功近利之辈
天怜幽草,3,2012-08-07 23:04:40,unknown,0,themovieismuchbetterthannovel!Iloveandy!honorhim!
子乌,5,2011-01-05 01:30:12,unknown,3,体制外就是自由，只是，习惯了体制之后是否能够接受久违的自由？
魏无忌,4,2007-11-19 14:30:04,unknown,0,期待呼吸呼吸搬上银幕。
摸鱼废柴一根苗,4,2010-05-13 20:17:36,unknown,0,经典啊
岳宋,4,2010-07-05 14:04:23,unknown,0,救赎，只能依赖内心的信仰。
東柏林地下黨,5,2008-06-22 12:57:40,unknown,0,都是经典故事不止是救赎
五十级皮神,5,2015-12-08 23:53:41,unknown,0,肖克申的救贖》的書名起先並沒有引起我的注意，躺在Kindle內也很久了，趁著復診的時間把他看完了。十分好看的一本書，強推。真希望自己也能寫出那麼好的故事！
flaneur,5,2015-09-30 17:11:42,unknown,1,纳粹高徒
