user_name,star,comment_time,geo_ip,vote,short
Sindre,5,2012-08-17 23:14:17,unknown,1949,其实这本书应该好好电子化，把里面的各种链接做好，在各种平板设备里一点就直接出来了，实体书翻过去翻过来确实稍显麻烦，有可能的话用上高分辨率的图，Google不是都扫描了这么多画么...反正现在屏幕的dpi都印刷品级别的了，可以放大好好研究一番...
琴酒,5,2010-08-26 18:59:10,unknown,962,装帧，纸张，印刷，排版，280的价钱真是要死人不过值得。贡布里希这本书有多好，不在于他的深入浅出，也不在于时代与因果的脉络清晰，对画作的初步分析到位，而是在于他那种谦卑，以至于我真心感受到了“艺术”。只有在看画册的时候，才会觉得不惜一切也想在西斯廷感受一次渺小，去纽约博物馆，乌菲齐，卢浮宫，红场，奥赛，然后站在那些画作和雕塑前，站在那些天国般的教堂里，看提香，伦勃朗，波洛克，弗美尔，拉斐尔，塞尚，梵高。对于绘画真是一窍不通，然而我想，站在那些早已因印刷术被复制到烂大街的原作前，在那些大幅的画像前，还是会像现场听一次交响乐般，怎样都会被打动吧。这一生不在欧洲好好流浪怎么对得起这种不切实际的仰望，那么疏远隔阂，那么不明就里，偏偏又是那么该死的奇迹。
🫀Psyche,5,2014-11-27 18:01:22,unknown,365,终于在注意力的极限到来之前把这本书读完了，序言、作为结尾的最后两章是全书的精华。《艺术的故事》好在它不仅是“艺术作品的整齐排列”，更重要的是一种全局视角的历史切入。贡布里希不仅是在完成一本词典一般的艺术史著作，更重要的是他在给初步接触艺术史的人一种看艺术品的视角，一种很难得的审美教育——怎么看待艺术，艺术是什么。感动于它恭谦又富有幽默感却也不失严肃的叙事，感觉像是在听老爷爷讲故事一般，非常喜欢。推荐这本书，艺术审美入门，艺术批评入门，艺术欣赏入门。
大漁,5,2013-08-06 22:44:16,unknown,432,无法想象从欧洲回来后再看这个会有多么后悔
老袁,5,2017-02-28 11:27:07,unknown,231,入门科普书。粗暴的总结起来是“没有艺术，只有艺术家。艺术的进步从来不是技法的进步，而是艺术家思想的进步。”艺术品只是载体。
coco,5,2014-01-16 21:47:10,unknown,84,读过之后才会知道真正钻进自己学术研究中的人，厉害的地方是不仅仅在自己的专业领域中能有一番作为，而且更能为普罗大众写就一部经典的入门专著，不堆砌术语，不随意使用各类文学修饰词，不呆板僵硬地只会用时间对应历史事件的方式来推进自己的历史叙述，活学活用地用自己的情景逻辑分析将整个西方艺术史纳入到自己的思考和写作节奏中去，最终留给读者的是一个清晰的，富有逻辑性的历史事件发展结构和更多的去走进艺术世界深处的勇气与信心。
Chloooe,5,2014-06-29 16:08:08,unknown,80,这是一本让我读到几近热泪盈眶的艺术史论书籍，贡布里希以讲故事的手法和趣味生动的陈述方式让我逐渐走回艺术和历史的刻度中。用生命推荐。
森雲,5,2015-06-12 16:50:16,unknown,58,确实如同作者所说，特别适合十五六岁的时候入门来读，不过现在读到也不算晚。印象最深刻的地方在于，关于现代绘画的起源，结构、表现和形式的分别对应人物乃是：塞尚、梵·高和高更。
三七莲华,5,2014-11-17 13:25:34,unknown,42,一字一句认真读完，感觉获得了新生。觉得人类真是棒棒哒，有这样多了不起的人前仆后继地开拓创新，呕心沥血地磨练着自己让艺术这种观念的形式一步一步地突破旧有的疆域，有种谜之感动啊
Sarcophagus,5,2014-09-11 21:35:32,unknown,38,280元定价买不来精装也是无奈，好在装订和印色还行。学术价值无需多言，确实娓娓道来，不以大词吓人，直接请君入瓮，阅读体验极佳。绘画雕塑建筑之外艺术门类，或欧洲核心区外艺术流变，或相关社会背景，皆告欠缺，作者志不在此。作为审美教育入门效果很好。校勘小误个位数
