user_name,star,comment_time,geo_ip,vote,short
Q。,4,2013-08-24 12:22:17,unknown,1388,我爱我们的国，可是谁爱我呢。
饭夫斯基,5,2012-05-19 18:35:43,unknown,556,初中学这文章，年少无知，不能理解每句话的意思。如今再看，常四爷嘴一张，一条汉子立了起来，众生百态，轮番登场，道尽几代人的苍凉。
傅踢踢,5,2010-08-24 23:28:49,unknown,307,这语言用的，神了。
MajorZiggy,5,2012-10-18 11:42:12,unknown,204,四角儿的跟夫，本家赏钱一百二十吊！TT
大眼狗,3,2014-10-26 11:40:27,unknown,109,在主题先行的延安文艺路线的文学作品中，《茶馆》算写得好的，那个撒纸钱的结尾可以是所有乱世流离人的写照，比起纯粹的革命软文好一些。
夏天。,5,2013-07-24 01:44:06,unknown,74,《龙须沟》里的所描绘的憧憬有多美好，文革时的老舍一定就有多绝望。
神威,4,2012-01-19 13:22:04,unknown,46,对戏剧一直比较难进入状态，这是本八九岁就读过的戏剧，如今重温，亲切感远胜本身的价值，直到看到那句【我爱大清国，谁爱我啊】立刻想起于是之先生噙着老泪的怒问，老舍先生笔下，人物总是善良而坚忍，直到最后无路可走，又回想起他人回忆中的于是之先生，饿着肚子站在台上，对琴师谦恭发话【劳动师傅款动丝弦，学生伺候您一段水漫金山】，人非草木，岂能心无恻隐，想必只有最坏的时代才能让最好的人无路可走，例如舒舍予，例如王利发
何欢。,5,2012-02-29 21:14:28,unknown,89,改良，改良，越改越凉！
oba horse,5,2021-03-21 14:47:47,unknown,98,熬过了清末，熬过了民国，熬过了军阀，熬过了西洋人东洋人。老舍希望越大失望越大，最后还是熬不过那十年咯。
微神,5,2010-12-31 13:59:20,unknown,64,老舍爱咱们的国呀，可是谁爱他呢？
哈米,5,2011-10-14 14:42:08,unknown,41,秦仲义：四爷，让咱们祭奠祭奠自己，把纸钱撒起来，算咱们三个老头子的吧！
陆钓雪de飘飘,NaN,2012-09-22 13:52:58,unknown,25,覺得構不上名著，哎！中國當代文學……
離微,5,2015-03-31 00:14:55,unknown,34,傷心秦漢經行處，宮闕萬間都做了土。興，百姓苦，亡，百姓苦。從鴉片戰爭開始以後一直到文革結束，百姓享過什麽太平。就連老舍先生，也在文革間投湖自盡。願從今以後國泰民安
小何才露新一角,5,2012-10-07 18:56:39,unknown,31,这大半个世纪的变迁，此后不管多少年，都永远值得认真祭奠。真是看多少遍都能哭出声来。
汐丶曦,5,2017-03-23 09:16:24,unknown,36,“众生百态，轮番登场，道尽几代人的苍凉。”
MILK,5,2017-10-13 09:11:53,unknown,24,寫北京只服老舍。
果心居士,4,2011-12-31 10:38:40,unknown,15,乱世人不如太平犬，每一幕的结尾处都掷地有声沉郁悲凉，虽然是意图明显的剧本，但已然是中国话剧为数不多的佳作之一了。
鸣鹿,5,2017-12-06 11:52:05,unknown,23,这大清国啊，早晚要完！
chenyan.eth,5,2011-09-01 21:51:03,unknown,19,简短有力，乱世中的中国人，各种面目。
大清国的猫托邦,4,2018-07-10 21:16:07,unknown,12,今天换了个“大清国💊“的头像，于是就心血来潮查出处，发现出自老舍的《茶馆》。然后就顺便通读了一下，不胜唏嘘。那个说”大清国💊“的常四爷，因为这句话入狱一年（时值戊戌变法失败后）。按现在的话说，那可是颠覆……历史，不是又轮回了吗。只是，该剧最后变成了主旋律，这也是没办法的事情。且待后来人把49年后的一幕补上吧@2018-07-1021:16:07
浮生若夢,5,2012-05-05 15:41:10,unknown,8,哀其不幸，怒其不争，太经典，得找人艺的话剧来再看一遍
范德一彪 Alex,5,2016-01-02 22:45:45,unknown,15,2015年底，站在光谷书城看的，里面很多王掌柜说：改良改良越改越凉——如今包子的改革还不是如出一辙。还是里面秦二爷最后总结一生时说的好：“有钱哪，就该吃喝嫖赌，胡作非为，可千万别干好事！”
Green,5,2012-02-13 18:23:43,unknown,9,我记得我们全级表演过...
释凡,5,2013-08-31 02:31:21,unknown,10,清末、民初、抗战胜利都穿插很棒，京味幽默讨巧，人贩子被抓那段逗high了，刘麻子、唐铁嘴、太监等人物生动鲜活，影响了一个时代的经典戏剧
失叙,5,2021-05-16 22:42:45,unknown,6,纸一铺，笔一落，老北京的人就活了。
浅草沉钟♪,5,2021-03-31 07:09:21,unknown,20,当我们着眼于历史宏大叙事时，只能看到教科书上几句“谭嗣同慷慨赴死”“维新变法失败”“袁世凯窃取辛亥革命胜利果实”“抗日战争胜利”等等。但是把眼光聚焦到大时代下每一个孤零零的个体，就会看到一个个人在岁月变迁中是如何沉浮的。老舍先生将视线定格在一间老字号茶馆，众人物走马灯似的你来我往，平凡的小人物们在乱世里各有各的活法，让人切身体会到时代变革之艰辛，开启民智之艰难，忠勇义士是少数，蝇营狗苟有点自私是常态，做个不坏的人就已经很不错了。几十年风云变幻，变了新天，磋磨着那些还有些志气的人们，让常四爷感慨“我爱我的国，可是谁来爱我？”，让秦二爷从意气风发到茫然无措，让圆滑的王掌柜一根白绫吊死梁上……茫然失措的大地上，只剩沈处长一句“薅”！
安之,5,2017-12-17 10:04:15,unknown,7,【阅读时间:1小时】这次把全文读掉。老舍的作品真的是开合自如、四两拨千斤。不是那种以简约拨无限的路子。而是点到为止，针针见血。剧中人物众多，但是老舍寥寥几笔就把所有的人物都生动形象地勾勒出来了。这让人如何不佩服？
小黑陆子野,5,2012-07-13 12:27:30,unknown,7,语言的力量，你能从里面感觉到老北京的高贵气质以及哀凉时光
桃兜兜,4,2011-11-28 08:49:27,unknown,5,一个时代属于中国的时代
