user_name,star,comment_time,geo_ip,vote,short
袭人继续收破烂,5,2007-10-23 23:16:01,unknown,1278,把这书列为四大名著之一，说明我们民族还是有眼光的.
一只麦麦,5,2010-02-05 10:03:56,unknown,991,“老不看三国，少不看水浒。男不看西游，女不看红楼。”扯淡阿...趁年轻到来之前没读过才是悲哀的呢。经典永远值得回味
QBY,4,2013-11-25 00:49:26,unknown,783,第一次读。。原来大部分时候是猪八戒在挑担子。
大島,5,2015-11-08 11:12:19,unknown,358,可与《红楼梦》并肩的文学大成之作。解读不知道多到哪里去了，作者是吴承恩还是丘处机还是其他人到现在也没到底搞清楚，但是实实在在的文字，让人忍不住喜欢，越读越会发现很多文学文字的乏力。
荒野之息史瑞克,5,2013-11-05 23:57:46,unknown,230,这才是真正的公路小说好吗！第一次读，真是太好看了，比冰与火之歌都好看！看完对佛教产生很大兴趣。不过我觉得书名字该改成《猴王大闹动物园》。
Zhuo,5,2015-08-09 17:01:46,unknown,128,重读西游记，真的是太太太好看了！小时候读这本书只看降妖除魔，现在反而不在乎什么妖怪什么神通，发现了之前忽略掉的不少段子与人情世故。
天亮天黑,5,2010-03-23 16:37:40,unknown,114,生命是场漫长艰辛的修行，但即便如唐僧般软弱，也可以到达终点。
瓦达西瓦又又又桑只爱这巧克力,5,2013-12-27 14:47:03,unknown,85,本来以为斗战胜佛的地位是孙悟空自己努力得来的，后来才知道不过是如来佛心情好想给他个职称而已，宠物猴还不跪下谢恩。金蝉子怎么都是如来的嫡系自己人，不做任何事都应该提拔回来，悟能和悟净作为惹人喜欢又没威胁的马屁团队自然也要有，让人哄着多舒服～81难不过是证明这些人洗脑程度的小测验而已。
岱小鹅,5,2018-06-20 15:52:18,unknown,77,“徒儿们，你看这前有高山，可有妖怪”玄奘法师的嘴开过光
伊兰月,5,2019-10-14 14:09:06,unknown,120,看过原著后发现师徒四人的感情并没有电视剧演得那么好，孙悟空真的是特别优秀的徒弟，典型的刀子嘴豆腐心，打妖是他化缘是他救唐僧也是他，他行动力强责任心重，给人十足的安全感，而他得到的是唐僧的一次次质疑，身为高僧的唐三藏对谁都可以宽容，唯独对孙悟空有错必究，被冤枉、质疑的悟空却没真心责怪过这个师傅，论修行我真的觉得孙悟空比唐僧高多了。
大眼袋儿姨娘,5,2012-06-03 22:37:57,unknown,82,去掉你的棱角，把你变成佛，杯具故事啊！
0000,5,2013-08-18 18:13:19,unknown,65,经典，不多说。读罢，坚信真正的取经者为悟空，其它人皆为陪衬。
厚厚狗,NaN,2013-09-09 13:30:33,unknown,64,每每听到有人说西游记是童话的时候，我的感觉都和惊悚。西游记太忧伤了，怎么会是个童话故事呢
水仙操,4,2012-06-13 14:37:22,unknown,54,心猿归正，人情文章。凡是有后台的妖怪都被接走了，没后台的都被一棒子打死了。“只要你见性志诚，念念回首处，即是灵山。”“若将容易得，便作等闲看。”“你去乾坤四海问一问，我是历代驰名第一妖！”“好汉吃我老孙这一棒！”“‘姐姐，我们洗了澡，来蒸那胖和尚吃去。’行者暗笑道：‘这怪物好没算计！煮还省些柴，怎么转要蒸了吃！’”如来二徒金蝉子，不知首徒却是谁？
秦川,NaN,2018-06-23 10:26:22,unknown,36,观音没化妆那一节让我印象特别深刻
谭香山,4,2014-02-10 17:41:24,unknown,33,在时空有限的人世间汲汲营营，争名夺利称王称圣；在无限的宇宙你来我往尔虞我诈者称仙称佛称神称道；妖精是地上的神仙。空空即非空，色色即无色。求佛求仙本身也是欲求。只要是人所做、人所想，无论是假托妖名还是假托仙名佛名，终究破不了那层玻璃天花板。
卡里加里博士,5,2014-08-29 21:38:35,unknown,31,好看好看，小说写的绝妙，奇思妙想如泉涌，文笔十分生动有趣，关键是他把妖魔赋予了人性，与其说在斗妖魔，不如说在斗人的劣性，当然这些东西看书才能体会，看电视就只顾着打怪好玩了，几个主角个性刻画的栩栩如生，猴哥和八戒配合的甚好，笑料不断，真是一本难得的神作
苏木,3,2015-09-05 20:49:08,unknown,23,只悟空被唐僧逐赶听得东海潮声一处心有戚戚
猫熊不要黑眼圈,5,2010-04-20 12:25:50,unknown,33,唐僧取经，是如来说你行你就行，不行也行。不行可以创造条件让你“行”：三个徒儿护驾，一干土地、山神沿途照应，各方神仙听候差遣；美猴王能大闹天宫，是因为有能耐的都下界作乱去了。悟空再能干，打不过妖怪，还是要求菩萨；八戒虽然不积极，跟对了人，倒也走对了路。
