user_name,star,comment_time,geo_ip,vote,short
Yo-Yo Hoo,5,2014-05-24 03:51:55,unknown,2172,为了起名字。我读完了。
凌家公子,5,2009-01-27 22:42:43,unknown,290,相比后来的唐诗宋词越来越华丽的辞藻，我更喜欢诗经的简约~直白而不平淡，能以春秋笔法咏物~古人云，诗以言志，诚然~~
卷子乐子八子,2,2008-11-09 12:15:47,unknown,180,毁于评析，令人瞠目结舌
末摘花,5,2018-04-10 06:19:41,unknown,71,中国古代最早的一部诗集，单冲着孔子编订就必须五星好评…
flyer,5,2010-03-05 11:57:40,unknown,52,跟中国古人的风雅比，今人真应该为自己的粗俗浅薄汗颜啊
解意,5,2017-05-07 13:14:09,unknown,35,诗三百，盖思无邪。完全清澈，真诚的情感，不管是孤独，恋慕，忧郁，颂扬，感情都是那么真挚感人。用词简洁大方，真的是中国人必读啊，里面的君子美人，香草树枝，都是那么有韵味和迷人
荀水,5,2018-03-05 10:26:48,unknown,57,孔子曰：不学诗，无以言；不学礼，无以立。
小小,5,2011-01-06 22:38:42,unknown,26,诗三百，一言以蔽之，曰思无邪。
果心居士,3,2009-10-23 16:37:21,unknown,19,很不喜欢这个出版社的书，草草，不尽人意。此类还是中华书局和上海古籍的好一些。
ʚmomoɞ,NaN,2011-02-19 16:31:42,unknown,27,知我者，谓我心忧;不知我者，谓我何求
Alain,4,2018-04-25 13:28:27,unknown,16,最喜风，雅次之，颂又次之；大学时语文老师讲到，《邶风击鼓》中那句死生契阔的爱情誓词，无论是环比同时代其他著作的语言习惯或是从这首诗本身的逻辑上解读，都更像是赞美战士之间的深重（革命）情谊，于是，着此玫瑰色之眼镜再刻意留心，那些被后世“误读”为男女爱情诗的作品似乎都可以做另解：《齐风》中的《还》“子之还兮，遭我乎之间兮”（两个猎手互相夸对方敏捷、强壮），《邶风》中的《谷风》“宴尔新婚，如兄如弟”、《旄丘》“叔兮伯兮，褎如充耳”、《简兮》“彼美人兮，西方之人兮”（赞美男性之美）；《郑风》中的《狡童》“彼狡童兮，不与我言兮”、《丰》“子之丰兮，俟我乎巷兮，悔予不送兮”、《风雨》“既见君子，云胡不喜”、《子衿》“青青子衿，悠悠我心”（恋爱中的小小欢喜与哀愁）。无穷的解读性，可能这就是经典的魅力吧。
郁离,5,2014-06-05 12:23:40,unknown,16,【没能全部细细读完大概这辈子也没法全部细细读完了】诗经中诗歌内容主要可分为1.周祖史诗《大雅·生民》2.农事《豳风·七月》《周南·芣苢》3.宴飨《小雅·鹿鸣》4.战争徭役《豳风·东山》《小雅·采薇》《秦风·无衣》《卫风·伯兮》《王风·君子于役》5.怨刺《魏风·硕鼠》《魏风·伐檀》《陈风·株林》6.婚嫁恋爱《周南·关雎》《邶风·谷风》《邶风·静女》《卫风·氓》
李依诺,5,2019-01-14 21:53:54,unknown,14,"第一遍读过，风雅颂的部分原来是这么分的，机智的孔圣人啊！风的部分全是各地民间诗歌，老话说""高手在民间""，果然名不虚传。淳朴又简短的诗句，道尽世间冷暖晴，直白通透是风的部分！雅的部分是贵族文人写的，开始拍马屁和讽刺了，篇幅也长多了，那些看起来认识但意思又完全跟现代汉语千差万别的字更多了。颂的部分诗歌比较少，主要是祭祀的诗篇，出自王室贵族之手，难道贵族和平民的区别就是识字儿多？想想那个年代，确实是这样，所以这一部分虽然整体内容少，但篇幅跟文人们写的一样多，甚至更多。很多人说《诗经》是用来谈情说爱起名字的？那是只读了风那一部分吧？确实，开篇就来窈窕淑女，怪不得被误解。可是雅和颂完全不同，跟谈情说爱没有毛关系。这几年，风的部分一直再重读，每一次都有新收获。"
西歪🌈,4,2012-07-15 01:46:56,unknown,13,桃之夭夭灼灼其華。之子於歸宜其室家。
『』,4,2014-02-03 20:33:39,unknown,16,……没看过好意思说自己是中国人么？
泡面面面面,2,2008-11-04 18:03:37,unknown,3,解釋和譯文毀掉了這本書==
Frender,5,2010-06-12 19:04:28,unknown,8,关关雎鸠，在河之洲.......氓之嗤嗤，抱布贸丝，斐来贸丝，来即我谋...
Isaac,5,2012-01-02 11:26:16,unknown,6,先秦人民是多么的豪迈奔放啊...
拉赫玛尼诺妇,4,2009-08-11 18:26:11,unknown,6,感受来自远古时代的温暖
