user_name,star,comment_time,geo_ip,vote,short
inuka,5,2012-11-19 10:55:35,unknown,3300,初中的时候读边城读到emo泪目，现在我真是读编程读到泪目。。。
林微云,5,2011-05-09 19:31:08,unknown,2562,含混不清的暧昧害死了人，不痛快的人有了不痛快的结局。
艾小柯,4,2011-05-14 21:40:38,unknown,1651,沈从文的文笔真不是一般得好，沉静从容，底蕴深厚，怎么平淡的故事都能讲出韵味来。
浓浓,3,2016-01-14 09:21:37,unknown,943,所以说，有什么问题，就直接问，有什么要求，就直接说——这是最容易达到效果的做法。因为曲里拐弯因为搞暧昧，我们这一辈子，会弄糟多少事。不知为何，我丝毫没有为其中的爱情打动。
砚小朵™,3,2015-02-16 00:29:21,unknown,640,“少时不看沈从文，觉得他的文字拗，故事也无趣。年岁稍长，却越来越喜欢他。一派冲淡自然，若沉下去咀嚼，便能读出其中的苦味。再品，是苦后的回甘。”去凤凰的时候没去沈从文墓，算是留了个念想吧。
伯爵在城堡,3,2012-04-21 15:23:57,unknown,402,充满湘西风情。中国少数民族古老的求爱方式，秒杀了大多数自以为浪漫的现代人。
根,5,2011-08-23 13:23:57,unknown,325,最末一句话影响是多么深远啊。
XDash,5,2014-01-09 22:01:58,unknown,269,云淡风轻，清涤情灵。吊脚遗风，难存于今。为保住心中的边城，绝不去湘西凤凰旅游。
刘二苍松,NaN,2008-10-15 20:18:02,unknown,231,不知道为啥，我老是觉得沈从文的文字感不像人们说的那么流畅，难道因为我是北方人？
Cassie,3,2009-12-31 14:33:39,unknown,234,尽管它很有名，但是SORRY，只觉得似乎和作者不是一个星球的，无法产生共鸣。扭捏啊扭捏，墨迹啊墨迹，看我得憋屈啊憋屈。对，我跟文学大家不是一个星球的，他地球的我火星的，绝对不是大师的问题那一定是我文学修养十分肤浅。但是我还是觉得很墨迹！
凉水,5,2013-01-04 04:12:24,unknown,196,Re-read。一曲对“美”与“爱”的悲哀赞歌，更是对故土湘西的乡土风俗的优美挽歌。渡船被冲走了、白塔坍塌了、爷爷死了，苗族的古老历史也被割断了。美学家朱光潜说边城表现了受到长期压迫而又富于幻想和敏感的少数民族心坎那一股沉郁隐痛。“边城”的人们试图维护自身文化的同一性以抗拒异质文化的冲击。但沈从文还是复原了曾经丢失的存在的整体性：白塔重新修好了、翠翠依然弄渡船，等待二老的归来。但二老什么时候回来呢？“这个人也许永远不回来了，也许‘明天’回来！”我觉得他会回来，只因为脑子里突然想起沈从文写给张兆和的情书里那句“我行过许多地方的桥，看过许多次数的云，喝过许多种类的酒，却只爱过一个正当最好年龄的人。”读过这样美的情话，当然有理由相信边城是不可到达的美丽梦境。
💖🥜👶🏻。,4,2012-08-31 09:35:21,unknown,161,在满满都是人的地铁上看完。心里有一丝丝荒凉感。
安东妮,3,2006-03-15 11:49:03,unknown,116,对天真两个字有抗体
光年‖影视歌三栖民工,4,2008-11-01 21:17:02,unknown,107,为什么我老感觉翠翠很萌？？？
廖小花,NaN,2008-10-12 12:48:59,unknown,130,为了一本书去过一坐城
陶北,5,2015-10-24 18:25:08,unknown,124,又读了一遍，至爷爷去世，不觉泪下。
芦哲峰,4,2012-12-14 09:16:44,unknown,75,一幅极具东方神韵的水墨山水，怎一个美字了得！
末摘花,4,2018-05-18 07:22:24,unknown,42,湘女翠翠的遭遇让人唏嘘不已……
shu,5,2008-01-15 09:52:48,unknown,57,几年了，这仍是我最爱的一本书。他还是我最好的朋友。
水仙操,4,2010-05-04 22:14:14,unknown,55,翠翠在风日里长养着，故把皮肤变得黑黑的，触目为青山绿水，故眸子清明如水晶。自然既长养她且教育她，为人天真活泼，处处俨然如一只小兽物。人又那么乖，如山头黄麂一样，从不想到残忍事情，从不发愁，从不动气。购于沈从文墓旁。
芥末蘸酱,3,2011-05-16 13:39:30,unknown,46,着实不是我的那杯茶啊!
波波维奇,5,2018-05-18 08:32:17,unknown,45,故事的结尾和翠翠的朦胧的情感让人唏嘘不已，“那个人明天会回来么”。
画地为牢,5,2018-05-14 11:14:54,unknown,61,等一城烟雨，只为你；渡一世情缘，只和你。
胡了了,4,2017-11-08 11:16:05,unknown,55,情节冲突处理得差，像散文。我怀疑沈从文对小说叙述的认识近乎于无知。但语言太好了，简直是典范级别的。
如是,5,2018-05-17 22:25:24,unknown,61,那一整晚一整晚的山歌，装饰了多少人的梦。
子嫩1103,5,2013-07-05 10:46:28,unknown,55,如今这个时代我不知能不能说乡土文学已死，反正大自然的气息在文学作品中是极其少见了，时下不爱实干家爱文艺青年的女孩子还存在，但是“不要碾坊要渡船”的“富二代”早已随着自然的青草香去了。
妍娘,5,2015-06-21 22:50:12,unknown,40,事之轻，情之重。
Mumu,5,2013-04-11 11:43:57,unknown,50,这不是人生罪过。诗人们会在一件小事上写出一整本整部的诗，雕刻家在一块石头上雕得出的骨血如生的人像，画家一撇儿绿，一撇儿红，一撇儿灰，画得出一幅一幅带有魔力的彩画，谁不是为了惦着一个微笑的影子，或是一个皱眉的记号，方弄出那么些古怪成绩？
鸫不动,2,2010-11-10 08:14:30,unknown,35,我觉得挺假的
虚弱橙,NaN,2012-02-23 04:17:08,unknown,38,结实一点，硬扎一点，才配活在这片土地上。
狐狸小白,5,2018-04-25 13:24:03,unknown,15,我还没去过凤凰。
書淺,5,2010-05-29 22:23:34,unknown,27,不知已經是第幾遍了，但每次讀到爺爺逝去秀秀終於明白了一切的誤會時心總是酸得緊。白塔倒了，爺爺去了，二佬走了，秀秀日復一日的等待讓邊城的時間都仿佛凝滯了。想起從文在散文中說的：百年前或半年後皆仿佛同目前一樣，他們那麼忠實莊嚴地生活，擔負了自己那份命運。莫名的哀戚。
阿普,3,2009-10-19 20:25:34,unknown,24,不算上乘之作。
口袋小伙伴,2,2012-12-05 18:04:08,unknown,31,看不下去的原因是乡土气息太浓，浓得过了头就变得村了吧唧的..剧情不紧促，文风也不诙谐..看得打哈欠...整个一盆观赏植物.
树。,3,2013-10-21 21:58:29,unknown,12,高中学校讲烂了。
yezzi,5,2012-05-28 11:08:49,unknown,21,就是这么云淡风轻的。就是这么纯朴美好的。羡慕给地域留下印记的人。
火山上的一坨石,NaN,2013-05-08 15:20:48,unknown,11,唔，还是对沈的文字喜欢不起来。不过现在我大爱汪曾祺了，也算是进步吧。
一城如花半倚石,4,2018-05-07 07:23:54,unknown,13,给我放个假让我去凤凰吧。
浅草君,5,2009-05-16 14:10:19,unknown,11,人性的美，自然的美
一起吃地瓜,5,2018-05-18 08:38:41,unknown,15,每天生活在钢筋水泥的丛林里，向往宁静单纯的小镇生活，有时间会去湘西走走。
许慎,4,2019-12-30 12:52:06,unknown,19,“不许哭，做一个大人，不管有什么事都不许哭。要硬扎一点，结实一点，方配活到这块土地上！”
SebMia,4,2020-05-21 09:22:58,unknown,24,在边城里，我看不到一个坏人，也看不到一个圣人，出现在我眼前的只是一个个热爱生活的平凡人。
江陵哭哭死,4,2011-11-30 02:04:08,unknown,18,也许是我心灵太黑暗，竟觉得这份美好不真实
xx,4,2018-05-17 23:07:18,unknown,20,看了边城，去了湘西凤凰古城，买了湘绣，没有听到山歌。
雨哈☮追明天,NaN,2009-10-01 16:43:43,unknown,23,哎，书里的人物都因为羞涩而憋得慌
Manchild,5,2009-08-11 11:51:05,unknown,13,虽然未读之前会很怀疑对此书作为远远未被读懂的二十世纪最好的书的等等地位的评价但是看过之后却非常喜欢我觉得真的很久都没有读过这种不需要苦心琢磨纷繁复杂的象征意象和结构情节的小说静静的读完心里自然有一个边城
Белка,5,2008-09-12 19:39:38,unknown,13,很薄看得很快...也陷得很深……
