user_name,star,comment_time,geo_ip,vote,short
螃蟹蟹,5,2013-10-28 17:42:04,unknown,16833,大家都喜欢那句“为你，千千万万遍”，我却喜欢“我们有什么权利指责别人的过去”
匡轶歌,2,2008-02-11 20:56:04,unknown,3253,所有的罪只可忏悔，无可救赎。
linn,5,2013-01-15 17:24:43,unknown,2542,为什么忠诚善良的人反而遭到这样的结局，面对阿米尔的污蔑，他和阿里选择离去。当房屋需要他时，他又毅然决然的选择坚守，为了阿米尔能够得到父亲的赞许，哈桑却受到那样的凌辱，换来的却是懦弱的阿米尔的回避，身份，阶级，好可笑的头衔，生命与忠诚在那些虚无的名誉不值一提。犹如草芥浮萍....
拔刀诀,3,2009-11-25 17:24:31,unknown,1373,一般般。炒作的恶心
毛香菇,4,2009-09-13 17:03:56,unknown,927,过誉
赫恩曼尼,5,2016-05-23 16:16:26,unknown,802,两年前，我在美国上一门英语课。坐在我旁边的男孩就来自阿富汗。当他用英语说出这个名字的时候，我们都以为他穿过重重战火和历史的沉疴而来，身上闪耀着神圣的荣光。而他，只是一个普通的阿富汗男孩，好像天空下奔跑着追风筝的人。
安东尼,5,2007-09-18 08:35:26,unknown,1176,touchedhowcanhewriteabookjustliketellastory?
大头绿豆,4,2014-11-25 15:45:15,unknown,739,①故事残忍，笔法温细。②哈桑的无我，阿塞夫的残暴，拉辛汗的洞察，索拉雅的包容，除了作者似乎他们都只有某一面。③不止一次想起喀布尔安魂曲。
胡安叔叔,NaN,2010-06-12 15:50:11,unknown,886,追到的只有自己的过去救赎的只有自己的现在
砒霜拌飯,NaN,2013-11-14 22:56:24,unknown,754,看了一大半，我想我不会继续看了，卡米尔已经让我十分生气，十分生气，well，我甚至觉得自己一开始不该喜欢作者的小笑话，以及作者让我想起了自己在掩饰的懦弱，非常可恨。
寂地,3,2007-11-10 01:38:16,unknown,453,非常好的一本通俗小说．适合拍电影的好脚本．里面有很多可贵的东西．但情节上也有些地方不可理喻．前半部非常的棒．但后面落入俗套子－－但还是感动了我．这是作者的处女作，已经非常的了不起了．
丧茶,4,2009-08-12 11:04:38,unknown,643,谁愿为我说“为你千千万万遍”我愿为谁说“为你千千万万遍”
Yeoman,2,2009-07-29 07:09:39,unknown,326,翻译能不能查查字典，把‘阿富汗GCD’译成‘新政府’还情有可原，但‘阿訇’为何要变成‘法师’我实在是弄不明白。
沙子,4,2008-12-28 08:44:19,unknown,423,前半部比后半部好
好嘢！,3,2014-07-11 22:39:14,unknown,421,几乎贯穿全书这么软弱无能的主角真少见
不死渔夫,NaN,2011-03-09 18:55:02,unknown,358,改变了我因为19：00对阿富汗20多年的曲解
Lotus Eaters,NaN,2011-08-16 19:45:12,unknown,272,和经典文学差一大截呀。
ANNXXNA,4,2010-10-24 20:55:31,unknown,353,往事会自行爬上来。
海马,2,2016-04-28 14:27:02,unknown,235,流行书，然而并不好看，无情节无文笔
豆友36544164,5,2014-12-15 15:43:18,unknown,305,从头哭到尾啊……童年回忆那悲凉而充满罪恶感的气氛让我想起钢炼…哈桑的善良实在太沉重了。。书本的感情非常触动人心。。。
九尾黑猫,4,2011-06-02 00:49:59,unknown,353,“为你，千千万万遍。”我想，小说描写了一种最为诚挚的情感，而且它让你相信有些东西依然存在。在这个没有人相信承诺的年代，让人再次看到承诺背后那些美丽复杂的情感。这是一本好看的书，它让你重新思考。
ayi,2,2012-01-05 14:19:43,unknown,167,鸡汤。
安诺,5,2014-02-13 11:09:59,unknown,241,你有没有做过让你后悔一生的事？
桃桃林林,3,2007-02-24 23:13:47,unknown,135,关于教父的比喻应该是错了，不知是翻译的问题还是原作的问题
大島,5,2013-10-29 21:03:47,unknown,191,阿米尔追回了他的那只风筝，五星好书。
SaintCyr,3,2013-01-25 01:45:35,unknown,152,故事挺好的，除去与阿塞夫重逢的脱线情节。可这根本是部美国小说，阿富汗仅仅是噱头。回想起一次别离给我的震撼，真是对它喜欢不起来。
麦圈圈,5,2013-07-09 15:23:57,unknown,227,善良就是一种勇敢。
贝比去南极✈,3,2010-06-18 08:35:55,unknown,146,搞什么后面是在拍韩剧么？
李苦瓜,5,2015-10-17 11:25:34,unknown,141,我得很矫情地说：在这烂透了的十月，这本书救了我。或者说这本书的前半段救了我。我在那个敏感、懦弱、对自己苛刻的阿富汗小男孩身上看到自己少年的影子，然后理解并且原谅了现在的我。“我们是忧郁的民族”。破碎的故土、盲目的杀戮，比起那些苦难，我的痛苦反而像是礼物。
小恩姑娘。,3,2016-05-22 11:05:50,unknown,129,在读英文版，好故事，但是实在太过啰嗦，仿佛要忍着作者的喋喋不休才能读下去。
游牧人·芳汀,3,2010-09-26 23:01:58,unknown,141,看完的时候哭了，事后却又没有感觉了。奇怪。
hua,3,2008-08-22 20:51:24,unknown,112,作为处女作来说，雕琢痕迹太重。
Miss power,4,2009-11-11 15:28:02,unknown,120,我不喜欢这种阴郁的东西。
顾惜朝一不小心,4,2014-10-08 10:43:52,unknown,167,许多年过去了，人们说陈年旧事可以被埋葬，然而我终于明白这是错的，因为往事会自行爬爬上来。我知道电话线连着的，并不只是拉辛汗，还有我过去那些未曾赎还的罪行。为你，我千千万万遍。那儿有再次成为好人的路。
艾弗砷,1,2011-09-27 19:18:01,unknown,104,写得很有镜头感，有景深有蒙太奇还有闪回。可惜镜头组合的结果是我所不喜的好莱坞煽情风格。我只看到一个被美国洗脑的可怜的阿富汗人。
小城,3,2016-06-06 13:08:24,unknown,94,有无数个可以获高分的理由。但那些都不是我喜欢的人，正直到愚昧的哈桑，自以为救赎可以洗脱罪过的阿米尔。那个也不是我喜欢的世界，这世界上没有比告诉一个人你一出生就是个服侍人的哈扎拉更可怕的事了。人生而自由！
钟螺,3,2018-10-27 01:42:23,unknown,77,实在搞不清为什么豆瓣读过数量第一名是这本书，就学习了一下，读完发现不知道红点在哪，就是写作班流水线里水平比较均质的一本吧，好普通……美国读者蹭一手阿富汗热度还行，中国读者为什么这么爱读呢。
玛可塔,5,2011-08-01 19:43:27,unknown,64,看到最后几页左手边好重。。
小锡兵,3,2009-02-03 09:39:34,unknown,56,不喜欢
神威,5,2017-07-06 09:35:28,unknown,69,休憩138th，读到一半喉头哽住时，觉得哈桑的身世反是败笔，让很多情感变质失色。读到八成。才反应过来是父子两代同样的救赎，不同理由的内心痛苦与折磨，交织国家与民族的悲凉命运以及大起大落的转折，合奏出一曲属于时间的故事。最后中年人阿米尔撒开腿奔跑如儿时哈桑时，眼泪终于糊住视线
偷油猫,4,2011-10-23 10:02:17,unknown,76,书和电影都看过，很能抓住人情绪的书。后来去尼泊尔的巴德岗，看到满街的孩子放风筝，让我突然想起这本书。值得一看。
瓦达西瓦又又又桑只爱这巧克力,3,2013-11-16 22:03:28,unknown,56,崩坏的最后一章。
Amberose,5,2017-05-16 17:29:06,unknown,41,阿富汗曾经也有过充满希望的时代，现在再看，真是令人唏嘘
千鸢,3,2011-03-13 20:20:00,unknown,41,作者真他妹别扭
今天小熊不吃糖,5,2008-08-12 11:47:53,unknown,46,还记得那天晚上陪他加班，这本书让我泪流满面……怀念那个夜晚
人在清涼國,5,2021-08-16 23:42:02,unknown,38,从“追风筝的人”到“追飞机的人”，现实远比小说沉重。无穷的远方，无数的人们，愿你们早日得到安宁。
李四辣个,3,2018-03-05 16:37:26,unknown,39,无法引起深层次共鸣。
