user_name,star,comment_time,geo_ip,vote,short
黎攸,5,2015-01-15 22:14:42,unknown,410,很有趣，窃以为这是一本＂肘后＂之书，寥寥千言，最初年幼，只是因学问而记诵，辞微旨远云云，着实无甚感觉。然而此后十余年至今，偶有一事即触及记忆中三两句，往往有醍醐灌顶之感，故有肘后之感，确实是值得用漫长的时间去慢慢浸透的文字。又及，因此而想到，幼时被要求记诵的诗书典籍甚众，晓事后心中十分抵触，因而对古时私塾科举基础教育深恶痛绝百般苛责。后来，那些被强行写入记忆曾经不求甚解甚至完全不解其意的文字，仿佛被时间和经历搅动，慢慢面目清晰起来，很多时候，是很奇妙的体验，仿佛从一杯泡着玛德莱娜蛋糕的红茶底下升起的整个贡布雷，令人微笑的惊喜。所以，一，对于此类古籍，即便不为文言的障碍，也没有必要看什么注解版本。二，我想我的孩子也会被残忍地推行的。
yihan爱书橱,4,2013-03-25 10:30:14,unknown,341,原以为《道德经》跟《圣经》应该毫不相干才对，结果开头两章把我给惊到了！“无名，天地之始；有名，万物之母”，这里的无名，不就跟“IamwhoIam”相对应吗？有名，不就是Eve吗？第二章的，“天下皆知善之为善，斯不善已”，这不就跟亚当夏娃是在吃了“辨别善恶之树”的果子后才知道罪为何物如出一辙吗？（他们不知孰为恶孰为善的原因是因为他们从未犯过罪，就好比一个一直生活在黑暗中的人不会晓得什么是光明一样的道理）。然后第四十二章的“道生一，一生二，二生三，三生万物”，这简直是三位一体论嘛！
大头绿豆,NaN,2009-07-01 11:18:22,unknown,136,有几章看不大懂。有几章我坚决不同意。
芥末蘸酱,5,2011-04-21 12:34:09,unknown,85,大音希声.
巽,5,2010-01-06 17:19:49,unknown,129,天地不仁，总拿我当小狗
向死而生,5,2013-06-08 21:37:50,unknown,20,字数不多，但这是中华文明的精华，被教科书误了，只抓住一个小国寡民在批判。。。真是值得反复和经常的阅读！
撒旦的表妹,5,2017-03-14 17:02:33,unknown,23,阅历不够，即使是看了他人的注译版也是一知半解。慢慢来吧
峰峰峰峰,5,2015-03-31 22:37:02,unknown,18,行到水穷处，坐看文起时。书者，述也，以载道，以寄情，以解惑，以明智。
西里图,5,2011-10-29 04:39:38,unknown,17,不敢说不好
amour,5,2009-09-16 19:58:10,unknown,13,简直，看了就觉得中国是多么博大精深的文化大国。。
走走停停,5,2013-02-22 17:33:27,unknown,11,不得不说是大智慧，自己也没怎么看懂。不过其中的道理、逻辑、文法并不能完全赞同。
southstarj,5,2011-01-16 19:26:13,unknown,8,无欲，无为……
姝藜,4,2011-09-03 16:58:45,unknown,6,难以言述，不可望其项背。
游民王阿牛,NaN,2009-11-16 01:58:03,unknown,6,上善若水任方圆
Pamir,5,2015-10-12 11:14:17,unknown,7,非此版。只是通读个大概，后续还得慢慢读
浮生若夢,5,2009-12-31 15:57:52,unknown,3,自然是要读的。
风满蜃气楼,4,2012-11-08 00:30:05,unknown,3,还是喜欢宇宙生成论，当然这只是个门外汉的想法。。用无为的观点是否无为，即可无所不能为，即万能？
Clash-Cash-Car,5,2008-06-05 08:28:48,unknown,4,道生一一生二二生三三生万物谷神不死谷神不死是谓玄牝玄牝之门是谓天地根百家诸子最玄妙之道家融于天地自然归于大道
redlunch,NaN,2010-01-20 12:40:26,unknown,4,想起陆志刚老师的话：《道德经》是生存之道，也是文化共生之道。
已注销,5,2011-05-24 09:54:12,unknown,5,读这本书是因为叶莺女士在一次会议中说到：大学生必读的一本书应该是《道德经》。确实，看待问题不过过于片面。整体的认知这个世界，学会这个世界的生存法则，才是生存之道。
