user_name,star,comment_time,geo_ip,vote,short
月野,4,2017-12-17 09:04:58,unknown,1367,李娟跟三毛很像，她们不仅仅善于接纳生活所带来的沉重感并把他们文学化，更善于在生活本质中扎根。在物欲纵横的年代里，读她们的故事，让我们这些忙着赶夜路的人也发现月亮真的很美。
知识恐怖分子,5,2017-12-27 20:42:02,unknown,634,很幸运，我和李娟生活在同一片广阔阿勒泰的大地上。但是在看李娟的这本书之前，我从来没有意识到向日葵地是这样的美好，在我的记忆里，种地总是与贫穷和脏乱联系在一起。这本书唤醒了我的看过却没有欣赏的美景，那“满天都是”的蜜蜂，那由蓝色和金色组成的天地。我应该感谢和赞美我生活的土地，全心全意地赞美她，除了赞美，我不知道这样才能减少对被压榨的伤痕累累的她愧疚。后记:今天，辽阔的阿勒泰大地上迎来了一场盼望已久的大雪
cc,5,2017-12-02 18:16:31,unknown,227,看到李娟出新书，我开心了一天。
玫瑰点点酒,5,2017-11-23 09:57:18,unknown,162,第一时间入手了娟姨的新书。一晚围炉夜读，跟李娟一起去乌伦古种向日葵。还是那样自言自语般地自述生活，但生活背后的艰辛与不容易，却让终于懂得生活的我泪流满面！看到外婆的离去、看到与天斗的心酸、看到娟叔叔终于丰收却中风倒下……懂李娟，所以爱李娟。爱她至死不渝对生活的热爱！
Sakurayu,5,2018-01-17 15:44:19,unknown,252,每次看到写外婆的段落都会潸然泪下
小嚷,4,2018-04-22 10:58:55,unknown,110,有一些篇章特别好。总觉得有动画制作公司，那种有钱有资源的，完全可以买李娟很多书来改编，一集十多分钟讲一个故事，生活片段什么的，就是照着樱桃小丸子那种家庭叙事的模版来都超级好看啊。
沈书枝,4,2018-09-21 15:57:34,unknown,70,后面比前面要好，大概因为第一年种葵花时不在场，所以很多描写显得简单潦草，后面两年在那里葵花地边劳作的时间长，写得就饱满得多。但是中间穿插的一些抒情性篇章，还是觉得隔膜，即使是反省人类对环境的掠夺的抒情。这抒情使得反省显得轻飘，它用一种较为容易的、因而也是逃避的方法躲过了真正的思考。
空山,5,2017-12-20 23:15:11,unknown,66,哎呀，以前没觉得李娟那么幽默啊，这本书着实把我笑安逸了，特别是其中一篇写名字的，有一个姑娘叫别克炸弹，她的哥哥叫别克坦克，她的弟弟叫别克火箭，这些牧民们太有意思了，还有一篇写猫打架，也是非常搞笑的，她妈妈也很幽默火爆啊。
把噗,4,2018-12-05 19:42:17,unknown,70,毫无疑问，李娟一直是中国当代最好的散文家，从我第一次读到她起，足够令科班出身的作家们汗颜。
哇嘎哩贡,5,2018-01-07 00:35:54,unknown,55,李娟在用一颗诗人的心写散文。读到她写在地底洗澡的片段，突然想到：这样敏锐的细腻的执着的文字，很大程度上来源于她的寂寞吧。太岑寂了，太荒凉了，天地间的一切好像又恢复了原初的面貌。世界新生伊始，眼睛也慢慢退化，符号从视野里褪却剥离，因而得以凭想象抵达最远的地方。
