user_name,star,comment_time,geo_ip,vote,short
shininglove,5,2015-04-05 16:03:39,unknown,4909,挽狂澜于既倒，扶大厦之将倾。
白宇极,3,2014-08-18 20:08:27,unknown,0,
豆友47431801,5,2018-06-27 15:49:56,unknown,2537,“回国之前，邓小平买了两百个牛角面包和一些奶酪，回国后分送给周恩来、邓颖超、李富春和聂荣臻等人，他们都是1920年代他在法国时的革命战友。”大概是全书中最感性的一句话。我偏爱细节。
ring,4,2014-10-05 15:46:41,unknown,0,
大甜甜~~,4,2013-02-06 20:19:10,unknown,1176,在书店翻完就成，买回家则如同鸡肋。傅高义写这部书的初衷就是向西方人介绍邓小平和他经历过的大时代，可叹的是，今天我们却要把这样一部写给别人的入门书当作我们了解自我的红宝书。
城市中的乡绅,5,2013-01-29 19:20:33,unknown,664,总有人希望这本书能有别出心裁的史料和观点，其实这本书最大的贡献在于理清了从1977年到1992年所有历史事件的脉络
马利.,5,2018-04-12 15:03:56,unknown,706,按照邓小平的遗愿，他的眼角膜被捐出供眼科研究，内脏被捐出供医学研究，遗体被火化，骨灰盒上覆盖着中国共产党党旗。1997年3月2日，他的骨灰被撒入大海。
熊阿姨,5,2013-07-31 23:40:51,unknown,412,天啊我终于把这本书看完了，当代史扫盲教程，挺好看的。
aone_atwo,4,2013-03-22 05:34:24,unknown,471,资深自费党史研究员
边城不浪,3,2012-12-25 21:36:47,unknown,345,老生常谈，想从这本书看到什么创见的朋友恐怕会失望。傅高义有点儿云间鹤的味道，八十年代日本牛逼时写《日本第一》，现在中国崛起就捣鼓《邓小平时代》，再过个十来年估计能看到《甘地家族》吧。
Ghost,5,2012-12-04 13:11:28,unknown,270,有人认为傅过于为邓辩解，傅高义所秉承的史学家的立场。而不是记者的立场。
fateface,4,2013-03-30 23:19:45,unknown,228,还是很值得一读的，对于今日中国会有更深入的理解。我们的政宣工作者有这水平就好了。
白色的蓝,5,2016-02-05 09:59:28,unknown,242,港版，当时是因为前段时间看蒋经国传，邓老和建丰同志是同学，刚好同期对比下两岸第二代领导人。邓老最厉害的一点就是能抓住事情的本质，事实说话。看完这本书我才了解为什么宣传他是『总设计师』。#国人必读
小波福娃,3,2013-04-03 19:50:23,unknown,149,盛名之下其实难副，看前言觉得作者好牛逼接触了这么多高端人士总该有点不一样的内容吧，结果无论观点还是材料，几乎没有太多值得称道的地方，总体说来很主流很官方很环球时报，考虑到大陆本的阉割问题还down了港版check了一遍，出入不算大。
伊卡洛斯,5,2015-06-11 07:54:56,unknown,173,虽然这本书有很多遗憾，但是的确没找到更好的选择。结合当下时政去看此书，能获取太多警世惊叹，也能更加重视自我的培养、与社会的互动和对国家的观察。
二赫,5,2019-11-09 15:24:50,unknown,278,邓小平时代无疑是复杂的，能在这个复杂时代，在几乎所有重要的领域都能取得巨大的成功，真的是难如登天，然而邓小平却能做到。真正的战略家是当你回顾历史时，会强烈地感觉这个人根本不像是那个年代的，好像是知道了历史趋势后再穿越回去的，不然的话，怎么可能在那么大的局里、经过那么多年，做对了那么多次关键的选择？邓小平就是这样的奇迹。
克隆小丸子,5,2015-08-05 10:48:52,unknown,124,非常推荐，让人理解当下的中国为什么是当下的样子，叙事尺度在想象中，但是对一些敏感事件的叙述也是足够的；另外，很喜欢邓在书中呈现的人设。理性又亲疏有别。可以和自己的部下保持一种理性而有紧密的上下级关系。
大冰,1,2020-02-25 20:05:50,unknown,0,
阿尔的太阳,5,2020-02-24 02:49:51,unknown,414,毛有诗和远方，邓带着这个国家度过眼前的“苟且”
呵呵好吗,5,2020-03-04 22:00:57,unknown,233,这是一本经过美国中情局和中国文化宣传部门双重审查删减后依然内容详实，跌宕起伏的好书。
