user_name,star,comment_time,geo_ip,vote,short
半月不见月半胖,NaN,2013-05-06 08:22:41,unknown,1280,当我沉默的时候，我觉得充实;我将开口，同时感到空虚。
YuSi,NaN,2008-04-22 18:14:04,unknown,656,似乎鲁迅经常做噩梦...
亚比煞,5,2010-09-22 21:24:33,unknown,566,我不愿彷徨于明暗之间，我不如在黑暗里沉没。
神威,5,2013-11-21 09:26:48,unknown,368,修行134th，彼时大先生白话文已臻绝顶。这本书是我爹私人藏书中唯一一本鲁迅，我六七岁的时候读过一次，不过必然是有读没有懂，今天读时受到了极大的震撼和感动，昨晚读到手心出汗心绪波动，另外这绝对不是肾虚的表现，我的损友们。最喜欢的是大先生借以自况的复仇者I，于是只剩下广漠的旷野，而他们俩在其间裸着全身，捏着利刃，干枯地立着；以死人似的眼光，赏鉴这路人们的干枯，无血的大戮，而永远沉浸于生命的飞扬的极致的大欢喜中。其次是立论，寥寥几笔白描，爽快淋漓，还有相当几篇感觉没有理解或者没有理解到位，大先生的书，也不是只读一次就可以的
tifanie,5,2012-10-26 10:15:17,unknown,203,初读，重读，长时间读，掰开揉碎了读，半明半暗地读，不管怎么读都那么有味道，仅是这点有几部散文诗集能做到？
李子鲤|Lilith,5,2015-06-12 09:32:11,unknown,98,他独自走到最后，满眼只剩下孤绝与荒凉。他超脱了国家、社会与时代，昏天暗地间只看见一个粗粝的人字。
异乡人,5,2014-02-09 15:25:39,unknown,67,其文有《庄子》的几分汪洋恣肆，有尼采的几分求超越的虚无绝望。在这本书中，鲁迅善于营造一种氛围，或激昂或沉郁，你抓不住实在的意思，像是在欣赏一件艺术品，你说不出所以然，但你沉浸其中，感到几分美的令人陶醉的虚无，无意义。
末摘花,4,2018-05-24 19:05:46,unknown,65,读不懂就对了
黑伞,5,2019-06-01 14:17:57,unknown,49,高中起就喜欢《影的告别》，并全文摘抄过，其实那时的阅历并不足以支撑我对鲁迅作品的理解深度，但仍不妨碍我从审美上亲近它。我觉得这也是一部文学作品能成为经典的关键。作家的思想之深遂固然重要，但对自我的表达，那种表现力的东西也同样重要。《野草》在文体上，表达上，思想上，都可代表鲁迅的文学最高成就，但从始至终，始终能打动我的仍是那种黑暗的，绝望的，充满着矛盾的抒情性表达。鲁迅是一个情感很丰富的人，所以即便是看他的杂文，也应该更多地从其情感而非思想的层面去理解，否则是会失望的。《野草》可以说是《彷徨》的2.0升级版，忠实体现了鲁迅进退维谷，欲说还休的精神困局，也是他启蒙价值观塌陷的忠实表达。他感到自己可能什么都不信了，却又对此非常恐惧。而他后期的怼神形象，可能恰恰来自于这种恐惧吧。
陆钓雪de飘飘,5,2013-04-26 20:50:24,unknown,29,啊，我的哥哥！
小鸡饲养员,5,2014-02-08 13:33:02,unknown,35,野草，根本不深，花叶不美，然而吸取露，吸取水，吸取陈死人的血和肉，各各多去它的生存。当生存时，还是将遭践踏，将遭删刈，直至与死亡而朽腐。但我坦然，欣然。我将大笑，我将歌唱。
林多木,5,2018-10-14 00:17:15,unknown,47,华语文学再也没有如此深沉动人。如今读来，就像在荒漠听到乡音。
高小猴,5,2009-04-13 16:08:29,unknown,35,“希望是什么？是娼妓。她对谁都蛊惑，将一切都献给；待你牺牲了极多的宝贝---你的青春，她就弃掉你。“我最喜欢的就是《野草》，看着这些文字，悲观中暗涌的倔强....犀利，见血！家里的一套都是73版，真是宝贝！
芥末蘸酱,5,2011-05-04 17:23:37,unknown,33,五四读之，不觉倍感伤感.
יוֹחָנָן,5,2017-01-18 22:37:36,unknown,22,鲁迅依然很难读，绝望之为虚妄，正与希望相同。
佾云,5,2019-09-05 07:46:17,unknown,39,极其私人化的一本书，感觉只是为自己而写，全然没有《呐喊》里那种为了叫醒愚昧的人而写的味道。然而真是好，看得如痴如醉。翻阅的过程中反复感到鲁迅真是一个怀有大爱的人啊，而他经常感受到的那种虚无，我也完全能懂。不自己来读鲁迅单看课本总觉得他是个犀利刻薄的斗士，但自己看完以后才明白鲁迅也迷惘，也彷徨啊。《过客》一篇看得人真是心痛，没有牢笼的地方到底在哪里啊。喜欢的地方太多，“我独自远行，不但没有你，并且再也没有别的影在黑暗里。只有我被黑暗沉没，那世界全属于我自己”。
人土土,5,2011-08-17 13:39:48,unknown,28,这是先生最好的作品。他不愿意青年读野草，说野草只属于他自己，这已经感动了我。其实棵棵野草并非完美无缺，但是这一整片草野也实在魅力非凡。躺在这片草野上，身躯紧贴大地，我感觉到过客的脚步越来越切实。在齐身高的草丛里奔跑，张开双手是世界拥抱了我，而我只触到了这灵魂的一小片而已。
莽草酸,5,2018-07-12 07:58:47,unknown,18,“叛逆的猛士出于人间；他屹立著，洞见一切已改和现有的废墟和荒坟，记得一切深广和久远的苦痛，正视一切重叠淤积的凝血，深知一切已死，方生，将生和未生。他看透了造化的把戏；他将要起来使人类苏生，或者使人类灭尽，这些造物主的良民们。造物主，怯弱者，羞惭了，于是伏藏。天地在猛士的眼中于是变色。”
蔼蔼浮浮,5,2017-10-08 20:10:08,unknown,27,「于浩歌狂热之际中寒；于天上看见深渊。于一切眼中看见无所有；于无所希望中得救。」
虫虫,5,2019-02-27 17:34:14,unknown,13,当我沉默着的时候，我觉得充实；我将开口，同时感到空虚。过去的生命已经死亡，我对于这死亡有大欢喜，因为我将借此知道它曾经存活。死亡的生命已经腐朽，我对于这腐朽有大欢喜，因为我借此知道它还非空虚。
