user_name,star,comment_time,geo_ip,vote,short
非贾罗,4,2018-05-26 15:19:59,unknown,1404,《长日将尽》冯涛先生的译文实在是棒这文体干净整洁到位令人难忘在冯先生富有修养的译笔下将英国管家的那饶舌不尽欲语还休却又典雅含蓄内持外敛的绅士调子尽致淋漓地再现了出来且不论译文是否精确可信就是读这样雍容的文字也是一种享受
大鸟大鸟,5,2019-07-19 00:14:20,unknown,1324,我叫了一百遍你的名字，最后见到你却只能说本恩太太
拉布拉布,5,2018-04-30 08:07:56,unknown,287,新出的译本果然涨价了？发烧在家休息的一天看完的，是最近看到的非常喜欢的小说。石黑一雄真是有耐心的人啊。前面虽然琐碎，但节奏迷之好，可以吸引人一直一直看下去。在回忆中写出父亲、勋爵、美国人、述者、肯特小姐，还有来府上住的诸多人。最后的部分给人感觉像音乐广版，但又不是简单地节奏放慢，重复主题，而是非常微妙的处理啊。真是很好。真是很好。看完时候躺在床上失眠，一直在想这个拍成电影应该挺好~果然拍成电影了啊，要去看看。
兜兜,5,2018-08-22 20:56:02,unknown,509,真的太好了。克制的回忆里满是情绪暗涌，那扇没有敲开的房门，一遍遍闪回，复又一次次逃避。谨小慎微过一生，到头来热忱追求的都是一场空，只剩回忆吉光片羽，剪辑修饰躲藏再加一层滤镜，是要欺谁？来不及叹息，纵然长日也将告尽。
Sebastian,5,2018-05-29 18:48:08,unknown,294,“的确——我又何必再遮遮掩掩？在那一刻，我的心都碎了。”我说，斯蒂文斯先生，您还知道心碎啊…你快把我给憋疯了…不过我还是要说：多棒的人物塑造，石黑一雄了不起～
公子越,5,2018-06-13 00:45:30,unknown,241,你是如何为了成就事业而荒废了你的人生，又是如何在个人的层面上蹉跎了一辈子。非常好看的一本书
[已注销],4,2018-06-03 23:15:07,unknown,202,完美结合了英国和日本两种暧昧的类型。
sleepy Mia,5,2018-08-09 12:10:34,unknown,187,非常精彩，这么多年诺奖作家里都没有看到过喜欢的，石黑一雄有飞花摘叶即可伤人的那种厉害。甩村上君起码一条街。
不安的树,5,2018-06-14 16:42:52,unknown,180,如果这只是一部讲述错失的小说，其实可观性并没有那么强。关键在于，叙述者对于往事的回忆，并不仅仅是掩饰，也是重构。人终生所追寻的意义，虽然破绽百出，但因为有了时间的厚度，有了过程的一唱三叹，而回味悠长。长日也许有尽时，但生命永远不会停止展现其美妙之处。
黑猫,5,2018-09-03 00:56:16,unknown,115,果然是大师的小说，第一次让我感受到了震撼的描写。诺贝尔文学奖对石黑一雄的获奖原因，果然描述的非常到位。非常具有情感的描写，全篇都是回忆的独特写法，从个人经历融合了历史厚重感。通过这本书还第一次知道了第一人称叙事还有不可靠叙事这种别具审美意味的写作手法，获益匪浅。
长亭,4,2019-01-03 00:15:06,unknown,153,完全不依赖外部冲突而展现人生的必然矛盾
阿裕,5,2018-05-19 17:36:23,unknown,120,我总觉得他是在回忆已经逝去的那种欧洲文明世界，被一战二战摧毁的，茨威格的昨日的世界
null,5,2018-10-28 19:02:43,unknown,118,无比平实美好的文字啊，涌动的感情也被迫平静下来。门内，星轨在偏离，门外，真情在燃尽，而你站在门口，久久地，只是看着轮子转动，以莫须有的原则约束自己，无动于衷。长日将尽，人之将死，你继续欺骗自己：傍晚是一天中最美好的时光。你不担心死去，因为你从未活着，你早已死去。
Agrippa,5,2018-07-30 13:02:34,unknown,92,无疑是最喜欢的一本了。错失和价值的崩溃，这种巨大的悲剧性注定在模糊的回忆中依旧氤氲不散的伤痛。“在某个时刻，在故事临近尾声时，我必须让他的盔甲裂开一道缝，我必须让他流露出一种巨大的、悲剧性的渴望—渴望有人窥见盔甲下的他的真容。”而就那段历史，today'sworldistoofoulaplaceforfineandnobleinstincts（这句无比喜欢原文），更是一段集体记忆最后的、无法挽留的荣光消散净尽的刻骨描绘。海边傍晚的结尾，我觉得是石黑一雄给出的结局中很温柔的一个，与“stillthere，stillthere，stillthere，gone”一样，不是倾覆而是淡出。大概是前文实在读得太心痛，给出这个结局权作慰藉吧。小彩灯点亮的傍晚，过去已自行作结。
Cooltree,5,2018-09-24 11:16:26,unknown,70,如果未来开课，一定会把《长日将尽》列为推荐阅读作品，无论是国际关系，还是对专业主义的探讨，还是对有关伟大和道德的讨论，这都是一本令人着迷的小说，可供分析探讨的太多。从某种意义上而言，石黑一雄对于英国特性的分析，恰如托克维尔对于美国的理解相似。
censored dump,4,2018-08-18 20:06:34,unknown,66,主题可以归结为对“昨日世界”的某种反思，对荣誉=责任、尊严=伟大的贵族精英政治含有微妙的讽刺（福莱特巨人的陨落中也有展现）。真正让我惊讶的，是石黑一雄通过一个扁平的人物，塑造了具有景深的时代变迁，史蒂文斯管家无疑是旧时代的产物和捍卫者，让他的职业精神由忠诚变得迂腐的，是二十世纪的人类经验，最重要的，是职业与人、身份与权利的脱钩，在达林顿庄园的微观舞台上，人性的压抑不可避免地成为人生的蹉跎，不论主仆皆如是。石黑标志性地运用回忆的可塑性操纵情感，回忆就是构造，讲述者回避着判断，但充满富余、暗流涌动的细节使得情感与批判呼之欲出，比如那场“平行剪辑”的宴会，或是黄昏码头的人间灯火。借此，人生的遗憾成为某种冥冥之中自有真意的诉说，记忆的丰沛偿还了行动的缺失，consoletheunconsoled
阿徐,5,2019-03-21 23:55:57,unknown,152,鲜少有译者将后记写得这么好。关于“你是如何为了成就事业而荒废了你的人生，又是如何在个人的层面上蹉跎了一辈子的”，难以名状的、含蓄的悲哀。
JR78,5,2021-03-25 09:50:25,unknown,88,越读到后面越觉得精彩，我似乎看到了一本极度克制，却又自欺欺人，曾经画地为牢，又在回顾岁月中惊醒的管家日记。第一次读石黑一雄的作品，发现他真的很厉害，他能在政治历史之中真实切入到一个普通又关键的角色上，在寻找尊严、职业意义的心理过程中，一边是回避，一边又是透彻的清醒。这本小说堪称艺术，看起来冷静枯燥的回忆，其实他什么都讲了。厉害就在于，通过重述过去看见管家个人的追求与选择，又能再此之上加深一层，从事情真相和外界的表达再度审视我们的主角。你以为作者在第一二层，实际他在第五层，向下铺陈了很多阶梯等着你发现。真的牛。
徐栖,5,2019-07-25 21:30:48,unknown,67,石黑一直在写“我选择的我相信和珍视的东西的失落”。
