user_name,star,comment_time,geo_ip,vote,short
失控芭乐,5,2011-08-17 15:50:34,unknown,574,在李娟浑然天成的文字面前，任何华丽的词语都成为了笑话。她再一次证明了好的文学是对生活与生命的感悟，并不是精雕细琢的技巧就能取代。特别喜欢她对万事的态度，比方她说“自然总是公平的，总会平息一切突兀的情感”，“假如我们尝试改变，说不定会更好一些，但也说不定会更差一些。但是，无论干什么都不会比此时此刻更为确定、更有把握一些了。”她让我重新思考一些人类所谓的道德和意义，就像她说人类认为老鼠偷食是坏的，但老鼠仅仅是遵循自然的本能去寻找地上的食物，再自然不过了，就像人类播下种子，地里就结出果实。我们有什么好埋怨的呢？明明大地和天空，风和雨，树林和河流，才是人类的归宿啊。唉，我简直不知道怎么说这本书的好，只是觉得为它感动也是再自然不过的事了。
苏更生,3,2012-07-07 15:48:40,unknown,361,这个小姑娘非常神奇，但是读多了也腻。
Beth,5,2011-06-27 10:19:28,unknown,203,不要把她和任何文字比拟，她无需攀附，已经自成高峰。
meiya,5,2012-07-02 15:09:24,unknown,147,难得一见，非常干净的散文，读得心里又静又喜悦
久菜合子,3,2015-08-05 19:35:19,unknown,76,三毛风明显，文笔太白，适合城里人观景
H!karu,5,2012-03-30 21:34:14,unknown,37,一方纯净的水土总会生长出自己的言说者
Sh.S.敖登托雅,5,2011-02-08 16:35:53,unknown,28,清新质朴的文字，不加任何世俗雕琢的语言。她的文字的灵魂并不会因为这些质朴的文字而丧失光芒，反而越发明亮。她眼里的阿勒泰超过任何作家笔下的阿勒泰。她周围随处可以成为她笔下话题的生活和人物，他们和她一样都是极其平凡天真和充满对世界美好向往的。对于自然状态的描写正像她所感受到的哈萨克游牧人一样，生和死，都很平静，都是自然。这种感受怕是汉族朋友永远不能体会的。
娅,3,2013-05-29 18:25:31,unknown,18,李娟的文字好，但我并不感冒，怎么说呢，就像我也不感冒蔡明亮的电影长片一样。
阿辣布猫,5,2012-01-08 19:58:16,unknown,29,这本书给我的第一感觉是真实，第二感觉是真挚，再感觉就是真诚了，只有真心实意的去拥抱这个世界，才能让人真切的产生共鸣。我喜欢这本书，它让我心底沉静。
不勒个二,4,2016-08-09 16:35:07,unknown,29,我在去往阿勒泰的路上读完了这本书，旅途和书相互被赋予了意义。我太喜欢李娟的外婆和母亲，喜欢她笔下的哈萨克们，所以我来了，看看李娟曾经可能看过的风景，走走李娟曾经可能走过的路。
一个小标点,4,2011-11-24 13:25:47,unknown,16,她写新疆，不猎奇，也不异国情调，又温暖又美好，看她文字，有时感动，有时又哈哈大笑，真好。她的文字，真是从土地里长出来的，呃，像温暖版灵动版女生版的刘亮程~好想看看她的妈妈和外婆~
罗小尘,2,2010-11-10 23:06:29,unknown,16,个人觉得矫情
Voyager,2,2015-06-16 13:59:53,unknown,26,写得那么乏味为何如此高分？我觉得作者在模仿三毛的口吻，却缺少三毛的心境和视野，语言也不够精炼，让我一直想跳读
海喜喜,5,2012-09-17 13:04:17,unknown,8,悲伤往往轻于表达，美好不易言说。清澈的生活，宁静的阿勒泰，所以又干净的文字。
导演罗娜娜,5,2016-01-09 00:01:49,unknown,9,李娟的文字令人奇异。她是如何在那种漫天黄沙的环境中写下这种清泉般的文字呢？就像雪山融化后的溪水一样自自然然。没有苦情，没有悲凉。它终将消逝于沙漠，却依旧在春光中唱起欢快的歌谣。牛羊来饮水，小姑娘来洗衣服，却始终不能弄混了它。
Xiao,NaN,2011-02-17 11:54:27,unknown,15,最几年读过的最好的华语散文，让我对文学有了一些新的信心，最好的文字，在文坛之外，在真实的民间
闻夕felicity,5,2014-03-13 00:30:25,unknown,10,重要的是饱含热情地生活下去
nothing传叔,4,2013-08-20 10:56:45,unknown,5,帝都地铁上看完的第四本书。。。
Baywreath,5,2011-11-03 17:22:27,unknown,12,自然没有社会属性，没有骄傲或者自卑。所以，感谢那些山、树、风和泥泞的回忆，让我拥有足够的灵魂自由。
欢乐分裂,4,2012-10-14 11:50:32,unknown,8,真正热爱生活的人，会用心感受到身处世界的脉搏，用眼看到彩虹，寒冷中炊烟袅袅的温暖，渴望中爱情的姗姗来迟，荒芜空旷中的诗意自然；她的俏皮幽默，像茫茫戈壁上倔强屹立的一棵树；妈妈和外婆都是奇异的存在，让人忍俊不禁。
神威,4,2018-06-15 17:54:05,unknown,11,休憩171st，取来此书看腰封立刻嗤笑出声，李娟研讨会，呵呵，王安忆刘亮程都去也白搭，这群球想吃羊肉了吧。目光移下一行却又立刻会心颔首，陈村说的太对了，李娟的文字是教不出来的！这就是强天赋碾压。李娟的书很多时候给我一种类似追忆似水年华的感觉，感觉读起来想停则停欲起则起，可以无尽头的一直读下去。昨夜看完揭幕战，想读十页便睡，结果抬头天光已泛白。此书比李娟其他书来的更实一点，少了些御香缥缈如风灵的隽永，多了些生活的厚重与瞬间的闪光。原来李娟过的那么辛苦，这样的话，新疆政府给她吃住要她写作，对她真是太好了，这未必更有利于她的写作，却有利于减少我出于感激和赞赏对这个瘦弱女子的心疼。
白马啸西风,5,2010-12-17 09:05:53,unknown,4,好久没看到文字如此强大的力量了
Aspie,5,2021-05-28 18:49:49,unknown,6,初读似汪曾祺，渐进似林海音，最后只是李娟。就跟那片广袤的大地一样，安静广阔又充满了包容的力量和生活的希望，读来让人沉静平和。生活在新疆是她的幸运，新疆有她又何尝不是一种增辉呢？
Luke,5,2010-08-28 11:42:54,unknown,4,美好。
熊阿姨,5,2010-09-03 01:22:59,unknown,3,太美了，就像是阿凡提的世界。
信心不逆熊先生,5,2012-06-06 22:35:59,unknown,3,令人怦然心动的女作家
Default User,5,2011-09-05 12:26:03,unknown,5,这是我读过的最最幸福的文字！
把噗,5,2014-03-09 21:43:23,unknown,4,（补）李娟是华语世界最好的散文作家。
李桃杏子,4,2011-12-12 16:28:50,unknown,6,散文和随笔真要到达这种程度才能叫人羡慕嫉妒恨吧，接受生活和表达生活的方式都这样优美，不知道多少人会羡慕死这种形式和物质极简但内心的愉悦和涌动却似惊涛骇浪般的生活，关键文笔又这么好~
MONSTER,5,2011-09-18 01:43:31,unknown,3,写得太好了！！！一点不矫揉造作。
小薛,5,2012-06-06 20:37:22,unknown,2,李娟真是个可爱的人
鸟川芥,5,2011-07-23 17:43:34,unknown,1,这两天来写书评
Vickey,5,2012-07-05 14:15:24,unknown,2,“荼靡不争春，寂寞开最晚”。哪天，来为你写篇书评。
恋秋一族茶颜酱,5,2013-02-27 12:35:28,unknown,2,文字干净灵动，读起来有种说不出的愉悦，即使山高路远，物资匮乏，依然充满生活的美感和乐趣。
