user_name,star,comment_time,geo_ip,vote,short
连城,5,2014-02-26 10:55:13,unknown,2053,老早呢，觉得你没用场好，心底里不龌龊，人做得清爽。太有用场的人都是有点下作的。现在看看，没用场就是没用场。中国是个啥地方？做学问做三分，做人做七分。外国的人要紧的是发明这种机器发明那种机器，中国人呢，要紧的就是你跟我搞，我跟你斗。你不懂这个学问，你在中国就是个没用场的人。
黄青蕉,4,2014-04-27 00:13:16,unknown,1624,严歌苓太知道带劲的男人是个什么样了，偏偏又老爱往死里折磨他们，肯定年轻的时候没少被带劲的男人伤过心
莎伦酱,5,2014-05-15 10:03:50,unknown,948,原来电影只截取了书中最温情美好的一小部分，最深刻悲凉戳心戳肺的大篇章都被浓缩成了漫长等待的背景。电影是好电影，书更是好书，一个是满屏泪点催着你哭，一个暗暗硌着难受却哭不出，两者要当作不相干的作品来看待。
游牧人·芳汀,NaN,2014-08-16 22:25:51,unknown,621,真是很简单就可以想象16岁的我看这本书的话会哭成什么样子，幸好我已经是26岁，不会再轻易地为别人的苦难别人的爱情而动容，这是否也是长大的好处之一了呢？开始拥有承受痛苦的能力。
RW,4,2014-08-31 22:20:38,unknown,416,其实陆焉识爱的不是婉喻，只是依赖和习惯，只是作为多年囚犯碎了一地的骄傲与辉煌，最后发现只有她不离不弃。只是经历世事动荡后疲了累了，也没法再去选择最优组合。婉喻若是真爱，不如是退路来的贴切。
malingcat,5,2014-08-13 10:31:05,unknown,153,先看了电影，再看书，非常大的不同。电影撷取的一段收得小，铺垫少，以情动人。小说则是一个人的史诗，深沉博大。若说有缺陷的话，次要人物的塑造不够“圆形”，市侩儿子等等，有脸谱化倾向。“我”的存在对于叙事角度有调剂作用，特别是最后一部分，不过，或许可以应用得更好？
🌙,5,2014-05-29 00:18:24,unknown,126,用不到两天看完了厚厚的一本陆犯焉识，就像经历了一个人漫长又短暂的一生，他来自自由最终又走向自由，从拿不起到放不下再到赤条条来去无牵挂，一辈子，等老了回忆起来，一眨眼而已。另，雪夜一场，写的太好了。
阿中,4,2013-09-16 11:13:21,unknown,95,个人感觉严歌苓彻词过甚，因词害意。
大-燕-威-王,5,2013-11-29 01:11:27,unknown,96,挺喜欢恩娘和邓指，前者有本事后者不装逼。烦男主的儿子，尽管他是被父亲带累，然后在这种带累下学会了自私。小说与其说写的是爱情，倒不如说是一系列运动过后，人与人丧失信任的状态。“没用场”的人最终只会消失，世界上净剩下些市侩。电影让陈道明来演男主倒不是坏选择，陈道明也演过“没用场”的方鸿渐。
劉丹青Shelia,5,2016-01-01 21:01:39,unknown,90,大概我就是很喜欢和民国时期上海沾边的文学作品吧，比如王安忆的长恨歌之类，总有一种非常强烈的幻灭感。喜欢红楼梦大概也是这个原因，因为整本书都在讲一个主题：无常。时代更迭强烈的冲击里物是人非，有人被成就有人被牺牲，过尽千帆，到头来也不知道该感谢或是责怪谁。这本书最有感触的一段，“一代代的小说家戏剧家苦苦地写了那么多，就是让我们人能了解自己，而我们人还是这么不了解自己。一定要倾国倾城，一定要来一场灭顶之灾，一场无期流放才能了解自己，知道自己曾经是爱的。”
