user_name,star,comment_time,geo_ip,vote,short
吃西瓜放糖,5,2016-05-15 22:22:54,unknown,21682,想写本小说：男主是饿了么的外卖员，某次上门送餐，女主惊鸿一蹩给半个世纪后的爱情纠葛埋下伏笔。男主千方百计要到女主的QQ号，两人聊得火热，在网上结下山盟海誓。聊了两年，某次偶然见面让这段网恋见光死。后来，女主在一次O2O的上门会诊时被高富帅医生盯上，这次误诊让他们发展为夫妻。男主伤心欲绝、萎靡不振过后，下定狠心要赢得她，要赢得匹配上她的名誉和财富，要等着情敌的死去，哪怕等到世界末日。他下载了KEEP乐动力悦跑圈一堆健身APP，锻炼身体。他在微信陌陌上寻花问柳，但为她保持着内心的贞洁。他加入滴滴从事运输行业，从程序员做到董事长。五十一年后，女主的爱人去世了，男主再次向女主重申对她永恒的忠诚和不渝的爱情……五十三年后，他76，她72，男主备胎转正。书名叫《互联网时期的爱情》
米周,5,2014-07-31 00:03:49,unknown,14429,读过最好的小说之一，最后在船上那段更是看过的最美的爱情。马尔克斯也告诉我们：屌丝能够战胜富二代唯一的方法，就是要比他活得更长。来，让我们一起锻炼身体吧。
飞行官小北,5,2012-09-18 12:37:51,unknown,9221,不夸张地讲，这本书包含了爱情的全部答案。阅读本书的好处是重新相信爱情；坏处是意识到即便相信也无济于事。
徐内向,4,2014-05-04 11:10:04,unknown,7259,终于看完了，但我越发糊涂，53年7个月零11天的等待，到底是不是爱情。如果是，她在私定终身的那一刻为什么逃走了？如果不是，那些往来的信件和矛盾的焦虑又算什么？在她遇难守寡时他的出现无疑给了她生活下去的希望，可那应该叫做感激。而他50几年的寻花问柳背后，所保持的内心的贞洁，是否是种不甘心的征服欲？不能问作者了，他死了==
丹AI🌵,5,2014-05-26 20:23:55,unknown,4912,我猜这本四百页的书并非是为了歌颂爱情，而是为了呈现人生，爱情是杂乱而繁茂的生命之树上温情脉脉的一缕夕阳。
寂地,5,2013-09-29 18:49:42,unknown,2712,书中描写的爱情，是那么自相矛盾却又合情合理。那么悲伤却又充满着狂喜。那么苍老无助，却又在某个瞬间，永远年轻。
五色全味,5,2015-02-18 02:00:02,unknown,2725,竟然舍不得读完。但也不觉得写的是所谓的“爱情”，哪怕结尾多么大无畏和浪漫。写的其实是“孤独”，无论那女人多么“高傲”，那男人多么“卑微”，她在世俗的婚姻中以为拥有了爱情，他在浪荡滥交的生活中以为逃避了空虚，当他们白发苍苍时相拥在一起，才发现他们这一辈子恒久的寂寞的灵魂
希欧,1,2013-07-10 16:22:48,unknown,2572,不同年龄段读这本书都会有不同的感触至少现在让我恶心的是一个七十多岁的老头诱骗一个未满14岁的少女做爱
把噗,3,2017-08-19 21:25:44,unknown,1752,这才是拉美文学最大的魔幻现实：通篇写爱情，却不见一丝情感。
YVE,5,2014-09-04 02:39:39,unknown,1484,不知道是翻译的好还是本身马尔克斯文笔太美或是拉丁文的奥妙？反正之前读多了美国小说例如海明威那种简明直接型的话痨为主的描述又或者日本小说例如村上那种淡淡的文笔以后马尔克斯简直让人燃烧要华丽可华丽又不多余造作除了人名容易弄混全书读下来都是享受内容更没得说超越时间的爱情离死亡越近越浓烈
elros,NaN,2015-07-29 19:56:28,unknown,1741,强忍着对男主的厌恶看完了。“这个对爱情如饥似渴又极其悭吝的人，这个从不付出、又想得到一切的人，这个不允许任何人在他心里留下足迹的人。”
刀叢中的小詩,5,2012-10-08 23:12:58,unknown,1132,用罗兰·巴特的话来解释《霍乱时期的爱情》应该是最合适不过了：“我一生中遇到过成千上万个身体，并对其中数百个产生欲望，但我真正爱上的只有一个。”阿里萨在离开初恋情人后纵情声色，沉湎肉欲，620次风流韵事写满了整整25大本，在精神层面上，他依然是一位永远忠贞于初恋情人的纯粹处男。
DizzyWhale,4,2014-06-19 17:03:28,unknown,852,爱情，首先是一种本能，要么生下来就会，要么永远都不会，以及人心的房间比婊子旅馆里的客房还多
成知默,5,2012-09-20 10:51:11,unknown,708,对于爱情，我们都太年轻了，而且我们永远太年轻，不知道人活在这个世界上，爱情有多少面目。
小心和小欣,5,2012-11-08 16:33:57,unknown,759,我曾经以为《挪威的森林》是我喜欢的小说，直到我遇到《不能承受的生命之轻》；我一直以为《不能承受的生命之轻》是我最喜欢的小说，直到我遇到《霍乱时期的爱情》。
lady 周,4,2013-07-21 13:15:51,unknown,1029,又一个盖茨比的故事？我才不信爱情呢，这种持续五十几年的所谓爱情不过只是偏执而已。比起这种幻觉一样的爱情，我倒觉得乌尔比诺医生那种安放在日常琐碎中的情感更值得人尊重。另外，得不到一个女人，就要靠从此放浪形骸来平衡内心的失落吗？人呐，没事少装纳兰公子，假借爱情之名恣意纵情，伤及无辜的那些人，我看原本就是些不配得到爱情的。
janes,5,2014-08-06 23:38:44,unknown,468,他们之间的感觉并不像新婚燕尔的夫妇，更不像相聚恨晚的情人。他们仿佛一举越过了漫长艰辛的夫妻生活，义无反顾地直达爱情的核心。他们像一对经历了生活磨炼的老夫老妻，在宁静中超越了激情的陷阱，超越了幻想的无情嘲弄和醒悟的海市蜃楼:超越了爱情。
琴酒,5,2014-02-08 19:33:07,unknown,434,马尔克斯那种铺陈和并列为主的句式其实更适合百年孤独，那种螺旋式的结构如龙卷风一样有种升腾的力量克服了故事本身苦涩的重力带来了恰如好处的轻盈，而在霍乱里，没了神奇和现实间那层若有似无的平衡，被割成断片的故事各自为营，不再流动，纷纷地往下坠。但他写的还是好，我从未读过比他更能把握一个人一生的时间性的作家。他笔下的时间既不连续（阿里萨在费尔明娜之后无数次恋爱没有做任何自我辩白的尝试），也不是完全独立自主（阿里萨总是以费尔明娜拒绝他的二十岁作为时间的参照点）——这中间是一系列不同的时间，流动的，静止的，相对的，积累的，臆造的，也是爱情的一系列面目，非常美。他们就像接受礼物一样接受生命之河泛滥肆虐后带来的丰饶的土地，接受霍乱和爱情。
小晨,5,2013-03-05 14:08:58,unknown,504,好看，但是看到终章突然对爱情更疑惑了。
°Landy,5,2015-08-12 21:33:32,unknown,473,这本书应该读三遍。第一遍看过整个故事，顺路领略马尔克斯富有神秘气息的语言；第二遍留意书中无处不在的令人眼花缭乱的时空转换如何过渡得这般自然；第三遍读在自己遇见真正的爱情之后，期待获得更多共鸣。爱情的秘密就在于此，爱着的人和被爱的人都应有独立自由的灵魂，费尔明娜达萨正因此而可爱。
能工巧匠沙门哥,4,2017-08-06 00:20:33,unknown,152,备胎指南：锻炼身体，保持性能力，努力奋斗成功，然后，静等女神的老公死掉…
辽东胖尊者,3,2012-10-13 14:41:25,unknown,146,你们是看到马尔克斯这个名字就打算打五星了是吧？
陆钓雪de飘飘,5,2014-01-21 01:17:40,unknown,63,在半夜，我为这份爱情打破了自己的破规矩，在两点半的床上为我们点燃了老利群，顿时泪如雨下。难道你也一样？我没有想过见面要有什么意义，这他妈又算得了什么？世上的一切都变了，但是我没变！您呢？有人把月光熄灭了。两人都露出同样吃惊的表情，但心灵都清楚那是装出来的。“女人多奇怪啊！”他说。“我的上帝！”她说，“在船上我多疯狂啊！”那是因为我为你保留了童贞。这是她二十多年来第一次做爱。既然都是为了爱，那么也就没有什么不合理不合法的。他们平静而健康地做了爱。因为他们已在一起生活了足够长时间，足以发现无论何时何地，爱情始终都是爱情，只不过距离死亡越近，爱就越浓郁。原来是生命，而非死亡，才是没有止境的。在五十三年七个月零十一天以来的日日夜夜，弗洛伦蒂诺•阿里萨一直都准备好了答案。“一生一世。”他说。
Augentropfen,3,2013-07-18 18:47:58,unknown,101,有一种作家，他写书只写给能读懂的人看。比如老子写《道德经》，比如马塞尔·普鲁斯特写《追忆似水年华》，再比如加西亚·马尔克斯。像我等浅薄之人，大概终其一生也悟不透其中真谛。说不上认真却也大半个认真的坚持读完，内容跟霍乱没什么关系，只是书中人惯于将相思之苦误以为是患上霍乱，两种看似无关的事物共同之处是要人命。看书也是一种成长的过程，学生和工作10年的白领在同一本书里看到的东西铁定不同，我尚未经历过那霍乱般要人命的爱情，自然领悟不了这部人类有史以来最伟大的爱情小说。勉强看懂，给三星都算打肿脸充胖子。
没什么想说的,1,2018-01-24 17:54:18,unknown,229,我看霍乱时期的爱情看到一半，内心纯纯的哔了狗了！！！这特么就是一个矮穷矬喜欢白富美，笔聊然后白富美见光死，嫁给高富帅，矮穷矬在五十年内约了有记录622个没记录的估计上千个上至“身躯庞大至少大他二十岁生了九个小孩的上司老婆”下至十四岁的小女孩的炮，等高富帅死了以后，终于睡上了七十多岁的白富美的故事，然后冠名这叫爱情！！！！！！！！呕！！！！可快去你妹的吧！！！！！
[已注销],2,2013-10-06 15:39:01,unknown,72,真难看，比了不起的盖茨比还难看
渡边,5,2013-04-22 07:34:59,unknown,106,明明只是一个屌丝用一生逆袭的故事，在老马的笔下却像是见证了世界上所有的爱情。
General T,4,2021-03-13 21:59:54,unknown,196,那个小姑娘的故事可以单独拎出来写一本《阿美利加的初恋乐园》
天才推理王阿铁,2,2013-07-05 20:08:26,unknown,84,取一个牛逼的书名是多么的重要，不喜欢马尔克斯的写作方式太不喜欢了。
莲渊,4,2013-01-29 18:34:06,unknown,65,书里呈现出各种各样爱的面目，有些温暖发光，有些阴暗肮脏，但，这都是爱。这都是爱吗？
永志之夏,5,2013-07-01 18:37:58,unknown,112,你说，我们到底是因为漫长又荒芜的人生去爱一个人，还是因为爱上了一个人人生才显得漫长又荒芜？
白,3,2018-07-18 11:14:31,unknown,60,果然歌颂爱情越歌颂越弱，作家可能都把自己写哭了但我只想看看其他书。
撒旦的表妹,5,2014-05-31 19:16:35,unknown,57,看到一半的时候我还是不喜欢这个故事，觉得无非就是高富帅和白富美以及屌丝备胎之间的那些风花雪月而已，但是最后五分之一，或者最后他俩逐渐旧情复燃，准确地说是费尔米纳重新爱上老去的阿里萨那时候开始，慢慢竟然被震撼到了。最后那部分真的是……无以言表。
起床，吃饭,5,2017-08-06 00:31:49,unknown,36,马尔克斯和福克纳的书一律五星。
