user_name,star,comment_time,geo_ip,vote,short
眠去,5,2007-02-10 13:00:40,unknown,3579,有一天我梦醒了，窗外是氤氲不化的雾气，我走到窗边，原来是夜里下了雪，空气一片苍茫，我又想起思嘉，在那场大雾中迷路，恐慌，奔跑，喘息，寻找，家。而瑞德已决意放弃一切。包括她。但我也不是十五岁的我了。那时我见她玫瑰红睡袍，一杯白兰地，手法娴熟，一饮而尽。我怎么学得会像她喝酒这般痛饮人生。可我知道什么是痛。
沈书君,5,2008-07-07 22:34:47,unknown,3371,其实每个女子在少女时期内心都有一个艾希礼，走到最后才会明白原来自己爱的是班瑞德
/name-?P=0/,3,2015-08-20 11:26:30,unknown,3098,我认为本书唯一值得称赞的人是梅兰妮，一个真正的勇士、一个坚毅的妻子、一个称职的妈妈、一个挚友。
夜莺在广场歌唱,5,2013-09-29 15:20:31,unknown,1596,差不多半年的时间间隙里重看了一遍。快结束时，巴特勒问斯嘉丽多大了，她答28。我突然被狠狠震惊到，两次看书，几次看电影，都觉得看了他们蓬蓬勃勃跌跌荡荡沧海桑田的一辈子，可她才28！
波波维奇,5,2018-03-24 22:27:59,unknown,935,我能说“tomorrowisanotherday.”这句话对我人生影响很大吗？
𝛁,NaN,2013-04-28 12:42:07,unknown,495,初中看的时候就觉得斯嘉丽好不一样，看过电影之后更是觉得。原来人从幼稚任性成长到坚韧无所不能只需要一个契机，而这个转折点一定是痛苦。如果可以慢一点就好了。
朵拉和朵拉,5,2008-07-08 12:49:25,unknown,470,一本好的小说不是爱情小说，不是历史小说，而是一本社会性的小说．
丰富的观后感,4,2018-03-24 18:38:44,unknown,507,中国的小说那些高大光明毫无缺点的主角才是应该被抛弃的。人的私欲才是西方小说中浓墨重彩地描绘的东西。斯嘉丽与瑞特都是真实的人，不应该被崇拜被赞扬硬拉出什么优点条分缕析。他们就是这样在那个时代精彩地活着。我尝试着从不同侧面来解析这个故事，却依旧无法从这个故事中读出什么经验教训，像名著通常会做的那样。这或许仅仅只是一个爱情故事吧，所有的人物被爱情与战争牵着走，映衬出一个辉煌的乱世。
沉歌,5,2009-03-18 11:51:45,unknown,445,高一那年看的。至今记得亚特兰大的战火中她奔走的背影，裙裾摆动。她的野性和骄傲，坚强与倔强，不甘弱示或屈服，瑞德与她是相似的。如果瑞德爱上的不是郝思嘉，是媚兰或者是贝尔·沃特林，一定不会掉进那个自掘的陷阱里。对于瑞德，感动了，且佩服而惋惜。
锦衣夜行,5,2010-01-15 17:41:31,unknown,442,每年都要拿出来翻阅一遍。至爱至爱。
小霞君have fun,4,2012-07-10 00:23:10,unknown,295,英文版花了5年时间终于读完了
Vamei,4,2012-08-27 19:15:24,unknown,275,一个女孩，从青涩，到成熟；从脆弱，到坚强；从拥有，到失去。记录下人生的话，每一刻人都在变，只是有时变得美丽，有时变得可悲。
东篱,5,2018-03-20 09:07:00,unknown,314,“过去的已经过去了，死了的已经死了，活着的还要继续活着。”看完本书令我印象最深的一句话。
T3的小喇叭,3,2011-08-30 20:42:19,unknown,165,你们为什么这么爱郝思嘉.......各种理解不能......你们为什么觉得这种带有希望蓄奴制度延续的小说经典......这充其量是个经典的爱情小说，也就这样罢了......它好在哪儿？好在和书里的南方贵族一样的装腔作势上........
柯柯柯尼,5,2012-08-11 11:03:49,unknown,152,关于这本书，摘抄做了几大面，更不用说一些零零碎碎的注释分析，似乎足以写下一篇冗长但满怀真诚的书评。可是提笔时却发现，这一切都关于母亲曾告诉我的故事，关于爱和奢望，关于战争和毁灭，关于奋斗和牺牲，关于暗流汹涌的意识形态斗争和虚伪的和平。有太多的话可以说，又怎么样都说不完。
猫润。十五,5,2014-02-16 23:10:48,unknown,168,我记得这本书总是很厚，以至于我在少年时期总是拿起来又放下，今天终于读完了。原著中的船长更流氓，阿希里更软弱而郝思嘉更自私。还是那句话，每个人心中都有一个情结，这不可怕，最重要的是珍惜眼前人
郑宁素,5,2011-06-23 23:19:56,unknown,164,我看過的最愛的名著
大头绿豆,5,2017-03-03 16:45:59,unknown,97,年长的读者，比照自己的人生、经历，假想如果可以重来，如何选择。那些年青人容易为之虔诚、激动、战斗的信念，如今已明白不过是诸多可能中的一种。大多数人无法坚持年轻时的信念，坚持追逐那时候的梦想，所以即便你做不到，也无须害臊。但也因此，那少数的一些人，才弥足珍贵，让人为之心折。但是，大概也就是与书为伴的几个瞬间而已，你产生了也想拥有他们那些美德、高贵人格的想法，当你合上书后，纷繁的俗世扑面而来，一个个近在眼前的抉择摆在当下，你又不自禁地选择了大多数平凡的人们会、或者说很难不选的选项。我们如果能不为自己只能是这样的人觉得泰然自若、理所当然，就已经比许多对此视若无睹的人，要离自己的年轻更近一点儿了。
L!z,5,2012-10-24 08:37:11,unknown,150,我至今依然最喜欢的长篇小说，我喜欢斯嘉丽这样敢爱敢恨的女人，外表娇艳，内心坚不可摧，骨子里的桀骜不驯，野性和叛逆，在灾难和战争面前她比男人更顶天立地~~~不过这个世界上大多数人都还在爱梅兰妮~~所以尼玛，白瑞德这样的魂淡在哪里，啊？
五月-小章鱼,NaN,2008-10-12 22:17:28,unknown,130,一个女人，试图奴役生活，却卑微的被一个懦弱的男人奴役；一个男人，试图力图征服一个一个强大的女人，却没办法战胜那个恶魔般的阴影。两个相似的人，因为爱而相遇了，但却有是因为爱而分开。没有人能诅咒什么，这是魔鬼在从中作梗。
白色不黑熊,4,2009-07-29 23:32:08,unknown,126,斯嘉丽和瑞德太像，在一起就要互相伤害。
华歌。,5,2013-03-29 22:34:56,unknown,101,太长了以至于很想却不能一口气读完读完甚是压抑......
寂地,5,2006-01-02 23:54:26,unknown,80,我读的第一个长篇小说.
三蝶纪,5,2013-06-30 11:34:02,unknown,83,花了一早上重读了一遍，和年少时初看一样好看。梦里在雾气中逃跑，找不到的避难所，得不到的得到的和失去的，戳中人心。
阿辣布猫,5,2011-05-27 17:44:37,unknown,85,迷恋瑞特巴特勒
风向未来吹去,5,2008-03-13 23:10:49,unknown,107,最悲哀的是她长大了他却老了，就连书中幸福都是那么难得
江凌云,4,2011-03-18 17:00:44,unknown,66,此译本非常有趣不过该书最好删减十万字废话
Odair,5,2010-06-06 12:03:19,unknown,78,其实你说，费雯·丽只需要一部《乱世佳人》就足够名垂影史，这世上还有第二个斯嘉丽·奥哈拉吗？那猫样的女生，只可堪配白瑞德那样桀骜不驯的人，因为如此相像。
苏良生,5,2011-01-19 22:35:32,unknown,65,像是一场大梦。
思无邪,5,2018-01-29 11:51:31,unknown,100,一部每年都会看的电影。好喜欢男主角，其实每个女孩都想要一个这样的丈夫吧。很喜欢女主，眼睛像猫一样狡黠，很勇敢、坚强。尽管女主有时候很自私但谁不自私呢，毕竟女二那样的人很少。
沈怀周,5,2017-05-06 15:08:08,unknown,53,教会了什么是爱，什么是虚荣心作祟；认清了哪些才是真正爱你的智者，分辨了什么是虚伪的渣人。
热锅与我,NaN,2011-10-16 15:58:03,unknown,49,14岁读的然后就变成了大叔控~
风居住的街,5,2021-05-13 23:59:31,unknown,94,绝对的神作。十年前，我曾以为悲剧是由于思嘉的不珍惜。其实不是。俩人因骨子里的相同而互相吸引，却又因俩人共同的理智、骄傲、不安全感而互相伤害。二人将自身对对方的在乎化为了互相博弈的过程。男方用尽嘲笑、贬低、嫖娼来向女方证明自己并不爱她，又怎能指望骄傲、不善于思考的思嘉做出回应？但又可以理解，他的骄傲与孤独让他害怕自己输的太彻底。但不得不说，作为一个丈夫，他给了一个女人最大的尊重和自由。未曾心意相通，这场刻骨铭心的旷世绝恋最终还是枯竭了。“我希望我还能在乎你，可是我做不到了”。这本书真是字字诛心。读者都渴望成为思嘉这样坚强的女性，然而思嘉其实是缺乏想象力的。而我们通过音乐、书籍所培养出的想象力，很容易变成一种痛苦，到头来，我们成为的原来是希礼。
千与,4,2012-07-06 20:50:54,unknown,39,那时候看不懂，后来明白，电影《白夜行》，男主角每次为女孩杀一个人的时候都会放这首歌，，，
汐丶曦,5,2017-04-14 21:54:56,unknown,41,“小说中的故事发生在1861年美国南北战争前夕。”
文泽尔,4,2007-09-25 21:00:06,unknown,31,大事件与小情怀
小十三,5,2018-03-21 17:52:46,unknown,54,经典之所以是经典，是因为她经得起无数次的翻阅，一个世纪经久不衰的故事，感染过很对很多人吧
安多,5,2014-11-08 10:46:57,unknown,34,而后来你就明白，如论明天如何，他再也不会回来。
袭人继续收破烂,4,2007-10-07 23:24:47,unknown,24,要读傅东华的翻译，别的翻译都不好.
微喵的兔姑娘,5,2011-09-22 14:13:30,unknown,21,斯嘉丽是个坚强的姑娘，独立的姑娘，但也是个爱情上的小笨蛋，白瑞德无论从性情上还是品德上都是那么与你相配！
momo,3,2012-07-29 19:57:44,unknown,19,拿历史背景做依附这点挺好的，但是男女主角给我的感觉就是两个傻子，不知道为什么。我可能永远都不会习惯女作家写的小说了吧（尤其是和爱来爱去关系密切的），除了《呼啸山庄》
Amy_Pond,5,2011-08-21 20:51:49,unknown,29,这是一本只有女孩子爱读的书
