user_name,star,comment_time,geo_ip,vote,short
我不是盆栽啊,5,2011-06-19 12:18:58,unknown,640,某个突然起意买了火车票办了假身份证配了新眼镜拎了拉杆箱跑去杭州的少年，临行前花一节课拿着中国地图和我讲了出逃计划，借走了我这本书。书中还有我用粗铅笔的描描画画，还有我爹用荧光笔写的我的名字。少年刚跑，班主任把我叫去办公室问详情，我被老师及其家长围攻，磨磨蹭蹭说了我也不清楚，其实，我连他的火车票都见过。后来少年家长发现他在家里的地图上用笔把杭州圈了出来，于是少年跑到一半，被家长老师追杀回来。书，还在少年那里。我家里还有他的《生命中不能承受之轻》。某天和我妈忆起此事，笑说“用《飞鸟集》换《生命中不能承受之轻》我值了反正《飞鸟集》早读完了”。其实想想，拉着拉杆箱，里面有八本书的少年，才有我没有的勇气。祝我的《飞鸟集》跟了懂自由的人能自由起来。
Spike,5,2012-02-25 13:12:50,unknown,118,静谧的温度，稚嫩的空气
Azeril,5,2016-07-22 17:17:55,unknown,53,写作风格受泰戈尔影响蛮大源于此。
阅微草堂,5,2012-11-03 15:49:04,unknown,75,其实英文和中文一起读，你一定同时发现两种语言的美。
愤怒的程序员,5,2010-07-04 05:23:47,unknown,35,在我老家里有一个书柜，发现了这本书，打开一看，扉页上竟然是30年前老爸送给老妈的礼物，还附送了一首情诗。。。。我那个囧阿
螃蟹蟹,5,2013-10-14 17:10:54,unknown,9,这个世界真美好呀
Eve|Classified,5,2010-08-05 19:27:52,unknown,14,太久了，看了一大堆没用的东西，都忘记了世界上还有这么美的文字和读过之后的欢乐。一叶障目不见泰山。有时间要读一读英文版。
李大水,5,2011-09-20 22:01:52,unknown,13,生如夏花之绚烂死如秋叶之静美
机智勇敢昭昭昭,3,2010-07-28 18:18:13,unknown,6,对诗歌普遍不感兴趣。
许慎,5,2018-05-01 22:22:22,unknown,10,在我自己的杯中，饮了我的酒吧，朋友。一倒在别人杯里，这酒腾跳的泡沫便要消失了。谢谢火焰给你光明，但是不要忘了那执灯的人，他是坚忍地站在黑暗中呢。上帝对人说：我医治你所以伤害你，我爱你所以惩罚你。我们把世界看错了，反说它欺骗我们。每一个孩子出生时都带来信息说：上帝对人并未丧心失望。使生如夏花之绚烂，死如秋叶之静美。世界以痛吻我，却要我报之以歌。
水,5,2009-10-17 21:25:04,unknown,9,我不想错过太阳。同样不想错过繁星。。贪心。。。
slurry·楚迪连,4,2006-03-22 14:10:39,unknown,7,泰戈尔的诗篇，不知道给了多少人无限的美感
bendao,NaN,2009-04-26 01:23:58,unknown,5,很甜蜜。
短发,5,2010-03-24 15:42:31,unknown,3,翻译成中文都没有韵了
小熊饼干流眼泪,5,2008-06-26 01:02:25,unknown,4,喜欢这些隽永的诗句~~
J,5,2008-08-11 15:58:18,unknown,2,字字珠玑
N多松鼠,3,2008-03-04 04:43:17,unknown,3,世界上最遥远的距离，大概地球人都知道了
淡蓝%把歌唱,5,2009-03-29 15:32:03,unknown,2,手抄本
想 想,5,2008-09-02 20:29:05,unknown,3,心灵洗涤剂
noodlemama,5,2008-08-29 11:40:13,unknown,2,最爱
小马过河,NaN,2009-03-31 23:23:41,unknown,2,泰戈尔最棒的一本诗集。比获得诺贝尔奖的吉檀迦利更让人充满遐想。
米姆米姆,5,2008-08-09 14:10:00,unknown,2,生命不息，飞翔不止~
心爱的蕾拉(其实我是阿拉蕾),NaN,2006-06-13 18:58:46,unknown,3,我说不出这心为什么那样默默地颓丧着.是为了它那不曾要求，不曾知道，不曾记得的小小的需要.
阿司匹林,4,2012-12-31 00:15:05,unknown,3,成长的印记~
小仙,5,2014-02-13 20:49:23,unknown,2,需要反复读。
Miaou,5,2011-09-24 01:10:57,unknown,1,梦幻的诗歌
Adonis,5,2008-10-21 16:37:00,unknown,0,啊，诗歌！
有猫万事足,5,2007-12-14 17:02:54,unknown,1,某人送的
littletwo,5,2008-09-16 18:31:25,unknown,0,这个版本非常好
[已注销],5,2012-08-02 15:09:53,unknown,7,我每天读泰戈尔的诗，读他一行诗，可以把世上一切的烦恼都忘了。有人说，在诗的王国印度长大的诗人泰戈尔，他的家庭是印度的望族，来往的朋友与长辈都是印度有名的哲学家、诗人，泰戈尔的父亲也是当时一位天才，在优越环境中长成的伟大诗才受了不少灌溉，诗人的人格有着超越生死的包容及同情，
琼尼・沃克,NaN,2007-04-09 17:21:44,unknown,0,诗集!
浅草君,5,2009-05-16 14:16:55,unknown,0,很美的诗句
萝卜头,4,2020-10-21 14:53:35,unknown,0,年青时要抓紧读
Le Salomon,4,2008-05-28 00:06:24,unknown,0,最早的感动来自纪伯伦，泰戈尔没有纪伯伦额激情，但是多了一种宁静，先知或者有很多种。
C熊,2,2020-10-10 00:33:06,unknown,1,踏马的能不能别浪费纸张印冰心翻译版本了。
