user_name,star,comment_time,geo_ip,vote,short
王小麦,5,2021-08-16 09:17:11,unknown,1137,比《烧纸》写得更好。他写那些执拗地活在云端的人，写看上去会像善人的恶人，写那些对生活本质或笃定或怀疑的人。他不歌颂，也不批判，因为他深知人的复杂和单纯、人的伪善和伪理想，以及人的无力和残忍。喜欢这样的小说，喜欢这样的小说家~
涅朵奇卡,5,2021-08-11 13:51:50,unknown,520,鹿川的车厢酷热拥挤，鹿川的黑色沟渠，流淌着工业废水和腐烂垃圾，鹿川没有任何诗意的体味。“华丽、宏伟、高尚永远遥不可及，卑鄙、肮脏、疲倦总是持续不断。”鹿川有许多粪，也有呐喊着的无数赤裸生命体。
晚不安,4,2021-08-24 11:34:13,unknown,582,前三篇还觉得稍显轻飘，无论技法还是内容都逊于《烧纸》，唯写出男人的不堪，写那些不彻底的斗争和被斗争阴影笼罩的一生。没想到末两个中篇力透纸背，如同重锤毫不留情地从头顶砸下，现实批判和社会洞察在文学的统领下渗出骇人的力量，只能以长夜痛哭或身心交付来徒劳应对。可以清晰地看到李沧东的创作脉络，他始终关注底层，关注那些在理念的挣扎里良心未泯的人们。想到他的头两部《绿鱼》《薄荷糖》，乃至后续的所有作品，都还在延续小说提出的诘问，人生为什么难逃破碎，那个晴朗的早晨，男人流下幸福的眼泪。
Kazinamitchell,5,2021-08-21 21:47:25,unknown,1179,我的内心，在读《天灯》的每时每刻都在不知所措地嚎啕大哭。
猫宁,5,2021-08-03 14:59:16,unknown,193,时间拖曳着虚无的影子…
欢乐分裂,4,2021-08-18 21:25:46,unknown,92,4.5；比《烧纸》更沉郁，五个在动荡犹疑与自我质问中惨淡穿行于疯狂世界的故事（不是我们发了疯，而是世界在发疯），皆如泡苦汁，外部环境的动荡引发内心寻求生活意义或真我存在的目标；这个探求过程随着社会事件的更迭，势必从无措茫然走向天光既明——不仅每篇都具有身份认同的动态，整体结构也有明晰上升曲线：从开篇的逐流到末篇认定属于自己的星光——“是的，这就是我的生活。”给出些许活下去的信心。什么是正确的事？一己之力能否改变世界？人可以真正自由吗？——一旦思考起这些千百年来的问题，人生的方向就此不同。这些不知来处的无名草籽卑微苟活于世，未曾有过运气的生活过早被封，趋光理想夭折，在脏污憎恶的混沌与黑暗中体悟到“我们现在只是身处历史的隧道之中”，我们蝼蚁般的命运被裹进绞肉漩涡的无力。
圆首的秘书,4,2021-08-22 14:59:56,unknown,96,3.5前面三篇很一般，《鹿川》一篇就是个大拌菜，味精也不少，反正能放进去的都放进去了。最后一篇尚可，让人牙根痒痒，面对暴力机器真是完全无能为力，说真话也没用，解释也没用，呼喊也没有用，暴力就是不讲道理。但也不是说写得有多好，让人牙根痒痒只是文字最基本的力量，处女作就超过这部所谓“封笔作”的作家还是大有人在。李沧东的小说还是太实也太外部，人内心更幽微的东西不多，就算有的话也比较局限和大条。从这个角度说，这本书的后记还是很诚实的，也许他就是意识到自己的文字“不够成熟，缺乏深度”，才想通过影像“重新出发”。从结果上看，《绿鱼》跟他小说水准齐平，中间三部再高一筹，到《诗》和《燃烧》就完全是另一个境界的东西了。
浪漫小土狗,5,2021-08-20 16:14:28,unknown,304,世上的苦难只是没有落到我的肩上，并不是没有。
逆流河,5,2021-09-03 22:52:30,unknown,330,最喜欢的是“鹿川有许多粪”这篇。为什么你能够理直气壮，到了三四十多岁还能为了正义、道德和理想而战呢？那是因为家里的其他人为了你、为了养家糊口而偷盗食物，低声下气的活着。也提醒自己。
99,5,2021-08-18 12:53:05,unknown,57,最喜欢《天灯》这篇。三四十年前李沧东先生笔下的小雪、金光培、母亲和信惠在今天有太多化身，光姬和秀任却难寻。他的电影主题从《绿洲》之后很明显已经和当年的这些小说不同了，但小说中写到的那些事情好像没停止发生，没有真正成为历史。这本书作为一种提醒，我想我们都会需要。
Sultrysummer,4,2021-08-26 21:53:36,unknown,116,没有写知识分子的勇敢，反而写了知识分子的懦弱。在云端的思考与现实群众的经济问题，以及与自身在真实中需面对的的问题，都有无法弥合的裂痕。以卵击石与在粪便中穿行居住于23坪的房子都是艰苦而幼稚的活法，为守住某种所谓生活的意义。两者相遇没有高低，竟相形见绌了，然后继续各走各的路。实为一种勇敢。个人原因很喜欢第一篇。几年前去首尔就住在乙支路，离明洞很近。可能很多游客都住过那里。住在那里时对乙支路和明洞的认识在读过这篇之后变得永久不同。街道的历史覆盖街道，人的历史覆盖人，翻开历史的页岩，看来徒劳甚至虚妄的挣扎和尝试都有痕迹，也应该被记录和被看见。对《天灯》中身份和理想的摇摆和质询非常感同身受。并且那里也有一声懦弱的呐喊，即使是懦弱的手无缚鸡之力者幻想的世界，也比暴力和平庸之恶统治的世界值得向往。
我叫浩浩,5,2021-08-22 23:35:52,unknown,69,“我到底想要什么？哪里存在没有欲望的自由呢？不幸的是，我并不知道自己真正想要的是什么。连自己想要什么都不知道，却又无限渴望自由，我陷入这种可笑的自相矛盾之中。我想成为什么？不，现在的我是什么，我是谁？”所有人强迫我成为“我”之外的另一个“我”。
Daffodil,4,2021-08-29 15:09:22,unknown,174,为什么我蝇营狗苟地活着，而你却能当一个道德高尚的人；为什么我渴望自由，却并不知道自己要走哪一条路。世界上的英雄和主角是少数，多得是这些平庸的、迷茫的、与人为善也会有阴暗嫉妒的，在时代漩涡里挣扎着被撕扯的人。
越越,5,2021-08-22 08:28:43,unknown,112,很难比较鹿川和天灯究竟哪篇更好，私心更喜欢天灯，人那种要命的孤独和对理解近乎病态的追求啊，在极权的压迫下显得更病态了。革命和性都是理解的手段，而且几乎没有其他更好的替代品。
赫恩曼尼,5,2021-09-28 10:44:08,unknown,62,「不能向他们屈服。我们现在只是身处历史的隧道之中……可隧道那头到底有什么呢？我们又何曾脱离过历史的隧道呢？」真羡慕韩国作者有机会处理这样宏大又尖锐的历史/政治题材。生活的昏暗和命运的裂隙才能迸发出更有力量的东西，颂扬和粉饰不能。
初瀬野,5,2021-08-21 11:07:37,unknown,36,读完后有一阵席卷过来的疲倦...看《天灯》前的篇目像初生婴儿那样忘记了呼吸，找不到能让我长呼一口气的位置，索性锻炼憋气。但《天灯》我看一会儿就要歇一会儿，李沧东还是让信惠打开了那扇门。最终将那些XX摧毁的，从来就不是声音，而是暴力。我没有忘却，但是像这样被呈现在眼前，还是有一种难以分说的恶心感，并不讨厌，反而感激有人能写出这些。“时间拖曳着虚无的影子。”或许有些人能从“上午宣战”中抽身出选择“下午游泳”的自由，有些人却被迫留在黑暗中，要在没有选择的情况下考虑如何自处。“是谁在那高处点亮了一盏不灭的灯？”小时候我就觉得那些星星眨巴眨巴的是在流泪。星星为什么要哭呢？找不到回家的路吗？难道整片天空不是星星的家吗？但是今晚安静的没有星星。唯一可惜小说创作已经封笔，也许要在电影里认识另一个李沧东
伊卡洛斯在迷楼,5,2021-08-30 01:21:05,unknown,48,他不是因为后悔而哭，也不是因为自责而哭。让他哭泣的，只是那种心脏撕裂般的凄惨感觉，以及任何人也无法理解的，对任何人也无法说明的，只属于自己的悲伤。他坐在粪堆上不想起身，像个孩子般大声哭了很久。他哭得不成样子，仿佛内心积攒的所有悲伤同时发了出来。他放任自己在体内日积月累的悲伤与不知所措的空虚中尽情地哭泣着。这个肮脏的大千世界，已经失去了所有的纯洁与体面，我却要在这里继续生活下去。走吧，他看向黑暗，劝说着自己。在这片巨大的垃圾堆积层上，把所有的脏污、憎恶，还有那些已被抛弃的梦想，全部踩在脚底下，走向我那在渺茫半空中摇摇欲坠的二十三坪的安乐窝。
kylegun,5,2021-09-24 02:34:11,unknown,24,当糙汉被鼓动投身社运再也无法走回头路，为塑造流量人物鼓动他的左翼记者早已转行时尚杂志；为海市蜃楼抽象理想牺牲掉自己与家人一事无成，有着自我认知的韩国阿Q只愿临终顶替个政治罪名；被命运遗弃之孤儿仔与南北朝鲜之殇；虚伪中产生活终被更虚无更纯粹的民运诗歌揭穿；无法妥协又不愿革命却想寻找自我吃披萨的局外人，看到昨夜严刑逼供的恶警今日和街坊老农淳朴友善谈笑风生，两者谁更接近现实生活？……社会议题先行于叙事，有几篇的故事逻辑是过于直给与牵强了，但人性思考还算入木三分；整体略逊《烧纸》，作者后记也提道了心有余力不足之感，果然电影才更适合作为李沧东故事的载体吧
