user_name,star,comment_time,geo_ip,vote,short
唐露,5,2014-12-14 16:22:44,unknown,701,韦小宝想了想，说道：“皇上曾派人来传旨，说周文王有姜太公钓鱼，汉光武有严子陵钓鱼，凡是圣明天子，必有个忠臣钓鱼。皇上派了我在这里钓鱼，咱们就叫它为‘钓鱼岛’罢。”读至最后几回，韦小宝离开通吃岛之时将其改名为钓鱼岛，虽然在地理上是不可能的，但必须为金庸先生的爱国之心点个赞。
文淇,5,2019-01-25 19:17:59,unknown,294,真羡慕活在六十年代的少年少女每天都有新的章节可以看
神威,5,2011-12-29 09:54:04,unknown,205,这次重读鹿鼎记新思路出乎意料的多而且广，这是金庸先生封笔作，标准的江湖套路伪武侠，这些不需多说，首先韦小宝征俄罗斯打的几场硬仗【拥立苏菲亚女皇不算在内】实际上没有出歪招，都是用智力和妙计硬A下俄军的【我的意思是他的招数属于兵家诡道而不是小聪明】，这点与其他情节迥异，似乎金先生也有着民族热血在燃烧，此外，阿珂让我更加讨厌，无情而冷酷，杀韦小宝时毫不留手不说，居然真心想让韦小宝去交换郑克爽被吃掉，后来嫁给韦也不是所谓的爱上，而只是走投无路之后做出的理性选择而已，最后，不得不说，韦小宝的结局不算惨淡全是康熙顾念旧情放他一马的结局，是友情而非诡计给了他幸福，金先生实际也没有想让一个只会瞒天过海脚踩多船的家伙灿烂一生的想法，全书他写的最理想最伟岸的人物还是有胆有识宏图大略的康熙爷啊
边城不浪,5,2009-11-01 11:59:41,unknown,76,每多看一遍就对韦小宝多佩服一分
shanelean,5,2013-05-10 21:14:44,unknown,34,我还是最喜欢小玄子和小桂子。
江寒园,5,2018-04-27 03:25:18,unknown,33,一部长篇的阅读结束好比一次小别离，与各路朋友之一道盛宴，临到末了，众人陆续辞别，筵席散尽，不免有人去楼空，意兴阑珊的失落感、寂寥感。
诸葛若见,5,2016-10-23 18:12:16,unknown,13,反武侠，厚黑学，黑色幽默，华人性格，都写的很到位。小宝太可爱。
游牧人·芳汀,NaN,2011-11-23 04:56:02,unknown,11,我的双儿~~~~~小宝我会好好向你学习怎么在职场上混迹。
苏麼滴,4,2021-01-12 20:21:16,unknown,6,披着武侠外衣的历史小说，大清象征港英政府，满嘴寿与天齐，任用小将弃用老臣，夫人当政的神龙教，结合写作时间（69-72）象征着谁你懂的。封笔之作，金庸也在探索着小说的社会学心理学的意义，主人公不会武功仗着宝刀宝衣横行天下；陈近南盛名之下，但是没怎么出手，而且颇有几分愚忠；清朝鞑子未必坏，康熙便是全书第一等一的人才；抗清义士未必好，天地会沐王府的唐桂之争内斗得不亦乐乎，打着民族大义的旗号争权夺利中饱私囊也是屡见不鲜，好不容易安稳的政治秩序是否一定要生灵涂炭再次推翻，为了所谓的家国情怀。鹿鼎记丰富的历史文化背景和深刻的思想内涵，无愧于华语文学第一流的作品。就是对于心术不正的读者，总有色迷迷的感觉。最后韦春芳得意洋洋地介绍自己的性伴侣，这个人顶多被骂海王。对一个国家来说就是海纳百川的民族熔炉啊。
若存,5,2010-07-26 20:52:55,unknown,9,此书非仅可以武侠视之。
陶者无缰,5,2011-05-26 04:30:34,unknown,11,一个流氓的幸福生活
1968小金,4,2008-05-05 12:19:08,unknown,9,少男都有喜欢熟女的情节。
阿壶酱,4,2012-08-30 17:55:44,unknown,6,知道神马叫金手指杰克苏么！看看人家韦小宝……
啄。,5,2013-06-19 23:40:17,unknown,4,金庸所有小說最喜歡的就是鹿鼎記。單單沖著八女大被同眠這一個情節，就足夠了╮(╯▽╰)╭
