user_name,star,comment_time,geo_ip,vote,short
东临碣石,5,2015-09-23 16:58:16,unknown,2407,不悲天，不悯人，不煽情，不刻画英雄。有的只是极端环境下所必需的生活与抗争。加缪很讨厌上帝视角，却要比上帝视角牛逼不知道多少倍。
藻。,5,2013-10-07 16:53:11,unknown,1003,这一场鼠疫，使那座死亡之城看透了生活的真谛，但是自由来临时，他们似乎已经忘却曾经经受过的重大灾难与痛苦。老人所得没有错，什么是鼠疫，鼠疫就是生活。不管是相隔两地的恋人，还是在身边承受着病痛折磨的亲人，当生与死只在一念之间，你就会发现，你的恐惧被放大，你全部的生活不过是为了生存。而往往那种时候，绝望就无处不在了。人性的考验需要这样的歇斯底里，也是这样，你会看到，丑陋的面目横陈而出。
绮齐,5,2020-01-23 09:23:45,unknown,1155,如今疫情严重，再回头看这本书，故事的发展是多么相似，从疫情初现端倪，政府不承认鼠疫爆发；到感染和死亡人数上升，政府进入紧急戒备，决定封城；最后疫情结束，城市恢复平静。我记得当时看这本书的时候，我以为故事只是一个隐喻，真正遇到疫情以当前的医疗技术水平不至于如此严重。可现在一看，在自然面前人类始终只是虫子罢了。
Reed,5,2015-01-14 10:21:25,unknown,597,上海译文的版本真是烂到一定程度，语句不通表达不清，一本经典活活被毁了，对比译林版差距太大。anyway，这是一部伟大的心灵小说，逃避还是反抗，这是时刻面临回答的问题。
鸡叔叽叽叽,3,2016-06-23 16:35:27,unknown,382,不像局外人，鼠疫常常让我读的茫然，更多时候是无趣。当然，没有必要纠结于不合胃口的书
smiling,5,2020-01-30 18:07:07,unknown,259,1.-教您这一切的是谁，大夫？-贫穷。2.-什么样的道德观促使您操持这些事？-理解。3.-走什么道路才能得到安宁？-同情心。
鱼更,3,2018-03-12 22:37:21,unknown,220,非常欣赏加缪的《局外人》，但这本《鼠疫》放弃了一次又重读了一次之后仍然无法得知妙处在哪里。20200131补充：翻译的锅。
小狼在1968,4,2015-07-24 23:23:59,unknown,168,结尾几十页最为触动。总感觉是翻译的问题，废话太多。
卫析,5,2019-07-01 14:39:38,unknown,111,【201947】鼠疫即生活，生活即困境。最喜欢的段落是里厄与塔鲁交心的谈话，然后一同去海里游泳。
J·文森特,5,2014-07-12 20:54:23,unknown,99,“人的內心裡值得讚賞的東西總歸比應該唾棄的東西多。”加謬眼裏的人類幽暗昏惑，卻仿佛若有光。加謬教人如何對待這個世界：淡然而不淡漠，就如裏厄一樣。他讓我願意為了一本書而活下去。
