user_name,star,comment_time,geo_ip,vote,short
私喜,5,2010-08-07 00:00:41,,7396,看了这部电影是我2010年最幸运的一件事力荐！
Piper,4,2010-08-06 00:06:27,,5281,【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你，朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富：）
Lan~die,4,2010-08-08 22:45:01,,2160,如果有一天你变成了奇怪的家伙，生活于恐惧和虚假之中，就念重生的咒语“Alliswell”，狠狠地给这个世界一脚！对鼓励别样人生价值和给人梦想的片子我是举双手赞成，何况从头到尾都拍得这么欢乐。台词：“朋友是男人最大的胸部”、“你这么害怕明天，又怎么能过好今天”。
少年 遊,5,2010-08-05 11:44:57,,4805,这几个月来看过的最好的片——”做自己“，也许才是人生终极的成功。别总嘲笑印度人”阿三“，他们已经追上来了，无论经济、科技还是我们一贯认为只会跳舞唱歌的宝莱坞电影。盛赞！5+1星！
桃桃林林,3,2010-08-15 12:29:46,,460,虽然收入不多，但一直在做自己想做的事情，所以我也很快乐
顾盼,4,2018-02-10 14:55:13,,485,兰彻和他的朋友成功了，做了自己喜欢做的事情。反派同学也完成了世俗上的成功。第一次看的时候我不喜欢反派同学，觉得他自私，愚蠢。重温了一遍之后，发现他其实也很努力。
张小强,4,2010-08-15 01:47:31,,337,印度人大概是被应试教育憋疯了，才有这么夸张的小宇宙
玲珑,5,2010-08-04 18:46:54,,4586,当你不断追求卓越，成功就会不知不觉追赶你。害怕明天，怎能过好今天呢？心很脆弱，我们要学会哄它。鸡不会知道蛋的前程。学习是为了完善人生，而非享乐人生。只为生命而感激。朋友失败，你难过，朋友成功，你更难过。一切顺利。
七,4,2010-04-05 00:30:10,,233,其實bollywood是很好看的，尤其是整個電影院都跟你一樣enjoy~
Q。,5,2010-08-09 10:30:55,,3252,一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。末了的那段风光让我无比钟情！★★★★★
妖灵妖,5,2010-08-31 13:20:42,,3016,它又吵又闹、又臭又长，但我想不出什么理由不给它五颗星。
卫西谛,4,2010-08-21 15:44:48,,144,俗，但好看
尽欢,4,2018-02-10 14:52:05,,90,最近又重温了一次三傻。里面对于知识和学习的思辨，让人触动。希望我们都可以做自己想做的事情，成为自己想成为的人。
大力麦,5,2010-05-09 13:34:11,,2410,阿米尔·汗你是个天才！！！
Quentin,5,2010-08-04 22:58:01,,2256,活在当下，不记得失，以无为之心做有为之事，你收获的会是比物质更珍贵永恒的生命体验。
烨色正浓,5,2010-08-04 21:45:19,,2118,该片的中文翻译太烂了，差点就错过欣赏一部好作品了。兰彻一直在给大家灌输的一种理念就是：简单生活，遵从心声，为自己而活。的确，他让朋友们重新认识了自己和所要坚定的方向。很喜欢片尾的那片湖泊，不知道是在哪里呢？
婷婷爱八卦,4,2018-01-02 11:00:37,,87,印度的电影拍得还是很实诚的。国内多数电影拍得比较浮夸，这点得学韩国印度，只要诚心努力有什么不可以做好呢，毕竟中国人很聪明的！
艾小柯,4,2010-08-20 02:31:35,,57,非常完整的商业电影，十分cute
刘小黛,4,2010-09-01 21:01:35,,36,生存就是场赛跑。我们生活里缺失很多这样的丰富与精彩，所以觉得电影好看。我们是容易对社会失望也是容易被感化的一代。
梦梦梦梦,4,2017-02-28 22:31:50,,36,超级搞笑，为三个人的友情点赞。良心制作
亵渎电影,4,2011-12-08 20:50:09,,38,我是最后一个看的吗？文章汤唯几个人的配音很给力，不知道原版会不会更给力！故事情节和手法似乎没什么特别的，但紧密编排的剧情桥段还是很让人感动！还是那个道理，类型片尽本分了，也就成功了。三个小时的时间，论票价赚了。★★★★
何处相思明月楼,4,2018-01-29 11:28:14,,42,看完摔跤吧爸爸看的这部，这部电影给了我一种很不一样的活出自己。
影志,5,2011-02-04 23:53:32,,1429,近三个小时的片长，却没有一个多余的情节，剧情前后呼应之巧妙值得称奇。好电影不一定要苦大仇深，能真正愉悦观众，那也是一种巅峰。“做一名摄影家又会怎样呢？挣得少一点，房子小一点，车小一点，但我会很快乐，很幸福……紧跟你的天赋。”温暖励志美妙如2010年的《天堂电影院》+《阿甘正传》
恶魔奶爸Sam,3,2014-09-22 16:17:34,,241,你以为这是一部励志片，你以为这是一部教育片，你以为这部电影探讨了友情，教育和社会，其实这是一个玛丽苏的故事，龙傲天一般的男主，遇到的都是老派抗战片里面的敌人，轻松的念着咒语alliswell，当上科学家，迎娶白富美，走向人生巅峰。套用人民日报的话，连三傻这种电影都觉得好，这人得多没见识
天问,5,2010-08-05 03:09:19,,1353,很棒的印度电影，这当中一样的可以看到中印相似的教育体制与贫富阶层问题。轻松、暴笑、热泪中感受积极人生的力量。梦想与事业，做我们喜欢的事情，是成就的不变真理。
朴九月,5,2010-12-25 22:04:25,,1000,六星都不够。最后男主角戴眼镜那个形象好像吴彦祖！
D I D A,5,2010-08-18 02:12:41,,717,三个白痴，这是讽刺，不过讽刺的是那些自以为是的观众。你绝对可以在将近3小时的电影中拼凑出好莱坞喜剧片的种种元素，并对这些老套的剧情不屑一顾，这没问题，这“三个白痴”明摆着一副受人奚落的姿态。但是你被耍了，这些桥段只不过是影片内核外的闪光弹，酣畅淋漓的绝对是你一直错过的东西——爱
Suave,5,2010-11-12 22:57:08,,345,我们有很多考试，可爸爸只有一个
熊阿姨,2,2010-08-12 01:15:05,,1421,受不了了三个小时！！！墨迹的必须快进
同志亦凡人中文站,5,2013-02-08 21:39:58,,324,道理浅显但知易行难——试问有多少人在择业上能真正做到从心所欲？而填鸭式教育，在中印这样的人口大国，更是一百年都不会改变的基本法。节奏感很好的精良商业片。
易水寒,5,2010-08-09 23:33:11,,252,如果这辈子能有过wangdu这样的同学，也值了~
透明,5,2010-08-08 16:47:07,,332,中国导演和中国教育者最应该看的电影！
黄青蕉,3,2013-11-04 01:28:15,,150,第一不好笑，第二支线太多故事太长，第三嘛道理人人都懂，可是自己做不到都是意淫，这片说白了也就是一罐油稍微少一点的鸡汤啊
不错我就是神,3,2018-01-09 16:10:46,,62,还不错的
Muggle、佑。,5,2010-08-12 01:01:26,,406,1.开始笑了，然后哭了，又笑了，又哭了，最后还是哭着笑了。2.可以看作是反映现当代发展中国家教育体制现状的电影一枚。3.印度的歌舞传统还是没有丢掉。4.当中国电影还在发愁的时候。印度已经开始继承并发展了自己的特长及特色。5.男主让我想起了印小天==他笑的太用力了眼珠子都要飞出了
糖豆,4,2018-02-18 11:19:45,,31,白看不厌一部电影，刚刚又重温了一遍
是和有,2,2010-08-17 12:46:55,,203,WX-D9影片质量跟片名一样又傻又长
godannar,4,2011-01-10 16:31:05,,43,脸谱化做得有点儿过了，除此以外都是宝莱坞娱乐电影的新范本。本片的教育意义只可供应试体制的产物们发泄一下悲愤，千万勿上纲上线。没经过极大痛苦淬火的理想主义什么也斩不断。
Ocap,4,2015-08-17 16:31:50,,30,觉得结尾签完“失败宣言”后引出“我比你成功只是我低调不屑”这种设置，其实没免俗。试想最终他就如他们所见，一个乡村教师呢？也对应其核心，成功与否只有相对于自己而言，攀比的背后是一种不自清的愚昧，或许更好？这样必然丧失反转的惊喜，但才是实打实的励志吧。
眠去,5,2010-08-14 15:35:24,,393,明明是喜剧，还哭了好几次
September,3,2010-10-28 00:16:38,,94,情节起伏好大，前面还唱歌呢，后面就有人挂掉了；刚挂掉呢，又开始唱歌了......只能说印度人民心理素质真好呀
Mr`Goodnight,5,2010-08-28 00:19:26,,332,印度电影真的很棒！音乐和舞蹈很有意思~~男主角超级可爱，第一次觉得165身高五短身材的男人可以这么帅！！！！！！！
朝暮雪,5,2012-08-07 15:45:58,,148,笑中带泪，阿米尔·汗的电影中最喜欢的一部。
Dyingpluto,5,2010-08-21 18:41:50,,144,我衷心的觉得兰彻是水瓶座的。对学校的描述适合中国国情，且针砭时弊，对每个人都有用。
playdead,5,2010-09-04 23:51:09,,290,观影过程中，不禁感慨自己原来就是那种被社会被教育体制化，唯利是图，完全不知道自己真正要做什么的人。我试图努力回忆起那一个时间点，那个曾经还未被体制化的孩子的雄心壮志，却发现怎么也想不起来。我感到很悲哀。
周男神的迷妹YL,5,2018-01-14 22:31:15,,149,第一次看是在高中的时候，老师课堂上挤时间用多媒体放映班里同学集体看的，这才是真正的喜剧。喜剧总是有一个悲剧的内核，看完这部剧你笑了，这还远远不够，你应该对人生对社会有所思考。很庆幸这部电影做到了。经典当之无愧！
办公室甜心,5,2011-12-12 23:53:36,,198,天哪是谁想出个这么狗屎的中文译名的，以及难看死的海报害我一直没肯看这部电影，差点就错过了如此精彩的印度片.................太棒了啊充满基情【？】又极其励志，人设真是饱满又可爱，剧情也是丰富又不啰嗦，两个多小时一下就过去了，走出电影院心情真好呢！
Ruby超人小姐,5,2010-10-02 13:06:32,,86,男主角长得像吴彦祖。
宁宁,4,2018-03-26 00:07:12,,30,第一次看印度电影，觉得实在太好看了，有笑有泪，十分励志。
说点什么,5,2018-01-17 00:06:59,,84,第一次对印度的影视作品改观。这部电影作品有逗乐的地方，也有一些励志的地方。因为每个人都有着自己对电影的看法。而我只是想推荐给其他人去观看而已。千万不要被名字忽略这部好电影！
杨迪,5,2010-10-07 01:40:07,,104,当你不断追求卓越，成功就会不知不觉追赶你。
cobblest,3,2010-08-20 22:27:34,,64,不好看之二，也假，头一个太空笔那个就被我吐槽了……
yyq,4,2018-02-15 10:48:45,,17,挺有感触的吧，这部电影和我预想的很不一样
S,5,2010-12-04 14:29:12,,95,很好的诠释了“再多独自牛逼的时光，都比不上一起傻逼的岁月”这句话！绝对值得一看。
清欢,5,2017-06-07 14:59:18,,64,英语课上，和我的高中同学们一起看了这部影片。别人眼中的他真傻，但只有他自己知道自己坚持的是什么，追求的是何物。天才，总是特立独行的，敢于闯荡，一往直前的。
挽梦忆笙歌,4,2018-04-12 17:07:27,,22,人生在世要有梦想，万一见鬼了呢，励志有泪有笑的片子，可以说拍的很成功了！
呆萌小七,5,2018-02-26 23:40:02,,53,三傻大闹宝莱坞好看，很喜欢，值得五星
滚滚的麻麻,5,2017-08-15 00:30:08,,44,算是第一次接触的印度电影，汗叔厉害。
匡轶歌,3,2013-07-18 22:34:24,,51,看得我悔恨交加，仨小时啊……人生苦短，干点啥不好……
理想多钱一斤啊,5,2010-12-06 17:57:49,,41,我就知道这电影会合豆瓣网友的口味
米粒,5,2010-10-24 11:19:49,,33,太精彩了，太感人了，笑了哭，哭了笑，笑了又哭，哭了又笑。这就是真正的好电影。。。
蚂蚁没问题,5,2010-08-13 00:01:57,,88,忽略那个傻瓜名字吧，不然你才是傻瓜。兰彻，不，总爱说一切顺利的望杜先生，你像风一样自由，像风筝一样翱翔，你太伟大了，请接受我们谦卑的供奉
他奶奶喉结大,5,2010-12-11 02:10:12,,46,黄秋生穷到去印度接片子。
起床，吃饭,3,2015-09-23 13:53:38,,54,要是把中间那几段雷人的歌舞删掉，可以多打一星。
雨果,5,2016-12-05 11:35:01,,42,道理浅显但知易行难——试问有多少人在择业上能真正做到从心所欲？而填鸭式教育，在中印这样的人口大国，更是一百年都不会改变的基本法。节奏感不错，是个精良商业片。
shield,3,2017-02-11 11:57:03,,43,并不觉得搞笑。。。
乌鸦火堂,4,2010-08-11 23:27:42,,12,在一切顺利中踢飞这个世界
🇦🇷🇦🇷,5,2016-11-14 12:28:02,,49,这部剧堪称经典笑中有泪令人深思看了好几遍每次都是笑着笑着就哭了它所反映的印度教育问题在我国也是很普遍的所以颇有感触这是我看过最棒的喜剧了而且剧中那些舞蹈和歌曲都超级好每次遇到啥的时候都会摸着心说alliswell
袁萍,5,2016-11-05 12:15:54,,42,很纯粹的喜剧，很成功的愉悦了观众，但这部片子不只幽默搞笑，还是带着抨击的。对教育的不满和反抗，用很夸张的方式讽刺应试教育，用兰彻打了校长的脸。三个主角各有性格，以喜剧开始以喜剧结尾，但却留下问题让我们思考。
浮华,5,2016-11-03 18:25:56,,33,其实这部影片带给我的是对学习更深层的理解，和朋友之间的友情，以及该怎样正确的，自由自在的生活。对于学习，我学到了很多，知道怎样学习会高效，会开心；也知道了朋友之间不应该被那些琐事所困扰，你教的朋友单单就是你的朋友，你的身价在爱情面前是可以忽略的；也明白了活在当下，珍惜现在，
lynn,5,2016-12-12 00:39:36,,28,Lifeisaboutmovingon，acceptingchanges，andlookingforwardtowhatmakesyoustrongerandmorecomplete.生活就是前进，接受改变，还有期待那些让你变得更强大，更完整的故事
草威,3,2010-10-03 22:39:28,,37,影片还是挺让人高兴的。故事不错，镜头也很好。但从一开始导演想要什么就昭然若揭，手法也过于急迫和刻意。这种贯穿全片的没完没了的说教本身就是一种不自由，尽管它看起来轻松有趣。有些遗憾。
👹天神的审判,5,2018-02-22 15:37:51,,26,很经典，我又看了一遍，剧情特别搞笑，但是整个故事又有深度，笑过后你会回味思考。
神威,5,2013-02-23 00:29:26,,32,这辈子再也找不到第二部这样能一次次的治愈我给我力量的正能量充电器了，已经看过四遍，依然毫不厌倦
诸葛若见,5,2016-06-18 02:50:47,,17,心目中的2010年度最佳，没想过一部印度喜剧竟然会让我看了有流泪的冲动，被里面的剧情感动，产生一种强烈的代入感。
amelin,5,2016-05-07 01:41:33,,27,这是唯一一部看了三遍还是会哭的稀里哗啦笑的酣畅淋漓的电影了。每次看都有不一样的感受。爱情戏也很有看头。本来以为印度电影的歌舞会让人跳戏，但看这个一点儿违和感都没有。歌舞，景色和演员台词，剧情非常和谐。
X,5,2017-03-31 16:49:00,,19,印度电影第一次走入我的视线，没想到能拍的这么好，从喜剧的角度对比，我觉得比星爷拍的校园系列好的多……佩服印度人的创造想象力
Tone调的悲伤,4,2018-04-12 19:26:27,,13,这部真的很好看呀，有笑有泪，发人深省，不错不错
白描,5,2016-11-09 18:38:26,,27,起初看片名以为是个无厘头的片子，后来发现喜剧之下是对现实的反思，填鸭式的教育真的能让人获得知识吗，未来是要遵从自己的内心还是听从父母的意愿，还有要相信自己。这些都是都是兰彻带给他的同伴们。alliswell这是兰彻信奉的真理，同样也被我视作圭臬。
摇尾巴,5,2014-06-01 22:00:59,,19,超赞
巽,3,2011-02-03 22:02:02,,53,把说教挂在嘴边毫无意义。
心生,4,2013-02-23 00:26:49,,10,9分：印度电影独有的夸张与戏谑，很大程度上成全了影片对教育制度与成败标准的质疑，以及对于三个白痴友谊的展现，这些看似老生常谈的议题，在电影中变得那样具体而深刻。圆满的结局不再是永远的“完美”，而是显得那样理所当然。
请保持高冷,5,2016-09-05 12:16:11,,14,认真思考
大头绿豆,4,2011-06-04 17:11:52,,18,我本来想说，电影终究只是电影，人们还是要面对自己的生活。但我现在想说，什么时候我们连谈论一下理想主义者，都开始害怕了？Aalizzwell，来段印度舞吧，理想没那么可怕。
汪金卫,5,2011-12-15 23:41:03,,14,印度电影总是与“友情”“爱情”“歌舞”“片子长”等元素绑在一起。看了几部印度片，都深深沉浸其中，被打动。这部尤其是。估计这是21世纪以来在中国最火的印度电影了吧。太励志了。有种泪流满面的冲动。思想斗争了很久，还是没有去电影院看国语配音版。唉。《三傻大闹宝莱坞》这个傻逼译名是谁起的？
小牛牛意踌躇,5,2018-03-12 21:36:25,,23,被译名吓跑的我又被阿米尔汗拉了回来。电影中的笑点很自然，埋下的伏笔也都有呼应。影片对教育制度的反映令人深思。
隔岸观船,4,2016-12-29 22:06:27,,14,仿佛观看一出歌舞剧…
苏幼,4,2017-03-21 16:27:18,,8,剧情挺好，喜感挺强，看的时候很开心
九尾黑猫,3,2010-09-21 16:07:04,,28,三星半。很可爱，但是有点狗血，绝对化了一些东西。在现实的世界，理想总是最亮的明星。可是很多人不缺乏理想，只是缺乏坚持下去的勇气。这种勇气淹没在过于戏剧化的故事中了
grace-xhu,5,2018-03-26 08:00:33,,17,曾经自己看的时候就看了几分钟，没看完，在公司培训上完整的看完了才知道影片好看而且还很有教育意义，阿米尔汗真的好厉害了。
顾俏乜,4,2017-04-16 18:36:40,,12,很喜欢兰彻，思想不被束缚的人、不被应试教育所同化的人
江绪林,5,2011-07-28 20:20:03,,28,开头那首歌，真是自由，无拘无束的味道....奶奶的！
寂静时候不欢喜,4,2017-05-14 23:45:16,,10,励志又搞笑，值得推荐
徐若风,5,2012-07-16 15:04:21,,15,印度喜剧的巅峰。
艾晨,5,2010-09-23 17:01:44,,13,终于知道为什么这么高分了，第一，积极的心态，第二，深厚的友情，第三，严肃的人生提醒，第四，精彩的剧情演绎。
bamboo,5,2010-12-10 23:02:19,,25,我好爱这部片子！！！
粉先生MrPink,3,2020-03-15 17:15:49,,27,太理想，套路，商业，歌舞分割了剧情，讽刺教育自己却在说教。
亚比煞,3,2010-09-09 14:43:20,,39,前半部挺好玩，老头子跳舞很欢乐。后半部为了剧情的吸引，拍的太用力，编的有点假。还是这类片子的老套，好人坏人界限分明，男主角牛X，女主角永远是无脑花瓶，和一个有钱傻X结婚后被抢走...或许是我对电影的期许太高，或者是心境变化太大，反正最近真的不想再看这种励志片了。
慕詩,4,2017-03-18 18:27:30,,9,看的第一部印度电影
大耳朵图图_,5,2017-03-18 22:09:24,,15,印度电影入坑之作，音乐非常棒！以至于我竟然习惯了印度电影这种动不动就高歌一曲的邪教风
大耳朵图图_,5,2017-03-18 22:09:24,,15,印度电影入坑之作，音乐非常棒！以至于我竟然习惯了印度电影这种动不动就高歌一曲的邪教风
国王KING,5,2014-02-01 19:51:31,,18,【电影之夜】笑着流泪，Aalizzwell
隔岸观船,4,2016-12-29 22:06:27,,14,仿佛观看一出歌舞剧…
tlmgt,2,2014-03-09 17:11:44,,20,只想知道为什么那么无聊还拍那么长
苏幼,4,2017-03-21 16:27:18,,8,剧情挺好，喜感挺强，看的时候很开心
酒鬼一家小迷妹,5,2018-04-24 08:53:10,,14,很有教育意义的一部影片，阿米尔汗的电影总是如此有吸引力。
