user_name,star,comment_time,geo_ip,vote,short
大头绿豆,4,2006-07-17 21:27:12,,2616,结构很精细。艾德输光了钱的时候，恍惚出门，扶着墙吐，很真实。一贯老实的厨子打劫前突然说，带把刀好：Gunsforshow，knivesforapro.——你是不是有什么不为人知的过去？我不知道是马上要打劫可怕还是你的过去可怕。
老鸡｜扶立,5,2008-01-10 16:58:45,,3974,嘛叫编剧功夫？界就叫编剧的功夫！
任晓雯,5,2008-11-02 14:22:24,,3811,中国多少年轻导演在学这风格
Adiósardour,5,2010-11-22 00:01:44,,1850,大轮回剧情，赞不绝口。配乐无比踩点。特写连毛孔胡渣都分毫毕现。摇摇欲坠，坐在各种笑料回荡的嘴角上，寻着被烟熏的发黄的咯吱作响的牙齿，就快要从这口腔中滑落下去。笑到背气的是帅哥那严峻，放纵时而又苦逼崩溃的脸。铤而走险后疯癫狂欢，年轻人们决不会想到这一切都只是纠葛的开始。
唐小糖·,5,2006-11-19 05:14:19,,2580,"克里斯说:""整个过程让我感动!"""
[己注销],5,2014-03-31 00:20:21,,1081,（9/10）对于脸盲而言前半段大概会看得很痛苦，但后半部理清线索后会是各种神奇……不算入赌场BOSS，这片一共有五股主要势力在斗殴：欠50万的（买了两支大烟枪去抢劫卖白粉的）、卖白粉的（高尔夫球）、毒品供应商（黑人势力）、强盗团体、讨债父子和两个不认识赌场大BOSS的小混混……
衣服,NaN,2008-05-11 15:42:59,,801,周杰伦捧红了萧邦，疯狂的石头捧红了两杆大烟枪，夜宴捧红了哈姆雷特，集结号捧红了太极旗飘飘？
ⒹⓎ,5,2008-07-18 14:02:29,,1252,从此开始喜欢上英伦范儿。我真的是太喜欢这部电影鸟。
Zuschauerin,4,2008-07-10 17:09:11,,1725,我觉得这片儿里的小混混们都挺有型的.
小耳朵图吗,4,2008-09-01 08:33:13,,1099,貌似疯狂的石头就是在模仿这部片子。麦当娜的前夫的作品。
轻飘飘的旧时光,5,2011-04-09 13:30:35,,1205,疯狂的石头在他面前只是浮云
老阿飞—故园,5,2006-01-08 18:01:38,,794,此类多线杂糅叙事的代表作
米姐起飞,5,2007-09-30 18:06:32,,644,果真没让我失望喜欢这样能让你笑着紧张的好电影
文泽尔,5,2008-03-19 05:53:52,,348,和becool同类的巧合，全是喜感的巧合..黑帮的轻喜剧两柄大烟枪作为串场道具，比钻石和石头什么的要妙得多了..当然也远强于那幅莫名其妙的画作..盖里奇越玩越糟糕，被自己造出来的黑帮多线串烧模式给彻底困住了..
影志,4,2009-12-29 01:44:22,,805,犯罪都那么的英伦范，盖·里奇构造了一出无巧不成书的黑色喜剧，调侃、刺激，别有一番滋味。“四个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。”
LORENZO 洛伦佐,5,2011-01-10 16:46:19,,293,浓郁的英伦范儿，搞怪的人物性格，多线交互叙事方式，无比精准多线互绕轮回归一的剧情，开放式结局，多处变速剪辑，以及精准切合的配乐，加上一帮英伦痞子的优秀表演：超值的五颗星！最喜欢的片段莫过于四人得手后庆祝的变速晃镜长镜头以及定格递推的开放式结尾，三个字：超喜欢！
冰红深蓝,5,2015-03-18 21:24:45,,131,盖·里奇惊为天人的处女作，多线索平行叙事的犯罪片经典。前十分钟人物和背景铺陈完后就毫无尿点，环环相扣的精妙结构和数不清的黑色幽默让人血脉贲张，古怪的英式口音和台词真是越听越来劲！双关的片名和配乐兴许要查资料才能理解，但如老照片般棕黄单薄的色调和神经刀的剪辑，真让我high翻天。（9.0/10）
朝暮雪,5,2012-08-07 15:50:11,,175,多线叙事的巅峰之作，一直被模仿，从未被超越。
眠去,5,2008-02-09 14:34:17,,210,昙花一现。但值得纪念。
宋小君,5,2013-11-25 15:24:54,,121,巧合，多线并行，圆形结构，黑色幽默。神作。
嘉得乐,5,2006-02-21 17:23:01,,87,黑帮电影又焕发了青春
幕天席地,5,2017-04-06 14:19:28,,66,基情四射，黑色幽默啊，里面看起来威猛无比的大佬们，其实个个都有衰像，霉运，借用宋小宝那句经典---你瞧你那损色~~
能工巧匠沙门哥,5,2007-08-17 14:59:52,,80,爽到歪.
梦里诗书,5,2015-01-22 20:12:55,,57,多线程交错的电影手法在《两杆大烟枪》中令剧情妙笔生花，环环相扣逻辑严谨的黑色幽默，让人看到了英式喜剧独到的魅力所在，更让人不可思议风格如此成熟，精炼到老的佳作居然是一位名曰盖·里奇的导演首秀，或许正如电影那样小人物总能带来惊喜。
峰峰峰峰,4,2013-06-03 13:50:39,,570,你敢骗我，我就杀了你。如果你敢耍我，或者我认为你在耍我，我也杀了你。如果你忘了，我也会杀了你。事实上你要很努力才能保住小命，我说的话你听懂了没有？因为如果你不懂，我就杀了你。
木由,5,2015-07-26 12:28:09,,46,整个过程充满意想不到。我几乎是半张着嘴看完了整部剧，惊呆…怎么可以扯的这么酷炫…听地道的英式口音爆脏好爽…最后一幕太经典太经典，不能更棒！
奎斯Chris,3,2006-11-23 14:54:39,,539,谁说这片子比猜火车好的?
奇爱博士,5,2012-08-31 22:23:21,,34,当代多线程犯罪经典，迷人的英伦范儿。宁浩的《石头》抄的也很经典。【电影资料馆】
贾不许,4,2008-12-15 19:09:11,,452,Ifyouholdbackanything，I'llkillyou.Ifyoubendthetruth，orIthinkyouare，I'llkillyou.Ifyouforgetanything，I'llkillyou.Infact，you'llhavetoworkveryhardtostayalive，Nick.DoyouunderstandeverythingI'vesaid?Becauseif
bamboo,5,2015-11-24 11:02:10,,51,伦敦街头的小痞子都这么有型--truely！！！
LisaLeung,5,2009-10-01 16:25:15,,52,难以形容。
卡里加里博士,5,2016-10-05 01:20:17,,18,坑蒙拐骗来的钱，来的容易去的快，生死有命，不义之财谈什么道义！两杆大烟枪里的古董价值观早给丢了，这货能值700？连打个劫都冒烟，完全不给力啊！可是古董呢，是越老越值钱，和它的使用价值无关，而是一种时代精神，只能说你这辈子白忙活一场，全是不识货惹的祸啊
掉线,4,2012-08-29 13:57:21,,167,前半段很一般，完全是为后半段的惊世骇俗做铺垫，不太喜欢电影的色调，画质不太好的感觉囧
战国客,3,2008-03-18 13:57:32,,102,可能是先入为主的关系吧，感觉没有后来的《偷拐抢骗》好~~
阿依达,5,2011-09-26 13:13:00,,21,太牛逼了，神一样的剧本啊！各种人物，形形色色的事件，最后神一样地串联在一起啊，这是个什么逻辑啊！无语了！神片！无话可说，编剧经典范本其实就在这里啊！多线杂糅叙事啊！每个人都有极明确的objective啊，以至于conflicts特别明晰激烈极其好看啊！《疯狂的石头》也是学这个的吧！
xīn,5,2008-02-03 00:11:30,,14,在资料馆第二次观看此片，观影感受非常之好，整体极为流畅。大的叙事架构比较到位，但更关键的是处处反讽的幽默/荒诞氛围的构建，一旦进入其中的逻辑，便欢快的无可自拔。
心生,3,2012-06-11 20:00:53,,98,吹得神乎其神，也就那么回事儿
