user_name,star,comment_time,geo_ip,vote,short
süden,4,2008-12-31 18:37:11,,5339,情节展开的不错，但是戴维斯主张的部分都只是模棱两可的推测，实际上挨个求证这些东西之后，孩子有可能是凶手，也有可能不是。只是控方的初期工作没有做好，辩方的交叉质询没有做好，案子应该重新调查，而不是简单的判决无罪。看到有人截屏引用这个十一年前短评做庸俗群众代表我很荣幸。现在我要补充的话，会说，权利机关的失职是一回事，合理质疑没有毛病，但结局判决无罪是有毛病的。因为不管群众是盲从机构推测，还是盲从男主推测，都只是被碾压。文艺青年批评我追求真相庸俗，那么只要和机构观点相反就行，接受无罪结局才是公平和正义吗。
bornfreeyolo,4,2017-03-25 23:51:47,,657,法学狗看了真的深有体会，什么是民主什么是正义，一环扣一环，你心中会有自己的答案。
Q。,5,2011-07-18 02:03:48,,4450,“我们会来这里，不是来吵架的。我们肩负着重责大任。我一直觉得这就是民主社会的优点。我们收到信，被通知要来这里，决定一个跟我们素昧平生的人到底有没有罪，不论做出什么样的判决，我们都拿不到好处，也没有损失，那就是我们的国家能这么强大的原因。”精采！剧本、导演、演员个个出色★★★★★
一湄,5,2010-11-07 01:12:20,,3492,偏见，合理的怀疑。任何时候都要保持怀疑的能力。最后，当意见终于统一，每个人默默地穿上外套，离开，桌子上是刚刚一个半小时内发生的巨大震荡留下的痕迹，烟灰缸，纸团，凌乱的纸张，笔，还有那把刀。经过这些震荡后的十二个男人，不管之前是多么的抱着偏见不放，此刻都闪着光。这是人类进步的光芒。
NullPointer,5,2013-07-18 01:49:47,,2915,投票不管用，意见领袖也没用，你得让每个人都说个够。然后明智的共识才会产生。
kissdemon,5,2010-04-17 18:42:19,,3258,知道这是一部牛片，只是没想到居然这么牛。
根,5,2017-04-01 22:32:00,,2207,看着五十年代的饮水机电风扇和豪华厕所只想感叹“万恶的资本主义”！
亚比煞,5,2010-05-29 22:24:31,,1379,人是说谎者，人是连自己也会欺骗的说谎者。因为冷漠，成见，因为麻木，可笑的自尊，或者甚至不需要任何理由的去坚持一个谎言。一个没有理智的社会，往往同时也是一个没有感情的社会。强烈推荐，精采绝伦。
solate,5,2009-09-19 11:49:45,,1861,罗生门，只有阐释，没有真相
狷介有乌青,5,2012-08-19 01:17:52,,1090,美国之所以能够标榜民主，正是因为这种陪审团制度所映射出来的倾听每一个声音，尊重每一个个体。提出你的“合理怀疑”，大家来讨论，来表决，来投票。但是，并不是每一个陪审团里都有这样一个8号陪审员，而偏见永远存在
