user_name,star,comment_time,geo_ip,vote,short
zing,5,2008-03-07 14:00:22,,14712,每次看这些神作的时候想到这是动画片这是一群牛人一笔一笔画出来的，就觉得漏看掉一帧都实在是对不起他们啊
8LKHLPOU&#,5,2006-10-12 16:19:42,,17476,不努力工作会变成猪
░▒▓██,5,2009-11-25 16:42:47,,11822,曾发生过的事请不可能忘记只不过是你想不起罢了
Yolanda,5,2007-01-22 00:13:32,,10064,十年后重看只想大哭，其实我们都明白这个结局。
薇羅尼卡,5,2006-03-27 15:13:36,,7507,自认为是宫崎骏最好的一部。|2019.6.22大银幕重温，感谢造梦者。
根,5,2019-06-21 23:32:07,,3789,隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。
影志,5,2006-02-04 06:21:11,,5050,“有些事情是不可能忘记的，只是一时想不起来。”忘了怎么打动我的了…好像不是打动，而是震撼。
闲潭影,5,2009-12-19 22:57:35,,5736,最好的宫崎骏，最好的久石让。
mon babe,4,2008-12-22 22:28:54,,4869,有那么那么经典吗？还是我老了？
bekey,5,2018-03-09 11:15:17,,3057,欲望无限，就会让你失去自己，进而痛失所爱；在残酷的环境下，只有努力去适应并寻求改变，才能有突破的可能；成功路人，伯乐很重要，一定要记得感恩；奋斗途中，会有妖魔鬼怪，也有可爱温暖的无脸男和小白。节制欲望、不断进阶、知世故而不世故、做个善良有温度的人。千寻，你是最棒的！
唐喜乐,5,2007-04-08 14:39:09,,3902,你忘了吗?往下飞的时候眼泪是往上流的.
