user_name,star,comment_time,geo_ip,vote,short
根,5,2012-01-12 13:48:27,,4042,一整个世界被打开了的感觉啊。
宅蘑菇Moku,5,2007-09-27 00:04:51,,2828,还是第一部最可爱了，正太是正太萝莉是萝莉的
tavico,4,2009-07-18 11:57:39,,3608,花了8年才看完这部电影....
猫语猫寻,5,2009-09-11 03:07:38,,1801,我觉得这仍然是这个系列里最好看的一集吧，第一次看的时候真的惊喜死了，整体设定的展开和铺陈都让人激动，重点是哈利在这个时候是最萌最可爱的时候了，第二集开始就慢慢的长开了！对！长！开！了！
如小果,5,2010-12-15 16:42:40,,2858,演员最好看的一部。
同志亦凡人中文站,5,2012-07-20 19:53:40,,2017,忠实原著有时候未必就不能打造惊喜。
meiiii,5,2010-10-09 00:58:11,,1260,那时候是有多可爱啊，刚接触魔法的种种新鲜和刺激，比起后面的黑暗剧情以及丹尼尔越来越大叔的模样，真是怀念这里啊。
墨语悠然,4,2016-12-15 18:44:45,,788,这部电影是刚上中学过最后一个六一的时候，学校给放的，太久远的记忆了。作者天马行空的想象力，电影精妙绝伦的现，让我第一次对想象中的“魔法”，有了一个具象的观感。虽然那是一个虚拟的世界，但是我不会忘记那份感动和震撼。九又四分之三站台，分院帽，格兰芬多，魁地奇，都是最精彩的记忆！
AshtrayGem,5,2008-05-15 19:58:34,,1191,第一部是最忠于原著的~而且第一次接触魔幻世界很受震撼~
偏要勉强,5,2018-04-17 12:41:16,,896,一个全新的世界被打开了，新奇而不可思议，我们都是麻瓜，幻想一天早上猫头鹰会送来霍格沃兹的入学通知书。铁三角组合很可爱。
遇见彩虹🌈,4,2018-03-01 13:42:04,,719,当年还是在电影院看的，波特的魔法世界惊艳展开，风靡全球。
Nakedself,5,2006-05-17 15:59:21,,1089,你信不信，我也养了一只猫头鹰^^
StevenTong,5,2009-06-10 02:11:51,,602,我竟然還沒有在豆瓣添加哈利波特系列啊...我怎麼當粉絲的我！第一部自然是最引人入勝的。
小耳朵图吗,5,2006-08-21 20:15:02,,501,第一部好看啊时隔快20年20200818电影院看了3d
👹天神的审判,5,2018-02-26 21:29:14,,305,经典就是经典真的是百看不厌啊。神奇的魔法学校以前还真的以为它存在，特别羡慕能在魔法学校学习的学生。哈利波特善良勇敢和他的小伙伴们一起斗伏地魔，里面的小演员都好可爱，演技也是杠杠滴！
国王KING,5,2014-02-01 20:12:28,,168,有一部电影，陪着我成长。
麦垄风来翠浪斜,4,2017-12-18 17:40:12,,348,哈利波特系列的电影与小说，我能感受他们的喜怒哀乐，一同烦恼学生时代的“难熬”，当这一系列结束时，再回头看这第一部，有一种“曾当年”的感受，我私以为作者以后再写出什么样的故事也不能如当年那样打动人心，毕竟这已成了我心中的白月光，不是吗
Morning,3,2011-07-14 15:17:45,,1239,作为HP系列的开篇，算是合格完成任务，对人物的交代都很清晰，在许多分裂的HP其他几部，这一部是最忠实表达魔法世界的异彩纷呈的，在交待情节的同时仍不忘学院里的幽灵，会动的画像和楼梯，这在后来几部都几乎没有了。
🧸,5,2017-04-23 00:14:12,,42,?????我的豆瓣是不是bug了这部我怎么可能没标记过?不说十级我也是哈利波特八级学者啊
如是,5,2018-04-16 13:52:33,,43,开启了一个魔法新世界，演员们演绎得很精彩，童年回忆了。
Leon Winters W,5,2015-08-06 01:42:49,,21,真正曾经电视机前的回忆，世上最快乐的人，才能在镜中看到真实的自己，镜子反映出的，正是我们心中最渴望的事。但镜子不能提供我们真正的知识或者真相，人类总是在镜子中虚度光阴，甚至因此而发疯。人不能活在梦里，不要依赖梦想而放弃生活。
齐木楠雄,5,2016-10-21 15:25:26,,38,小演员真是太萌了，想想看哈利波特现在的长相，有点心痛
宁宁,5,2018-04-18 00:05:04,,33,这部电影给我们呈现了一个鲜活的魔法世界，华丽的魔法学校，黑暗的禁林，演员们演技都很好，赫敏也是越长大越漂亮了
欣欣向荣,4,2018-03-10 19:06:21,,146,电影院看的，还不错，哈利波特小时候好可爱，每个小演员都很可爱，现在除了几个都长糙了，为了拜托哈利给观众的印象也是拼了。
纤指十三,5,2018-04-16 12:47:14,,44,打开我新世界的影片。
memory,5,2017-03-27 23:11:15,,42,电影对原著的还原度还是蛮高的，可能每个看过原著的，都是带着挑剔的眼光进电影院的，当戴着圆圆眼镜的小哈利波特出现，几乎所有人都立刻认定他就是哈利波特，还有罗恩赫敏，整个制作非常用心，真希望我们也能这样认真用心对待我们自己的作品
呆萌小七,4,2018-04-16 21:45:48,,60,这是一个神奇的电影，这是当时看的唯一感觉！他为我们打开了一个通往魔法世界的大门！
护你周全,4,2018-04-16 22:42:25,,61,没有长大的哈利·波特还是挺讨喜的，那个奇异的魔幻世界令人神往又危机重重，说实话，系列的第一部挺好看的！！
斑斑点点,5,2017-02-16 11:56:22,,32,哈利波特第一部堪称经典，从头到尾无尿点。
Griet,3,2010-03-25 05:26:40,,890,雖說電影永遠比不上原著吧，但英國人做事總是靠譜的。
光年‖影视歌三栖民工,2,2010-11-23 13:38:45,,52,披着魔幻外衣的狗屁，电影寡淡无味。跟DND大背景比起来，算得了什么？
世界尽头,3,2018-04-19 07:03:43,,52,这个系列电影当时真的很火，但是我对这种西方的魔法剧情真的不感兴趣。由于色调太灰暗，我甚至还睡着了。
翠蝶🌸羽生✨💫,5,2018-04-17 11:34:27,,19,这是一个有丰富想象力的电影，繁华的巫师街道，华丽的又好玩的魔法学校，黑暗且神秘的树林都让人印象深刻，特笑真的很棒，以前看的时候一直以为这是真的。
醉里挑灯看花,5,2018-04-18 11:26:30,,24,打开了新世纪的大门，主演们小时候好可爱。
朝暮雪,4,2012-08-18 02:06:59,,69,霍格沃茨是最好的魔法学校！
Serious Z,2,2015-11-19 00:27:54,,24,没创意没剧情没惊喜光有个名气在那，“魔法世界”一个这么大这么尽情发挥想象力的题材框架就装了这么点东西？全六部剧本的用脑量还不及辛普森一季里的一集。喜欢这个系列的孩子是要多缺乏想象力啊！好了我看过了，知道这东西是怎么回事了，完成任务！
汝就做吾的犬吧,3,2011-07-31 22:45:10,,29,终于还是抽空开始看了，看样子是看晚了，完全不觉得世界观很梦幻很不可思议，一样样毫无典故的道具和装备反而让我觉得像哆啦A梦。节奏也慢得可以，2个半小时都是在说他们的校园生活，主线剧情几乎没动。不过几个小孩演得的确不错，尤其是罗恩走象棋那段。看来我还是比较喜欢指环王这种风格的魔幻剧啊。
吃瓜小能手,5,2017-03-24 11:38:41,,22,开启西欧现代童话的开端，无论回看多少次，至今还记得第一次看时的那种冲击。
godzilla,4,2018-04-16 19:18:42,,46,这部电影包括了这本书最难忘的场景，最让我惊讶的是魁地奇比赛。这场游戏精彩且暴力，令人目眩，我不得不屏住呼吸。
幸存者,4,2018-04-17 04:58:35,,89,这是一个富有想象力的制作，繁华的巫师街道街道，华丽的魔法学院，黑暗且朦胧的禁林，让人记忆深刻！
远方海洋的歌,5,2022-12-18 21:26:36,广东,42,没有在童年看真是太可惜了，感觉这个年纪看浪费了这样庞大的想象力。
大耳朵图图_,4,2017-03-18 13:01:30,,34,小时候的哈利太萌啦！小小的一只~很喜欢他们在火车上的那段，小时候一直能想象有一只会送信的猫头鹰
沈书君,4,2010-11-08 12:05:40,,31,今天来看，才发现里边有好多小童星
焰熠,4,2018-04-19 18:58:51,,25,猫头鹰。麻瓜飞行扫帚。还有魔法棒。那个脑门有闪电印记的小男孩跟他的小伙伴们伴随我的童年开启了关于魔法师的历险
杨迪,5,2009-12-19 14:16:49,,53,第一次进入哈利波特的魔法世界
ᥫ᭡້໌,3,2017-02-11 15:33:55,,22,在那个年纪，被特效征服。顺便表白艾玛女神
木由,5,2018-08-07 06:02:36,,26,重温童年回忆，惊觉就连最小的细节自己也记得。多么奇妙美好又温暖的霍格沃兹啊，承载了我太多的幻想与期待。天知道一年又一年，我趴在窗口等了多久猫头鹰。
东篱,5,2018-04-21 07:34:32,,20,演员演技特别好，他们给书中的人物赋予了生命，而且阵容出众，特效令人愉悦，感觉一切都是那么真实可信。
庄小龙也有尾巴,5,2017-03-19 12:32:49,,16,看过最好的魔法片没有之一
美好时光只为你,4,2017-04-08 22:30:41,,22,第一次接触到西方的魔法世界，而且感觉是那么的真实，奇妙。
🇦🇷🇦🇷,5,2017-01-16 16:13:57,,11,开启了我的魔法世界让我从此迷上哈利波特成为一名哈迷美好的回忆美好的电影关于友情成长勇敢最美好的寒暑假记忆！！！
Panda的影音,5,2011-08-06 22:58:44,,4,身为哈迷的我《哈利·波特》系列电影最爱的三部是：《魔法石》《阿兹卡班的囚徒》和《死亡圣器(下)》——第三届北京国际电影节《哈利·波特》八部连映。去看《哈1》时，先是搞混地铁站口，出错；而后打的赶去，还是错过电影的开头；刚坐好，没想到才看几分钟，我的眼泪就夺眶而出：···幸福；···快乐；···掌声不断；···激动不已。-2013.04.19—→—2020.08.20：难得《哈利·波特与魔法石》重映，身为哈迷也再次来影院“会见”熟悉的朋友们、“参观”霍格沃兹魔法学校……了。看完后意犹未尽地好想/奢望能像当年北影节一样把后七部也一并在影院重温一下。
洛野,3,2011-08-25 23:56:10,,14,将原版书与电影放一起看的好处是能看出编剧对原著动了哪些手脚(忽略)如开头对姨妈和达利的刻画，马尔福邀请哈利半夜决斗；(移花接木)如马尔福列车挑衅哈利被移到分院帽之前，诸如此类还有很多。当然电影本身的格式就局限了它不能完全吸收和呈现原著的一切，但本部的最大弊端还是情节的跳跃性太大一头雾
大志的小耳朵,4,2017-05-10 09:29:24,,8,很好看，记得那时候还在上中学，英语课本上都有这个，我们教室里有电视机，每逢周六下午放假，老师就放了给我们看。
While,5,2021-01-25 01:35:10,,27,第一次看哈利波特，我好幸运，还有这样精彩的八部电影等着我！
Neroat,5,2014-11-17 09:23:43,,5,小时候看电影并不太懂，只觉得有点吓人，长大了看了小说才发现这么的精彩，电影又看了好多遍。补充：2020.8.16.由于新冠疫情，电影院重开上映，又在影院重温了一次3D版。
嘻嘻,5,2018-04-17 12:35:56,,13,主角们都很可爱，赫敏又可爱又美，很久之前看的了
lip,3,2020-08-26 16:41:48,,37,可能我错过了看这个系列的黄金年龄
梦里诗书,5,2015-08-01 22:07:22,,3,这是一个开启了十年魔法世界的序曲，《哈利·波特与魔法石》凭借将魔法融入满是梦幻的奇想，在一群懵懂可人的小演员中以满载欢的剧情乐呈现着正义与友谊的珍贵，它虽未有后篇越发暗黑高深的剧情，却以一份最为淳朴的简单，成为了一部老少皆宜的力作。
西楼尘,3,2015-05-11 14:34:52,,15,虽然对哈利这个系列没什么感情，但是这个传奇的开始，庆幸身为见证者。
哈哈哈啊啊啊,4,2018-04-19 08:40:56,,16,总有一个角色陪伴你一起成长，我也有哈利波特的魔杖哦(´-ω-`)！让我们在霍格沃茨学院开始学习吧！
高詩遠,3,2020-08-14 17:02:07,,3,重映了于是满怀期待去看看，结果整了个3D，然后出去买了副3D眼镜，全程看得我头晕眼花。抛开外界因素，这次给我的故事体验和小时候看完全不一样了，小时候我会觉得哇好厉害，我也想当个魔法扫把骑士，结果刚刚看完真心觉得这个剧情好弱，特别是最后冲关boss战的那一part，三个不会啥魔法的新生就这么揭露了学校的秘密，而且这关卡都啥呀：伪魁地奇，哈利波特一眼就能看到钥匙在哪；巫师棋，既然被那几个兵种的棋子挡住了去路，把那几个棋子移开不就行了，非得玩完；打伏地魔，一招没了，我的童年结束了。结局的学院加分也离谱，从第四加到第一。可是赫敏好好看，比我小时候看心动。
bear.07,5,2011-08-06 14:06:10,,7,重温依旧会被奇妙的魔法世界吸引。第一部小演员们都嫩地让人妒忌，看到他们既亲切又感慨。这是永远不会结束的旅程。
爱情海,4,2017-02-24 12:47:27,,23,最喜欢这一部了，看了好几次，几个小孩演的太好，太自然了。
蜉蝣,5,2010-12-12 10:03:33,,5,一起长大的~上次看的时候好像是七年前。【重看2023.06.27】
沉歌,5,2008-01-04 17:57:01,,11,看的时候才初一呢。
小松悠,5,2014-07-31 19:33:53,,9,在「魔法石」这部里有一个重要事件，就是哈利的选择。他和分院帽说「不去斯莱特林，只要不是斯莱特林哪里都可以」，分院帽说「你确定吗？你去那里可以成就大事」。他勇敢地做出了一个选择，甚至愿意在这个选择里放弃「成就大事」的可能性。早在这一刻，就看到了哈利的无畏胆量和过人勇气「purenerveandoutstandingcourage」（第一部结束时邓布利多给他加分的评语）。这件事之后也在邓布利多和哈利单独的谈话中出现过，为了让哈利能够有更强大的能量，邓布利多点出「重点在于你选择了什么」。其实我们一生中能做的选择很少。往往是想做选择的时候没自由，能做选择的时候不敢做。我不能说我做选择的勇气都源于哈利波特这部电影，但它确实在我还很小的时候就让我知道勇于选择的重要性。
