user_name,star,comment_time,geo_ip,vote,short
一粒煞白,5,2010-05-30 20:39:40,,11482,目前为止觉得哈尔是宫崎骏作品里最帅的男角
我是大皮哥,3,2013-07-22 19:35:13,,4228,"赞这句""勇敢面对自己的时候是美丽的少女，退缩时就会变成风烛残年的老妇。""的评论"
Z/S,5,2006-01-18 12:01:31,,7192,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。
伍德与夏洛蒂,5,2011-03-16 20:55:33,,4826,虽然它确实不如宫崎骏的很多作品，也不是最受欢迎的，但却是我最爱。每次响起俩人初遇时在屋顶跳跃的那段音乐，都觉得莫名的悲伤。也正是因为这种感觉，它才是最爱。
A L E X,5,2017-01-01 22:38:17,,4047,染发剂事件之后，形象崩塌暴露屁孩本质萌到吐血！哈尔一定是宫崎骏作品最帅男主了，配音还是木村拓哉，简直不给活路
Little Punk,NaN,2006-12-01 14:22:16,,3211,哈尔是个大帅哥。
littletwo,5,2007-11-09 22:56:14,,3934,你的头发染上了星光的颜色……爱的颜色……
王老虎,5,2008-06-19 20:08:55,,3910,宫老唯一采用的美男主~~千年一见
Asuraa,5,2009-07-30 15:46:22,,3178,爱，就是替爱人找回自己的心。
小耳朵图吗,4,2007-08-17 19:11:24,,6718,宫崎骏的片子里。老奶奶都很丑。但都是好老奶奶。
同志亦凡人中文站,4,2012-04-25 20:17:50,,4446,人不漂亮活着还有什么意思...哈哈哈哈太可爱了哈尔...
肖恩恩恩恩肖,5,2016-06-11 01:08:01,,1966,因为有爱的能力和欲望，我们才年轻。如果太自卑与屈服现实，会像苏菲一样瞬间苍老。
影志,4,2006-02-12 21:56:47,,3344,腾空徒步的那一段，最浪漫
mon babe,5,2008-11-21 22:08:29,,2348,爱给了苏菲勇气，哈尔爱苏菲的勇气。
饥饿艺术家,4,2010-07-25 00:22:44,,1236,1，哈尔变身之后的造型就是折了翼的天使。2，王后是女同，看上苏菲了。3，每个宫崎骏都要有老巫婆，善良女，宠物狗，无语怪。还有各种帅男！
寂地,5,2006-01-01 17:57:35,,1705,比起宫爷爷以前的电影，这电影的主题更轻松.但是依然有一如既往的温暖.另外，哈尔那种小屁孩的性格实在太可爱了!
爱幻想的小孩,4,2014-06-06 20:30:30,,1030,看了这么多遍我还是不知道在讲什么，感觉有点野心大，又想把战争啊救赎啊什么的都说好结果就是有点没有重心。画面美爆了，也只有宫崎骏能这么有耐心吧
根,5,2012-07-18 21:50:33,,1756,木村拓哉的声音真是亚萨西啊……
丹AI🌵,5,2016-05-30 21:36:30,,1000,这是一个关于爱与拯救的故事，从最初喜欢你超高的颜值、酷炫的技能、王子一般的出场，到最后爱你内心孤独又傲娇、脆弱又勇敢、蠢萌又理想主义的小男孩。爱就是逐渐靠近、了解、懂得，接纳你真实的样子，依然不离不弃。
Gabriel,5,2021-12-05 22:40:32,,453,其实诅咒不是衰老，而是容貌会随着心理年龄而不断变化。所以当她不敢去对抗既定命运时，当她爱上了哈尔却很自卑时她就是满脸皱纹的老妇，可当她在王宫里神采飞扬的为哈尔争辩当她牵着哈尔的手走在秘密花园，她又一点一点变回了少女。而哈尔也有对应的两面性，他是温柔俊美能保护自己心爱女子的完美情人，也是因为头发变色而大发脾气说着不漂亮还活着干嘛的幼稚小孩。所以，他既是苏菲的儿子又是苏菲的情人。苏菲没法直面自己的内心，哈尔也一直在逃避，他用移动的城堡来躲避战乱和国王的征召。后来他们相遇，苏菲告诉哈尔他们可以一起承担，她为他去了王宫。哈尔在敌军空袭时对苏菲说不能再逃了，他已经有了要守护的人。从来好的感情都是为了彼此成为了更好的自己。看这部电影的过程温柔平静，人性的美好和纯真无处不在，看完整个人都很温暖。
寄意寒星,4,2006-12-31 22:22:37,,403,这个……其实我没怎么看明白，14年的宫崎骏粉丝就这么秀逗了。……（后来千和我说她也不懂，少许有点心理安慰……）
欣欣向荣,4,2018-02-21 09:05:06,,492,看过很多次，印象最深居然是里面的好吃的，煎鸡蛋和培根，还有吃鸡蛋壳的恶魔，很好看。
roucy猫与风太,5,2009-12-15 19:14:10,,992,木村的哈尔~
沉歌,5,2007-10-14 15:51:49,,590,欧式小镇，美少年，少女，女巫，城堡，魔法……还有比这更对胃口的了吗？
hitlike,1,2006-06-06 10:56:09,,296,最烂的
木卫二,3,2019-04-21 19:36:32,,715,完全想一出是一出啊，真的毫无逻辑，也没有剧本架构。为了少女心而少女心，为了反战而反战，为了飞行而飞行，为了移动城堡而移动。开头的天空舞步相当梦幻，吉卜力确实代表了日本动画的作画水平，完全是感觉的模拟重现。而神奇之处就在于，飞行这类东西，是人类不曾真实拥有过的，所以完全是梦幻的重塑和演绎。四个切换门也很精彩。后来好人坏人一锅乱炖，结尾少女之吻➕主题曲一通轰鸣解救全世界的套路，真的不能接受啊。
匡轶歌,5,2009-03-30 01:01:02,,461,激动之下，把日、英、台三个配音版本全看了……
🇦🇷🇦🇷,5,2016-11-03 18:18:50,,288,哈尔太帅了看的我少女心泛滥哈哈哈歌曲也超级好听我看的很表面看完之后有想很多但是现在都忘了差不多了就记得哈尔好帅啊！！！！！！！！！
litanerr,4,2022-05-08 15:44:47,,152,以前一直认为《哈尔的移动城堡》是我最爱的宫崎骏作品，再看时却很难接受故事的半成品感，一方面很难捕捉苏菲和哈尔的感情线，另一方面战争线则更加毫无逻辑章法。更是由于里面的角色都塑造的非常精彩，遗憾就更为严重，如晨间剧女主角般善良坚定的苏菲，亦正亦邪勇敢也懦弱的哈尔，荒地女巫、莎莉曼夫人、卡西法、马鲁克，还有被施了魔法的稻草人王子也都十分可爱。我最喜欢《哈尔》的一点，是被清晰反映在海报上的，被施了魔法变成老婆婆的女主角设定。年轻的苏菲自卑而犹豫，但苏菲婆婆则总是充满行动力，按她自己的说法“上了年纪的好处…是可以失去的东西变少了”。正如作品中苏菲在不同场景和行动下自由变幻的外貌，魔法更像是一种幻象，让苏菲得以换个角度看自身和世界，她也因此获得重生。
宋阿慕,4,2008-04-24 12:02:13,,300,行吧，那个接吻的镜头把我雷倒了。
思无邪,5,2018-01-30 11:29:23,,112,看过很多遍的动画了。喜欢男主角的颜，发现自己是对比较帅的动漫人物毫无抵抗力啊😂很喜欢宫崎骏的动画，很纯粹。
方枪枪,5,2013-05-23 17:41:41,,71,宫崎骏的动画里，永远有那么美丽的在世间到不了却仿佛闭眼就能到达的美丽地方，也有那过程曲折最后美满的故事，以及天马行空的想象和满是魔幻的笔调，还有那些可爱而又让人无法忘记的小孩子和火焰魔，这里的哈尔绝对是宫崎骏笔下的最大的帅哥。
水湄物语,5,2009-03-24 13:17:44,,177,让心爱的人带在，在天空飞翔
