user_name,star,comment_time,geo_ip,vote,short
Over5,5,2007-03-17 18:46:20,,3879,堪比业界史上的两弹一星，这个猴子是我们国产动画片的骄傲，但到了今天依然得指望着它说事儿～
有病的乃提乃,5,2011-04-24 03:57:26,,3640,50年过去了，中国动画不进反退，还有比这更可悲的事么。技术上止步不前，创意上才思枯竭。一群羊和两只狼的故事都被反复翻炒出N部，悲矣；当年号称十年巨制制出一部宝莲灯，贻笑大方矣。现在小孩的物质条件比我们好了n倍，但是我仍然觉得当年的我们是幸福的，因为有这么多优秀的动画片陪伴成长。
巴喆,5,2012-10-17 10:55:56,,2037,1961年，中国大陆，全手工，此片原画历时4年，10分钟的动画镜头要画7000到1万张原画。文革时期此片被批斗为牛鬼蛇神，是流氓无赖的化身。当时运动每天都在升级，全国的“猴子戏”都被禁演了，万籁鸣也被关起来了。日本“漫画之神”，动画漫画始祖手冢治虫本人承认正是看了万氏兄弟的《铁扇公主》，他才弃医从事动漫事业，才有了后来的《阿童木》。中国的动画曾经领先亚洲，我绝对没夸张。9.5
Odding,5,2006-03-26 14:03:45,,2166,这个无须评论。
老阿飞—故园,5,2006-01-08 17:21:11,,1383,中国动画=大闹天空，虽然对很多动画来说这样很不公平，但是，你能找出其他这么有代表性的佳作？
IlTrovatore,5,2010-02-09 16:34:34,,1009,中国动画难以逾越的一部
17950,5,2006-10-15 14:14:05,,896,真纯粹的中国动画
油漆匠,5,2008-07-23 23:15:18,,755,没有阉割的猴子
把噗,NaN,2011-08-31 20:17:45,,12,经典
同志亦凡人中文站,5,2012-12-14 22:12:19,,656,反抗，反抗，再反抗
随风的蒲公英,3,2017-04-10 17:36:35,,18,真的是童年的回忆，觉得是中国特色的一部动画片！
私享史,5,2005-10-31 16:34:35,,703,【武大】从造型设计到人物动作，从脚本到到音乐，每一个镜头拿到现在仍然足以与世界好的动画相比而毫不逊色，这个腰间束着虎皮裙，手舞金箍棒，神采奕奕，勇猛矫健的猴王成人们心目中永远的孙悟空形象。
朝暮雪,5,2012-08-07 15:52:01,,518,中国最好的动画片，来自50年前。
战国客,4,2009-04-23 18:15:42,,2832,向中国早期的动画制作人员致敬！
流空破刃,5,2010-07-24 22:54:46,,471,一类风格的极致，一种手法的极限与其所能趋至的完美。
汪金卫,4,2012-01-18 18:20:57,,435,要看就看影迷修复版，那是最好的版本。比官方的所谓40周年纪念版都好。玉帝的下巴上非常明显的有颗痣我会到处乱说吗？
蓝下老婆,4,2017-04-04 21:33:20,,401,永远的经典
Luke,5,2012-10-01 16:26:11,,347,中国动画史上的一块金字招牌，当之无愧。
蒼間,5,2008-09-26 23:21:42,,362,“怎么能抵的过我这一锤——呀~”
寒枝雀静,4,2019-07-20 17:31:26,,64,B/文本内含复杂性，但是叙述的语调缺乏复杂性。几乎是将孙悟空当做一个完全的超级英雄来描绘，且大多只是通过表层的“行动”来描绘，而情绪什么的几乎是不存在的。至于孙悟空为什么总是表面不屑但却内心艳羡天庭，为什么会对“正名”有如此执拗的追求，为什么一个野性难驯的孙悟空还要嫌天庭“暗箭伤人”，都基本没有更深层更隐约的指向。当然，这大概就是截取一段拍出来的劣势所在，毕竟“西游”就是一个孙悟空不断下沉的过程。流光溢彩到最后都有点审美疲劳。
sharon,5,2017-03-20 20:32:20,,203,特别特别经典的国产动画，真正能体现中国文化的动画片，这是现在那些为迎合市场而各种四不像的国漫没法比的
等一个人,NaN,2009-03-05 18:44:40,,6,算是动画启蒙之一
沉歌,5,2008-01-21 21:20:54,,173,不朽的近义词
大耳朵图图_,5,2017-03-25 16:36:10,,89,1961年的中国动画，说是神作也不为过。。唉，加油啊我国的动漫产业
石头星,5,2017-03-20 18:56:17,,47,致敬。
琧婯,5,2006-09-04 01:27:23,,75,金猴奋起千钧棒哪有压迫哪反抗
